"","meanx","meany","tvalue","FC","logFC","pvalue","Contrast","adj.P.Val"
"AC012354.2",0,0.732277791849865,2.02097704628766,Inf,Inf,0.0992465239927905,"PGBObyQGBO",0.999994476311857
"AC073130.3",0,0.407068010799368,1.77199256459267,Inf,Inf,0.136596543716132,"PGBObyQGBO",0.999994476311857
"AC090281.1",0,0.812782052231174,1.54597703559892,Inf,Inf,0.182775611988002,"PGBObyQGBO",0.999994476311857
"AC093844.1",0,0.577910910573177,1.53995350314083,Inf,Inf,0.184197370779747,"PGBObyQGBO",0.999994476311857
"AC099066.3",0,1.21865270762582,1.40381737154969,Inf,Inf,0.219331842045156,"PGBObyQGBO",0.999994476311857
"AC113608.1",0,0.596426226540983,2.03779643689353,Inf,Inf,0.0971411197235877,"PGBObyQGBO",0.999994476311857
"AC122688.1",0,1.48003666868297,1.34801231588686,Inf,Inf,0.235503498571596,"PGBObyQGBO",0.999994476311857
"AL008707.1",0,1.35305912093665,2.4538293796579,Inf,Inf,0.0576642482238547,"PGBObyQGBO",0.999994476311857
"AL022334.2",0,3.31845204842716,1.57911662702717,Inf,Inf,0.175143295321608,"PGBObyQGBO",0.999994476311857
"AL160175.1",0,1.26056126641336,1.87240173751152,Inf,Inf,0.120042557753555,"PGBObyQGBO",0.999994476311857
"AL355472.4",0,0.488109063109751,1.53614954203752,Inf,Inf,0.18510078191258,"PGBObyQGBO",0.999994476311857
"AL451107.1",0,0.812297631265901,2.17192904922737,Inf,Inf,0.0819432596962943,"PGBObyQGBO",0.999994476311857
"AL603825.1",0,1.02190695009559,1.54443649657833,Inf,Inf,0.183138209841141,"PGBObyQGBO",0.999994476311857
"AL627309.6",0,0.666004834811581,2.09834325564792,Inf,Inf,0.0899421543792159,"PGBObyQGBO",0.999994476311857
"AP003355.3",0,1.82909333207131,1.49008466271359,Inf,Inf,0.196388189547448,"PGBObyQGBO",0.999994476311857
"INTS6L-AS1",0,0.759231611795571,1.67772543421791,Inf,Inf,0.154243077335053,"PGBObyQGBO",0.999994476311857
"MIR3188",0,2.17402362169454,1.49000248895855,Inf,Inf,0.196408907838432,"PGBObyQGBO",0.999994476311857
"MIR3193",0,3.63402519476203,2.13895074736672,Inf,Inf,0.0854306933806409,"PGBObyQGBO",0.999994476311857
"MIR4678",0,2.08889323692161,1.54202889264973,Inf,Inf,0.183706294837887,"PGBObyQGBO",0.999994476311857
"MIR4734",0,4.56213673787485,1.55608375156676,Inf,Inf,0.180414107333909,"PGBObyQGBO",0.999994476311857
"RF00136",0,0.952275549347931,1.44800035401255,Inf,Inf,0.207278525386372,"PGBObyQGBO",0.999994476311857
"RF00432",0,0.569523616626071,2.55497987580358,Inf,Inf,0.0509565411356936,"PGBObyQGBO",0.999994476311857
"RF00612",0,2.10709025516901,1.49095960239116,Inf,Inf,0.196167723578186,"PGBObyQGBO",0.999994476311857
"RN7SL804P",0,0.814655680120377,1.58113582205658,Inf,Inf,0.174688490927573,"PGBObyQGBO",0.999994476311857
"RN7SL868P",0,0.517843922829805,1.58110780739394,Inf,Inf,0.174694793020751,"PGBObyQGBO",0.999994476311857
"RNA5SP490",0,6.45449450956925,2.15417222524355,Inf,Inf,0.0838018615120236,"PGBObyQGBO",0.999994476311857
"RNU6-177P",0,0.898792104766345,1.57228747599838,Inf,Inf,0.176690126281043,"PGBObyQGBO",0.999994476311857
"RNU6-31P",0,0.996772301819691,1.45984691988189,Inf,Inf,0.204155704101158,"PGBObyQGBO",0.999994476311857
"RNU6-662P",0,1.12856605813137,1.54481755968061,Inf,Inf,0.183048453462528,"PGBObyQGBO",0.999994476311857
"RNU6-705P",0,1.63297438978791,1.5592510623109,Inf,Inf,0.179680197951409,"PGBObyQGBO",0.999994476311857
"RNU6ATAC26P",0,1.85087881694279,1.43740514965295,Inf,Inf,0.210110111432141,"PGBObyQGBO",0.999994476311857
"RNVU1-7",0,2.02487010464082,1.43488234369621,Inf,Inf,0.21078975439957,"PGBObyQGBO",0.999994476311857
"RPS29P10",0,2.21493744838413,1.55138416791565,Inf,Inf,0.181508467674722,"PGBObyQGBO",0.999994476311857
"VN1R87P",0,0.847302254441305,1.57992600825149,Inf,Inf,0.17496085046007,"PGBObyQGBO",0.999994476311857
"Z96811.1",0,0.989682340993088,1.49186287557565,Inf,Inf,0.195940368669832,"PGBObyQGBO",0.999994476311857
"ZNF603P",0,1.31651882964908,1.38075010047771,Inf,Inf,0.225885627613247,"PGBObyQGBO",0.999994476311857
"MTCO2P17",0.0441916853136661,1.23804093609714,2.05913770452282,28.0152460199176,4.80814025674537,0.0924070805333692,"PGBObyQGBO",0.999994476311857
"AC004233.4",0.082615263557061,2.03040069317148,3.18545871579239,24.5765807158517,4.61921230565792,0.0206499793780181,"PGBObyQGBO",0.999994476311857
"AL590095.2",0.294449272677729,6.51089702306738,1.59678892715548,22.1121178662019,4.46676530587323,0.162513223258943,"PGBObyQGBO",0.999994476311857
"NUFIP1P",0.0244145076250574,0.472406971346599,1.44195453162827,19.3494367611884,4.2742196667523,0.20725177229088,"PGBObyQGBO",0.999994476311857
"AP006547.1",0.0432337730597572,0.73861281034387,1.67781423828972,17.0841626365335,4.09458763210575,0.150967082517296,"PGBObyQGBO",0.999994476311857
"AC136475.6",0.0981591957365701,1.56285205796243,1.14627160720423,15.9216061850859,3.99291397840535,0.29955913087913,"PGBObyQGBO",0.999994476311857
"LENEP",0.12491312334114,1.97320735617631,3.34487872167384,15.7966377222627,3.9815456116685,0.0163549827864198,"PGBObyQGBO",0.999994476311857
"AC245452.2",0.168435785037785,2.61697239820221,1.53629871795136,15.5369145435167,3.95762812406835,0.180631242701164,"PGBObyQGBO",0.999994476311857
"AC090192.1",0.0703072753128458,1.02512590018636,1.51131371167116,14.5806517977673,3.86598330868034,0.186430332995335,"PGBObyQGBO",0.999994476311857
"AC004854.1",0.0546279225075036,0.794686956071951,1.32443608094578,14.5472666650062,3.86267620064746,0.239278357464552,"PGBObyQGBO",0.999994476311857
"AP003973.2",0.0568497145648671,0.750317211530417,1.81514658159968,13.1982582018821,3.72227564194727,0.123618503380813,"PGBObyQGBO",0.999994476311857
"AL449106.1",0.0325468321701103,0.427633199353568,1.7723358662016,13.1390114134146,3.7157848254473,0.132203488153075,"PGBObyQGBO",0.999994476311857
"AC009570.1",0.288585031933683,3.79125253979176,1.65901299753085,13.1373845496706,3.71560618083698,0.148828752564983,"PGBObyQGBO",0.999994476311857
"AC067747.1",0.137802259613178,1.67573607061855,1.84013910899735,12.1604397150125,3.60412349169505,0.115991402792246,"PGBObyQGBO",0.999994476311857
"RPL21P32",0.14444907228528,1.63439372905875,1.47235871515522,11.3146709992772,3.50012273034396,0.19234369537905,"PGBObyQGBO",0.999994476311857
"RPL12P8",0.124513988887793,1.4060559588001,2.2825227442348,11.2923533440663,3.49727427223046,0.0607079006265067,"PGBObyQGBO",0.999994476311857
"RN7SL568P",0.115605922494277,1.29069782097397,1.21258522932173,11.1646340700051,3.48086406131506,0.273224840500034,"PGBObyQGBO",0.999994476311857
"RNU6-781P",0.296215554033187,3.25881501626994,1.15394672970995,11.0014986448174,3.45962815865345,0.291362268700888,"PGBObyQGBO",0.999994476311857
"AL158211.3",0.144144623026336,1.58402618057326,1.12538388140815,10.9891451190923,3.45800725365701,0.304860854760257,"PGBObyQGBO",0.999994476311857
"AL049775.1",0.0762961244944221,0.835998138686952,1.97165269209854,10.9572818308494,3.45381804870451,0.102733553924119,"PGBObyQGBO",0.999994476311857
"RPL6P8",0.0764445168408285,0.832591038231662,1.87633344542983,10.8914422203134,3.44512310002834,0.110905892169907,"PGBObyQGBO",0.999994476311857
"AC007952.4",0.10816503894284,1.15544703797338,1.73546394513888,10.6822597141021,3.4171449604042,0.133411773803601,"PGBObyQGBO",0.999994476311857
"MIR219A1",0.257890977889715,2.72266532041938,1.6447225774328,10.557427571521,3.40018644455407,0.148272951825734,"PGBObyQGBO",0.999994476311857
"RN7SL316P",0.219983609980529,2.24505259045872,1.18657215464796,10.2055448160771,3.35128129660853,0.279897436030954,"PGBObyQGBO",0.999994476311857
"MRPS18CP6",0.308973676262731,3.09909859173512,2.15905835157603,10.0302997628181,3.32629281747443,0.0678201891130552,"PGBObyQGBO",0.999994476311857
"RPL29P19",0.308347908346398,3.05411356326934,2.00264015353084,9.90476497683372,3.30812274283014,0.0862320250776436,"PGBObyQGBO",0.999994476311857
"AC131235.4",0.111132592709804,1.06922746622223,2.0574660308065,9.62118708967993,3.26621490883281,0.0829250994676053,"PGBObyQGBO",0.999994476311857
"AC005363.2",0.447632935257767,4.23116080947954,1.27226523788079,9.45230003472165,3.24066542403616,0.2457431636523,"PGBObyQGBO",0.999994476311857
