"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Contrast","FC"
"VN1R108P",1.64007253283971,1.66907733293098,4.06758287820622,0.00141377214588047,0.999994892125812,-4.39589929581299,"PGBObyQGBO",3.11681501548688
"LENEP",1.22089349550885,0.762429941200575,3.27428292494827,0.00626208491833627,0.999994892125812,-4.44012757134649,"PGBObyQGBO",2.33091031445449
"HIST1H4A",1.63028139258612,2.05711752199618,3.21642316468829,0.00698900327392045,0.999994892125812,-4.44373690476891,"PGBObyQGBO",3.09573374016482
"RPL12P42",1.03901064203205,0.746408739856747,3.17968428143247,0.00749399555259857,0.999994892125812,-4.4460549755712,"PGBObyQGBO",2.05481803605599
"AC004233.4",1.2587175015597,0.726160870008555,3.17466836445005,0.00756572516865403,0.999994892125812,-4.44637302938378,"PGBObyQGBO",2.39282933350055
"AC091825.1",-0.995361405177763,1.39527477548756,-3.14482237593822,0.00800699413267939,0.999994892125812,-4.44827328101092,"PGBObyQGBO",0.50161020165772
"RN7SL644P",-1.31472765417173,2.01627985187052,-3.10159327419764,0.00869222688643461,0.999994892125812,-4.45104896211879,"PGBObyQGBO",0.402001376317611
"RNU5B-1",-1.89849970529914,0.949249852649572,-3.02396615366714,0.0100731002254272,0.999994892125812,-4.45610145200362,"PGBObyQGBO",0.26822215158293
"RNU6-45P",-1.75473184830222,0.877365924151107,-2.9743173410855,0.0110687988118637,0.999994892125812,-4.45937781920605,"PGBObyQGBO",0.296328265734968
"DBIL5P",0.750682007470835,1.19884307470978,2.96806304939442,0.0112009777376709,0.999994892125812,-4.45979298012517,"PGBObyQGBO",1.68258805499732
"HYI-AS1",1.07231872417039,1.74178236193363,2.93532568534399,0.0119188612045164,0.999994892125812,-4.46197485123057,"PGBObyQGBO",2.10281032552445
"ITPR1-AS1",1.1210893112029,2.16753746572067,2.92438699201195,0.0121687652428524,0.999994892125812,-4.46270713985028,"PGBObyQGBO",2.17511142957356
"AC007849.2",-1.28606469183956,0.643032345919781,-2.89567632675028,0.0128496648149419,0.999994892125812,-4.46463680790568,"PGBObyQGBO",0.410068067337746
"RPS27P16",-1.69470213024221,1.03475831018262,-2.8589215386601,0.0137766374879296,0.999994892125812,-4.4671230276191,"PGBObyQGBO",0.308918434340182
"RPS7P14",-1.32381962258306,1.00506803848177,-2.85147805501443,0.0139722642712271,0.999994892125812,-4.4676286707621,"PGBObyQGBO",0.399475900814467
"LINC00324",0.675453302625707,1.06181427271305,2.8454966903555,0.0141314507068149,0.999994892125812,-4.46803550731868,"PGBObyQGBO",1.59709851092021
"AL391840.1",1.98136074766228,2.37859878710346,2.83287463738418,0.0144732709230885,0.999994892125812,-4.46889552737826,"PGBObyQGBO",3.94865342573387
"IGLV1-51",1.68803941745595,1.65936239025038,2.78495540057476,0.0158468465878026,0.999994892125812,-4.4721788196404,"PGBObyQGBO",3.22218519985361
"RNU6-529P",1.96548851640826,2.39231837400011,2.76024315681742,0.0166045879387692,0.999994892125812,-4.47388307953711,"PGBObyQGBO",3.90544925813307
"AL356512.1",0.854949179968331,1.42213110191119,2.75600196902803,0.0167381682257411,0.999994892125812,-4.47417630948763,"PGBObyQGBO",1.80869504133954
"AC073352.1",1.06253170417108,0.963774012901886,2.69566262068664,0.0187568540849767,0.999994892125812,-4.47837094821725,"PGBObyQGBO",2.08859346256363
"AC008785.1",0.699832371200057,0.755580880319173,2.62185583821523,0.0215520525101716,0.999994892125812,-4.48355727157538,"PGBObyQGBO",1.62431605014281
"RN7SL18P",-0.876878679371128,0.438439339685564,-2.59152417715532,0.0228150875616723,0.999994892125812,-4.48570527688908,"PGBObyQGBO",0.544544298134592
"AC078842.1",0.85256348771944,1.7485787970985,2.58543723869745,0.0230770936281252,0.999994892125812,-4.48613745108366,"PGBObyQGBO",1.80570658995279
"AC073389.3",1.08128725319274,2.62132669313333,2.57632192773269,0.0234749317865725,0.999994892125812,-4.48678532236562,"PGBObyQGBO",2.115923184098
"ACTG1P15",-0.830466415648049,0.642840472249332,-2.54208130774847,0.025029735195967,0.999994892125812,-4.48922610850174,"PGBObyQGBO",0.562347409021047
"AC008759.2",-0.830824961368285,0.930440911566448,-2.47390142292233,0.0284281796167575,0.999994892125812,-4.49411783325008,"PGBObyQGBO",0.562207669021637
"AC092171.4",0.665384442830773,3.74557514059853,2.45987455276438,0.0291806528816316,0.999994892125812,-4.4951291025625,"PGBObyQGBO",1.5859908445622
"AC104118.1",1.07321794503263,1.91438566441982,2.45633104161711,0.0293737615939567,0.999994892125812,-4.49538482166766,"PGBObyQGBO",2.10412139977913
"AC133552.4",0.916688018140028,0.668077463228701,2.44733880314184,0.0298693484777774,0.999994892125812,-4.49603419346801,"PGBObyQGBO",1.88777656370906
"AL008707.1",0.96580244063641,0.482901220318205,2.44346374867196,0.0300853869174024,0.999994892125812,-4.49631422293851,"PGBObyQGBO",1.95314957976875
"LAG3",-0.69189517599452,2.17507671255511,-2.4405329405471,0.0302497807492437,0.999994892125812,-4.49652609332677,"PGBObyQGBO",0.619040122289077
"TAF9P3",1.4876964934828,1.36411751128454,2.43536688854481,0.0305416599694887,0.999994892125812,-4.49689971034308,"PGBObyQGBO",2.80440846267073
"LINC01293",-0.895075277278284,1.15983840847499,-2.42695933797459,0.0310224825051386,0.999994892125812,-4.49750818639431,"PGBObyQGBO",0.537719137262146
"AC098614.1",0.622502335344072,3.9022378490373,2.42629712202628,0.0310606618712033,0.999994892125812,-4.49755613498541,"PGBObyQGBO",1.53954318397062
"AC023983.2",-1.56420364028358,1.70045956200896,-2.4047334346486,0.0323288571755119,0.999994892125812,-4.49911921985099,"PGBObyQGBO",0.338164321590486
"AC005355.2",1.33673670006049,1.34169148878352,2.38950210190834,0.0332544283804695,0.999994892125812,-4.50022526319903,"PGBObyQGBO",2.52579351013699
"SNX18P7",-0.848110646886392,3.33007894575317,-2.37902999218638,0.0339054716895465,0.999994892125812,-4.50098661804682,"PGBObyQGBO",0.555511757954245
"AC010186.3",0.730322321580054,4.30650112655868,2.36989060560489,0.0344836198874499,0.999994892125812,-4.5016516659445,"PGBObyQGBO",1.659009700027
"GPR182",-0.583360590587513,0.452974992061608,-2.35331557195685,0.0355562868130741,0.999994892125812,-4.5028591315316,"PGBObyQGBO",0.667407317446647
"RNA5SP490",1.80573044452943,0.902865222264715,2.34972664906095,0.0357927115550475,0.999994892125812,-4.50312080095761,"PGBObyQGBO",3.49606121089352
"PGLYRP1",-0.550329822969044,0.401432824548531,-2.34484994814367,0.0361163780330877,0.999994892125812,-4.50347648600498,"PGBObyQGBO",0.682863996990152
"RN7SL769P",-0.777417519550407,0.388708759775203,-2.34359144780558,0.0362003573035778,0.999994892125812,-4.50356829829627,"PGBObyQGBO",0.58341018610955
"LINC02577",0.806199263932764,3.95734083809384,2.34353740255012,0.0362039678961481,0.999994892125812,-4.50357224130748,"PGBObyQGBO",1.74859873925958
"PPIAP65",-0.817691148534005,0.637356090508998,-2.34316036057048,0.036229166446814,0.999994892125812,-4.50359974985544,"PGBObyQGBO",0.567349187311404
"TAS2R6P",-1.0072050883993,1.19215369703786,-2.33016549200335,0.0371079451948825,0.999994892125812,-4.50454834238324,"PGBObyQGBO",0.497509131752965
"AL390037.1",-0.746888079013693,0.924345060450837,-2.31875855313423,0.0378960623224348,0.999994892125812,-4.50538180169835,"PGBObyQGBO",0.595887513086274
"USP46-AS1",0.72412018131077,1.87849731473013,2.31845089823084,0.0379175378755997,0.999994892125812,-4.50540429063923,"PGBObyQGBO",1.65189293233315
"AC062029.1",0.722010795079203,2.42702680595582,2.30889829087087,0.0385901459352646,0.999994892125812,-4.5061028168923,"PGBObyQGBO",1.64947943953373
