BioSample	Experiment	MBases	MBytes	Run	SRA_Sample	Sample_Name	cell_state	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	cell_type	source_name	tissue
SAMN09218428	SRX4093204	3676	1856	SRR7175675	SRS3309717	GSM3145228	quiescent	RNA-Seq	102	PRJNA471821	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-17	Homo sapiens	ILLUMINA	2019-04-23	SRP148097	GBM cells in 3D organoid culture	Brain	Brain
SAMN09218427	SRX4093205	783	400	SRR7175676	SRS3309718	GSM3145229	quiescent	RNA-Seq	102	PRJNA471821	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-17	Homo sapiens	ILLUMINA	2019-04-23	SRP148097	GBM cells in 3D organoid culture	Brain	Brain
SAMN09218426	SRX4093206	4289	2177	SRR7175677	SRS3309719	GSM3145230	quiescent	RNA-Seq	102	PRJNA471821	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-17	Homo sapiens	ILLUMINA	2019-04-23	SRP148097	GBM cells in 3D organoid culture	Brain	Brain
SAMN09218425	SRX4093207	1453	742	SRR7175678	SRS3309720	GSM3145231	quiescent	RNA-Seq	102	PRJNA471821	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-17	Homo sapiens	ILLUMINA	2019-04-23	SRP148097	GBM cells in 3D organoid culture	Brain	Brain
SAMN09218424	SRX4093208	3421	1719	SRR7175679	SRS3309721	GSM3145232	quiescent	RNA-Seq	102	PRJNA471821	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-17	Homo sapiens	ILLUMINA	2019-04-23	SRP148097	GBM cells in 3D organoid culture	Brain	Brain
SAMN09218436	SRX4093209	700	358	SRR7175680	SRS3309722	GSM3145233	quiescent	RNA-Seq	102	PRJNA471821	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-17	Homo sapiens	ILLUMINA	2019-04-23	SRP148097	GBM cells in 3D organoid culture	Brain	Brain
SAMN09218434	SRX4093210	3443	1723	SRR7175681	SRS3309723	GSM3145234	proliferative	RNA-Seq	102	PRJNA471821	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-17	Homo sapiens	ILLUMINA	2019-04-23	SRP148097	GBM cells in 3D organoid culture	Brain	Brain
SAMN09218433	SRX4093211	668	348	SRR7175682	SRS3309724	GSM3145235	proliferative	RNA-Seq	102	PRJNA471821	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-17	Homo sapiens	ILLUMINA	2019-04-23	SRP148097	GBM cells in 3D organoid culture	Brain	Brain
SAMN09218432	SRX4093212	3318	1686	SRR7175683	SRS3309725	GSM3145236	proliferative	RNA-Seq	102	PRJNA471821	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-17	Homo sapiens	ILLUMINA	2019-04-23	SRP148097	GBM cells in 3D organoid culture	Brain	Brain
SAMN09218431	SRX4093213	1196	610	SRR7175684	SRS3309726	GSM3145237	proliferative	RNA-Seq	102	PRJNA471821	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-17	Homo sapiens	ILLUMINA	2019-04-23	SRP148097	GBM cells in 3D organoid culture	Brain	Brain
SAMN09218430	SRX4093214	5351	2668	SRR7175685	SRS3309727	GSM3145238	proliferative	RNA-Seq	102	PRJNA471821	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-17	Homo sapiens	ILLUMINA	2019-04-23	SRP148097	GBM cells in 3D organoid culture	Brain	Brain
SAMN09218429	SRX4093215	809	423	SRR7175686	SRS3309728	GSM3145239	proliferative	RNA-Seq	102	PRJNA471821	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-17	Homo sapiens	ILLUMINA	2019-04-23	SRP148097	GBM cells in 3D organoid culture	Brain	Brain
