"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","ECM-receptor interaction_Homo sapiens_hsa04512","20/82",8.46066049053675e-05,0.0247897352372727,0,0,2.51316268958671,23.5671786537794,"SDC4;ITGA3;LAMB2;LAMA4;TNC;FN1;LAMC1;THBS1;THBS3;COL1A1;COL4A2;COL4A1;COL6A2;ITGA10;COL6A1;SPP1;ITGB8;ITGAV;ITGA6;CD44",20
"2","Systemic lupus erythematosus_Homo sapiens_hsa05322","22/135",0.0107063856468612,1,0,0,1.67916499704238,7.61822873845951,"HIST2H2AA4;HIST1H2BJ;ACTN2;HIST1H2BI;ACTN1;HIST2H2AC;HIST1H4A;HLA-DMA;HIST1H4B;C8G;FCGR2A;HIST3H3;HIST1H2AE;HIST1H3F;HIST1H4H;HLA-DRA;HIST1H3H;HIST2H3D;HIST1H4C;HIST1H4D;HIST1H2BD;HIST1H2AB",22
"3","Focal adhesion_Homo sapiens_hsa04510","29/202",0.0209459223550196,1,0,0,1.47928239500921,5.71862658158007,"ROCK2;LAMA4;PXN;TNC;PDGFA;PIK3CD;LAMC1;THBS1;THBS3;PPP1CB;SPP1;CAPN2;ITGB8;ITGAV;ACTN2;CAV2;ITGA3;LAMB2;ACTN1;CAV1;FN1;COL1A1;COL4A2;COL4A1;ITGA10;COL6A2;COL6A1;ITGA6;VCL",29
"4","Proteoglycans in cancer_Homo sapiens_hsa05205","25/203",0.127884288623654,1,0,0,1.26896145656472,2.60978346319914,"CDKN1A;CAMK2D;SDC4;ROCK2;PXN;TWIST1;PIK3CD;ITPR3;IQGAP1;HOXD10;THBS1;PPP1CB;RRAS;CTSL;MYC;ITGAV;FZD1;CAV2;CAV1;WNT5A;FN1;PLAUR;MAPK11;CD44;FGFR1",25
"5","Amoebiasis_Homo sapiens_hsa05146","13/100",0.170155678281901,1,0,0,1.33951571354972,2.37233792714463,"ARG2;ACTN2;LAMB2;ACTN1;LAMA4;FN1;PIK3CD;LAMC1;COL1A1;C8G;COL4A2;COL4A1;VCL",13
"6","Glycosaminoglycan biosynthesis - keratan sulfate_Homo sapiens_hsa00533","3/15",0.172741796066743,1,0,0,2.0607934054611,3.61866523991559,"B3GNT7;CHST1;CHST2",3
"7","Bladder cancer_Homo sapiens_hsa05219","6/41",0.202977104663526,1,0,0,1.50789761375203,2.40458716207605,"CDKN1A;MYC;DAPK3;THBS1;FGFR3;TYMP",6
"8","Small cell lung cancer_Homo sapiens_hsa05222","11/86",0.210157756495568,1,0,0,1.31794927093443,2.05586486199998,"COL4A2;ITGA3;COL4A1;LAMB2;MYC;LAMA4;FN1;PIK3CD;ITGAV;ITGA6;LAMC1",11
"9","Nitrogen metabolism_Homo sapiens_hsa00910","3/17",0.224477597761278,1,0,0,1.81834712246568,2.71657307761395,"CA12;CA2;CA13",3
"10","Protein digestion and absorption_Homo sapiens_hsa04974","11/90",0.254984827430642,1,0,0,1.25937374778178,1.72099875144829,"COL1A1;COL18A1;COL4A2;COL5A1;COL4A1;COL6A2;COL5A3;COL7A1;COL6A1;COL5A2;SLC38A2",11
"11","Alcoholism_Homo sapiens_hsa05034","20/179",0.286609799781781,1,0,0,1.15128123210117,1.43867967722155,"HIST2H2AA4;HIST1H2BJ;CALML6;HIST1H2BI;GNG12;HDAC9;HIST2H2AC;PPP1CB;HIST1H4A;HIST1H4B;HIST3H3;HIST1H2AE;HIST1H3F;HIST1H4H;HIST1H3H;HIST2H3D;HIST1H4C;HIST1H4D;HIST1H2BD;HIST1H2AB",20
"12","Arrhythmogenic right ventricular cardiomyopathy (ARVC)_Homo sapiens_hsa05412","9/74",0.288809987850556,1,0,0,1.25318517899662,1.55643880937977,"ITGA3;ACTN2;ACTN1;ITGA10;LMNA;ITGB8;ITGAV;DSG2;ITGA6",9
"13","p53 signaling pathway_Homo sapiens_hsa04115","8/69",0.353561281904464,1,0,0,1.19466284374557,1.2420891082175,"PIDD1;STEAP3;CDKN1A;IGFBP3;SERPINE1;PMAIP1;THBS1;DDB2",8
"14","Complement and coagulation cascades_Homo sapiens_hsa04610","9/79",0.358404350763867,1,0,0,1.1738696613386,1.20449998068624,"C8G;PROS1;SERPINE1;PLAUR;PLAT;CD59;A2M;CLU;F3",9
"15","Regulation of actin cytoskeleton_Homo sapiens_hsa04810","22/214",0.420977153271448,1,0,0,1.05928632990991,0.916469866664446,"ACTN2;ITGA3;ROCK2;ACTN1;PXN;FN1;PDGFA;PIK3CD;IQGAP1;GNG12;IQGAP3;SSH1;PPP1CB;RRAS;APC;ITGA10;ITGB8;ITGAV;ITGA6;FGFR3;VCL;FGFR1",22
"16","SNARE interactions in vesicular transport_Homo sapiens_hsa04130","4/34",0.422923182823179,1,0,0,1.21223141497712,1.04320358495394,"VAMP1;STX3;VAMP4;STX1A",4
"17","Viral carcinogenesis_Homo sapiens_hsa05203","21/205",0.430937989976246,1,0,0,1.05552832962642,0.888534326227787,"EGR2;CDKN1A;EGR3;GTF2H2C;HIST1H2BJ;ACTN2;HIST1H2BI;ACTN1;PXN;PIK3CD;HDAC9;KAT2B;HIST1H4A;DLG1;HIST1H4B;HIST1H4H;PMAIP1;HIST1H4C;IL6ST;HIST1H4D;HIST1H2BD",21
"18","Basal cell carcinoma_Homo sapiens_hsa05217","6/55",0.44607122482388,1,0,0,1.12406913025151,0.907434753742012,"FZD1;BMP2;APC;STK36;WNT5A;AXIN2",6
"19","Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923","6/56",0.463740056912527,1,0,0,1.1039964672113,0.848345226220175,"NPR1;PIK3CD;IRS2;ADRB2;MGLL;PTGS1",6
"20","Bacterial invasion of epithelial cells_Homo sapiens_hsa05100","8/78",0.489942118242739,1,0,0,1.05681713100569,0.754005226901409,"CAV2;CAV1;CLTC;PXN;FN1;PIK3CD;ELMO2;VCL",8
