"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","mmu-miR-299a-3p","3/6",0.0145753491371404,1,0,0,5.15198351365276,21.7847686373607,"IRGQ;TTC32;PGM2L1",3
"2","mmu-miR-206-3p","7/34",0.0418275711205237,1,0,0,2.12140497620996,6.73376274356221,"NOTCH3;NFAT5;EIF4E3;ID1;FN1;UTRN;FSTL1",7
"3","mmu-miR-216a-5p","4/15",0.0505665994948998,1,0,0,2.7477245406148,8.20048499997116,"TCP11L2;MYSM1;VSX1;CACNA1G",4
"4","mmu-miR-490-3p","4/15",0.0505665994948998,1,0,0,2.7477245406148,8.20048499997116,"DQX1;NCOA7;C17ORF100;MCC",4
"5","hsa-miR-520f-5p","11/69",0.0676940313046939,1,0,0,1.64266141015015,4.42328844913927,"EDEM3;IRGQ;TIPARP;EFHC1;ZNF514;C22ORF46;HIST2H2AC;DKK3;DDR2;SEL1L3;FOSL2",11
"6","mmu-miR-181b-5p","9/55",0.081382682118488,1,0,0,1.68610369537727,4.22974755486077,"ERRFI1;CBX7;PFKFB3;CLMN;SPP1;EBF3;C17ORF100;ADAMTS9;NDRG1",9
"7","hsa-miR-3161","16/115",0.0897561636653183,1,0,0,1.43359541249468,3.45590907856212,"MBNL1;LRRC57;THRB;HOXD1;ABHD2;CMTM6;ZFHX4;COL19A1;EFNB2;VMP1;PTAR1;TERT;EOGT;PSMC2;SLC38A2;ZNF367",16
"8","hsa-miR-95-3p","3/12",0.103381064835482,1,0,0,2.57599175682638,5.84578428402754,"CDKN1A;NXPH3;DUSP8",3
"9","mmu-miR-669o-3p","3/12",0.103381064835482,1,0,0,2.57599175682638,5.84578428402754,"ARRDC3;ZFP37;CCDC82",3
"10","mmu-miR-669a-3p","3/12",0.103381064835482,1,0,0,2.57599175682638,5.84578428402754,"ARRDC3;ZFP37;CCDC82",3
