"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","thioridazine_MCF7_UP","38/155",6.0627791538276e-08,0.000244087488733099,0,0,2.52613385185554,41.9805868491302,"CEMIP;HIST2H2AA4;HIST1H2BJ;EPAS1;HIST1H2BI;IRS2;SLC7A11;NDRG1;ICAM1;ZFP36;ATXN1;HIST1H2AE;HIST1H3F;MIR22HG;PMAIP1;HIST1H3H;PHLDA1;HIST1H2AB;IER3;DUSP4;DUSP5;SVIL;TIPARP;GDF15;AKR1C1;GEM;FOSL2;HIST1H4A;HIST1H4B;NPC1;MAFF;HIST1H4H;C16ORF45;TRIB3;HIST1H4C;HIST1H4D;OPTN;CD44",38
"2","thioridazine_PC3_UP","43/196",2.55655080728467e-07,0.000514633677506405,0,0,2.26056419476601,34.3140909692878,"CARS;CDKN1A;AMIGO2;SEL1L;FAM129A;IRS2;SLC1A4;SLC7A11;PTPRH;SLC7A1;NDRG1;HDAC9;CYR61;ICAM1;AKAP12;ZFP36;ATXN1;MIR22HG;PMAIP1;STX3;SLC38A2;IL11;DUSP5;ARG2;WARS;GDF15;CSGALNACT2;SAMD4A;KLF4;TM4SF1;GEM;FOSL2;SLC4A7;GPRC5A;KLF5;NPC1;MAFF;TRIB3;AMOTL2;NUPR1;IL6ST;SEC24D;OPTN",43
"3","cytochalasin B_MCF7_UP","11/23",3.13089572002132e-06,0.00420166205626861,0,0,4.92798423045046,62.4582154604444,"DUSP4;MUS81;ATXN1;GDF15;CRISPLD2;DAPK3;MAFF;SLC7A11;PDLIM5;MGLL;VCL",11
"4","withaferin A_MCF7_UP","21/76",7.28208755955446e-06,0.00732942112869156,0,0,2.84714878386073,33.6820348528542,"DUSP4;ABCC3;DUSP5;SYNM;ABHD4;GDF15;AKR1C1;PIK3CD;SLC1A4;SLC7A11;LYST;NDRG1;GEM;FOSL1;MAFF;MIR22HG;PMAIP1;TRIB3;NUPR1;ULBP2;PHLDA1",21
"5","mebendazole_MCF7_UP","14/40",1.27760265473792e-05,0.0102872565759497,0,0,3.60638845955693,40.6365690283387,"DUSP4;CEMIP;GDF15;SLC7A11;FOSL1;ATXN1;CRISPLD2;MAFF;PMAIP1;TRIB3;PHLDA1;TNFRSF21;MGLL;IER3",14
"6","tonzonium bromide_PC3_UP","31/146",2.28222041301644e-05,0.0153136989713403,0,0,2.18782861538679,23.3830235471685,"CARS;CDKN1A;SEL1L;ZBTB43;PDGFA;IRS2;SLC7A11;NDRG1;ZFP36;ATXN1;HIST1H2AE;HIST1H3F;PMAIP1;HIST1H3H;STX3;SLC38A2;HIST1H2AB;IER3;IL11;DUSP5;GDF15;CSGALNACT2;SAMD4A;KLF4;GEM;FOSL2;GPRC5A;KLF5;MAFF;TRIB3;NUPR1",31
"7","azacyclonol_MCF7_UP","28/126",2.33207524248432e-05,0.0134127641803456,0,0,2.28977045051234,24.4230738606359,"HIST2H2AA4;HIST1H2BJ;HIST1H2BI;IRS2;SLC7A11;ICAM1;ZFP36;HIST1H2AE;HIST1H3F;PMAIP1;HIST1H3H;PHLDA1;HIST1H2AB;DUSP4;DUSP5;EGR2;ANXA1;GDF15;KLF4;GEM;FOSL1;HIST1H4A;HIST1H4B;MAFF;HIST1H4H;TRIB3;HIST1H4C;HIST1H4D",28
"8","thioguanosine_MCF7_UP","23/95",2.91563829033846e-05,0.0146729496961283,0,0,2.49464464871607,26.0511666950912,"MSTO2P;CDKN1A;SUN1;GDF15;SLC1A4;SLC7A11;DICER1;IKZF5;HIST1H4A;DLG1;HIST1H4B;MARS;MAFF;HIST1H3F;MIR22HG;PMAIP1;HIST1H4H;TRIB3;HIST1H3H;AMOTL2;HIST1H4C;SEC24D;HIST1H4D",23
"9","suloctidil_MCF7_UP","26/117",4.49722630792676e-05,0.0201175923507924,0,0,2.28977045051234,22.9193763449494,"HIST1H2BJ;IRS2;SLC7A11;ICAM1;ZFP36;HIST1H3F;MIR22HG;PMAIP1;HIST1H3H;PHLDA1;IER3;DUSP4;EGR2;EGR3;ANXA1;GDF15;GEM;FOSL1;HIST1H4A;HIST1H4B;MAFF;HIST1H4H;TRIB3;HIST1H4C;SEC24D;HIST1H4D",26
"10","clonidine_HL60_UP","20/79",4.7973543735516e-05,0.0193141487079188,0,0,2.60859924741912,25.9421565842593,"DUSP4;ABCA1;LINC00273;ANXA1;BCL2A1;PLOD2;THBS1;SEL1L3;PTGS1;NT5E;FCGR2A;MAFB;AXL;PECAM1;LPXN;SGK1;PHLDA1;HIST1H2BD;CTSB;IER3",20
