"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","FOSL2_ENCODE","25/196",0.095361833083039,1,0,0,1.31428150858489,3.08866255176046,"SLC20A1;PTPRH;RRAS;LMNA;MICALL2;TCTEX1D4;FADD;STX3;S100A10;LINC00273;TNFRSF12A;FAM46B;S100A2;TPM2;KRT8;IL31RA;PPP2R5B;RAB39B;NFATC2;F3;FOSL2;ENO1-AS1;KRT18;VTRNA1-3;CCDC84",25
"2","TP53_CHEA","33/319",0.37586381155004,1,0,0,1.06592762351436,1.04304045677991,"CDKN1A;CAMK2D;THRB;SERPINE2;ADRB2;AFF3;QRFP;EDA2R;PIDD1;FAM166A;MIR219A1;TCTEX1D4;ANKRD10;PMAIP1;E2F7;SLC34A3;FZD1;PRRT3;SLC12A4;JAG1;S100A2;GDF15;ACTN1;PLK2;DDB2;LENEP;COL1A1;FOSL1;KAT2B;AXL;VAMP4;SYNC;TLR3",33
"3","TRIM28_ENCODE","11/120",0.6245290534651,1,0,0,0.944530310836339,0.444644659548269,"TMEM43;HIST1H2BJ;TIPARP;DQX1;YTHDC2;HIST1H4H;SLC7A11;TIPARP-AS1;HIST1H4C;TOR1AIP1;YPEL3",11
"4","STAT5A_ENCODE","21/233",0.672569421367746,1,0,0,0.928683723491055,0.368362346948242,"WARS;TTC32;HIST1H2BJ;HIST2H2AC;SSH1;NPAT;HIST1H4B;EHBP1L1;HIST1H2AE;HIST1H4H;HIST1H3H;CD59;ZNF425;IGF2BP3;ZNF688;HIST1H4C;HIST1H4D;SIPA1;MIR3143;HIST1H2BD;HIST1H2AB",21
"5","EZH2_CHEA","21/237",0.702450231750806,1,0,0,0.913009736596691,0.32245744049024,"KCNJ4;SLC30A3;TRIL;SPHK1;AGAP2;SAMD4A;ADAM11;EBF2;INHBB;KREMEN2;HOXD10;LMF2;PANX2;MAPK11;SLC9A5;COL4A2;NOTUM;NPTX1;CNIH3;FGFR3;PLXNA4",21
"6","ZEB1_ENCODE","9/106",0.711651349220844,1,0,0,0.874865124959902,0.297600389806855,"ANKRD28;LINC00273;ATXN1;KIFC2;LMNTD2;STX3;HIST1H4C;MPZL3;SAV1",9
"7","ESR1_CHEA","13/154",0.741458933401805,1,0,0,0.869815398408907,0.260192665917961,"CA12;SVIL;PLEKHH2;LRP1;GDF15;MYOF;ZFP36L1;PTP4A2;SH3PXD2A;SH3BP5;TACC1;FREM2;LIMS1",13
"8","TRIM28_CHEA","18/210",0.744716579723545,1,0,0,0.883197173769044,0.260323747304634,"FZD1;JAG2;SVIL;JAG1;PROS1;IGFBP3;WNT5A;EFNB2;FRMD6;KLF5;FLRT2;COL4A1;RFXAP;ITGAV;NPTX2;CNIH3;OPTN;RAD18",18
"9","HDAC2_ENCODE","14/175",0.81258063444633,1,0,0,0.824317362184441,0.171078930289098,"HEXIM1;MIR3193;TIPARP;ACTN1;EDEM1;SPHK1;ANXA5;SYNJ2;TIPARP-AS1;PPP1CB;GLI4;ID1;ESYT2;RGL1",14
"10","NFIC_ENCODE","23/279",0.823645015960215,1,0,0,0.849430973577157,0.16480290057422,"CTSA;LINC00273;MUS81;ATP8B3;HIST1H2BJ;TIPARP;CLTC;TIPARP-AS1;TANK;ICAM1;HIST2H2AC;DDB2;ZFP36L1;EPS8;HIST1H4B;ATXN1;NEURL2;RNF19A;MIR22HG;IGF2BP3;PHLDA1;HIST1H2BD;HIST1H2AB",23
