"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Contrast","FC"
"AC091825.1",0.995361405177763,1.39527477548756,3.14482237593822,0.00800699413267939,0.999994892125812,-4.44827328101092,"QGBObyPGBO",1.99357986878098
"RN7SL644P",1.31472765417173,2.01627985187052,3.10159327419764,0.00869222688643461,0.999994892125812,-4.45104896211879,"QGBObyPGBO",2.48755367247779
"RNU5B-1",1.89849970529914,0.949249852649572,3.02396615366714,0.0100731002254272,0.999994892125812,-4.45610145200362,"QGBObyPGBO",3.72825284600261
"RNU6-45P",1.75473184830222,0.877365924151107,2.9743173410855,0.0110687988118637,0.999994892125812,-4.45937781920605,"QGBObyPGBO",3.37463588739923
"AC007849.2",1.28606469183956,0.643032345919781,2.89567632675028,0.0128496648149419,0.999994892125812,-4.46463680790568,"QGBObyPGBO",2.43861953575713
"RPS27P16",1.69470213024221,1.03475831018262,2.8589215386601,0.0137766374879296,0.999994892125812,-4.4671230276191,"QGBObyPGBO",3.23710044088465
"RPS7P14",1.32381962258306,1.00506803848177,2.85147805501443,0.0139722642712271,0.999994892125812,-4.4676286707621,"QGBObyPGBO",2.5032799174147
"RN7SL18P",0.876878679371128,0.438439339685564,2.59152417715532,0.0228150875616723,0.999994892125812,-4.48570527688908,"QGBObyPGBO",1.83639788980553
"ACTG1P15",0.830466415648049,0.642840472249332,2.54208130774847,0.025029735195967,0.999994892125812,-4.48922610850174,"QGBObyPGBO",1.77826017148515
"AC008759.2",0.830824961368285,0.930440911566448,2.47390142292233,0.0284281796167575,0.999994892125812,-4.49411783325008,"QGBObyPGBO",1.77870216843576
"LAG3",0.69189517599452,2.17507671255511,2.4405329405471,0.0302497807492437,0.999994892125812,-4.49652609332677,"QGBObyPGBO",1.61540417816896
"LINC01293",0.895075277278284,1.15983840847499,2.42695933797459,0.0310224825051386,0.999994892125812,-4.49750818639431,"QGBObyPGBO",1.85970691891608
"AC023983.2",1.56420364028358,1.70045956200896,2.4047334346486,0.0323288571755119,0.999994892125812,-4.49911921985099,"QGBObyPGBO",2.95714224166732
"SNX18P7",0.848110646886392,3.33007894575317,2.37902999218638,0.0339054716895465,0.999994892125812,-4.50098661804682,"QGBObyPGBO",1.80014191541625
"GPR182",0.583360590587513,0.452974992061608,2.35331557195685,0.0355562868130741,0.999994892125812,-4.5028591315316,"QGBObyPGBO",1.49833538509254
"PGLYRP1",0.550329822969044,0.401432824548531,2.34484994814367,0.0361163780330877,0.999994892125812,-4.50347648600498,"QGBObyPGBO",1.46442044742098
"RN7SL769P",0.777417519550407,0.388708759775203,2.34359144780558,0.0362003573035778,0.999994892125812,-4.50356829829627,"QGBObyPGBO",1.71405989098076
"PPIAP65",0.817691148534005,0.637356090508998,2.34316036057048,0.036229166446814,0.999994892125812,-4.50359974985544,"QGBObyPGBO",1.76258294250649
"TAS2R6P",1.0072050883993,1.19215369703786,2.33016549200335,0.0371079451948825,0.999994892125812,-4.50454834238324,"QGBObyPGBO",2.01001335689361
"AL390037.1",0.746888079013693,0.924345060450837,2.31875855313423,0.0378960623224348,0.999994892125812,-4.50538180169835,"QGBObyPGBO",1.67816908063858
"AC021106.1",0.731241943372296,1.86396779081284,2.29073100470812,0.0399007791106943,0.999994892125812,-4.50743257529129,"QGBObyPGBO",1.66006754509296
"MIR30D",1.40205939695636,0.701029698478179,2.28291422631885,0.0404776267430723,0.999994892125812,-4.50800522245861,"QGBObyPGBO",2.64278561476151
"RN7SL585P",0.939263437125148,1.84841304980838,2.28168771021644,0.0405688547706338,0.999994892125812,-4.5080951015358,"QGBObyPGBO",1.91754899080853
"TMEM191C",0.592751485034077,0.762129534045658,2.27496643211311,0.0410722585987252,0.999994892125812,-4.50858775937363,"QGBObyPGBO",1.50812026936154
"RPL21P119",1.14548877861215,0.572744389306072,2.27040202406185,0.0414174935007022,0.999994892125812,-4.50892243853044,"QGBObyPGBO",2.21221066674984
"AC023141.8",0.962961893313264,0.481480946656632,2.23651550382452,0.0440679185939153,0.999994892125812,-4.51140985259535,"QGBObyPGBO",1.94930777297945
"NDUFA5P6",2.09642199919216,3.08113738628193,2.23356173272206,0.0443064013510396,0.999994892125812,-4.51162688387464,"QGBObyPGBO",4.27647468304607
"AC069213.2",0.920635329694639,0.460317664847319,2.22392436914828,0.0450930189864656,0.999994892125812,-4.51233521481404,"QGBObyPGBO",1.89294872098004
"RNA5SP69",1.25308131815624,0.626540659078118,2.18793592309898,0.0481485347442372,0.999994892125812,-4.51498293748319,"QGBObyPGBO",2.38349949238508
"RXFP4",0.867531403049984,0.674929302090932,2.18330694926579,0.048555415588449,0.999994892125812,-4.51532376352148,"QGBObyPGBO",1.82453825866446
"AC008403.3",1.29761956160589,1.00294277968209,2.16847059417666,0.0498814146893795,0.999994892125812,-4.51641649438482,"QGBObyPGBO",2.45822941442641
"RNU6-1266P",1.21624150495634,0.60812075247817,2.15368389634948,0.0512367697116662,0.999994892125812,-4.51750603602959,"QGBObyPGBO",2.32340636599283
"RPL37AP8",1.44563058010126,1.15984730190972,2.13105667881548,0.0533778203654901,0.999994892125812,-4.51917402836581,"QGBObyPGBO",2.72381851257583
"NUAK2",0.717502501946353,1.54024423825135,2.11389273815074,0.0550574704943592,0.999994892125812,-4.52043972868085,"QGBObyPGBO",1.64433300888228
"ARX",0.845280728766934,1.06487750430083,2.09960217887908,0.0564934723465409,0.999994892125812,-4.52149373099188,"QGBObyPGBO",1.79661430838327
"AC104066.1",0.684634494997071,0.98179138397461,2.09938706623161,0.0565153527832391,0.999994892125812,-4.52150959756998,"QGBObyPGBO",1.60729472377051
"OR1L3",0.776181821306945,0.388090910653473,2.09727340204291,0.056730767418274,0.999994892125812,-4.5216655012547,"QGBObyPGBO",1.71259239167295
"NEFM",0.585726966260088,0.451280325068244,2.0808682008672,0.0584289152448231,0.999994892125812,-4.522875591368,"QGBObyPGBO",1.5007950413219
"HTR1D",1.05928263474811,1.27202012784288,2.07665230136974,0.0588728965993318,0.999994892125812,-4.52318657124347,"QGBObyPGBO",2.08389506865832
"HLA-S",0.998226954193133,0.499113477096566,2.04591652661697,0.0622057371957088,0.999994892125812,-4.52545356813455,"QGBObyPGBO",1.9975435463734
"AC015660.2",0.66323206413716,0.52517755391638,2.04545324060265,0.0622572875421277,0.999994892125812,-4.5254877343013,"QGBObyPGBO",1.58362644485821
"AC140113.3",1.21912190756875,0.609560953784372,2.03479767642703,0.0634539274751444,0.999994892125812,-4.52627349486965,"QGBObyPGBO",2.32804978043779
"AC019103.1",0.698877782482334,0.650092894914573,2.02270505983798,0.064837732450679,0.999994892125812,-4.52716505812474,"QGBObyPGBO",1.62324164365576
"AL157414.3",0.698115392468022,0.425412377174375,2.00946185338476,0.0663851827782052,0.999994892125812,-4.52814119282585,"QGBObyPGBO",1.62238407067356
"AL359641.1",0.665413525026657,0.654691298948605,1.9846882714172,0.0693718149894644,0.999994892125812,-4.52996627087946,"QGBObyPGBO",1.58602281567182
"AC063943.1",1.32930754070878,1.55310972662309,1.98200850228029,0.0697021922744786,0.999994892125812,-4.53016360308641,"QGBObyPGBO",2.51282036556531
"AC108704.1",0.753353236832451,1.00043720097165,1.97518490541133,0.0705499910337598,0.999994892125812,-4.5306659902597,"QGBObyPGBO",1.68570634544525
"AF131216.5",0.595301532493606,0.670017808748038,1.9696415423183,0.0712456954052378,0.999994892125812,-4.53107402319351,"QGBObyPGBO",1.51078831699069
