"","logFC","logCPM","LR","PValue","adj.P.Val","Contrast","FC"
"RNU5B-1",5.32577452778485,2.15584856925037,18.7958291519373,1.45484932682142e-05,0.175835236643853,"QGBObyPGBO",40.1067880576431
"RNU6-45P",5.10632949686002,2.03650315838086,17.3940732920236,3.03771705372212e-05,0.175835236643853,"QGBObyPGBO",34.4475505645814
"RPS27P16",3.73132099200007,2.06418135810791,14.4080577329123,0.000147171227810257,0.454253732693382,"QGBObyPGBO",13.2812680524756
"MIR30D",4.79505973101369,1.88103593795503,13.7167990541729,0.000212544800830929,0.539049039040708,"QGBObyPGBO",27.7623873940882
"CTBP2P1",5.45535005570283,2.22859432572945,12.474213245774,0.000412608398175154,0.584951889436423,"QGBObyPGBO",43.8756944718045
"AC007849.2",4.13468556192908,1.60632425026562,12.3846326929507,0.000432881783017992,0.584951889436423,"QGBObyPGBO",17.565656135884
"RNU6-1266P",4.49051505320217,1.74478351041527,12.2812040737203,0.00045754307696004,0.584951889436423,"QGBObyPGBO",22.479141805595
"RNA5SP69",4.51281338789082,1.75455723356253,12.2659909087056,0.000461288208795234,0.584951889436423,"QGBObyPGBO",22.8292789410874
"AC140113.3",4.61850481420205,1.80010325154821,12.1108066740538,0.000501304439924763,0.586796127871932,"QGBObyPGBO",24.5645314208564
"RNU7-155P",4.79750822627289,1.88112746930453,11.1727924534313,0.000830056000696604,0.789435135162514,"QGBObyPGBO",27.8095448237815
"RPL21P119",4.18070675898263,1.62284328935722,10.8742852308196,0.000975086534859995,0.87281716476262,"QGBObyPGBO",18.1350241195996
"RNA5SP361",4.8185219384433,1.89048974567423,10.5213025918016,0.00118006276181539,0.945106055081308,"QGBObyPGBO",28.2175717642642
"DYNLT3P2",3.80777681173219,2.08029292206887,10.3092333896637,0.00132366257045671,0.961698433960858,"QGBObyPGBO",14.0040946416105
"RPS7P14",2.74854216790062,1.85612270529584,10.304338805146,0.0013271779662994,0.961698433960858,"QGBObyPGBO",6.72037700119967
"RNU6-304P",4.70551025513925,1.83947099987836,10.1848668284767,0.00141597947358964,0.979407256800616,"QGBObyPGBO",26.091541111294
"RN7SL58P",4.03264605290254,1.56981212234851,9.65158598434822,0.00189188172261451,0.999848159240864,"QGBObyPGBO",16.366183785654
"MIR376A1",4.33548759583404,1.6822390169568,9.35193052377869,0.00222750710878039,0.999848159240864,"QGBObyPGBO",20.188860732254
"HLA-S",3.92969651618595,1.53523353173194,9.34615958172739,0.00223453223290754,0.999848159240864,"QGBObyPGBO",15.2390019710552
"AL021997.1",4.40751284686447,1.71106024518072,9.25635470198618,0.00234679673243229,0.999848159240864,"QGBObyPGBO",21.2223549119379
"AC023141.8",3.63927717734209,1.44615175307638,9.23613090433258,0.00237285804781412,0.999848159240864,"QGBObyPGBO",12.4603887754035
"HMGN2P22",4.09238134307282,1.59040179129481,9.22270438155618,0.00239032209570085,0.999848159240864,"QGBObyPGBO",17.0580560838985
"RNMTL1P1",4.1950375090297,1.62798922771117,9.09389013882735,0.0025646479253695,0.999848159240864,"QGBObyPGBO",18.3160627677996
"AC096638.1",4.28631021881863,1.66170625927416,8.9557176305307,0.00276602509979811,0.999848159240864,"QGBObyPGBO",19.5122767263325
"AC025166.1",4.05881878206226,1.57895194580045,8.88409532202218,0.00287665548739059,0.999848159240864,"QGBObyPGBO",16.6658013296345
"AC021087.4",3.97692559062708,1.55069832585606,8.53120743727705,0.00349108020392386,0.999848159240864,"QGBObyPGBO",15.7461321988942
