"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","SRP-dependent cotranslational protein targeting to membrane (GO:0006614)","69/90",3.28548642814254e-36,1.67658372428114e-32,0,0,4.62543991955757,377.914855408604,"RPL4;RPL30;RPL3;RPL31;RPL34;RPLP1;RPLP0;SRP14;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPL7A;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;SEC61B;RPL37;RPS11;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL24;RPL27;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23",69
"2","cotranslational protein targeting to membrane (GO:0006613)","69/94",3.93409960192412e-34,1.00378551343094e-30,0,0,4.4286126889381,340.640965793809,"RPL4;RPL30;RPL3;RPL31;RPL34;RPLP1;RPLP0;SRP14;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPL7A;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;SSR2;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL24;RPL27;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23",69
"3","protein targeting to ER (GO:0045047)","69/98",2.9718223572646e-32,5.05506982970708e-29,0,0,4.24785298734879,308.366718132006,"RPL4;RPL30;RPL3;RPL31;RPL34;RPLP1;RPLP0;SRP14;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS14;RPL7A;RPS16;RPS19;RPL18A;RPS18;SEC61G;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23",69
"4","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)","71/113",2.42935895118349e-28,3.09925468197234e-25,0,0,3.79076068820993,241.034590333777,"RPL4;RPL30;RPL3;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS14;RPL7A;RPS16;RPS19;RPL18A;PPP2R1A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;PABPC1;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL19;RPL41;UPF3B;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;EIF3E;RPS21;RPS24;RPS23",71
"5","viral gene expression (GO:0019080)","70/111",4.18700165170953e-28,4.27325388573474e-25,0,0,3.80470968706263,239.850411890358,"RPL4;RPL30;RPL3;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS14;RPL7A;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;NUP93;RPL37A;RPL24;RPL27;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;NUP88;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23;NUP37",70
"6","viral transcription (GO:0019083)","71/114",5.40670734043668e-28,4.5984045930414e-25,0,0,3.75750840147125,235.914196755178,"RPL4;RPL30;RPL3;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS14;RPL7A;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;NUP93;RPL37A;RPL24;RPL27;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;NUP88;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL23A;USF1;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23;NUP37",71
"7","peptide biosynthetic process (GO:0043043)","92/175",6.1387265681271e-28,4.47513166816466e-25,0,0,3.17173023055376,198.733528325486,"RPL4;RPL30;MRPS15;RPL3;RPL31;RPL34;RPLP1;RPLP0;MRPL36;MRPL37;RPL8;RPL10A;RPL9;RPL6;RPL7;RPL39P5;RPS15;MRPL4;MRPL41;RPS14;RPL7A;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;MRPS7;MRPL43;MRPS18C;EEF1A1;MRPL51;RPL37A;NHP2;RPL24;RPL27;RPL29;RPL28;EEF1A1P5;RPL10;MRPS36;RPL12;RPL11;IGHMBP2;MRPL13;MRPL10;MRPL11;RPS15A;RPL14;RPS3;RPL13;HARS;RPS2;RPL18;RPS27A;RPL19;RPL41;MRPL27;MRPL28;RPL23A;MRPL23;MRPL24;RPS26;RPS25;RSL1D1;RPS28;RPS27;TNIP1;RPS29;RPL27A;RPS6KB2;RPS20;RPS21;RPS24;RPS23",92
"8","translation (GO:0006412)","105/233",1.2684207325103e-24,8.0909387475001e-22,0,0,2.71881614976793,149.600872879938,"RPL4;RPL30;RPL3;RPL31;RPL34;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPL39P5;EEF1B2;RPS14;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPSA;FTSJ1;MRPS18C;EEF1A1;KARS;PPA1;MRTO4;NHP2;RPL24;RPL27;RPL29;RPL28;MRPL13;MRPL10;MRPL11;RPL41;MRPL27;MRPL28;MRPL23;EEF2;MRPL24;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FARSA;RPS21;RPS24;RPS23;MRPS15;RPLP1;RPLP0;MRPL36;MRPL37;MRPL41;MRPL4;TRMT112;RPL7A;RPLP2;RPL13A;MRPL47;RPS3A;MRPS7;MRPL43;MRPL51;NOA1;RPL37A;EEF1A1P5;RPL10;MRPS36;RPL12;RPL11;MRPS34;IGHMBP2;RPS15A;RPL14;RPS3;RPL13;HARS;RPS2;RPL18;RPS27A;RPL19;RPL23A;RSL1D1;TNIP1;RPS6KB2;RPL22L1;RPL26L1",105
"9","nuclear-transcribed mRNA catabolic process (GO:0000956)","80/175",1.48198398114792e-19,8.4028491731087e-17,0,0,2.75802628743805,119.576256976378,"RPL4;RPL30;RPL3;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS14;RPL7A;RPS16;RPS19;RPL18A;PPP2R1A;RPS18;ZC3H12A;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;MRTO4;RPL37A;RPL24;RPL27;PABPC1;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;EXOSC4;RPS15A;RPL14;RPS3;RPL13;POLR2G;RPS2;RPL18;RPS27A;DCPS;RPL19;RPL41;UPF3B;RPL23A;NBDY;LSM4;RPS26;RPS25;CNOT6;RPS28;RPS27;RPS29;RPL27A;RPS20;EIF3E;CNOT8;RPS21;RPS24;RPS23",80
"10","rRNA metabolic process (GO:0016072)","87/201",3.10062703477423e-19,1.58224997584529e-16,0,0,2.61137750163211,111.290413074038,"RPL4;RPL30;RPL3;RPL31;RPL34;RPLP1;RRP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RRP9;RPS15;RPS14;FBL;RPL7A;RPS16;RPS19;RPL18A;NOB1;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RIOK1;RPS11;RPL39;RPS13;RPS9;RPL21;RPS7;IMP3;RPS8;RPL23;RPS5;RPL22;RPS6;GTF3A;RPL13A;IMP4;RPSA;RPS3A;DKC1;MRTO4;RPL37A;RPL24;RPL27;MAPT;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;DEDD2;EMG1;EXOSC4;RPS15A;PES1;RPL14;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL19;RPL41;RPP40;RPL23A;BYSL;RPS26;RCL1;RPS25;BOP1;RPS28;RPS27;LAS1L;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23",87
"11","rRNA processing (GO:0006364)","87/203",6.71613955399044e-19,3.11567819491029e-16,0,0,2.58564964447317,108.19548351275,"RPL4;RPL30;RPL3;RPL31;RPL34;RPLP1;RRP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RRP9;RPS15;RPS14;FBL;RPL7A;RPS16;RPS19;RPL18A;NOB1;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RIOK1;RPS11;RPL39;RPS13;RPS9;RPL21;RPS7;IMP3;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;IMP4;RPSA;RPS3A;DKC1;MRTO4;RPL37A;NHP2;RPL24;RPL27;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;TSR3;EMG1;EXOSC4;RPS15A;PES1;RPL14;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL19;RPL41;RPP40;RPL23A;BYSL;RPS26;RCL1;RPS25;RSL1D1;BOP1;RPS28;RPS27;LAS1L;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23",87
"12","ribosome biogenesis (GO:0042254)","92/227",5.79001221970678e-18,2.46220269643031e-15,0,0,2.44516647729915,97.0496288797532,"RPL4;RPL30;RPL3;RPL31;RPL34;RPLP1;RRP1;RPLP0;MRPL36;RPL8;RPL10A;RPL9;RPL6;RPL7;RRP9;RPS15;RPS14;FBL;RPL7A;RPS16;RPS19;RPL18A;NOB1;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RIOK1;RPS11;RPL39;RPS13;RPS9;RPL21;RPS7;IMP3;RPS8;RPL23;RPS5;RPL22;RPS6;GTF3A;RPL13A;IMP4;RPSA;RPS3A;DKC1;NOA1;MRTO4;RPL37A;RPL24;RPL27;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;EMG1;EXOSC4;RPS15A;PES1;RRS1;RPL14;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL19;RPL41;NPM1;RPP40;RPL23A;BYSL;RPS26;RCL1;RPS25;BOP1;RPS28;RPS27;GNL3L;LAS1L;RPS29;RPL27A;RPS20;RPS21;RPS24;RAN;RPL26L1;RPS23",92
"13","cytoplasmic translation (GO:0002181)","36/55",6.97551618004247e-16,2.73815838975052e-13,0,0,3.9489921842863,137.815701161181,"RPL4;RPL30;RPL31;RPLP1;RPLP0;RPL11;RPL10A;RPL8;RPL9;RPL6;RPL7;RPL18A;RPL36;RPS3;RPLP2;RPL38;RPL18;RPL39;RPL19;RPL41;RPS7;RPL22;RPS3A;FTSJ1;RPS26;RPS28;RPS29;RPL27A;MRTO4;RPL24;RPL22L1;RPS20;RPL29;RPS21;RPL26L1;RPS23",36
