"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","adipose_brown","72/456",0.694974085671104,1,0,0,0.952607763753274,0.34663559982537,"SLC25A1;MTCH2;AQP7;ETFA;DBI;SLC2A4;ECSIT;TSPAN12;CISD3;AIFM2;ME1;UQCRFS1;SLC25A42;SREBF1;ENDOG;ACSL1;TALDO1;MRPL47;NDUFC1;MRPS7;COX6B1;HADHA;ACLY;NDUFS8;SLC25A19;PPA1;CLPP;IVD;NDUFS5;PEX6;PCCB;TBC1D7;NDUFS3;UQCRC2;TKT;NDUFB9;RASL12;ECHS1;UQCRB;NDUFB6;NDUFB5;MRPS36;NDUFB3;DPT;UQCR10;COX5B;ACAT2;UQCRH;ACACA;DNAJC28;ACAT1;GRPEL1;PRKAR2B;GSC;CYC1;PCK1;PPARGC1B;TMEM120B;TRAP1;NDUFA6;PDHA1;IDH3G;PTGES2;DMRT2;TMEM120A;TYSND1;NR1D1;CS;NFIA;UQCRQ;NDUFAB1;NDUFAF1",72
"2","dendritic_cells_lymphoid_CD8a+","13/142",0.996223581977186,1,0,0,0.552333609500138,0.00208979104811245,"OPRD1;CTDP1;IDH2;ARID4A;SLCO5A1;CBFA2T3;KBTBD11;ATOX1;PSMB8;TXNDC17;CCDC88A;UCP2;FGFR4",13
"3","C3H_10T1_2","14/155",0.997682434796325,1,0,0,0.544932613243809,0.00126438257391518,"TBX1;FZD2;HMGCS1;OSR1;HCCS;LPAR4;NYNRIN;BMP4;MN1;NSDHL;MARCKS;NDUFS8;MASP1;EPHB3",14
"4","B-cells_GL7_positive_Alum","12/142",0.998371183016562,1,0,0,0.509846408769358,0.000831123547523459,"FCRLA;ACLY;SRPK3;BOP1;PTP4A3;PUF60;UQCRQ;SLC25A19;TSC22D3;EIF3H;COX5B;EMID1",12
"5","mammary_gland__lact","7/104",0.999163050503792,1,0,0,0.406079591599954,0.000340010415238664,"STAT5A;IRX1;HDAC3;CRABP2;IRX3;TXNIP;APLN",7
"6","uterus","10/141",0.999739364102136,1,0,0,0.427885283955372,0.000111536801045204,"OSR2;MAF;DLX5;DPT;IGFBP6;PROM1;SLC39A4;SOX4;MATN2;NKD2",10
"7","heart","64/568",0.99987244632572,1,0,0,0.679795211692478,8.67159075931239e-05,"SLC25A3;NDUFA12;ADK;CISD1;ETFA;HCCS;ALKBH7;MRPL4;STK11;UQCRFS1;ENDOG;MRPS23;KREMEN1;NDUFC1;COX6B1;HADHA;MRPL51;NDUFS8;NDUFS7;IVD;TMEM126A;PPIF;NDUFS3;UQCRC2;ALPK2;MASP1;SLC25A11;NDUFB9;NDUFB7;NDUFB6;NDUFB10;FBLIM1;NDUFB5;MRPS36;NDUFB11;NDUFB2;TIMM10;TRMT2B;COX5B;COX5A;DNAJC28;ACAT1;LDHB;APOO;POLR2E;POLR2F;RDH14;CYC1;NDUFA8;PDHA1;IQSEC2;MDH2;IDH3G;NDUFA3;GOT2;IDH2;MRPL28;COX6C;CS;COQ3;UQCRQ;NDUFAF4;NDUFAB1;NDUFAF1",64
"8","microglia","4/90",0.999908011255156,1,0,0,0.268141444612033,2.46671294971002e-05,"PRDX1;MRPL54;SAC3D1;DNAJC18",4
"9","lymph_nodes","4/90",0.999908011255156,1,0,0,0.268141444612033,2.46671294971002e-05,"UBE2D2;GPR182;TMEM173;JAK3",4
"10","common_myeloid_progenitor","3/80",0.999926538245211,1,0,0,0.226244343891403,1.66209170216273e-05,"RPUSD2;DNMT3B;SARM1",3
"11","mega_erythrocyte_progenitor","62/562",0.999926982546507,1,0,0,0.665582411448017,4.86009071527016e-05,"RPAIN;CUEDC2;RPL31;ADK;NUDT1;PHB2;THG1L;TOMM22;MRPL41;FRAT1;BCL7A;H2AFJ;TIMM17B;HIST1H1E;RIOK1;TIGD3;RPL21;CCDC34;MRPS23;TIMM22;FTSJ1;CCNE1;RPUSD2;CKS2;PPIF;RPL24;GEMIN5;TTLL12;SLC25A5;ABCB7;MRPL15;SDSL;MRPL13;FAM117B;PSMB4;RRS1;RPL14;HARS;DTD1;IGBP1;EIF2B4;TRAP1;ANKRD26;TMEM86B;UROS;RPP40;TYSND1;MRPL28;AMMECR1;B3GALT5;FAM136A;BYSL;RPIA;LYRM4;PQLC1;NDUFAF4;EIF3G;TOMM7;POLR3H;POLR3K;RPS21;NOP10",62
"12","ovary","10/153",0.999936463327895,1,0,0,0.394325653841225,2.50549357327958e-05,"HDDC2;GJA1;CFH;IDH1;ME1;STC1;HSD17B7;SOX4;CDK16;ZAR1",10
"13","adrenal_gland","20/245",0.999957907218731,1,0,0,0.492504694185366,2.07313286891613e-05,"SCARB1;SLC25A3;OCRL;BMP7;FAM117B;TBX3;FADS2;ACLY;RIMS4;TH;TFDP2;KLHDC8A;AIFM2;SMOC1;COBLL1;FDXR;ME1;RNF181;MAP2K5;FGFR2",20
"14","T-cells_CD8+","11/166",0.999958172161104,1,0,0,0.399789202057097,1.67226680749103e-05,"C1GALT1C1;MRPS15;RPS18;FAM78A;IGHMBP2;KCNK15;FKBP7;MRPL15;ITGAE;FARSA;CABIN1",11
"15","hippocampus","12/176",0.999961608598289,1,0,0,0.411353352529823,1.5792734956522e-05,"EPHA4;TTR;GPR12;LRRN2;KCNQ2;ARHGAP39;KCNAB2;LIN7B;ACTR3B;CAMKK1;ADD2;CDK5R1",12
"16","neuro2a","42/425",0.999969136682357,1,0,0,0.596220388607932,1.84016232078141e-05,"TDRKH;PRPS1;CRMP1;COX5B;HSD17B7;GTF2E2;ARVCF;EXOSC4;HLX;STC2;PMVK;H1FX;SOX4;UBQLN2;LMO1;RPL22;GOT2;APEX2;SMAD9;NAP1L1;SNHG7;ETV2;MRPL23;LSM4;YDJC;LSS;PGF;APRT;RPS25;UCK2;DDIT4;MRTO4;KCNQ2;SARM1;FLYWCH2;MVD;CIAPIN1;PFDN4;PAFAH1B3;SLC25A33;HMX2;EMID1",42
"17","dendritic_cells_myeloid_CD8a-","13/188",0.999971463105332,1,0,0,0.417188151856487,1.19054242191671e-05,"BTG2;HFE;TRAPPC5;TRAFD1;TSIX;SLCO5A1;CBFA2T3;ATOX1;CCDC88A;ZGLP1;RPUSD2;CD7;LPCAT2",13
