"","NA.1","NA.10","NA.11","NA.2","NA.3","NA.4","NA.5","NA.6","NA.7","NA.8","NA.9","NA."
"AC002347.1",0,2.7803098211669,0,0.343118619593612,0.52454025256678,2.03024203250825,1.28060809745888,2.7239040305322,0.818985470136525,0,1.54120878664385,1.52992324558284
"AC002504.1",0,0,0,0,0,0,0,2.58894804680558,1.48276964877497,0,0,0
"AC002524.1",4.08930511757667,6.4552065435482,4.03411337629393,6.75865543613447,3.56579670651208,6.18380589703009,3.98588395939174,7.04117226233176,4.25842768212217,6.76774096529519,3.71065076285281,7.36346503713981
"AC002540.1",0,0,0,0,0,0,0.363590995878797,1.54954298154339,0,1.04581443733933,0,0
"AC004023.1",0,0.807179315133995,0.245578866593363,0,0.183985431704092,0.364091935165764,0.288897892854343,1.85151780525529,0,0.270057900680536,0.306898182041879,1.11846357216106
"AC004069.1",0,1.24505105218913,0,0.724517621148211,0.512110340371227,1.1038009820642,0.158033692041473,2.32818368136193,0.168355034719523,2.04165684808723,0.245692463209227,1.55409700907359
"AC004383.1",0,2.46588729684394,0,3.59186645003079,0.864582967219634,3.1833833829856,1.22522019630378,4.30317614842943,0,3.45128802091731,0.778407630682591,2.65548843615355
"AC004817.4",1.3850159425248,1.55210943880396,0.920503563765424,1.38007925565888,2.49726558782468,1.64048285575348,1.83184960427192,3.53340243712115,1.49810813790432,1.55151291575567,1.55519538722107,1.4527514037666
"AC004832.6",0,0.614185334586642,0,0,0,0.559836883249494,0,3.51896559983922,0.666515492029088,2.02139871735794,0,0.569049255865307
"AC004847.1",0,0,0,0,0,0,1.38882635443232,2.43869663160944,0,0,0,0
"AC004890.1",0,4.82526502206479,0,4.15808861569944,0,4.21087351226928,0,5.33986835345071,0,5.54289159496725,0,4.86845358473363
"AC004941.1",0.153486084667741,0.516709863662147,0.762484098660097,0.619024032419256,1.06614356800812,0.864592704861774,0.873443363767968,2.26191575219588,0.817640108852229,0.351525837637556,0.764657212530439,1.13975655049675
"AC004990.1",0.878863690275775,0.750832374166171,0.623620849067737,0.541081804343343,0.919748771575219,0.0494281576390064,0.788099060274002,0.929782585127736,0.829518830721232,1.85772860029897,1.11478052740118,0.278928335998268
"AC005261.4",0,1.03732411025099,0,0.862625647347189,0,2.73143362231636,0,4.07618638938173,0,0,1.11405122181329,2.53470729020048
"AC005332.8",0,1.77157679214146,0,0.95505275890492,0.820849632226147,1.05548093484228,0.700126104410661,2.64388046972106,0,3.18900967930541,1.00129314745061,1.40590288706781
"AC005393.1",2.42678506239831,3.76922847902299,1.07609807804717,3.03792039976969,0.857885670331448,2.3221145054425,0.732992270976746,3.55563462184082,2.73621414434564,4.80987453117143,0.437168239797478,3.72693904105007
"AC005479.2",0,0.722579855863393,0,0,1.07091533965791,0,0,2.59138808328072,0,0,1.54515831683162,0
"AC005695.3",1.3639969658472,0,0,0,0,0,0,1.51989905360293,0,0,0,2.9265494955298
"AC005696.1",0,1.37916501075616,0,3.37949151851604,0.928788192221681,0.966152381984446,1.30624860789886,1.79744867137091,0.837905953107401,1.24346772900187,2.30369525555922,1.97006297589098
"AC005696.3",0.805938146852665,0,0,0,2.77255217151684,0,0.841835176379138,0,2.1337716805574,0,2.60475222693298,0
"AC005740.1",0,0,0.695978871444434,1.07934335564505,0,0,0,0.500849594556619,0,0.426406923397884,0,3.43056248671038
"AC005906.1",0,0,0,0.608232525055302,0,0,0,1.56333587384665,0,0,0,1.65564637077194
"AC006033.1",0,3.07974037926088,0,0,0,0,0,4.48286680750183,0,0,0.570675894002866,3.94333798909976
"AC006058.3",0.423945897449255,3.13360002674775,0,4.54129111547488,0,5.19966160510088,0.445407968605636,5.12291731391223,0.826565078574335,4.40261415895158,0.471679530677789,5.5840730087259
"AC006238.1",2.14375830932401,1.45896034743873,1.1454179291628,0,1.47347087157374,0,0.785823030781799,2.55302544185405,1.3495714827707,1.88332280011639,1.7322735388613,1.69206630352676
"AC006946.2",0.468539134472901,0,0,0.267249652176435,0.413973451284197,0.433728252169117,0.345808064738894,1.84000864844988,0.520457163873939,1.04884025589917,0.19509680377476,0.237383323804981
"AC006960.3",2.0383517582487,2.31456741641093,1.72039100202997,0.694310897619206,2.88616561460803,0,1.40345656343366,3.35322922287032,1.46425280372621,2.19051074922525,1.464238416957,3.31221564227718
"AC006963.1",0,2.88606915013731,0,0,0.293358209888241,2.60319838432471,0.795008958691214,3.20755050349726,0,1.43634136350069,0,2.28778942835838
"AC006967.3",0.415857366646462,0.118299579876006,0.374170863487855,1.04486560774749,0.283366077576088,0,1.04353412486495,1.37058788879143,0.812682527815303,0.57792316325712,0,0.553042635825236
