"","meanx","meany","tvalue","FC","logFC","pvalue","Contrast","adj.P.Val"
"1110060G06Rik",0,1.40658024673803,1.49877620897484,Inf,Inf,0.230877822638076,"NPCbyNSC",0.480455922378252
"1300014J16Rik",0,1.67379253253659,2.08795354871997,Inf,Inf,0.128026654376783,"NPCbyNSC",0.352914415176941
"1600023N17Rik",0,1.73293321852614,2.50200920559293,Inf,Inf,0.0875514578507801,"NPCbyNSC",0.284649356438181
"1700018G05Rik",0,1.03985913547783,1.67472453852375,Inf,Inf,0.192581799261638,"NPCbyNSC",0.436154006736869
"1700081N11Rik",0,1.89138470552913,2.95475415598022,Inf,Inf,0.0597955317665216,"NPCbyNSC",0.235120480178902
"1700101I11Rik",0,1.58047848216844,1.93220180542781,Inf,Inf,0.14884459648321,"NPCbyNSC",0.384123399223533
"2210008F06Rik",0,3.82899499705748,2.58046367814559,Inf,Inf,0.0817469188121058,"NPCbyNSC",0.274697710008834
"2310030G06Rik",0,1.62453992722428,2.79074631527517,Inf,Inf,0.0683764128662588,"NPCbyNSC",0.25037252910687
"3830422I06Rik",0,0.831399408046814,2.37985650490501,Inf,Inf,0.0976304850854816,"NPCbyNSC",0.302832021533648
"4632432E15Rik",0,0.871594516581788,5.7932973000557,Inf,Inf,0.0102321240994008,"NPCbyNSC",0.0960621556599869
"4930405N21Rik",0,0.969588439252487,1.73187143768504,Inf,Inf,0.181723081163474,"NPCbyNSC",0.426968827746134
"4930471G24Rik",0,0.942752140849463,1.73201110429831,Inf,Inf,0.18169741050357,"NPCbyNSC",0.426968827746134
"4930597O21Rik",0,1.14435081923477,2.16449604934836,Inf,Inf,0.119070741747357,"NPCbyNSC",0.338873057286837
"4933412A08Rik",0,2.35390025913332,1.51033533814394,Inf,Inf,0.228117627854851,"NPCbyNSC",0.477072232256826
"4933427E11Rik",0,2.01812248950453,1.63083006474827,Inf,Inf,0.201422451527618,"NPCbyNSC",0.447032233735571
"5430400D12Rik",0,1.5353418770907,2.84274530039587,Inf,Inf,0.0654984562992915,"NPCbyNSC",0.246033646696666
"A430110L20Rik",0,1.73097593187272,1.73174017951757,Inf,Inf,0.181747210128789,"NPCbyNSC",0.426968827746134
"A530099J19Rik",0,2.18583144305693,2.89606816870818,Inf,Inf,0.0627024512128994,"NPCbyNSC",0.240782245216394
"AC113305.1",0,3.54237169667773,2.72306992690086,Inf,Inf,0.0723618527562741,"NPCbyNSC",0.257834158663981
"AC154283.1",0,1.82972067693778,3.22667327800354,Inf,Inf,0.0483380100880562,"NPCbyNSC",0.208547975090536
"AC154636.1",0,2.33663064336094,1.72754257296822,Inf,Inf,0.182520780691748,"NPCbyNSC",0.426968827746134
"AC157572.4",0,4.09834905550764,6.67736221739877,Inf,Inf,0.00684946652100621,"NPCbyNSC",0.0794982590969697
"AC160930.2",0,0.891517342092528,2.70750901046129,Inf,Inf,0.0733186963175855,"NPCbyNSC",0.260347909760145
"AC163291.1",0,12.9691177141156,2.27181872202059,Inf,Inf,0.107744240135861,"NPCbyNSC",0.319953149028394
"AC166369.2",0,1.4338415311533,1.72604901603205,Inf,Inf,0.182796931689721,"NPCbyNSC",0.426968827746134
"AY074887",0,1.45542396398966,1.98002373199937,Inf,Inf,0.142054189394273,"NPCbyNSC",0.373994715274486
"Adra2c",0,3.31014788549386,11.382349512189,Inf,Inf,0.00145491334557937,"NPCbyNSC",0.0424633809292422
"Aldh3a1",0,1.71568313359976,2.46044601226069,Inf,Inf,0.0908315364353642,"NPCbyNSC",0.290840203077752
"Aplnr",0,1.59156873857,2.45694171211388,Inf,Inf,0.0911149101721386,"NPCbyNSC",0.291496863186288
"Atp5l-ps1",0,1.0801438084665,1.56079209726933,Inf,Inf,0.216487901559681,"NPCbyNSC",0.464187565699014
"B230119M05Rik",0,4.11856108851295,2.22142803110072,Inf,Inf,0.112893007227219,"NPCbyNSC",0.328735200130856
"B3gnt7",0,1.38167681480895,2.0914623388573,Inf,Inf,0.127598911687107,"NPCbyNSC",0.352152802561193
"BC030343",0,1.44024908012072,3.34079858840592,Inf,Inf,0.0443611156429919,"NPCbyNSC",0.200220616090385
"Baiap3",0,0.851309824408847,2.61932592481267,Inf,Inf,0.0790472884792603,"NPCbyNSC",0.270357617448924
"C630004L07Rik",0,1.22052315818196,1.69068388333218,Inf,Inf,0.189476857051683,"NPCbyNSC",0.433736346453902
"CT025533.1",0,2.07988060655049,5.53089220444439,Inf,Inf,0.0116465990054581,"NPCbyNSC",0.101551064203216
"CT030238.2",0,1.33798897004101,2.37977881633918,Inf,Inf,0.0976373330125688,"NPCbyNSC",0.302832021533648
"Ccl17",0,1.34654249995356,2.84625408366055,Inf,Inf,0.0653097469463469,"NPCbyNSC",0.245788044145801
"Cfap161",0,1.06466303185356,2.86837241364998,Inf,Inf,0.0641356692750462,"NPCbyNSC",0.243424035888349
"Crabp1",0,1.40386885996698,4.79318982364926,Inf,Inf,0.0172747231499167,"NPCbyNSC",0.122521435009907
"Crh",0,3.17404673007087,2.85522441289177,Inf,Inf,0.0648303797809144,"NPCbyNSC",0.244842617304693
"Cxcl5",0,1.56271395022313,2.93825674443296,Inf,Inf,0.0605953422510048,"NPCbyNSC",0.236863440667909
"D030025P21Rik",0,2.11275953912331,2.92595062877825,Inf,Inf,0.0612006936624959,"NPCbyNSC",0.238162029926215
"Doc2g",0,0.832313876460533,1.83598989483396,Inf,Inf,0.16369002655945,"NPCbyNSC",0.404972434923016
"E330011M16Rik",0,0.809843740984685,1.72454362487215,Inf,Inf,0.183075753118274,"NPCbyNSC",0.426974751841725
"Erich4",0,1.77584184976994,1.69513254351407,Inf,Inf,0.188621501387022,"NPCbyNSC",0.432875225873358
"Fam166b",0,2.29555952740948,2.9894042862178,Inf,Inf,0.058158285601617,"NPCbyNSC",0.231951470105248
"Fam205c",0,0.855338442684199,2.89524100618947,Inf,Inf,0.0627446724417677,"NPCbyNSC",0.240816104025505
"Fbll1",0,9.04526543658159,4.47665446016763,Inf,Inf,0.0207787395985912,"NPCbyNSC",0.1345794782451
"Fcer1a",0,1.53747763951925,2.08294925789105,Inf,Inf,0.128639662125453,"NPCbyNSC",0.353835158973225
"Gm10221",0,0.89774450753448,1.71126532363678,Inf,Inf,0.185556201980424,"NPCbyNSC",0.429373788991358
"Gm10244",0,3.7324312677996,2.93600100820866,Inf,Inf,0.0607057413542054,"NPCbyNSC",0.237065264150019
"Gm10443",0,1.85969513037633,2.63435553883971,Inf,Inf,0.0780327954780593,"NPCbyNSC",0.269177013403145
"Gm11221",0,1.15361564968659,1.69863728120052,Inf,Inf,0.18795072297485,"NPCbyNSC",0.432003603366177
"Gm11273",0,0.773766827674746,1.71989605250515,Inf,Inf,0.183939618735272,"NPCbyNSC",0.427476531896682
"Gm11274",0,6.12463944938652,4.37544184929318,Inf,Inf,0.0220913501500937,"NPCbyNSC",0.138104618574038
"Gm11592",0,1.27135905766405,3.37640199649229,Inf,Inf,0.043205963288268,"NPCbyNSC",0.196720054791903
