"","Gene","Category"
"1","Calb2","NPCbyNSC"
"2","Nhlh1","NPCbyNSC"
"3","Tac2","NPCbyNSC"
"4","Cd24a","NPCbyNSC"
"5","Id2","NPCbyNSC"
"6","Stmn2","NPCbyNSC"
"7","Neurod6","NPCbyNSC"
"8","Cldn3","NPCbyNSC"
"9","Rarres2","NPCbyNSC"
"10","Gal","NPCbyNSC"
"11","Serping1","NPCbyNSC"
"12","Entpd2","NPCbyNSC"
"13","Mal","NPCbyNSC"
"14","A330048O09Rik","NPCbyNSC"
"15","Id4","NPCbyNSC"
"16","Bhlhe22","NPCbyNSC"
"17","Neurod2","NPCbyNSC"
"18","Sept4","NPCbyNSC"
"19","Nrep","NPCbyNSC"
"20","Scrg1","NPCbyNSC"
"21","Car2","NPCbyNSC"
"22","Mog","NPCbyNSC"
"23","Frzb","NPCbyNSC"
"24","Nkain4","NPCbyNSC"
"25","Hist1h4h","NPCbyNSC"
"26","Cryab","NPCbyNSC"
"27","Cma1","NPCbyNSC"
"28","Chil1","NPCbyNSC"
"29","Fxyd1","NPCbyNSC"
"30","Stmn4","NPCbyNSC"
"31","Nhlh2","NPCbyNSC"
"32","6330403K07Rik","NPCbyNSC"
"33","Mobp","NPCbyNSC"
"34","Igfbpl1","NPCbyNSC"
"35","Opalin","NPCbyNSC"
"36","Hist3h2ba","NPCbyNSC"
"37","Hspa2","NPCbyNSC"
"38","1500015O10Rik","NPCbyNSC"
"39","Naaa","NPCbyNSC"
"40","Tspan2","NPCbyNSC"
"41","Aldoc","NPCbyNSC"
"42","Apod","NPCbyNSC"
"43","Cdc42ep2","NPCbyNSC"
"44","Enpp2","NPCbyNSC"
"45","Enc1","NPCbyNSC"
"46","Gm19439","NPCbyNSC"
"47","Cd200","NPCbyNSC"
"48","Dusp14","NPCbyNSC"
"49","Nanos1","NPCbyNSC"
"50","Dusp8","NPCbyNSC"
"51","Chst2","NPCbyNSC"
"52","Gstm1","NPCbyNSC"
"53","Plp1","NPCbyNSC"
"54","Ndufa4l2","NPCbyNSC"
"55","Cthrc1","NPCbyNSC"
"56","Lgi3","NPCbyNSC"
"57","Tpsb2","NPCbyNSC"
"58","S100a6","NPCbyNSC"
"59","Serpinb1a","NPCbyNSC"
"60","Cox4i2","NPCbyNSC"
"61","Cnp","NPCbyNSC"
"62","Zfas1","NPCbyNSC"
"63","Tbr1","NPCbyNSC"
"64","Ass1","NPCbyNSC"
"65","Efnb3","NPCbyNSC"
"66","Cldn11","NPCbyNSC"
"67","Clu","NPCbyNSC"
"68","Cnr1","NPCbyNSC"
"69","Tubb4a","NPCbyNSC"
"70","AA387200","NPCbyNSC"
"71","Pnck","NPCbyNSC"
"72","Mt3","NPCbyNSC"
"73","Sparc","NPCbyNSC"
"74","Rnd2","NPCbyNSC"
"75","Tmem88b","NPCbyNSC"
"76","Ly6g6e","NPCbyNSC"
"77","Olfml1","NPCbyNSC"
"78","Car14","NPCbyNSC"
"79","Rab3a","NPCbyNSC"
"80","Gstm6","NPCbyNSC"
"81","Cmtm5","NPCbyNSC"
"82","Pla2g16","NPCbyNSC"
"83","Agt","NPCbyNSC"
"84","Ppp1r14a","NPCbyNSC"
"85","Gpt","NPCbyNSC"
"86","Gm19935","NPCbyNSC"
"87","Snx32","NPCbyNSC"
"88","Tppp3","NPCbyNSC"
"89","Prrt1","NPCbyNSC"
"90","Magee2","NPCbyNSC"
"91","S100a1","NPCbyNSC"
"92","Fam84a","NPCbyNSC"
"93","Mir124a-1hg","NPCbyNSC"
"94","Mbp","NPCbyNSC"
"95","Fabp3","NPCbyNSC"
"96","Mcam","NPCbyNSC"
"97","Dcn","NPCbyNSC"
"98","Riiad1","NPCbyNSC"
"99","1700047M11Rik","NPCbyNSC"
"100","Cd81","NPCbyNSC"
"101","Selenom","NPCbyNSC"
"102","Tagln3","NPCbyNSC"
"103","S1pr3","NPCbyNSC"
"104","Gm11681","NPCbyNSC"
"105","Aplp1","NPCbyNSC"
"106","Ypel4","NPCbyNSC"
"107","Ptn","NPCbyNSC"
"108","Tspan7","NPCbyNSC"
"109","Car4","NPCbyNSC"
"110","Prdm8","NPCbyNSC"
"111","Dkk3","NPCbyNSC"
"112","Rab33a","NPCbyNSC"
"113","Eif4a2","NPCbyNSC"
"114","Itih3","NPCbyNSC"
"115","Gm45768","NPCbyNSC"
"116","Tctex1d4","NPCbyNSC"
"117","Ermn","NPCbyNSC"
"118","Rgs5","NPCbyNSC"
"119","Abca2","NPCbyNSC"
"120","Higd1b","NPCbyNSC"
"121","Ugt8a","NPCbyNSC"
"122","Fcor","NPCbyNSC"
"123","Mag","NPCbyNSC"
"124","Ctsk","NPCbyNSC"
"125","Myl9","NPCbyNSC"
"126","Vtn","NPCbyNSC"
"127","Gm9996","NPCbyNSC"
"128","Lpar1","NPCbyNSC"
"129","Gstp1","NPCbyNSC"
"130","Porcn","NPCbyNSC"
"131","Gng11","NPCbyNSC"
"132","Nacad","NPCbyNSC"
"133","Mt1","NPCbyNSC"
"134","Prdx6","NPCbyNSC"
"135","Snhg5","NPCbyNSC"
"136","Emp2","NPCbyNSC"
"137","Fam107a","NPCbyNSC"
"138","Vnn1","NPCbyNSC"
"139","Aspa","NPCbyNSC"
"140","Snhg1","NPCbyNSC"
"141","Frat1","NPCbyNSC"
"142","Slc22a8","NPCbyNSC"
"143","Plekhb1","NPCbyNSC"
"144","Phlda1","NPCbyNSC"
"145","Tmem59l","NPCbyNSC"
"146","Mcpt4","NPCbyNSC"
"147","Mturn","NPCbyNSC"
"148","Gm11637","NPCbyNSC"
"149","Ifitm1","NPCbyNSC"
"150","Gpm6a","NPCbyNSC"
"151","Slc14a1","NPCbyNSC"
"152","Rgs4","NPCbyNSC"
"153","Gm20208","NPCbyNSC"
"154","Gm15912","NPCbyNSC"
"155","Cspg5","NPCbyNSC"
"156","Paqr6","NPCbyNSC"
"157","Odf3b","NPCbyNSC"
"158","Gm9844","NPCbyNSC"
"159","Ccl27a","NPCbyNSC"
"160","Emx1","NPCbyNSC"
"161","Nupr1","NPCbyNSC"
"162","Tspan15","NPCbyNSC"
"163","Heyl","NPCbyNSC"
"164","Tppp","NPCbyNSC"
"165","Gjb6","NPCbyNSC"
"166","Neurod4","NPCbyNSC"
"167","Cystm1","NPCbyNSC"
"168","Pdlim2","NPCbyNSC"
"169","Gjc3","NPCbyNSC"
"170","Cd9","NPCbyNSC"
"171","Rwdd3","NPCbyNSC"
"172","Hist1h2bc","NPCbyNSC"
"173","Galr1","NPCbyNSC"
"174","Npdc1","NPCbyNSC"
"175","Ccdc153","NPCbyNSC"
"176","Slc22a4","NPCbyNSC"
"177","Gm17750","NPCbyNSC"
"178","Degs1","NPCbyNSC"
"179","Mir130a","NPCbyNSC"
"180","Cntn2","NPCbyNSC"
"181","Tmem125","NPCbyNSC"
"182","Snhg20","NPCbyNSC"
"183","Hopx","NPCbyNSC"
"184","Cpe","NPCbyNSC"
"185","Opn1sw","NPCbyNSC"
"186","Plppr3","NPCbyNSC"
"187","Gm38224","NPCbyNSC"
"188","Izumo4","NPCbyNSC"
"189","Celf3","NPCbyNSC"
"190","Cldn10","NPCbyNSC"
"191","Tmsb10","NPCbyNSC"
"192","Sfrp4","NPCbyNSC"
"193","Gm20083","NPCbyNSC"
"194","Dcx","NPCbyNSC"
