"","NPC","NSC","No_data","8","dentate_gyrus"
"0610009O20Rik",6.07228681560131,6.57842733247722,6.32535707403927,6.32535707403927,6.32535707403927
"0610030E20Rik",2.9561279024662,4.05130646995844,3.50371718621232,3.50371718621232,3.50371718621232
"0610040J01Rik",0.784866640245667,1.07943266449627,0.932149652370969,0.932149652370969,0.932149652370969
"1110002J07Rik",0.911144046631705,1.4079550385475,1.1595495425896,1.1595495425896,1.1595495425896
"1110025M09Rik",1.02917129289096,1.2950059617381,1.16208862731453,1.16208862731453,1.16208862731453
"1700001G11Rik",2.03070081642684,2.43087415443873,2.23078748543278,2.23078748543278,2.23078748543278
"1700001G17Rik",2.24540268138737,2.63370409420904,2.4395533877982,2.4395533877982,2.4395533877982
"1700007L15Rik",4.14678276847616,4.78464080110512,4.46571178479064,4.46571178479064,4.46571178479064
"1700010I14Rik",0.944489808357845,1.28359581327515,1.1140428108165,1.1140428108165,1.1140428108165
"1700017B05Rik",2.93447049491146,4.38990110360608,3.66218579925877,3.66218579925877,3.66218579925877
"1700017J07Rik",0.334840873824155,1.45777364320529,0.896307258514722,0.896307258514722,0.896307258514722
"1700028J19Rik",1.30714524675142,2.23463255930317,1.77088890302729,1.77088890302729,1.77088890302729
"1700037H04Rik",4.95047513448846,5.45561392653438,5.20304453051142,5.20304453051142,5.20304453051142
"1700067K01Rik",1.1477870378066,1.30864304721293,1.22821504250976,1.22821504250976,1.22821504250976
"1700084E18Rik",1.37268950903861,1.62075314537016,1.49672132720438,1.49672132720438,1.49672132720438
"1700086O06Rik",1.79285884552106,2.01293493397117,1.90289688974612,1.90289688974612,1.90289688974612
"1700097N02Rik",0.173614688839601,0.810571134422214,0.492092911630907,0.492092911630907,0.492092911630907
"1810011H11Rik",0.133474141324182,1.39106109203151,0.762267616677844,0.762267616677844,0.762267616677844
"1810012K16Rik",1.12811713214378,1.22897008970378,1.17854361092378,1.17854361092378,1.17854361092378
"1810019N24Rik",0.836144817901945,1.07732929666336,0.956737057282654,0.956737057282654,0.956737057282654
"1810059C17Rik",0.667859923914705,1.05175057970593,0.859805251810317,0.859805251810317,0.859805251810317
"1810062G17Rik",0.452047976174621,0.61142766224052,0.53173781920757,0.53173781920757,0.53173781920757
"2010007H06Rik",0.49151610716036,0.515657369631489,0.503586738395924,0.503586738395924,0.503586738395924
"2010008C14Rik",0.863665427743909,2.99076751971305,1.92721647372848,1.92721647372848,1.92721647372848
"2200002J24Rik",0,0.707920486696785,0.353960243348392,0.353960243348392,0.353960243348392
"2210016F16Rik",3.11649470264653,3.51921890312432,3.31785680288542,3.31785680288542,3.31785680288542
"2310022A10Rik",2.42950989944778,3.329880650809,2.87969527512839,2.87969527512839,2.87969527512839
"2310033P09Rik",4.44872827694912,4.78406414702669,4.6163962119879,4.6163962119879,4.6163962119879
"2310040G24Rik",2.81088953970884,3.20494750576696,3.0079185227379,3.0079185227379,3.0079185227379
"2310047D07Rik",0.0180117741915148,0.69670561801762,0.357358696104567,0.357358696104567,0.357358696104567
"2310074N15Rik",1.58276499517599,1.17745533893413,1.38011016705506,1.38011016705506,1.38011016705506
"2500002B13Rik",1.57723181387574,2.18555666598439,1.88139423993007,1.88139423993007,1.88139423993007
"2610017A05Rik",1.93684072471419,2.02971746536901,1.9832790950416,1.9832790950416,1.9832790950416
"2610042L04Rik",0.404993117896265,0.82715644947181,0.616074783684038,0.616074783684038,0.616074783684038
"2610316D01Rik",1.46792928114091,1.87430281898633,1.67111605006362,1.67111605006362,1.67111605006362
"2610507B11Rik",3.87759660825582,4.75888684056342,4.31824172440962,4.31824172440962,4.31824172440962
"2700033N17Rik",0.472409231163095,0.624340930485223,0.548375080824159,0.548375080824159,0.548375080824159
"2700038G22Rik",3.63652413643522,4.38163759040919,4.0090808634222,4.0090808634222,4.0090808634222
"2700046A07Rik",3.43625056946882,3.57678710534562,3.50651883740722,3.50651883740722,3.50651883740722
"2700099C18Rik",0.96362370443048,1.2240053259745,1.09381451520249,1.09381451520249,1.09381451520249
"2810006K23Rik",4.50898221883021,4.85693577089783,4.68295899486402,4.68295899486402,4.68295899486402
"2810025M15Rik",6.14078097598034,7.04898119639656,6.59488108618845,6.59488108618845,6.59488108618845
"2810402E24Rik",3.34298614373324,4.66555165866813,4.00426890120068,4.00426890120068,4.00426890120068
"2810408I11Rik",1.69798038272881,2.54777268864218,2.1228765356855,2.1228765356855,2.1228765356855
"2810414N06Rik",1.44994739172989,1.4206969550439,1.4353221733869,1.4353221733869,1.4353221733869
"2810428J06Rik",1.58006741877044,1.02586328808676,1.3029653534286,1.3029653534286,1.3029653534286
"3110031N09Rik",0.482234707641252,1.00386312583568,0.743048916738466,0.743048916738466,0.743048916738466
"3110062M04Rik",2.32671590095747,2.87495222310655,2.60083406203201,2.60083406203201,2.60083406203201
"3110082I17Rik",1.21600070790819,1.52944832600032,1.37272451695425,1.37272451695425,1.37272451695425
"3830403N18Rik",0.12747165062047,1.03384335491862,0.580657502769544,0.580657502769544,0.580657502769544
"4632415L05Rik",3.24572086040816,4.17226276891765,3.7089918146629,3.7089918146629,3.7089918146629
"4833411C07Rik",0.774131193914899,1.39632935212527,1.08523027302009,1.08523027302009,1.08523027302009
"4833445I07Rik",0.543454269799507,1.4802621375538,1.01185820367665,1.01185820367665,1.01185820367665
"4921501I09Rik",0.592503141702826,1.74996810853263,1.17123562511773,1.17123562511773,1.17123562511773
"4921504A21Rik",0.622263482622675,0.900591245808876,0.761427364215775,0.761427364215775,0.761427364215775
"4921507G05Rik",0.651894250730031,1.93501318760824,1.29345371916914,1.29345371916914,1.29345371916914
"4921522P10Rik",0.590674198794182,0.685847204949158,0.63826070187167,0.63826070187167,0.63826070187167
"4921534A09Rik",0.281224282340943,0.588541055877152,0.434882669109048,0.434882669109048,0.434882669109048
"4930426L09Rik",0.917809849839588,1.40950280201317,1.16365632592638,1.16365632592638,1.16365632592638
"4930430E12Rik",0.249230974858508,1.10809153672386,0.678661255791183,0.678661255791183,0.678661255791183
"4930432K21Rik",0.840197147831552,1.62333577249045,1.231766460161,1.231766460161,1.231766460161
"4930447K03Rik",0.48839328028197,0.672481130229364,0.580437205255667,0.580437205255667,0.580437205255667
"4930520O04Rik",0.994325577935474,1.94611904340488,1.47022231067018,1.47022231067018,1.47022231067018
"4930524J08Rik",1.01206994812732,1.64893166491336,1.33050080652034,1.33050080652034,1.33050080652034
"4930539J05Rik",0.497116163244372,0.961531083091097,0.729323623167734,0.729323623167734,0.729323623167734
"4930547M16Rik",0.291583860927921,0.696298634521928,0.493941247724924,0.493941247724924,0.493941247724924
"4930555A03Rik",0.48812196406495,1.25253735265858,0.870329658361765,0.870329658361765,0.870329658361765
"4930558J18Rik",0.88395271753204,2.51279078394238,1.69837175073721,1.69837175073721,1.69837175073721
"4930579G24Rik",5.21559353732261,6.12565463506869,5.67062408619565,5.67062408619565,5.67062408619565
