"","logFC","logCPM","LR","PValue","adj.P.Val","Contrast","FC"
"Gpx3",4.82531539067763,8.03463524716549,143.763405852709,4.0023850818726e-33,5.58372742772046e-29,"NSCbyNPC",28.3507577542266
"Calb2",-6.21973811751886,5.70754268234249,138.219164081985,6.52617376971996e-32,4.55233251306816e-28,"NSCbyNPC",0.0134175203132231
"Mmp9",6.11134691598337,6.36789435251149,130.478143117087,3.22058968699504e-30,1.49768155744226e-26,"NSCbyNPC",69.1351223273705
"Nhlh1",-6.7256714547938,4.57756613915399,129.378061086303,5.60565634718568e-30,1.95511279248969e-26,"NSCbyNPC",0.0094486802221371
"C1qc",4.80877242670726,9.35852811489374,127.31960061211,1.58141515816653e-29,4.41246457431625e-26,"NSCbyNPC",28.0275246216351
"Tac2",-5.68314174696871,5.43222402431412,125.874139584995,3.27616253813189e-29,7.61762392824634e-26,"NSCbyNPC",0.0194627347812153
"Cd24a",-4.66333044952697,7.39425376586541,124.49923300517,6.5504459203126e-29,1.3055038719183e-25,"NSCbyNPC",0.039463686733712
"Id2",-2.96107717182639,10.1550630290503,121.638353681577,2.76995103481243e-28,4.83044836083353e-25,"NSCbyNPC",0.12841831045908
"Stmn2",-6.26522255377915,4.71444646192691,119.090123382089,1.00077687337597e-27,1.55131535116313e-24,"NSCbyNPC",0.013001099492737
"Neurod6",-5.37211011750577,5.87203507465031,112.200106194403,3.23006972033108e-26,4.50627026683389e-23,"NSCbyNPC",0.0241453616477245
"Pla2g2d",5.27699414546627,6.97084495892196,108.220126107021,2.40524829831481e-25,2.92693889385822e-22,"NSCbyNPC",38.7733677890458
"C1qa",4.55275707591092,9.31493910433373,108.129628992379,2.51761642364695e-25,2.92693889385822e-22,"NSCbyNPC",23.4701812144252
"Csf1r",4.80914337989134,8.18439168273084,99.229584261093,2.24862748842515e-23,2.41312323777071e-20,"NSCbyNPC",28.0347321297865
"Tnfaip8l2",4.17003358169514,7.70064986378214,97.7657712286231,4.70917918215316e-23,4.69269705501562e-20,"NSCbyNPC",18.0013547687108
"Cldn3",-7.48570892854852,5.21033620157504,97.345488537673,5.82271695114405e-23,5.41551494569405e-20,"NSCbyNPC",0.0055792660789134
"Unc93b1",4.20443193195024,6.72694538052264,91.3663070467173,1.1939214141207e-21,1.04102485302487e-18,"NSCbyNPC",18.4357209664165
"Rarres2",-4.01873661348592,5.65585475682294,87.0845593077644,1.03979162611002e-20,8.53301939756527e-18,"NSCbyNPC",0.0616935462102897
"Aif1",4.32041343505661,7.41220070119343,86.5194279483399,1.38371276684729e-20,1.07245426723814e-17,"NSCbyNPC",19.9790133748458
"Gal",-7.70466000881723,4.48529036906866,86.0922221334952,1.71736969881373e-20,1.2610012983237e-17,"NSCbyNPC",0.00479364899945559
"Pld4",4.58182495826857,8.20421191053643,85.9271731086032,1.86685790463922e-20,1.30222673138109e-17,"NSCbyNPC",23.94786202591
"Maf",4.36612490439442,7.26252929529068,85.3576971989706,2.48990855895391e-20,1.65412925266505e-17,"NSCbyNPC",20.622179419559
"Cd53",4.42663426405145,6.29764839607847,85.0269423112585,2.94327100611261e-20,1.86643517301259e-17,"NSCbyNPC",21.5055073790763
