"","HCN_cells_in_iQNP_electroporated_with_empty_vector","HCN_cells_in_TAP_electroporated_with_empty_vector"
"1700092M07Rik",3.80036575861786,1.60754125820025
"AABR07000276.1",1.62768276010409,0.775221383754955
"AABR07000534.1",1.94745225973661,1.01944332198048
"AABR07000629.3",2.7548321673977,1.45707363895111
"AABR07001048.1",2.54260812136094,1.1414979793405
"AABR07001555.1",2.65682108280348,0
"AABR07002010.1",2.49301256089706,0.79983582798123
"AABR07002065.2",3.51069081214324,0.77787933090109
"AABR07002493.1",2.38512659984247,0.742373244425135
"AABR07002774.1",2.93281006086384,1.99371021478278
"AABR07002774.3",3.34323099026227,1.21011745332336
"AABR07002784.2",3.5433530472534,1.46854362837509
"AABR07002868.1",2.72184266976093,1.89258808648321
"AABR07002928.2",1.13987955239322,0.751275571596727
"AABR07002945.1",2.07851229316374,1.0969202796591
"AABR07003030.1",2.91572467183703,0
"AABR07003030.2",2.68205748675551,1.47610905100415
"AABR07003176.1",4.56168583245328,4.07951542680394
"AABR07004229.1",2.78538101063298,0.66126918362694
"AABR07004232.1",4.19208849458619,2.46554529315131
"AABR07004259.1",2.89396396098994,1.04796812928996
"AABR07004269.3",4.52921721408712,3.53023139794284
"AABR07004269.4",2.07084505641539,0
"AABR07004292.1",1.83213222236686,0.6629649556476
"AABR07004304.1",2.2585244760558,0.635342277056685
"AABR07004404.1",1.36722085743255,0.55492008583682
"AABR07004812.1",2.56180402652536,1.41550440238307
"AABR07005506.1",1.89663614683943,0.62784578315301
"AABR07005535.1",3.46365389294143,2.23646076143162
"AABR07005564.1",1.39688371467104,0.55118695325649
"AABR07005588.1",7.99262494400756,6.99051706077028
"AABR07005618.1",7.58653003520535,2.86982938682769
"AABR07005633.1",5.21591604372308,1.05429219595663
"AABR07005752.1",1.91661327546709,0.650351944569825
"AABR07005779.2",3.18612417506821,1.70850870406276
"AABR07005779.3",4.05117258186082,0.848710126172375
"AABR07005779.4",2.64599219351702,0.896068317816255
"AABR07005779.6",1.0485842638272,0.577485244434875
"AABR07005794.1",1.92078193413245,0.54915949579795
"AABR07005838.1",4.94712196312886,1.0903165310787
"AABR07005985.2",1.7750671238132,0.817559720056921
"AABR07006097.1",1.13600434338285,0.523797142269115
