"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Contrast","FC"
"Ngfr",7.37022799621956,4.13875173485331,3.54347205587752,0.000395792270476819,0.698463026257904,-3.12764738726737,"QNPbyTAP",165.447306710335
"Nog",7.36055331126319,4.11467335725833,3.53882064267702,0.000402827430590575,0.698463026257904,-3.13188795858129,"QNPbyTAP",164.341532076686
"Sparc",7.16466605410225,5.8212675070053,3.444641599341,0.000572985957535308,0.698463026257904,-3.21655037164506,"QNPbyTAP",143.47604321914
"Tnfrsf12a",6.86101075134771,4.60233527320754,3.29864963267706,0.000973201796831677,0.750937478770658,-3.34327658387922,"QNPbyTAP",116.24386374536
"AC099089.1",6.73360261942164,8.65238168826372,3.23739411176194,0.00120822588256759,0.775996836907182,-3.39481437088404,"QNPbyTAP",106.418312351274
"AABR07071891.2",6.59087936962802,7.74215308553257,3.16877535971966,0.00153312379670223,0.787644932599575,-3.45140008714368,"QNPbyTAP",96.3945295373442
"AC103090.1",6.57632642476722,4.78467675340234,3.16177856756188,0.00157042155836821,0.787644932599575,-3.45710181211252,"QNPbyTAP",95.4270536766894
"Anxa1",6.43396096717836,3.6125210609963,3.09333183552766,0.00198194521739421,0.946709165508632,-3.51221471363104,"QNPbyTAP",86.460002160889
"Ppp1r15a",6.26362490772366,4.99580875088972,3.01143734500503,0.00260337758044426,0.999980050201775,-3.57657078315752,"QNPbyTAP",76.8314410365452
"Sox9",6.26051009268796,3.53244115554564,3.00993979838315,0.00261624187016042,0.999980050201775,-3.57773154135709,"QNPbyTAP",76.6657389564434
"Hexim1",6.2512882225879,5.9391654009268,3.00550609035956,0.00265467000015944,0.999980050201775,-3.58116475233857,"QNPbyTAP",76.177245785043
"Gabarap",6.23191154093487,6.4139780746878,2.99619013296878,0.00273710007067877,0.999980050201775,-3.58836201051845,"QNPbyTAP",75.1609575108818
"Ahnak",6.02331335758132,5.79735957476335,2.89589990666923,0.00378481148153252,0.999980050201775,-3.66442853347158,"QNPbyTAP",65.0426150636232
"Smpd1",5.91279102826917,5.06301726755667,2.84276277364309,0.00447694971884958,0.999980050201775,-3.70368167272245,"QNPbyTAP",60.2458945912543
"AC134224.2",5.88619539306096,6.90987621281226,2.82997607420626,0.00465977209180395,0.999980050201775,-3.71301887626642,"QNPbyTAP",59.1454545267803
"Trmt112",5.88338098717014,7.04912820333999,2.82862295885716,0.00467950904265081,0.999980050201775,-3.71400449584135,"QNPbyTAP",59.0301861906165
"Mrpl43",5.81614946529814,5.0060778402612,2.79629926152382,0.00517406796841034,0.999980050201775,-3.73740919870023,"QNPbyTAP",56.342413721441
"Mesd",5.67843188989437,5.15869598910106,2.73008714701436,0.00633728335532032,0.999980050201775,-3.78451173402705,"QNPbyTAP",51.2127771427744
"Uqcc3",5.58768121756413,5.64482624838565,2.68645586835932,0.00722739601201357,0.999980050201775,-3.81493359068672,"QNPbyTAP",48.0905398869914
"Naa38",5.53428007394784,5.36494455532892,2.66078156625451,0.00780215496730268,0.999980050201775,-3.8326059158784,"QNPbyTAP",46.3430173272236
"AC109096.1",5.53146413338011,3.63264660839494,2.65942771306057,0.00783356966362823,0.999980050201775,-3.83353309975094,"QNPbyTAP",46.2526504073278
"Ifitm2",5.51254375974227,4.17749874933378,2.65033114029419,0.0080476006806836,0.999980050201775,-3.83975063382971,"QNPbyTAP",45.6500254607331
"Ppp1ca",5.51222035652998,5.74627521317588,2.65017565389049,0.00805130415934614,0.999980050201775,-3.8398567240602,"QNPbyTAP",45.6397934228746
"Tpp1",5.49481838055799,4.99694568467269,2.64180909920515,0.00825284852436295,0.999980050201775,-3.84555614609344,"QNPbyTAP",45.092587146324
"Eif1",5.4348445639509,6.18645848808655,2.61297477503763,0.00898248746947372,0.999980050201775,-3.86506043915712,"QNPbyTAP",43.2564859494756
"Gstp1",5.41600028743493,6.19204151682414,2.60391478838839,0.00922335667620239,0.999980050201775,-3.87114465733947,"QNPbyTAP",42.6951499360435
"Kazald1",5.40417719265175,4.13653648561373,2.59823045867707,0.00937740783092318,0.999980050201775,-3.87495117030242,"QNPbyTAP",42.3466868026049
"Nptx1",5.39912506170047,2.81654893712472,2.59580148567139,0.00944393258286864,0.999980050201775,-3.87657519594895,"QNPbyTAP",42.1986535446568
"Trappc1",5.39779147607406,5.97895944640537,2.59516032186971,0.0094615628685993,0.999980050201775,-3.87700362844846,"QNPbyTAP",42.159664351163
"Tax1bp3",5.38216097553573,4.13265485181884,2.58764546046985,0.00967040059293764,0.999980050201775,-3.8820172493059,"QNPbyTAP",41.7053619934132
"Zfp36",5.36513512039224,3.68599469026409,2.57945973786272,0.00990254868792878,0.999980050201775,-3.88746189853586,"QNPbyTAP",41.2160721915828
"Nr1d1",5.3616410720954,4.19103386782805,2.57777986276142,0.00995079969400494,0.999980050201775,-3.88857711681874,"QNPbyTAP",41.1163721897464
"Ndufb10",5.34569207278413,5.47479176246501,2.57011187292343,0.0101737174358376,0.999980050201775,-3.89365843642476,"QNPbyTAP",40.6643337815408
"Fam89b",5.33149688490672,5.00793193250232,2.56328708383992,0.0103758506973888,0.999980050201775,-3.89816826289121,"QNPbyTAP",40.2661849636274
"Slc25a11",5.31655261437596,4.74516696035684,2.55610214939171,0.0105925050209039,0.999980050201775,-3.90290311632023,"QNPbyTAP",39.8512373504353
"Rela",5.31134681542308,4.6076817764085,2.55359929559567,0.010668915630204,0.999980050201775,-3.9045493693424,"QNPbyTAP",39.7076978772356
"Chmp2b",5.2911366354275,3.98747680999749,2.5438826073066,0.0109702262152694,0.999980050201775,-3.91092524064372,"QNPbyTAP",39.1553254812491
"Vamp2",5.2770984045042,4.77719451186229,2.53713328028223,0.0111839474364562,0.999980050201775,-3.91533969065275,"QNPbyTAP",38.7761699197667
"AC106292.2",5.26217037221624,6.33229826992279,2.52995615288688,0.0114152649450024,0.999980050201775,-3.92002108044027,"QNPbyTAP",38.3770090306701
"Plekhg2",5.25182187313465,3.42286412577193,2.52498078206597,0.0115781032519986,0.999980050201775,-3.92325855806285,"QNPbyTAP",38.1027144181723
"Txndc17",5.21901722693496,5.20146709068378,2.50920890266533,0.0121080064405731,0.999980050201775,-3.93347921007108,"QNPbyTAP",37.2460938464225
"LOC691427",5.21188954495133,5.51117672295399,2.50578204233684,0.0122259454498073,0.999980050201775,-3.93569144953694,"QNPbyTAP",37.062532122636
"Slc25a10",5.18690486549188,4.0023561586298,2.49376986122996,0.0126474350533912,0.999980050201775,-3.94342214439809,"QNPbyTAP",36.4262068263954
"Plscr3",5.18610212232695,4.76561461878789,2.49338391686373,0.0126611880033477,0.999980050201775,-3.94366991115958,"QNPbyTAP",36.4059442247098
"Tmem223",5.17213535491751,4.55133821258262,2.48666894820175,0.0129026009709812,0.999980050201775,-3.94797461741969,"QNPbyTAP",36.0551978836067
"Grn",5.16469954040528,6.91747046968804,2.48309394333754,0.0130327817376612,0.999980050201775,-3.95026167913863,"QNPbyTAP",35.8698433677806
