"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","SmoothMuscle","90/363",2.65887323938939e-05,0.00223345352108708,0,0,1.50719686503052,15.8783536780113,"ITGB1;FKBP10;CLIC4;CDKN1A;SPARC;B4GALT1;KDELR1;FKBP14;GBE1;SERPINE1;DIRAS2;LAMC1;RND3;CYR61;CTGF;LACTB;GYS1;POFUT2;TUBB6;EFEMP2;LGALS1;ALCAM;SIPA1L1;TFG;CDH2;GUK1;RARS;PGM3;TNKS1BP1;TMED1;EMILIN1;RPS11;EIF5A;IL11;ATP6V0E1;FOXD1;TPM4;IGFBP4;CHPF2;SPHK1;HEG1;MYOF;TPM1;F2R;FNDC3B;RRAS2;WIPI1;CKAP4;ADAM19;RCN3;ALDH1A3;COL6A2;TAX1BP3;MXRA7;KDELR3;DBN1;RAI14;SHC1;THBS2;FSTL1;SUPT6H;PAPSS2;HSP90B1;LDHA;CALD1;STC2;SERPINH1;PGK1;CCL2;CD59;MYH10;PDLIM7;SEC31A;CBR3;NQO1;IL33;NPM1;SMURF2;GALNT2;PLK2;TPBG;BNIP3;TMEM132A;PARVA;ZFHX4;EXT1;EHD2;AXL;RPL27A;CD200",90
"2","Adipocyte","44/181",0.00409631967873954,0.172045426507061,0,0,1.47777460578683,8.12431171975408,"CLIC4;ACSS2;CSF1;RETSAT;ABHD4;ITGB5;LRP1;GBE1;COL12A1;LAMC1;OLFML2A;AGPAT2;FSTL1;TSKU;LIPE;CYB5R3;TK2;SLIT3;FADS1;PHLDA3;DUSP4;NQO1;DGAT2;TPM4;FZD4;MCAM;ADIPOQ;COPZ2;G0S2;PARVA;PRDX6;ACLY;EHD2;TMEM135;GPAM;SCD;COL6A2;GPD1;MXRA8;MVD;MFGE8;GAS6;RECK;RHOQ",44
"3","Heart","86/415",0.0121983512386744,0.341553834682883,0,0,1.25975024718937,5.55103212134934,"LGALS3BP;JRK;CUEDC2;HSPB6;FHOD1;WDR45;OPLAH;COX6A2;GYS1;SGCA;PPP1R13L;KIF1C;HOMER3;AP3S2;PDK2;SLC36A1;COX8A;ATPAF2;BCKDHA;GSTK1;DUSP3;TRAPPC2L;PPP1R16A;TPM1;ADAM11;TIMM22;NDUFC1;SEPT4;POMGNT1;COQ10A;FAHD2A;COX6B1;TOM1L2;DOK1;PTP4A3;NDUFS8;NDUFS7;ILVBL;SDHAF1;RARA;HAP1;ALDOA;CHMP6;MYL9;CRYAB;SLC25A11;HDAC5;CD151;NDUFB7;TSSC4;LIN37;NDUFB10;POLDIP2;TUBGCP2;NDUFB4;UQCR10;MRPL12;COX5B;NEU3;RRAS;BAG3;ASNA1;BNIP1;PACSIN3;SPTBN1;ESRRA;GADD45GIP1;SLC12A4;DMPK;GOT1;BAD;IDH2;VEGFB;KLHL21;NR2F2;SORBS1;FABP3;SMTN;G6PC3;TMEM115;ERCC1;NDUFAB1;HRC;DCHS1;CD68;CRAT",86
"4","Lung","64/299",0.0142827113617199,0.299936938596119,0,0,1.30119649083571,5.52840064662968,"LGALS3BP;BTG2;ARRB1;ETS2;CXCL16;TMEM100;AKAP13;HEY1;FLOT1;NUDT16;CTSD;DUSP1;TSC22D3;AIP;EMP2;ADAM15;COL6A2;PPP1R3D;KCTD14;GAS6;AVPI1;GRN;BRI3;NXN;MVP;LTBP4;LRP5;NEDD9;HIGD1B;APH1A;PDLIM1;RRAS;GRK5;ATOH8;SLIT3;RABAC1;SLC15A3;SLC19A1;SPTBN1;S100A10;PAK4;CYB5A;JUN;SLC12A4;FZD2;GADD45B;IRX5;BAD;ABCA3;NR1H2;STAT3;MCAT;ZZEF1;TBX2;EHD4;G6PC3;P2RX4;TMEM115;SP2;BHLHE40;KLF9;PXMP4;TACC2;LTBR",64
"5","CD33+_Myeloid","132/679",0.0200796366882386,0.337337896362408,0,0,1.18178440492231,4.61847145350485,"PLXND1;ZFAND5;INPPL1;IRS2;CWC25;TMEM143;ZFP36;TOM1;PPFIA1;CAPN2;CYP1B1;HOMER3;NUDT16;LGALS9;JUNB;IER2;MEF2A;TLE4;CAST;KDM2A;FBXW11;CSGALNACT2;JMJD6;ADAM15;TRIB1;STAM2;SF1;NOTCH2;TBC1D9B;BRI3;IQGAP1;MTMR6;CORO1B;TOR1AIP1;SULT1A1;TGOLN2;TMEM127;STK38L;ST3GAL6;SLC15A3;MAP2K6;SEC31A;EGR1;JUN;TOR1A;TREX1;TNFSF12;TNFSF13;HELZ;HSPBAP1;EIF1;MED13L;NFKBIA;PTPRE;MAVS;MAFB;SON;BCL6;ATG16L2;MAFG;CPD;PLEKHM1;TPP1;GRB2;CCDC22;CPEB3;XAF1;MYD88;PICALM;MTMR11;LRRK2;TCIRG1;NAGPA;BICD2;SCPEP1;AKAP13;RBM4;AKAP10;NKIRAS2;MLX;CASP1;PGM2;IKBKG;JAK2;SLC36A1;KDM6B;DUSP3;PLEKHG2;DUSP1;SPHK2;PDPK1;IFNGR2;TOP3A;SIRT7;FOS;GAB2;DDX52;ARAP1;CKAP4;PELI1;RBMS1;CD44;GAS7;HBEGF;PLEC;PPP1R15A;USP16;AHNAK;CEBPG;IGHMBP2;PRCP;NXF1;RBM15B;METTL9;PAK2;MLXIP;PEX16;MAP3K3;SLC31A2;IL10RB;NAGA;CFLAR;KLF4;GALNS;CLCN7;KLF6;IMPDH1;GLB1;SHKBP1;TAOK1;FOSB;YPEL2",132
"6","Colorectaladenocarcinoma","61/292",0.0263237016286055,0.368531822800477,0,0,1.26993379689387,4.61911184004612,"TOP2A;SLC48A1;ELL;ITGB5;KDELR1;FAM57A;PLOD3;AATF;IPO7;PTMS;ABHD11;TRIM28;CCND1;PPME1;ARHGDIA;OPA3;PSMD3;PPFIA1;SOX9;KPNA2;IER3;EIF5A;MIA;ITGA3;WDR74;ACTN4;DDX52;AXIN2;ETV4;TRAF7;WDR81;RABL3;ITGA6;TP53;PLEC;LAMA5;FLII;PRKRIP1;PTTG1IP;SLC1A5;EFNB1;IRAK1;LMNA;CTNNA1;TRIM47;MSX1;NGFR;TAF15;SMURF2;SPRY4;ASPSCR1;CDC6;SSH3;FOSL1;BAMBI;MGAT4B;CD9;SAE1;FGFR2;BCL2L1;WRAP53",61
"7","CD14+_Monocytes","75/383",0.0571802019109526,0.686162422931432,0,0,1.19041005658416,3.40641499394611,"FAM89B;ARRB1;IFI35;SNX11;LSP1;TCIRG1;NADSYN1;OSBPL11;LIPA;NUBP1;PIGX;PYCARD;NKIRAS2;MLX;TOM1;CASP1;CYP1B1;SIRPA;SH3BGRL3;TK2;LGALS9;IKBKG;JAK2;JUNB;NUP214;ATPAF2;WARS;TALDO1;CNPY3;ARAP1;JMJD6;DOK1;CTDSP1;ORAI3;S100A4;TLN1;RHOQ;STK40;CD44;GAS7;HBEGF;TSSC4;DHX8;AHNAK;BRI3;CEBPG;GLRX;TAPBPL;CORO1B;SULT1A1;TMEM127;DHRS7B;HMOX1;HS1BP3;MGAT2;SLC15A3;PAK2;ESRRA;MAP3K3;FZD2;TREX1;TNFSF12;MX2;TNFSF13;HPS1;NAGA;ARPC4;TM6SF1;OCEL1;MAFB;NAGK;GLB1;IMPDH1;SHKBP1;CD68",75
"8","WholeBlood","94/514",0.140804069705448,1,0,0,1.11172873818788,2.17941737800767,"IFITM2;FAM89B;WIPF2;PITPNA;PTEN;SNX11;LSP1;ARRB2;OSBPL11;BACH1;LITAF;BICD2;IFIT2;LIMD2;LACTB;PPP4R1;XPO6;SIRPA;FLOT2;HIST3H2BB;SH3BGRL3;SDF2;OSTF1;TRIM21;HIST1H2AC;NDEL1;PSENEN;KDM6B;TLE3;MAP2K4;G6PD;MORC3;IFNGR2;CSGALNACT2;RHOG;ARAP1;PARP9;COQ10B;KCTD7;RUFY1;DOK1;CTDSP1;ACOX1;IRF1;PPP1R3D;NINJ1;RARA;PELI1;S100A4;TLN1;KPNB1;TRIM11;STK40;PRR13;GLYR1;NOTCH2;NOTCH1;RAB5C;ABHD2;PXN;SUPT4H1;GLRX;IQGAP1;TOR1AIP1;PGS1;SEC14L1;TMEM127;ST3GAL6;SHOC2;FADD;PAK2;SLC19A1;CACNG4;VASP;STAT5B;CREBBP;TGFB1;SLC31A2;UBE2B;IL10RB;MX2;CFLAR;TM6SF1;BCL6;IMPDH1;CPD;GNB2;ZYX;PLEKHM1;CNOT8;LRP10;YPEL3;MAP3K11;PICALM",94
"9","CD71+_EarlyErythroid","100/553",0.160396350443002,1,0,0,1.09928161946168,2.01180335682977,"NARF;TFRC;ITSN1;CCNF;CPOX;MKI67;NUDT4;PNP;UROD;PPME1;RNF19A;BSG;CDC27;BTRC;USP7;KHNYN;LIG1;ACSL6;TALDO1;PRKAB1;MINPP1;PHOSPHO1;CDC34;TTPAL;PI4K2A;TSG101;FECH;NPRL3;MAZ;HMMR;LARP1;SEC14L1;PIP5K1B;ZBTB7A;HEXIM1;GADD45A;HPS1;IDH2;MAD2L1BP;MARCH8;CDC6;NTAN1;PRDX6;MARCH2;RCL1;SLC6A8;KIF18B;TMEM11;MAFG;TDRD12;UBE2O;BCL2L1;PICALM;BTG3;FEN1;PIGQ;AP2A1;WDR45;ACTR1A;GUK1;POLL;NDEL1;SLC36A1;ELOVL1;KLF13;CKAP2;PPP2R5B;AEN;WIPI1;BPGM;KIF22;TUBG1;EPN2;MED25;RAD51C;CAT;RAPGEF2;BLVRB;HAGH;PAFAH1B3;CHST2;HBEGF;KANK2;NAPA;SGMS1;HECTD3;TP53INP2;MXI1;AP2S1;STOM;E2F8;RRM1;ATAD5;PCGF5;FOXJ2;AP2B1;FAM104A;CCS;PRC1;RGS10",100
"10","CardiacMyocytes","49/273",0.273610463270798,1,0,0,1.0911074740862,1.41412967923204,"CLIC4;SPARC;SERPINE2;SERPINE1;ECE1;LAMC1;PRSS23;PVR;ZCCHC14;CTGF;CDH2;DPYSL3;HOMER3;PHLDA1;EIF5A;DNAI2;ATP6V0E1;TPM4;UNC5B;F2R;FNDC3B;KIF22;CKAP4;RABEP1;MAP1A;CAT;RARA;TUT1;RAB7A;FSTL1;TOR1AIP1;ACAN;NCLN;STC2;SERPINH1;STOM;ANKRD50;PDLIM7;GALNT2;PLK2;USP22;SORBS1;EXT1;AXL;PLEKHM1;TUBGCP5;MKRN3;BRWD1;CLUAP1",49
