"","HCN_cells_in_iQNP_electroporated_with_empty_vector","HCN_cells_in_TAP_electroporated_with_empty_vector"
"1700020N01Rik",1.01573152990697,1.9356635619603
"AA926063",0.666924285170645,3.56057002256454
"AABR07000147.1",0.851698098130844,1.47232321175
"AABR07000156.1",0.861315948487245,4.17226980427068
"AABR07000158.1",0.895258839412041,2.40015527762771
"AABR07000173.1",0.97705820605817,1.68914968248032
"AABR07000200.1",0.772189419967761,1.58020347159153
"AABR07000382.1",1.49109657749046,3.49033258556227
"AABR07000385.2",1.50701696471187,2.41159831836398
"AABR07000398.1",3.21717629849665,3.91427840142355
"AABR07000433.1",1.00593242512903,1.39549444800052
"AABR07000452.1",0.702174907688434,1.39517652179439
"AABR07000484.1",0.846469100330711,1.44576179475816
"AABR07000493.1",1.03245180527904,1.6608960354418
"AABR07000740.2",0.50730195093563,2.6794123184521
"AABR07000747.1",0.96412969436598,1.30988065214759
"AABR07000765.2",1.02321052241638,3.14042990936828
"AABR07000978.1",1.65584361363892,3.19851784286275
"AABR07000989.1",4.97924051302717,7.00417268232598
"AABR07001099.1",0.77041285807647,3.71240966487239
"AABR07001099.2",1.42201393455002,3.22469958648605
"AABR07001348.1",1.50920233383569,2.54192080211642
"AABR07001358.1",0.764248069159349,1.62487158932945
"AABR07001382.1",3.02836639845138,4.02347284081334
"AABR07001435.1",6.0237596159732,9.51585845437865
"AABR07001444.1",1.96134427582608,3.59110080929003
"AABR07001452.1",0,3.78168788406061
"AABR07001493.1",1.02550960294332,2.44852709249444
"AABR07001497.1",1.03899971862729,1.74708598175368
"AABR07001512.1",4.99496772947924,7.27826679773978
"AABR07001519.1",1.18325672120624,2.72960045452873
"AABR07001573.1",0.859902162317294,2.07128241379417
"AABR07001591.1",2.36785990210593,2.64375678494687
"AABR07001592.2",1.57182637830504,3.4564195606701
"AABR07001599.1",2.71369137016482,4.46763039991967
"AABR07001610.1",0.828818289528071,2.53968043123108
"AABR07001634.1",2.191960866509,4.19972918265907
"AABR07001662.1",4.07246014638999,5.76293452811947
"AABR07001700.1",1.10097321352972,3.01090698921617
"AABR07001734.1",3.77129872545092,5.10659043529365
"AABR07001799.1",0.647891839799553,1.11114839662426
"AABR07001807.1",1.92604369388685,3.29069862617245
"AABR07001896.1",4.29334774467519,5.43280242484989
"AABR07001905.2",2.0726582331944,3.73656283113417
"AABR07001910.1",2.79936673059609,3.88437152150207
"AABR07001923.1",6.39892698370723,7.53945648272649
"AABR07001926.1",1.44981922946975,3.24625560252623
"AABR07001926.2",0.765892321356068,2.56063705165135
"AABR07001926.3",5.64771803015164,7.36970614749818
"AABR07001929.1",1.51840287710639,3.07607829406862
"AABR07001942.1",0.745634406068976,2.42876393016334
"AABR07002247.1",3.59826911708939,4.83956729811577
"AABR07002258.1",0.906041911673401,2.27462971683632
"AABR07002337.1",1.0565173031181,2.852138457617
"AABR07002351.2",1.71251700940469,2.78642044894887
"AABR07002473.1",0.694343414442516,0.910553143687074
"AABR07002674.1",3.72469048021199,5.17848641712296
"AABR07002898.1",1.0337322562153,3.11208850301047
"AABR07003235.1",0.993377345739382,1.55474519345141
"AABR07004812.2",3.86491476545187,5.26599809047114
"AABR07005569.1",3.45736065112404,4.93709573842893
"AABR07005581.1",1.31393172825027,2.50524199845149
"AABR07006269.1",0.946867858516485,1.24787781452752
"AABR07006311.1",0.580762340834416,0.814558422473242
"AABR07006333.1",2.70387883489634,8.13051702976763
"AABR07007385.1",3.00460091376451,7.35853271630388
"AABR07007997.1",4.96973390378628,5.71750711625595
"AABR07008016.1",3.0837352888367,3.37903402403123
"AABR07008293.3",2.25766057572758,4.18482857106746
"AABR07008300.1",0.51836185554567,0.75214707724944
"AABR07008420.1",0.856253585926635,1.40026232297161
"AABR07008439.1",0.575936878761325,1.49081588749607
"AABR07008608.1",1.06654425630469,2.76783407056501
"AABR07008670.1",2.04904678396711,4.64945933665027
"AABR07008681.1",1.8142886103201,2.61450081974999
"AABR07009106.1",0.308440629090607,1.27382341619928
"AABR07009834.1",3.01540122728874,3.71781966422807
"AABR07010030.1",3.22030941371018,3.72013827386353
"AABR07010030.2",5.70462089034115,6.37803093110323
"AABR07010061.1",0.62185851401237,0.97573653207253
"AABR07010502.1",0.757502649131605,3.84483231219993
"AABR07010563.1",1.39141466071452,4.3138510288946
"AABR07010609.1",3.07737025621373,4.87902295492457
"AABR07010672.1",0.367018914125055,1.86380450624839
"AABR07010682.1",1.95909534512499,3.55501497121625
"AABR07011062.1",0.5773616234636,0.865431001505495
"AABR07011733.1",4.24980892102061,4.75237446461112
"AABR07011857.1",1.46052334881359,3.13058148030091
"AABR07012039.1",0.89210553178291,1.37894491425045
"AABR07012054.1",2.31423316927098,2.47913799231971
"AABR07012100.1",0.80310013519778,0.97374552814858
"AABR07012100.2",1.25700872666518,1.86281253872927
"AABR07012329.1",0.96890499162675,1.28590755391451
"AABR07012475.2",0.68987600929635,2.47148383270905
"AABR07012583.2",2.23903909996583,2.68247004564507
"AABR07012775.1",1.41114038123818,1.67165447058775
"AABR07013065.1",2.51015329965519,3.4745487284288
"AABR07013123.1",1.07954784762094,3.44947045964844
"AABR07013288.4",2.17401199694945,5.39812186248525
"AABR07014289.1",3.24738821895075,5.17156096914353
"AABR07014804.1",1.33683880451588,5.12569082443393
"AABR07014855.1",5.0140376015816,5.73516580275207
"AABR07014974.1",0.281618187444058,2.50171203630456
"AABR07015165.1",1.03002319521275,3.1698131166378
"AABR07015639.1",1.89794297022054,2.44297469992464
"AABR07015687.1",0.552471525783895,0.722648124604445
"AABR07015729.1",0.56121487814294,2.23187438415379
"AABR07016141.1",0.367216246303553,2.10994663833397
"AABR07017046.1",0.566119924728905,3.03188312315659
"AABR07017200.1",1.34785166385791,2.26841883499398
"AABR07017237.2",3.01626290942625,4.33616466154709
"AABR07018132.1",6.04766154729204,6.38904245248148
"AABR07018273.2",0.971923836461095,4.11034320701514
"AABR07018857.1",2.0732089328408,7.40237245379029
"AABR07020537.1",1.85415276901942,2.66529070894881
"AABR07021547.1",0.75815224450351,1.76835956901535
"AABR07021590.1",0.95095287040732,3.26337919212308
"AABR07021596.4",1.64119358655044,1.86118232313151
"AABR07021840.1",1.2322198417898,3.24785803286519
"AABR07021871.1",8.83808433224276,8.96836225729266
"AABR07021955.1",0.73314165184688,4.68652884474064
"AABR07024757.1",1.46290358578907,2.39755021583569
"AABR07024907.1",0.83066910127106,0.9693979490742
"AABR07024908.1",0.835060142914095,1.30988065214759
"AABR07025140.1",0.253678381767811,3.52918316476719
"AABR07025316.1",4.72865701353941,5.48812076159069
"AABR07025757.1",2.63701969275666,7.5634084135788
"AABR07026291.1",1.5741337646028,4.06318361453087
"AABR07026294.1",1.04274227278864,4.59191505454779
"AABR07026300.1",0.5389789163276,0.867525764223365
"AABR07026311.1",3.48307882849654,8.28582255560297
"AABR07026557.2",0.53445684278435,0.89537931412622
"AABR07026654.1",1.59427691596057,1.89124404184971
"AABR07026893.1",1.86240714524924,6.05793727561323
"AABR07027212.1",2.76197277196401,6.3023863611711
"AABR07027306.1",0.536494491639775,2.40161692258261
"AABR07027394.2",3.721054626367,4.68574268205952
"AABR07027575.1",3.6086628712273,7.26494307803191
"AABR07027693.1",0,3.49178450506971
"AABR07027753.2",3.63117996659809,7.37076153243722
"AABR07027753.3",0.58676645747032,5.41667073142107
"AABR07027753.4",2.57974242505599,7.9580070021883
"AABR07027854.1",2.12403754643812,6.13194791543176
"AABR07027870.2",0.51438777595227,2.28326777279467
"AABR07028185.1",4.27547586148104,5.28629098859384
"AABR07028414.1",2.31298396725232,3.96100054340276
"AABR07028491.1",0.78552532933568,1.17975269990418
"AABR07028558.1",0.54834998082537,0.6868055558184
"AABR07028615.1",0.52685470022304,2.21912447026002
"AABR07028749.1",0.66619618742904,0.78982643038164
"AABR07028769.1",1.16738313275957,2.44578091347369
"AABR07028776.1",0.78681411937143,1.5661467106935
"AABR07028805.1",1.41738133272047,5.44286130438118
"AABR07028872.1",1.12263775677311,1.50521401669228
"AABR07028902.1",0.537143758145335,2.16839206974841
"AABR07030145.1",0.516951949730755,0.8380960207082
"AABR07030162.1",0.54834998082537,0.87995608262596
"AABR07030603.1",6.24628333294288,7.36288950425475
"AABR07030647.1",0,4.10342361792109
"AABR07030791.1",1.64823274877668,2.32688286149574
"AABR07030890.1",1.15330783967801,1.30719125319911
