"","HCN_cells_in_iQNP_electroporated_with_empty_vector","HCN_cells_in_TAP_electroporated_with_empty_vector"
"1700020N01Rik",1.01573152990697,1.9356635619603
"1700092M07Rik",3.80036575861786,1.60754125820025
"AA926063",0.666924285170645,3.56057002256454
"AABR07000147.1",0.851698098130844,1.47232321175
"AABR07000156.1",0.861315948487245,4.17226980427068
"AABR07000158.1",0.895258839412041,2.40015527762771
"AABR07000173.1",0.97705820605817,1.68914968248032
"AABR07000200.1",0.772189419967761,1.58020347159153
"AABR07000276.1",1.62768276010409,0.775221383754955
"AABR07000382.1",1.49109657749046,3.49033258556227
"AABR07000385.2",1.50701696471187,2.41159831836398
"AABR07000398.1",3.21717629849665,3.91427840142355
"AABR07000433.1",1.00593242512903,1.39549444800052
"AABR07000436.1",2.16684027815347,2.01145565290597
"AABR07000452.1",0.702174907688434,1.39517652179439
"AABR07000484.1",0.846469100330711,1.44576179475816
"AABR07000493.1",1.03245180527904,1.6608960354418
"AABR07000534.1",1.94745225973661,1.01944332198048
"AABR07000629.3",2.7548321673977,1.45707363895111
"AABR07000740.2",0.50730195093563,2.6794123184521
"AABR07000747.1",0.96412969436598,1.30988065214759
"AABR07000765.2",1.02321052241638,3.14042990936828
"AABR07000978.1",1.65584361363892,3.19851784286275
"AABR07000989.1",4.97924051302717,7.00417268232598
"AABR07001048.1",2.54260812136094,1.1414979793405
"AABR07001099.1",0.77041285807647,3.71240966487239
"AABR07001099.2",1.42201393455002,3.22469958648605
"AABR07001100.1",0.709290221405315,0.758830328335585
"AABR07001348.1",1.50920233383569,2.54192080211642
"AABR07001358.1",0.764248069159349,1.62487158932945
"AABR07001382.1",3.02836639845138,4.02347284081334
"AABR07001435.1",6.0237596159732,9.51585845437865
"AABR07001444.1",1.96134427582608,3.59110080929003
"AABR07001452.1",0,3.78168788406061
"AABR07001493.1",1.02550960294332,2.44852709249444
"AABR07001497.1",1.03899971862729,1.74708598175368
"AABR07001512.1",4.99496772947924,7.27826679773978
"AABR07001519.1",1.18325672120624,2.72960045452873
"AABR07001555.1",2.65682108280348,0
"AABR07001573.1",0.859902162317294,2.07128241379417
"AABR07001591.1",2.36785990210593,2.64375678494687
"AABR07001592.2",1.57182637830504,3.4564195606701
"AABR07001599.1",2.71369137016482,4.46763039991967
"AABR07001610.1",0.828818289528071,2.53968043123108
"AABR07001634.1",2.191960866509,4.19972918265907
"AABR07001662.1",4.07246014638999,5.76293452811947
"AABR07001700.1",1.10097321352972,3.01090698921617
"AABR07001734.1",3.77129872545092,5.10659043529365
"AABR07001799.1",0.647891839799553,1.11114839662426
"AABR07001807.1",1.92604369388685,3.29069862617245
"AABR07001896.1",4.29334774467519,5.43280242484989
"AABR07001905.1",0.566125871225758,0.696883821500653
"AABR07001905.2",2.0726582331944,3.73656283113417
"AABR07001910.1",2.79936673059609,3.88437152150207
"AABR07001923.1",6.39892698370723,7.53945648272649
"AABR07001926.1",1.44981922946975,3.24625560252623
"AABR07001926.2",0.765892321356068,2.56063705165135
"AABR07001926.3",5.64771803015164,7.36970614749818
"AABR07001929.1",1.51840287710639,3.07607829406862
"AABR07001942.1",0.745634406068976,2.42876393016334
"AABR07002010.1",2.49301256089706,0.79983582798123
"AABR07002065.2",3.51069081214324,0.77787933090109
"AABR07002247.1",3.59826911708939,4.83956729811577
"AABR07002258.1",0.906041911673401,2.27462971683632
"AABR07002337.1",1.0565173031181,2.852138457617
"AABR07002351.2",1.71251700940469,2.78642044894887
"AABR07002473.1",0.694343414442516,0.910553143687074
"AABR07002493.1",2.38512659984247,0.742373244425135
"AABR07002564.1",6.14168502658159,6.62356262152506
"AABR07002674.1",3.72469048021199,5.17848641712296
"AABR07002768.1",7.05186767984074,6.77206763623376
"AABR07002774.1",2.93281006086384,1.99371021478278
"AABR07002774.2",3.33457980857473,3.10825670839553
"AABR07002774.3",3.34323099026227,1.21011745332336
"AABR07002774.4",5.94894164970533,5.79080425488316
"AABR07002784.1",4.36910345121844,4.38877744964091
"AABR07002784.2",3.5433530472534,1.46854362837509
"AABR07002868.1",2.72184266976093,1.89258808648321
"AABR07002882.1",0.600629242505893,0.5018884365259
"AABR07002898.1",1.0337322562153,3.11208850301047
"AABR07002928.2",1.13987955239322,0.751275571596727
"AABR07002945.1",2.07851229316374,1.0969202796591
"AABR07003030.1",2.91572467183703,0
"AABR07003030.2",2.68205748675551,1.47610905100415
"AABR07003176.1",4.56168583245328,4.07951542680394
