"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","Cell cycle_Homo sapiens_hsa04110","74/124",1.13982904782785e-15,3.3396991101356e-13,0,0,2.32343466438928,79.9445031784844,"RB1;MCM7;CCNH;YWHAB;BUB1B;CDC14A;CDC14B;CDC20;CDC23;YWHAQ;CDC26;CHEK2;MYC;SKP2;YWHAG;YWHAH;ANAPC7;CDC25C;SMC1A;CDC25A;CDC25B;RBX1;RBL2;CCNA1;TFDP1;RBL1;CCNE2;TFDP2;ESPL1;MCM3;ANAPC4;MCM4;ANAPC5;MCM5;MCM6;MAD1L1;MCM2;HDAC2;PCNA;PRKDC;CUL1;TTK;ANAPC10;ORC5;ORC4;CCNB1;FZR1;ORC6;ORC1;RAD21;ORC3;ORC2;E2F3;E2F4;E2F5;BUB1;SMAD2;ZBTB17;SMAD4;CDKN2C;CDKN2A;CDC7;GADD45G;MAD2L2;CDK7;STAG2;CDK4;CDC16;CDK2;MDM2;CDK1;ATM;ATR;MAD2L1",74
"2","RNA degradation_Homo sapiens_hsa03018","45/77",1.13617994302214e-09,1.66450361652744e-07,0,0,2.27531860780839,46.8615385597725,"ZCCHC7;DDX6;DIS3L;WDR61;ENO1;HSPD1;EDC4;EXOSC7;EXOSC6;EXOSC10;EXOSC4;EXOSC9;EXOSC8;DHX36;EXOSC3;EXOSC2;DCPS;HSPA9;TTC37;CNOT6L;PNPT1;DIS3;PABPC4;LSM1;CNOT10;LSM5;LSM4;LSM3;CNOT4;PAN2;LSM8;PFKL;LSM7;CNOT7;PAN3;XRN1;CNOT1;CNOT2;XRN2;C1D;CNOT3;SKIV2L;DCP1A;PFKP;DCP1B",45
"3","Spliceosome_Homo sapiens_hsa03040","65/134",1.0493404927122e-08,1.02485588121558e-06,0,0,1.88855217779121,34.6974605410132,"ISY1;TCERG1;DDX46;HNRNPU;USP39;PQBP1;SNRPD1;MAGOH;DHX15;TXNL4A;CTNNBL1;BCAS2;RBM17;NCBP1;BUD31;THOC1;PRPF40A;THOC2;PRPF4;RBMXL1;PRPF6;PRPF18;PRPF3;SRSF3;SNRNP27;PPIE;SRSF4;SNRPE;RP9;SNRPF;SRSF5;SRSF6;SRSF7;SRSF9;SF3B5;SF3B3;RBM8A;DDX23;ZMAT2;U2AF2;TRA2B;TRA2A;SNRPB2;HNRNPA1;SF3B1;SRSF10;SF3A3;PRPF38B;HNRNPA3;PRPF38A;CWC15;LSM5;MAGOHB;LSM4;LSM3;U2SURP;HNRNPM;LSM8;LSM7;SNRNP40;HNRNPK;PHF5A;ACIN1;PRPF31;RBMX",65
"4","Ubiquitin mediated proteolysis_Homo sapiens_hsa04120","66/137",1.14786689113104e-08,8.40812497753486e-07,0,0,1.87561543631504,34.2914557613023,"UBE3C;UBE2D2;UBE2D3;KEAP1;UBE2D1;UBE2L6;UBE2L3;CDC20;HERC4;HERC3;CDC23;HERC1;UBE2Q1;CDC26;FBXO4;SKP2;PIAS3;FBXW8;ANAPC7;FBXW7;UBE2E3;UBE4A;UBE4B;PIAS2;RBX1;PIAS1;ANAPC4;ANAPC5;BIRC6;BIRC2;CUL5;UBA7;UBA6;CUL3;CUL2;CUL1;NEDD4L;XIAP;KLHL13;UBE2J2;CBL;ANAPC10;RHOBTB1;UBE2J1;FZR1;UBR5;UBE2F;UBE2H;UBE2C;SMURF1;SIAH1;HUWE1;WWP1;WWP2;PML;UBOX5;ITCH;UBE2S;NEDD4;CDC16;UBA3;MDM2;UBA1;TRIP12;UBE2K;CUL4B",66
"5","mRNA surveillance pathway_Homo sapiens_hsa03015","45/91",9.34692101476524e-07,5.47729571465243e-05,0,0,1.92526959122248,26.7286114284243,"HBS1L;DAZAP1;NXT1;RBM8A;RNMT;CSTF3;MSI1;PPP2R2A;SMG7;PPP1CB;PNN;PPP1CC;PPP2CB;PPP2R1B;PABPN1;FIP1L1;PPP2R5E;PPP2R1A;CLP1;PPP2R3C;PAPOLG;MAGOH;PAPOLA;CSTF1;UPF2;CPSF4;CPSF6;RNGTT;NCBP1;PABPC4;CPSF3;CPSF2;SSU72;UPF3B;PPP2R5D;PPP2R5C;PPP2R3A;MAGOHB;SRRM1;WDR33;NUDT21;WDR82;PPP2R2B;ACIN1;ETF1",45
"6","RNA transport_Homo sapiens_hsa03013","73/172",1.16695255467785e-06,5.69861830867683e-05,0,0,1.65239869437868,22.5736083605517,"EIF4A2;POP5;NUP107;NXT1;NUP188;POP1;GEMIN2;FMR1;PNN;XPO1;SUMO1;SUMO3;MAGOH;XPO5;EIF2B1;RPP38;UPF2;NDC1;EIF5B;PRMT5;NCBP1;NUP133;EIF1AX;PABPC4;ELAC1;THOC1;THOC2;THOC5;SENP2;THOC7;SRRM1;NUP93;EEF1A1;STRAP;GEMIN6;NUP54;GEMIN8;EIF1B;NUP205;POM121;RBM8A;NMD3;AAAS;NUP160;FXR1;TGS1;TPR;EIF4EBP1;EIF4EBP2;RPP14;RAE1;EIF4E;EIF4B;PAIP1;EIF2B4;NUP155;RPP40;UPF3B;NUP153;EIF2S2;MAGOHB;EIF2S1;EIF2S3;XPOT;EIF3J;TACC3;NUP35;ACIN1;NUPL2;EIF4G3;RAN;EIF4G1;NUP37",73
"7","DNA replication_Homo sapiens_hsa03030","23/36",1.54018624812587e-06,6.44677958144116e-05,0,0,2.48740077433868,33.2903949338923,"RFC5;PRIM2;RNASEH2B;RNASEH2A;PCNA;RFC4;MCM7;RFC1;RFC2;PRIM1;RPA2;POLE4;POLA1;RPA3;POLE2;POLD2;MCM3;MCM4;MCM5;MCM6;SSBP1;POLE;MCM2",23
"8","Nucleotide excision repair_Homo sapiens_hsa03420","25/47",5.15864120467692e-05,0.00188935234121292,0,0,2.0709164633717,20.44460972043,"PCNA;CCNH;CETN2;XPA;XPC;POLD2;POLE;RFC5;RFC4;RFC1;RFC2;RPA2;RAD23A;GTF2H2;GTF2H3;RAD23B;GTF2H5;RBX1;POLE4;CDK7;RPA3;POLE2;ERCC6;MNAT1;CUL4B",25
"9","Basal transcription factors_Homo sapiens_hsa03022","24/45",6.86407750944313e-05,0.00223463856696315,0,0,2.07643890727402,19.9060386698956,"GTF2A1;GTF2A2;TBP;CCNH;TAF13;GTF2B;TAF11;GTF2H2;GTF2H3;GTF2F2;GTF2E2;TAF5L;GTF2H5;CDK7;TAF8;TBPL1;TAF4B;TAF7;TAF6;TAF9B;MNAT1;TAF2;GTF2I;TAF1",24
"10","Ribosome biogenesis in eukaryotes_Homo sapiens_hsa03008","39/89",0.000150520780837781,0.004410258878547,0,0,1.70606286622936,15.0157577557569,"RBM28;POP5;NXT1;POP1;NVL;WDR3;NAT10;NMD3;PWP2;SPATA5;AK6;WDR43;XPO1;BMS1;GAR1;DROSHA;RIOK2;RIOK1;UTP14A;RPP38;UTP15;NOP56;WDR36;NOP58;REXO1;CSNK2A1;IMP3;CSNK2A2;RPP40;WDR75;IMP4;REXO2;GTPBP4;GNL3;LSG1;GNL3L;XRN1;XRN2;RAN",39
