"","Gene","Category"
"1","NAT16","QGBCbyPGBC"
"2","TRIM73","QGBCbyPGBC"
"3","REM2","QGBCbyPGBC"
"4","LST1","QGBCbyPGBC"
"5","RF00593","QGBCbyPGBC"
"6","BCL6","QGBCbyPGBC"
"7","AC117498.3","QGBCbyPGBC"
"8","MIR27A","QGBCbyPGBC"
"9","BAIAP3","QGBCbyPGBC"
"10","AL590004.4","QGBCbyPGBC"
"11","RNU2-19P","QGBCbyPGBC"
"12","VGF","QGBCbyPGBC"
"13","AC044860.2","QGBCbyPGBC"
"14","C20orf204","QGBCbyPGBC"
"15","AC021755.3","QGBCbyPGBC"
"16","ZNF603P","QGBCbyPGBC"
"17","AC069209.1","QGBCbyPGBC"
"18","COX6B2","QGBCbyPGBC"
"19","AC018635.2","QGBCbyPGBC"
"20","AL133367.1","QGBCbyPGBC"
"21","DDB2","QGBCbyPGBC"
"22","C1orf162","QGBCbyPGBC"
"23","SSPO","QGBCbyPGBC"
"24","NLRP6","QGBCbyPGBC"
"25","CA14","QGBCbyPGBC"
"26","CNTD2","QGBCbyPGBC"
"27","SUMO2P15","QGBCbyPGBC"
"28","AC026954.1","QGBCbyPGBC"
"29","MYO15B","QGBCbyPGBC"
"30","FUT3","QGBCbyPGBC"
"31","GDF15","QGBCbyPGBC"
"32","AC024592.2","QGBCbyPGBC"
"33","OVGP1","QGBCbyPGBC"
"34","OR13J1","QGBCbyPGBC"
"35","AC010335.1","QGBCbyPGBC"
"36","AL133215.3","QGBCbyPGBC"
"37","UNC13D","QGBCbyPGBC"
"38","LTB","QGBCbyPGBC"
"39","ARID3C","QGBCbyPGBC"
"40","MAFA-AS1","QGBCbyPGBC"
"41","MICF","QGBCbyPGBC"
"42","PKD1L2","QGBCbyPGBC"
"43","LINC02473","QGBCbyPGBC"
"44","MIR23A","QGBCbyPGBC"
"45","MCFD2P1","QGBCbyPGBC"
"46","PURPL","QGBCbyPGBC"
"47","LGI4","QGBCbyPGBC"
"48","AC009163.6","QGBCbyPGBC"
"49","GRIN2D","QGBCbyPGBC"
"50","AC020904.2","QGBCbyPGBC"
"51","ACHE","QGBCbyPGBC"
"52","NALT1","QGBCbyPGBC"
"53","ACAP1","QGBCbyPGBC"
"54","RASD2","QGBCbyPGBC"
"55","LBX2","QGBCbyPGBC"
"56","AC105118.1","QGBCbyPGBC"
"57","AOC2","QGBCbyPGBC"
"58","FTCD","QGBCbyPGBC"
"59","AOC3","QGBCbyPGBC"
"60","AC127496.2","QGBCbyPGBC"
"61","TCTEX1D4","QGBCbyPGBC"
"62","PLA2G2F","QGBCbyPGBC"
"63","MIR1302-3","QGBCbyPGBC"
"64","PPP1R32","QGBCbyPGBC"
"65","POU6F1","QGBCbyPGBC"
"66","AC135506.1","QGBCbyPGBC"
"67","TMEM225B","QGBCbyPGBC"
"68","ASPDH","QGBCbyPGBC"
"69","HMGB3P17","QGBCbyPGBC"
"70","AC136475.3","QGBCbyPGBC"
"71","SYPL2","QGBCbyPGBC"
"72","RNF208","QGBCbyPGBC"
"73","FAXDC2","QGBCbyPGBC"
"74","AC102953.1","QGBCbyPGBC"
"75","AC136475.9","QGBCbyPGBC"
