"","Glioblastoma_cancer_stem_cell"
"AAED1",3.07695606081983
"AAGAB",3.59833470595547
"AAK1",2.08083147926926
"AAMP",6.92087116043724
"AAR2",3.69227579584729
"AASDH",2.35187550206186
"AASDHPPT",2.08988712643097
"AATF",2.71560277699004
"ABCB10",2.89186009686581
"ABCB8",4.56995008992825
"ABCC1",1.98442443476326
"ABCC2",0.963917276292715
"ABCC4",1.31816944051908
"ABCC6",0.317792941862528
"ABCC6P2",0.2475876452254
"ABCD1",2.01918562032315
"ABCD3",3.49361608996087
"ABCE1",2.69600214116418
"ABCF1",5.05121253712814
"ABHD13",3.91018577286233
"ABHD17C",1.89241480931775
"ABHD3",3.06809572606177
"ABHD5",2.69230631968684
"ABL2",2.97885682143881
"ABRACL",3.64296128914578
"ABRAXAS2",2.98870316355254
"ABT1",5.34240884551401
"AC000403.1",1.08415643323802
"AC002401.4",3.49771363285726
"AC002504.1",0.733615482753832
"AC002524.1",5.41505411637624
"AC003035.2",0.583278667954651
"AC003101.2",0.630800546383385
"AC004383.1",2.44644891276182
"AC004477.3",2.8382262174697
"AC004552.1",0.570293571264553
"AC004556.1",0.417581463675683
"AC004816.1",1.33723190980822
"AC004825.2",2.32442661118416
"AC004854.2",1.96806359392444
"AC004890.1",1.84012254956037
"AC005013.1",1.10262275246393
"AC005180.1",0.558086675421216
"AC005180.2",0.834422258334329
"AC005224.1",1.84227875095077
"AC005225.4",1.02718943736474
"AC005336.1",0.834008671898614
"AC005498.2",0.619123439206408
"AC005674.2",1.40961407921575
"AC005695.3",0.441196653954348
"AC005722.2",1.20361819705164
"AC005722.3",0.604247737385585
"AC005736.1",1.10062642507369
"AC005837.1",1.43063825007445
"AC005840.1",0.503587131264671
"AC006058.1",0.636683751645982
"AC006058.3",0.281905276323365
"AC006058.4",0.540387327916529
"AC006065.1",0.814823932524358
"AC006157.1",0.532512640003226
"AC006466.1",0.41892814595313
"AC006963.1",1.55460959825563
"AC006970.1",0.567141591550325
"AC007250.1",0.647830130479689
"AC007318.1",0.728953826054042
"AC007344.1",0.60991243468291
"AC007382.1",4.51433288950372
"AC007387.1",0.791754235502821
"AC007490.1",0.549555301075197
"AC007906.2",1.07037325661338
"AC008063.2",0.247813941092639
"AC008074.3",1.86422566683395
"AC008105.3",0.578644028281618
"AC008155.1",0.342183289820845
"AC008494.1",1.14586293502643
"AC008494.3",0.953894059056693
"AC008507.1",2.19537823153206
"AC008543.1",0.953363490234353
"AC008592.3",0.695067916901316
"AC008747.1",0.614655284085801
"AC008750.3",0.340106356813391
"AC008915.2",1.28077792198601
"AC008972.2",0.984123054855024
"AC009005.1",1.06569555316615
"AC009086.3",1.67925485772201
"AC009110.1",0.656986370847326
"AC009237.14",0.512623842457748
"AC009237.15",1.21762149958199
"AC009237.3",0.857160881611452
"AC009237.8",1.02672596839593
"AC009474.2",0.630548721374322
"AC009486.1",2.29356670750758
"AC009506.1",2.17889532674258
"AC009533.1",1.19386409042138
"AC009812.4",2.04185774784759
"AC009908.1",0.351975578296123
"AC009948.1",1.69270165833658
"AC009949.1",0.615529598925657
"AC009962.1",0.929719537233202
"AC009974.1",0.657886827900433
"AC010186.3",2.89707111690352
"AC010240.3",0.917214413272964
"AC010424.2",0.534003112025169
"AC010468.1",0.979305837184655
"AC010655.1",0.574724713791298
"AC010677.1",0.467323993892909
"AC010969.2",3.57816215657986
"AC010970.1",6.65843925499382
"AC010997.5",1.21722701652619
"AC011008.2",1.31582426395989
"AC011043.1",3.53099227195663
"AC011416.2",1.05460592230154
"AC011451.1",3.81966288310603
"AC011468.4",1.16722137782707
"AC011712.1",0.797124736520279
"AC011978.2",1.50244367265676
"AC011979.1",0.823292203076061
"AC012065.5",5.62704287593746
"AC012213.4",0.341829764122589
"AC012306.2",2.11915608454262
"AC012360.3",3.79891889473364
"AC012513.3",4.67425851513114
"AC012603.1",1.24720605474385
"AC012640.3",0.252183038742545
"AC012640.5",0.68521459812106
"AC013356.1",0.996552525854851
"AC013400.1",1.12349398531503
"AC013451.2",0.584246498020171
"AC013643.3",1.09778358183448
"AC013724.1",0.303167787320802
"AC015813.5",2.440459234502
"AC015813.6",4.16602902618327
"AC015818.2",1.42257241337384
"AC015849.5",0.305094225373728
"AC015911.1",0.382611330491659
"AC015912.3",2.40300941982889
"AC015922.3",2.54715220422494
"AC015922.4",2.59239582311092
"AC016397.2",0.39984650387281
"AC016546.1",1.20418760519742
"AC016712.1",2.48022547306417
"AC016773.1",3.40255376345312
"AC016877.3",0.635454999165932
"AC017100.1",1.36936273651281
"AC017104.2",0.277718507124396
"AC018521.5",3.478380764728
"AC018553.1",2.61195824210632
"AC018638.3",0.568475401263115
"AC018638.6",1.85872963823343
