"","PGBCbyQGBC","AveExpr","F","P.Value","adj.P.Val"
"REM2",-2.38295939145893,2.44448010040136,83.6141845409638,8.36466544018326e-08,0.000732057697435601
"RBM3",2.33702595268721,7.44353112964577,78.4972001596701,1.28769644483851e-07,0.000732057697435601
"CCT8",1.2349904104006,6.48950431500103,75.9651771289884,1.608252062862e-07,0.000732057697435601
"AC021755.3",-2.17868415687747,1.03539328299252,73.7941997788704,1.95566015175137e-07,0.000732057697435601
"RN7SKP55",-1.54790665382379,0.760900920108994,70.2547556582504,2.71851040213763e-07,0.000732057697435601
"PSMC3",1.52587941006454,6.77388444055313,69.2836029167526,2.98275159914583e-07,0.000732057697435601
"DEGS2",-1.50943245408704,0.761429785632076,68.7204613420405,3.14913313721174e-07,0.000732057697435601
"PPP1R32",-1.51998045062922,1.93404448761473,66.2870997594559,3.99864781865806e-07,0.000732057697435601
"AC018635.2",-2.03025254759241,0.947652786712401,65.9821206130484,4.12222298574004e-07,0.000732057697435601
"AC127496.2",-1.66607768442517,1.02442148113503,64.4764157680546,4.79877295182259e-07,0.000732057697435601
"AC117498.3",-2.4150257883901,1.811661112728,63.9078499360022,5.08601765608185e-07,0.000732057697435601
"NAT16",-3.22860531593953,3.26448764627139,63.0398971072642,5.56254325786691e-07,0.000732057697435601
"TRIM73",-2.36550340843747,2.94240759556145,62.6157168254654,5.81353088983678e-07,0.000732057697435601
"AC044860.2",-2.04543206405386,0.818172825621544,61.1725852589837,6.76771856436739e-07,0.000756593243458807
"AC127496.5",-1.51170378052192,1.18829488160218,60.9462984322561,6.93274199870623e-07,0.000756593243458807
"GZMM",-1.25693026676183,0.746203385745986,59.1031703966801,8.45875199325382e-07,0.000824747435884931
"KRTAP5-AS1",-1.29120666001423,0.833391850257206,58.9891612317263,8.56487868664864e-07,0.000824747435884931
"PKD1L2",-1.75966309780132,1.09776365303884,56.4311156482239,1.13884789530101e-06,0.0010282633211704
"MAFA-AS1",-1.71042403221174,1.84936943235511,56.0191364227924,1.19346384253131e-06,0.0010282633211704
"PLK5",-1.25273115992515,0.948629149148169,54.4051486556666,1.43768414931688e-06,0.00109196754023154
"ASPDH",-1.5605739442913,1.78803439074676,54.0259079222227,1.50291779862865e-06,0.00109196754023154
"PRAM1",-1.22545004605229,1.1367592038313,53.9132022137061,1.52294076618784e-06,0.00109196754023154
"RF00593",-2.89973782458356,1.34318400652033,53.850419835344,1.53422439983662e-06,0.00109196754023154
"COX6B2",-2.19836729006687,2.04196483343806,51.2375442320598,2.09882850606279e-06,0.00143157594351033
"OR13J1",-1.94418449250828,1.70048137624691,49.9832401832217,2.45035940543233e-06,0.00160449533867709
"BZW1",1.41174546647147,6.81391269116355,48.7930792194816,2.84615334481246e-06,0.00168366659694055
"LRRC75A",-1.19519391859274,0.727595270596725,48.3546283612747,3.00969026370148e-06,0.00168366659694055
"AC069209.1",-2.14416968482142,2.44021484499736,48.3026446978949,3.02977028260572e-06,0.00168366659694055
"AL118558.4",-1.37260667050565,2.56237359159263,48.171565208547,3.08107495730104e-06,0.00168366659694055
"CDIPT-AS1",-1.23240340406596,1.12993363306678,48.0139846778152,3.1440491637628e-06,0.00168366659694055
"RPN2",1.46746691120198,5.42455206622222,47.9051854283588,3.18837290807313e-06,0.00168366659694055
"LST1",-2.73440909990028,1.89322931852042,47.6416596908823,3.29867071486302e-06,0.00168747623757211
"PLIN4",-1.18437774620271,1.30529799221592,46.9232000538696,3.62180889824534e-06,0.00173345173153799
"ANO7L1",-1.13317515563871,1.46202972249305,46.644727456312,3.75650518586526e-06,0.00173345173153799
"MANF",1.59838628480953,6.48217317078601,46.4944769259702,3.83151346323418e-06,0.00173345173153799
"FTCD",-1.68621070131499,1.5092542408078,46.0747875536271,4.05010587221446e-06,0.00173345173153799
"MPHOSPH6",1.51922028001207,2.84605316898226,46.0725116092564,4.05132887807166e-06,0.00173345173153799
"TRAPPC5",-1.18797396883719,2.10670704274819,45.9330146090094,4.12708769934525e-06,0.00173345173153799
"AC026954.1",-2.01416763430222,1.19316482165552,45.8397934144182,4.17860211191854e-06,0.00173345173153799
"AC097359.3",-1.16501184830303,0.762317995410925,45.6719724646836,4.27317265465535e-06,0.00173345173153799
"AC102953.1",-1.58338395966126,1.67869212112912,45.5531758128188,4.34157122743174e-06,0.00173345173153799
"NCL",1.3670719110061,7.24553271572011,45.2861511838398,4.49985173392175e-06,0.0017538707829595
"OVGP1",-1.82357619796579,2.43267202209352,45.061004907697,4.63835906594217e-06,0.00176581250952264
"SEC1P",-1.11465941709982,0.846617368240393,44.6440786464284,4.90768744292943e-06,0.00179916797673988
"SUMO2P15",-2.02528568238666,1.8307349453285,44.4156171294564,5.06269808899876e-06,0.00179916797673988
"LINC02473",-1.79610260317978,1.49975074059166,44.3742721621059,5.09133464276064e-06,0.00179916797673988
"MYL6",1.46792323441608,9.12380277227902,44.2682535575137,5.16560139931427e-06,0.00179916797673988
"C1orf162",-1.91662050821367,2.77399474371302,43.9738460948174,5.37830232112028e-06,0.00180101694078103
"BCL6",-2.32305435315542,5.10666280997402,43.9501748650346,5.3958271998614e-06,0.00180101694078103
"ARMT1",1.21056610834187,4.43373247826956,43.8099494420671,5.50096805369894e-06,0.00180101694078103
