"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","fanconi_anemia","34/90",0.654220982186435,1,0,0,0.96138892423407,0.407927022261345,"OPRD1;PTPRU;CEBPA;HDAC2;GTF2B;ADCY5;GNAI2;SLC9A3R1;BRIP1;CCND1;KPNA2;PRKACA;JAK2;BUB1;JAK1;FANCI;HSP90AA1;PTGIR;CSNK2A1;FANCM;FUS;CAV1;FANCA;NR2F1;HMGA2;FANCC;FOS;FANCE;PALB2;NFKB1;CREB1;FANCD2;GNAS;CTNNB1",34
"2","disorder_of_glycosylation","36/96",0.677070762810518,1,0,0,0.954319888026466,0.372165180786148,"OPRD1;PTPRU;CEBPA;HDAC2;B4GALT1;GTF2B;RTF1;ADCY5;GNAI2;SLC9A3R1;CCND1;KPNA2;PRKACA;JAK2;BUB1;JAK1;MPDU1;SLC35A1;HSP90AA1;PTGIR;ALG8;ALG9;CSNK2A1;ALG6;FUS;CAV1;ALG2;NR2F1;HMGA2;FOS;NFKB1;DPM1;CREB1;RFT1;GNAS;CTNNB1",36
"3","charcot-marie-tooth_disease","39/104",0.681029590164822,1,0,0,0.954319888026466,0.366601529514183,"OPRD1;PTPRU;CEBPA;PRPS1;MTMR2;HDAC2;GTF2B;HSPB8;HSPB1;ADCY5;GNAI2;SLC9A3R1;CCND1;SH3TC2;MPZ;LMNA;NEFL;MFN2;KPNA2;PRKACA;JAK2;BUB1;JAK1;YARS;HSP90AA1;PTGIR;CSNK2A1;FUS;CAV1;NR2F1;HMGA2;FOS;GDAP1;NFKB1;FIG4;CREB1;GNAS;PMP22;CTNNB1",39
"4","porphyria","31/84",0.710737152427614,1,0,0,0.939171953295888,0.320682709706862,"OPRD1;PTPRU;CEBPA;HDAC2;GTF2B;HFE;PPOX;ADCY5;GNAI2;SLC9A3R1;CCND1;UROD;KPNA2;PRKACA;JAK2;BUB1;JAK1;HSP90AA1;PTGIR;CSNK2A1;FUS;CAV1;UROS;NR2F1;HMGA2;FOS;NFKB1;CREB1;HMBS;GNAS;CTNNB1",31
"5","joubert_syndrome","31/85",0.739091477922339,1,0,0,0.928122871492406,0.28060271004909,"OPRD1;PTPRU;CEBPA;HDAC2;GTF2B;ADCY5;GNAI2;SLC9A3R1;CCND1;ARL13B;TMEM67;NPHP1;KPNA2;PRKACA;JAK2;CC2D2A;BUB1;JAK1;HSP90AA1;PTGIR;CSNK2A1;FUS;CAV1;NR2F1;HMGA2;RPGRIP1L;FOS;NFKB1;CREB1;GNAS;CTNNB1",31
"6","renal_cell_carcinoma","31/85",0.739091477922339,1,0,0,0.928122871492406,0.28060271004909,"OPRD1;PTPRU;CEBPA;HDAC2;GTF2B;OGG1;PRCC;ADCY5;GNAI2;SLC9A3R1;CCND1;RNF139;KPNA2;PRKACA;JAK2;BUB1;JAK1;HSP90AA1;PTGIR;CSNK2A1;FUS;CAV1;TFE3;NR2F1;HMGA2;FOS;NFKB1;CREB1;GNAS;CTNNB1;MET",31
"7","ehlers-danlos","32/88",0.748255913921653,1,0,0,0.925401103540816,0.268375785593628,"OPRD1;PTPRU;CEBPA;HDAC2;GTF2B;ADCY5;GNAI2;SLC9A3R1;CCND1;KPNA2;PRKACA;JAK2;BUB1;JAK1;HSP90AA1;PTGIR;CSNK2A1;FUS;CAV1;NR2F1;HMGA2;FOS;NFKB1;COL1A1;COL3A1;CREB1;COL1A2;COL5A1;COL5A2;GNAS;CTNNB1;B4GALT7",32
"8","chondrodysplasia","31/86",0.76568731657423,1,0,0,0.917330745079704,0.244910242442433,"OPRD1;PTPRU;CEBPA;HDAC2;GTF2B;ADCY5;GNAI2;SLC9A3R1;EBP;CCND1;KPNA2;PRKACA;JAK2;ARSE;BUB1;JAK1;HSP90AA1;PTGIR;CSNK2A1;FUS;CAV1;NR2F1;HMGA2;FOS;GDF5;NFKB1;PEX7;GNPAT;CREB1;GNAS;CTNNB1",31
"9","breast_cancer","38/105",0.773335203409809,1,0,0,0.920994431619193,0.236734881380475,"OPRD1;PTPRU;CEBPA;HDAC2;TSG101;GTF2B;HMMR;BRCA2;ADCY5;GNAI2;SLC9A3R1;BRIP1;CASP8;CCND1;CHEK2;RAD54L;KPNA2;PRKACA;JAK2;BUB1;JAK1;BARD1;NQO1;HSP90AA1;PTGIR;CSNK2A1;FUS;CAV1;XRCC3;NR2F1;HMGA2;FOS;PALB2;NFKB1;CREB1;GNAS;CTNNB1;TP53",38
"10","cutis_laxa","30/84",0.782867043082719,1,0,0,0.90887608383473,0.222485959593011,"OPRD1;PTPRU;CEBPA;HDAC2;GTF2B;ELN;ADCY5;GNAI2;SLC9A3R1;EFEMP2;CCND1;KPNA2;PRKACA;JAK2;BUB1;JAK1;HSP90AA1;PTGIR;CSNK2A1;FUS;CAV1;NR2F1;HMGA2;LAMB1;FOS;NFKB1;CREB1;LOX;GNAS;CTNNB1",30
