"","PGBC_SRR5196886","PGBC_SRR5196887","PGBC_SRR5196888","PGBC_SRR5196889","PGBC_SRR5196890","PGBC_SRR5196891","PGBC_SRR5196892","PGBC_SRR5196893","PGBC_SRR5196898","QGBC_SRR5196894","QGBC_SRR5196895","QGBC_SRR5196896","QGBC_SRR5196897","QGBC_SRR5196899","QGBC_SRR5196900"
"AAED1",3.12733718527695,2.96547423093809,3.95921703136638,3.98301415591891,3.27026145152929,3.65060960565911,2.65802438078246,2.89329360776414,3.14926528486082,2.35060068189411,2.65283279392793,2.41850863102137,2.86027105991602,2.92674964880678,3.28888116263511
"AAGAB",4.36970281489737,3.30099013832523,4.03015227177897,4.05545194782437,3.65092987924948,4.11042245630068,4.19068484260144,3.38083493985168,4.06983828986306,3.33109978201418,2.86002813522737,3.02772733168499,2.72675418978677,3.302376779435,3.56802679049144
"AAK1",2.1421287132928,1.64290639609333,2.34498417077203,2.35101111828312,2.39496215064719,2.74585027143095,2.16674199467649,1.80292483256689,2.6306252941771,1.66009984821814,1.49279216172526,1.58587691711346,1.24402151448071,2.25837055356025,2.74917625200117
"AAMP",7.00955753352776,6.1609313400076,7.78627759139258,7.89762463363609,7.52106067933846,6.94008455802167,7.01827619493869,6.3795634292328,7.28225639685993,6.6824892875481,5.92186734185873,6.70519651491704,6.45232723266655,6.66303290741353,7.39252176519911
"AAR2",3.80304926565584,3.22956087903564,4.06717896222183,3.94614578728929,4.29129138765858,3.94961843815018,3.86187931478308,3.46948047588145,3.94993109293825,3.6021280118482,3.11331863730918,3.53499942104983,3.21322564131179,3.67820238174281,3.67412724083344
"AASDH",2.74777761954809,1.83232139769802,2.72467634605319,2.78073525430147,2.55947540199185,2.90409569182766,2.59101651078073,1.6337844466128,2.6230237378605,2.62447034291585,1.66720337957055,2.54107760156953,1.38131042499545,2.43379862486804,2.23336575033423
"AASDHPPT",2.58112084922457,1.53065751298689,2.75813363006242,2.5057334580091,1.26748884768751,2.62239639340718,2.58570919141556,1.64638165260821,2.54884368879501,2.04006244611864,1.41089602488596,2.27550025776419,1.37353232876374,2.17781582130014,2.02403479343536
"AATF",2.97302314263015,2.34864040433353,3.59341212397859,3.52711095541136,2.99652022773028,2.39177550732632,2.96545785293011,2.53474603978375,3.12717005407702,2.30111271392708,1.88078350919721,2.44750328439608,2.23620537475632,2.63261868400526,2.7779617803675
"ABCB10",3.16191216512224,2.64910314809803,4.33313677607843,4.42492950234536,2.28777197405673,3.20000453271792,2.84738626161819,2.54095691337367,3.26856346626168,2.25936078299383,2.31395240133396,2.30997429197427,1.99517271223565,2.64720983410157,3.13846669067568
"ABCB8",4.73649578414337,4.49902613489322,4.71999968607697,4.57921294214535,4.97413023414817,4.04543843978092,5.28449331760121,5.03123744244133,5.24838204398336,4.29053497107864,4.27234817254111,4.09417142975854,3.58136526594969,4.67836816013999,4.51404732424192
"ABCC1",1.62396600031001,0.775842228643424,3.72611655131944,3.70803712125279,2.17424473756046,3.02705580454466,1.93297675762395,1.17053310476595,2.01507969266522,1.75186986501642,1.02063067174831,1.57157483961269,0.981039151120513,1.62331989941419,2.66408009585081
"ABCC2",0.158908194598767,1.34087721227208,2.75100049207127,1.66433257468654,2.36613546116971,0.147311878916073,0.179135811799923,1.27407671597698,0.157223049679,0.290861371146757,1.57430014586727,0.246206723856834,1.13869866909808,0.180322521084413,0.989368322167024
"ABCC4",1.1212874629514,1.37151099148762,1.82283667490022,1.80148876709293,1.86457249809174,2.66973025584395,1.00547354509122,1.36522820749153,1.29639630016601,0.496290710557442,1.2370828684008,0.835800579876381,1.28210302134585,0.799824441588141,0.802915282900925
"ABCC6",0.0465336639310312,0.027003855023843,1.22461581684125,1.22929480122545,0.947786010681388,0.539631175019324,0.0671624740667699,0.0388717366055867,0.0782701377730034,0.13421909785673,0.0671026293944962,0.110091033392347,0.0342189724232946,0.11456604359408,0.107526680109332
"ABCC6P2",0,0,1.4763752744152,1.23685360972549,0.437594717592157,0.562991076648157,0,0,0,0,0,0,0,0,0
"ABCD1",1.77414341038107,1.18095999596095,3.75672958131486,3.34324439424291,2.23016040190108,2.70586613089919,1.85027573652901,1.71399058462582,1.99086244926229,1.56650511722505,1.46306987681307,1.71827948521313,1.49116111536901,1.8896928125692,1.61284321254064
"ABCD3",4.20455128794677,3.9695404809408,4.18280748948442,3.87869812566675,2.06374164533573,2.95040661138641,3.85505640548391,3.72439410521259,3.9656807529412,3.07001729203946,3.3162517554558,3.12962544971151,2.95195314624728,3.53024099620793,3.61127580535245
"ABCE1",3.0885323996935,2.86381942451502,2.87083045758143,3.26792849969795,2.40823959276406,3.0393795027432,3.01969676572094,3.21959593471516,3.21765335015192,2.14955574850669,2.02244758088968,2.23535713053527,2.35969791062492,2.20542567626623,2.47187214305668
"ABCF1",5.31370280488571,4.32246579639205,6.316512222898,6.12735582865313,4.37227421051005,5.41887135444076,5.35418654760351,4.69554635654163,5.71252232277344,4.72372492599744,4.22695955828251,4.6883235439307,4.27382086516438,4.95692257837365,5.26499914047511
"ABHD13",4.44099507393928,4.11467585033021,4.03172006197896,3.95472344919841,4.73671901381949,4.42549207323526,3.97290799431033,3.85990351952321,4.19915727568058,3.59702603159533,3.39244275508689,3.38569960373348,3.00359232343625,3.52909138864646,4.00864017842074
"ABHD17C",2.09326896671433,2.44795133372253,1.97734755358401,2.07695938405065,1.13016235624239,1.79009025934862,1.90995237108332,2.14459327951209,2.63779013734597,1.3621603284945,1.55323487626741,1.29175109649458,1.68673010855765,2.25556888945411,2.02866119889406
"ABHD3",3.61295267549428,3.11536201101396,4.02096184296798,3.90887086835897,2.48866376644297,1.52538839879762,3.51469111207217,2.98593010654848,3.61415288269483,2.75621106405297,2.70871123117813,2.87729973502875,2.81056923915998,2.72713868505059,3.35453227206481
"ABHD5",3.21115286365713,2.37638608648839,3.28276014354902,3.2104038713387,3.20488064601865,3.6950289879777,2.7829471208889,2.25265266838578,3.25109704902857,2.57978785353148,1.98866295939627,1.95441002342428,1.92834282488637,2.54400370120745,2.12207799552398
"ABL2",3.5906074972158,2.16393925881318,3.49356469879867,3.72869847778852,1.98549512597076,3.74551385716357,3.53842392033467,2.36094885253907,3.695019309714,2.83270378738627,2.08330648089065,2.68406024789044,2.23734559652985,3.22934453209512,3.31388067845165
"ABRACL",4.42065231858725,2.81573033352778,5.80233901623209,5.64935592198485,3.30291881167093,4.50803315083787,4.06544004901464,2.71940514519782,4.17871991970194,2.80098204984552,2.24666748920372,2.63212371894732,1.79899039152844,3.40393146127874,4.29912955962781
"ABRAXAS2",3.23849768623096,2.89037097707495,3.41918304404204,3.37577297064819,2.94206874388123,3.71449244535642,3.14364351292691,2.81801853147084,3.16343232048058,2.72269905956765,2.5335937002015,2.66256462534395,2.43834318812254,2.62905309364502,3.13881355429536
"ABT1",5.76314222538673,5.00213226828671,6.51115579486997,6.3796242582162,5.03045233030639,5.77045762493109,5.58073196503517,5.12254491786347,5.619376570787,4.77594433795604,4.54070320563583,4.87858821787459,4.65490028136547,4.98050274797147,5.52587593622406
"AC000403.1",0.919875790829847,1.31335020490914,2.13849013177775,1.81409070021178,1.25132215778104,1.11879345279185,0.932767178207133,1.02374672013318,0.700121480100576,1.10406794958947,1.13699198381551,0.574224905668672,0.95339868425764,0.895197418008486,0.385907740488235
"AC002401.4",4.34753696481802,4.97052364283906,2.11155521326395,1.49592328049858,6.80792001973595,2.8081722578733,3.928575161155,5.19293107721339,4.12612221778382,3.66030185634411,1.54780745019037,2.00224103801323,3.88946953971029,2.74291879152691,2.83370598189298
"AC002504.1",0.347336684829118,0,3.00109227979813,3.35268982848192,0.653534100447787,0,0.893280345275627,0.619210109261567,0.548890848377296,0,0.623884237240109,0.96431380759593,0,0,0
"AC002524.1",6.15278229433668,5.58349204710167,5.47716344538495,5.11399640347965,6.60934264854844,5.7748533688451,5.78542925999785,5.65626004863014,5.99044522600103,4.5877482537792,4.30704286729653,4.64561584129417,4.88950726177122,5.12155208830869,5.53058069086832
"AC003035.2",0.436765051841577,0.0775060132365799,3.62935302963936,3.23833263483186,0.0331708100967012,0,0.572618194982964,0,0.379247518080039,0.079923507799109,0,0,0.178192362604291,0.0782207704054023,0.0458501258018856
"AC003101.2",0,0.43754374081165,0,0.848311171735484,1.48111801807765,1.63775050844715,1.22675912341299,0,1.2913308038959,0.630857188518131,0,0,0.59105670743293,0.619628937273951,0.697651996144947
"AC004383.1",3.74052178984316,1.66332712732973,3.8481180669153,4.13140375285553,2.97277095025819,0,3.61767274470031,0.714425354375557,3.59328233142697,2.37692802324442,2.28709745987207,1.3311960432522,0.827345214475208,3.06772280348827,2.52492202939034
