"","PGBC","QGBC","No_data","No_data","Glioblastoma_cancer_stem_cell"
"A2M",4.70578114734519,5.75825413617998,5.1267703428791,5.1267703428791,5.1267703428791
"A4GALT",1.04242570643722,1.14602408324976,1.08386505716224,1.08386505716224,1.08386505716224
"AAAS",4.82253806029728,5.27071439369376,5.00180859365588,5.00180859365588,5.00180859365588
"AACS",2.54446324234168,2.39730424650914,2.48559964400867,2.48559964400867,2.48559964400867
"AADAT",3.42486444396329,3.43999081469554,3.43091499225619,3.43091499225619,3.43091499225619
"AAED1",3.29516632601068,2.74964066303355,3.07695606081983,3.07695606081983,3.07695606081983
"AAGAB",3.9065563978547,3.13600216810663,3.59833470595547,3.59833470595547,3.59833470595547
"AAK1",2.24690388243777,1.8317228745165,2.08083147926926,2.08083147926926,2.08083147926926
"AAMDC",0.49618186174188,0.57608705221306,0.528143937930352,0.528143937930352,0.528143937930352
"AAMP",7.11062581743951,6.63623917493384,6.92087116043724,6.92087116043724,6.92087116043724
"AAR2",3.84090395595713,3.46933355568254,3.69227579584729,3.69227579584729,3.69227579584729
"AARS",6.20643363136109,6.37532937910215,6.27399193045751,6.27399193045751,6.27399193045751
"AASDH",2.48854515629715,2.14687102070894,2.35187550206186,2.35187550206186,2.35187550206186
"AASDHPPT",2.22738502491072,1.88364027871134,2.08988712643097,2.08988712643097,2.08988712643097
"AASS",3.65704676294271,4.19644945328632,3.87280783908015,3.87280783908015,3.87280783908015
"AATBC",0.806176725817144,1.03194056820433,0.896482262772017,0.896482262772017,0.896482262772017
"AATF",2.93976181202235,2.37936422444157,2.71560277699004,2.71560277699004,2.71560277699004
"AATK",0.718383149767723,1.14882257100691,0.8905589182634,0.8905589182634,0.8905589182634
"ABAT",0.773009412123445,0.577462684601162,0.694790721114532,0.694790721114532,0.694790721114532
"ABCA1",1.68133583340189,1.54022629904712,1.62489201965998,1.62489201965998,1.62489201965998
"ABCA13",0.881229007796212,1.52900955238613,1.14034122563218,1.14034122563218,1.14034122563218
"ABCA2",6.18594598323615,6.52971858797568,6.32345502513196,6.32345502513196,6.32345502513196
