"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Contrast","FC"
"REM2",2.38295939145893,2.44448010040136,9.14407920684001,8.36466544018326e-08,0.000732057697435602,8.10096584408121,"QGBCbyPGBC",5.21605611900724
"AC021755.3",2.17868415687747,1.03539328299252,8.59035504381922,1.95566015175137e-07,0.000732057697435602,7.33856502393472,"QGBCbyPGBC",4.52740433445947
"RN7SKP55",1.54790665382379,0.760900920108994,8.38181100110534,2.71851040213763e-07,0.000732057697435602,7.04018568603151,"QGBCbyPGBC",2.9239257049706
"DEGS2",1.50943245408704,0.761429785632076,8.28978053642197,3.14913313721175e-07,0.000732057697435602,6.90650729828205,"QGBCbyPGBC",2.84698018922003
"PPP1R32",1.51998045062922,1.93404448761473,8.14168899918536,3.99864781865806e-07,0.000732057697435602,6.68879193624779,"QGBCbyPGBC",2.86787163441211
"AC018635.2",2.03025254759241,0.947652786712401,8.12293792990248,4.12222298574004e-07,0.000732057697435602,6.66099451146354,"QGBCbyPGBC",4.08476348892689
"AC127496.2",1.66607768442517,1.02442148113503,8.02972077771417,4.79877295182259e-07,0.000732057697435602,6.52203071461438,"QGBCbyPGBC",3.17350625113079
"AC117498.3",2.4150257883901,1.811661112728,7.99423854635338,5.08601765608186e-07,0.000732057697435602,6.46879543680362,"QGBCbyPGBC",5.33329004087164
"NAT16",3.22860531593953,3.26448764627139,7.93976681693261,5.56254325786691e-07,0.000732057697435602,6.3867031843255,"QGBCbyPGBC",9.37361354029238
"TRIM73",2.36550340843747,2.94240759556145,7.91300934066587,5.81353088983679e-07,0.000732057697435602,6.34621510541254,"QGBCbyPGBC",5.1533243854652
"AC044860.2",2.04543206405386,0.818172825621544,7.82129051109749,6.76771856436739e-07,0.000756593243458807,6.20661326618231,"QGBCbyPGBC",4.12796879263025
"AC127496.5",1.51170378052192,1.18829488160218,7.80681102834288,6.93274199870623e-07,0.000756593243458807,6.18445858508493,"QGBCbyPGBC",2.85146590110038
"GZMM",1.25693026676183,0.746203385745986,7.68785863532103,8.45875199325382e-07,0.000824747435884929,6.00124999780106,"QGBCbyPGBC",2.38986689175576
"KRTAP5-AS1",1.29120666001423,0.833391850257206,7.68044017174318,8.56487868664862e-07,0.000824747435884929,5.98975297715453,"QGBCbyPGBC",2.44732662643177
"PKD1L2",1.75966309780132,1.09776365303884,7.51206467279295,1.13884789530101e-06,0.0010282633211704,5.72654678848653,"QGBCbyPGBC",3.38619040441801
"MAFA-AS1",1.71042403221174,1.84936943235511,7.48459327036496,1.19346384253131e-06,0.0010282633211704,5.68319098614031,"QGBCbyPGBC",3.27256995595796
"PLK5",1.25273115992515,0.948629149148169,7.3759845888984,1.43768414931688e-06,0.00109196754023154,5.51064539395269,"QGBCbyPGBC",2.3829210605842
"ASPDH",1.5605739442913,1.78803439074676,7.35023182778766,1.50291779862865e-06,0.00109196754023154,5.46946528938516,"QGBCbyPGBC",2.94971167869846
"PRAM1",1.22545004605229,1.1367592038313,7.34256101191581,1.52294076618784e-06,0.00109196754023154,5.45717941111501,"QGBCbyPGBC",2.33828380667615
"RF00593",2.89973782458356,1.34318400652033,7.33828452946218,1.53422439983662e-06,0.00109196754023154,5.45032607930571,"QGBCbyPGBC",7.46290760358604
"COX6B2",2.19836729006687,2.04196483343806,7.15804053020516,2.09882850606279e-06,0.00143157594351033,5.15889670745761,"QGBCbyPGBC",4.58959639551101
"OR13J1",1.94418449250828,1.70048137624691,7.06988261452916,2.45035940543233e-06,0.00160449533867709,5.01451947988694,"QGBCbyPGBC",3.84820189703109
"LRRC75A",1.19519391859274,0.727595270596725,6.95374923054281,3.00969026370148e-06,0.00168366659694055,4.8224782029417,"QGBCbyPGBC",2.28975607607491
"AC069209.1",2.14416968482142,2.44021484499736,6.9500104099127,3.02977028260572e-06,0.00168366659694055,4.81626063708637,"QGBCbyPGBC",4.42037781823908
"AL118558.4",1.37260667050565,2.56237359159263,6.94057383856313,3.08107495730103e-06,0.00168366659694055,4.80055815274333,"QGBCbyPGBC",2.58937994526881
"CDIPT-AS1",1.23240340406596,1.12993363306678,6.92921241396273,3.1440491637628e-06,0.00168366659694055,4.78163426910226,"QGBCbyPGBC",2.34958083659612
"LST1",2.73440909990028,1.89322931852042,6.90229379922952,3.29867071486302e-06,0.00168747623757211,4.73671751418083,"QGBCbyPGBC",6.6548636154664
"PLIN4",1.18437774620271,1.30529799221592,6.85005109863201,3.62180889824534e-06,0.00173345173153799,4.64922188438828,"QGBCbyPGBC",2.27265350898916
"ANO7L1",1.13317515563871,1.46202972249305,6.82969453609105,3.75650518586526e-06,0.00173345173153799,4.61501353396819,"QGBCbyPGBC",2.19340945986415
