"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","hsa-miR-6872-5p","4/9",0.0500076097164259,1,0,0,2.63296471827277,7.88725668985217,"ZNF91;BTG2;CEBPD;DPF3",4
"2","hsa-miR-3687","5/13",0.0535970076432877,1,0,0,2.27852716004375,6.66756753557783,"TMEM246;KIAA0355;FLYWCH1;AMH;PPARGC1B",5
"3","mmu-miR-190b-5p","3/6",0.0643329962614989,1,0,0,2.96208530805687,8.12702197339352,"TNRC6C;ZNF608;TMPRSS3",3
"4","hsa-miR-4632-3p","10/36",0.0698441005298047,1,0,0,1.64560294892048,4.37975522639471,"TMEM184A;BRSK1;ISL2;PCYT2;PLEKHG5;FOXK1;MAFK;ARHGAP27;SCN1B;ANAPC2",10
"5","mmu-miR-107-3p","5/14",0.0721436524018534,1,0,0,2.11577522004062,5.56257611592506,"IRGQ;ANGEL1;DHDH;KLC1;HIF1A",5
"6","hsa-miR-6785-3p","4/10",0.0724885310316976,1,0,0,2.3696682464455,6.21878417606997,"CTC1;NPRL3;SCN1B;ANAPC2",4
"7","mmu-miR-103-3p","5/15",0.0937294479341711,1,0,0,1.97472353870458,4.67484767022075,"IRGQ;ANGEL1;GPD1;DHDH;KLC1",5
"8","hsa-miR-6814-3p","3/7",0.0987634633942637,1,0,0,2.53893026404875,5.87769349946941,"ZNF91;CEBPD;DPF3",3
"9","hsa-miR-8072","13/54",0.111928823303179,1,0,0,1.42618922239775,3.12320053395079,"NANOS1;TFAP2A;PCYT2;WSCD1;EN1;MSI1;MAPK8IP3;CBARP;CLIP2;PDZD4;VGF;ELMSAN1;PRX",13
"10","hsa-miR-3960","13/54",0.111928823303179,1,0,0,1.42618922239775,3.12320053395079,"NANOS1;TFAP2A;PCYT2;WSCD1;EN1;MSI1;MAPK8IP3;CBARP;CLIP2;PDZD4;VGF;ELMSAN1;PRX",13
"11","hsa-miR-6803-3p","5/16",0.118199610113178,1,0,0,1.85130331753554,3.95323695303327,"CACNB1;ZNF483;CDKN1A;PXDC1;HCN2",5
"12","hsa-miR-95-3p","4/12",0.12970408883707,1,0,0,1.97472353870458,4.03337216195303,"CDKN1A;CEBPD;NXPH3;DUSP8",4
"13","mmu-miR-327","4/12",0.12970408883707,1,0,0,1.97472353870458,4.03337216195303,"MEF2C;PTPRB;RAB39A;SLC2A4",4
"14","hsa-miR-4737","5/17",0.145322836834874,1,0,0,1.7424031223864,3.36074287448201,"NANOS1;KDM6B;MIDN;ZNF460;N4BP1",5
"15","hsa-miR-134-3p","15/67",0.148818709765113,1,0,0,1.32630685435382,2.52664960761481,"TMEM184A;SHMT2;RPL12;FOXK1;ACVR2B;TXNRD3NB;CYP2W1;ZNF529;WNK1;INAFM1;NOVA2;PXDC1;VHLL;MAFK;LRRC3C",15
"16","hsa-miR-6777-5p","18/83",0.152722765958065,1,0,0,1.28475989265117,2.41423212696832,"KDM6B;CTC1;CASZ1;ZBTB47;LTBP4;CLU;MAPK8IP3;PDZD4;CLIP1;MNT;CASKIN1;MKNK2;MAFK;PLIN1;SBF1;TNPO2;WASF3;RAB11FIP4",18
"17","hsa-miR-6889-5p","18/83",0.152722765958065,1,0,0,1.28475989265117,2.41423212696832,"KDM6B;CTC1;CASZ1;ZBTB47;LTBP4;CLU;MAPK8IP3;PDZD4;CLIP1;MNT;CASKIN1;MKNK2;MAFK;PLIN1;SBF1;TNPO2;WASF3;RAB11FIP4",18
"18","hsa-miR-6880-3p","6/22",0.153601789086654,1,0,0,1.61568289530375,3.02680710464804,"CTC1;P2RX7;ZFP14;EDN2;ARHGEF37;HES4",6
"19","mmu-miR-466c-5p","4/13",0.163529469185325,1,0,0,1.822821728035,3.30069643678536,"CALCOCO1;PDZD2;MPG;FRMD4A",4
"20","mmu-miR-466b-5p","4/13",0.163529469185325,1,0,0,1.822821728035,3.30069643678536,"CALCOCO1;PDZD2;MPG;FRMD4A",4
"21","mmu-miR-466o-5p","4/13",0.163529469185325,1,0,0,1.822821728035,3.30069643678536,"CALCOCO1;PDZD2;MPG;FRMD4A",4
"22","mmu-miR-3079-3p","3/9",0.183247077057018,1,0,0,1.97472353870458,3.35094764794274,"PPP1R26;PTP4A3;ZNF546",3
"23","hsa-miR-4431","3/9",0.183247077057018,1,0,0,1.97472353870458,3.35094764794274,"PLEKHG5;E2F7;ARIH2OS",3
"24","hsa-miR-4417","13/59",0.185700282953897,1,0,0,1.30532572897421,2.19767418365168,"NUMBL;WSB1;ELL;TMPRSS6;SHMT2;DIRAS1;ZNF529;INAFM1;NINJ1;ZNF703;ADGRL1;PXDC1;FXYD5",13
"25","mmu-miR-27a-3p","10/44",0.197761314501354,1,0,0,1.34640241275312,2.18210692829365,"MEF2C;SMAD3;FBXW7;BAX;SLCO5A1;CSNK1E;SERPINI1;JPH1;FOXO1;BBC3",10
"26","mmu-miR-153-3p","4/14",0.200083802336935,1,0,0,1.6926201760325,2.72345800357195,"GJC3;CACNA1C;SLC4A4;PLEKHH1",4
"27","mmu-miR-673-5p","5/19",0.206322762733776,1,0,0,1.55899226739835,2.46057858407725,"SMIM17;ELMSAN1;SLCO5A1;JPH1;THAP2",5
"28","hsa-miR-4665-3p","5/19",0.206322762733776,1,0,0,1.55899226739835,2.46057858407725,"CASZ1;MCRIP2;ZMAT3;ACOX1;PALD1",5
"29","hsa-miR-3621","6/24",0.207813308767875,1,0,0,1.48104265402844,2.32688856090669,"APOBEC3C;MAF;FBXW8;LTBP4;NRARP;MAPK8IP2",6
"30","hsa-miR-3141","11/50",0.213122764448642,1,0,0,1.30331753554502,2.01478153131386,"MIDN;STK11;MNT;MTA1;JUND;CITED4;DNLZ;FBXL16;ELAVL3;ASB16;BAIAP3",11
"31","hsa-miR-4442","3/10",0.230715030697806,1,0,0,1.77725118483412,2.60646675951748,"TMEM246;FLYWCH1;AMH",3
"32","hsa-miR-4745-3p","7/30",0.23325495615015,1,0,0,1.38230647709321,2.01211736546957,"CTC1;BRSK1;ADAMTS13;BAZ2A;LETMD1;RAB11FIP4;LLGL2",7
