"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","cdeficiency","3/13",0.380135464575979,1,0,0,1.36711629602625,1.32231261947874,"C4B;C4A;C2",3
"2","leber_amaurosis","3/13",0.380135464575979,1,0,0,1.36711629602625,1.32231261947874,"IMPDH1;CEP290;SPATA7",3
"3","diabetes_mellitus,_type_2","6/32",0.460429673934623,1,0,0,1.11078199052133,0.861517126447919,"KCNJ11;ABCC8;IRS2;SLC2A4;GCK;MAPK8IP1",6
"4","cataract","8/47",0.550152321942374,1,0,0,1.00836946657255,0.602561349312068,"MAF;GJA3;EYA1;HSF4;CRYAB;BEST1;GALK1;FTL",8
"5","neuropathy","6/35",0.553362576002736,1,0,0,1.0155721056195,0.600956505922505,"GJB1;DHH;GAN;WNK1;PRX;GP1BA",6
"6","cardiomyopathy,_hypertrophic","3/17",0.565921654482669,1,0,0,1.04544187343184,0.595169671733096,"TNNC1;MYO6;TNNI3",3
"7","skin/hair/eye_pigmentation","2/12",0.626272936320474,1,0,0,0.987361769352291,0.462054702202512,"MC1R;ASIP",2
"8","epidermolysis_bullosa","2/13",0.671025161713525,1,0,0,0.911410864017499,0.363606128222396,"ITGB4;LAMC2",2
"9","glycogen_storage_disease","2/13",0.671025161713525,1,0,0,0.911410864017499,0.363606128222396,"GAA;PYGL",2
"10","melanoma","2/13",0.671025161713525,1,0,0,0.911410864017499,0.363606128222396,"STK11;MC1R",2
"11","cardiomyopathy,_dilated","5/33",0.67587443717901,1,0,0,0.897601608502082,0.351633602622544,"ACTN2;TNNC1;TCAP;TNNI3;TAZ",5
"12","adenoma","2/14",0.711322570297852,1,0,0,0.846310088016249,0.288277984676112,"THRA;PLAG1",2
"13","encephalopathy","2/14",0.711322570297852,1,0,0,0.846310088016249,0.288277984676112,"ETHE1;SERPINI1",2
"14","cardiomyopathy","6/42",0.734935627306094,1,0,0,0.846310088016249,0.260640119753968,"ACTN2;TNNC1;MYO6;TCAP;TNNI3;TAZ",6
"15","bardet-biedl_syndrome","2/15",0.747393534408115,1,0,0,0.789889415481833,0.2299868979042,"BBS2;CEP290",2
"16","hypogonadism","2/15",0.747393534408115,1,0,0,0.789889415481833,0.2299868979042,"LEPR;GNRH1",2
"17","blood","5/36",0.750297908626801,1,0,0,0.822801474460242,0.236378472071636,"ACHE;C4A;ABO;FUT3;KLF1",5
"18","schizophrenia","4/30",0.769907786585601,1,0,0,0.789889415481833,0.206543861759059,"RTN4R;MTHFR;CHI3L1;APOL2",4
"19","retinitis_pigmentosa","7/51",0.780331032142063,1,0,0,0.813121457113651,0.201684246821922,"SEMA4A;IMPDH1;CA4;RP9;FSCN2;MERTK;SPATA7",7
"20","macular_degeneration","2/18",0.833145613152436,1,0,0,0.658241179568194,0.120159851492118,"FBLN5;C2",2
"21","autism","2/19",0.855278685988192,1,0,0,0.623596906959341,0.0974856040352056,"NLGN3;EN2",2
"22","orofacial_cleft","2/19",0.855278685988192,1,0,0,0.623596906959341,0.0974856040352056,"MTHFR;HOXA2",2
"23","ehlers-danlos","1/11",0.869225813091255,1,0,0,0.53856096510125,0.0754805759979104,"TNXB",1
"24","pancreatic_cancer","1/11",0.869225813091255,1,0,0,0.53856096510125,0.0754805759979104,"STK11",1
"25","thrombophilia","1/11",0.869225813091255,1,0,0,0.53856096510125,0.0754805759979104,"PROC",1
"26","usher_syndrome","1/11",0.869225813091255,1,0,0,0.53856096510125,0.0754805759979104,"WHRN",1
"27","dementia","1/12",0.891312371294427,1,0,0,0.493680884676145,0.0568030844615006,"MAPT",1
"28","long_qt_syndrome","1/12",0.891312371294427,1,0,0,0.493680884676145,0.0568030844615006,"CACNA1C",1
"29","zellweger_syndrome","1/12",0.891312371294427,1,0,0,0.493680884676145,0.0568030844615006,"PEX1",1
"30","lymphoma","2/22",0.906509399159672,1,0,0,0.53856096510125,0.052861848456894,"BCL7A;BCL6",2
"31","parkinson_disease","2/22",0.906509399159672,1,0,0,0.53856096510125,0.052861848456894,"MAPT;DRD4",2
"32","anomalies","1/13",0.909669572655524,1,0,0,0.45570543200875,0.0431433887998963,"EYA1",1
"33","rheumatoid_arthritis","1/13",0.909669572655524,1,0,0,0.45570543200875,0.0431433887998963,"SLC22A4",1
"34","obesity","3/31",0.914328015390213,1,0,0,0.573306833817459,0.051348738491965,"LEPR;ADRB2;PPARGC1B",3
"35","asthma","2/23",0.919417441958016,1,0,0,0.515145270966412,0.0432799426991212,"CHI3L1;ADRB2",2
"36","colorectal_cancer","4/40",0.924030841092496,1,0,0,0.592417061611374,0.0468067713813675,"PLA2G2A;BAX;AXIN2;TLR2",4
"37","corneal_dystrophy","1/14",0.924926969436754,1,0,0,0.423155044008125,0.0330232297506972,"CHST6",1
"38","leigh_syndrome","1/14",0.924926969436754,1,0,0,0.423155044008125,0.0330232297506972,"NDUFS7",1
"39","microcephaly","1/14",0.924926969436754,1,0,0,0.423155044008125,0.0330232297506972,"CDK5RAP2",1
"40","cone-rod_dystrophy","1/15",0.93760786544358,1,0,0,0.394944707740916,0.0254437090374834,"SEMA4A",1
"41","diabetes_mellitus","6/58",0.942025788910232,1,0,0,0.612845236149698,0.0366007280712063,"KCNJ11;ABCC8;IRS2;SLC2A4;GCK;MAPK8IP1",6
"42","myocardial_infarction","1/16",0.94814724328236,1,0,0,0.370260663507109,0.0197147026325178,"LTA",1
