"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","spinal_cord","59/353",0.555961024351634,1,0,0,0.990158828188983,0.581279757616914,"ACHE;SLC44A1;DIRAS1;PLEKHB1;HDAC11;MAST1;AATK;FAIM2;GPR62;HAPLN2;FGF9;HABP4;DIP2A;APC2;TSC22D4;RNF208;ATP1B2;VWA5B2;MAPK8IP2;MAPK8IP3;RUNDC3A;EML2;MAPK8IP1;STX1B;KATNAL1;PACS2;VAMP1;ARHGEF4;FAM181B;FLYWCH1;MAPT;RELL2;BRSK1;TMPRSS5;CABP7;USP54;NXPH4;HSPA4L;SEZ6L2;TTBK2;SLC25A27;GJC3;ZFP14;EFNB3;CASKIN1;APOD;FAM43B;WASF3;ABCA2;MYPOP;WSCD1;IQSEC1;TNK2;HAGHL;LIMK1;GFAP;NFASC;EZH1;HCN2",59
"2","hippocampus","23/176",0.931360234430373,1,0,0,0.774181387333046,0.0550513755613392,"HRK;BRSK1;ROBO3;RIC3;CNTNAP1;KSR1;CTTNBP2;CABP7;CPNE7;PLEKHG5;CAMK2A;LIN7B;CAMKK1;DDN;SLC4A8;GJC3;EFNA2;FAM131A;PTK2B;SLC17A7;TBKBP1;PLXNA4;CDK5R1",23
"3","mammary_gland_non-lactating","25/201",0.96691097887715,1,0,0,0.73683714130768,0.0247937201129812,"NOTCH3;FITM1;ATP2A1;SLC2A4;KCNA7;NDRG2;TOB1;GOLGA4;PDLIM3;PDK4;TMEM38A;SCN1B;STAT5B;PSPN;KSR1;ACTN2;FZD9;STAC3;COBL;SYPL2;PLIN4;TCAP;SCN4A;TRIM54;SMTNL1",25
"4","cerebral_cortex_prefrontal","44/344",0.985252604074942,1,0,0,0.757742753223851,0.0112579506747234,"CYFIP2;HRK;RTN4R;BRSK1;CRTC1;CAMK2A;DTX1;FBLL1;SOBP;LIN7B;SYNGR1;SIPA1L1;BCL7A;CAMK2N1;CREG2;KCNMB4;BSN;MARK4;GRASP;RGS6;B4GALNT4;PRRT1;MEF2C;FBXW7;LMO4;KCNJ9;TTC7B;VPS37D;TTC9B;RUNDC3A;SRCIN1;PGM2L1;SYT17;CACNB1;ARHGAP32;IRGQ;EFNA3;DAAM1;RIMBP2;ARHGEF4;SPIRE1;APBA2;GAS8;R3HDM2",44
"5","spleen","9/100",0.991854483558726,1,0,0,0.533175355450237,0.00436077320878301,"ST6GAL1;ACAP1;AKNA;SLC40A1;DTX1;PRKD2;DLL1;KAZALD1;ARHGAP4",9
"6","B-cells_GL7_positive_Alum","13/142",0.997126762614286,1,0,0,0.542353647954075,0.00156055377344232,"KHNYN;PLEKHA2;WHRN;HDAC11;EIF2AK3;KLHL24;IFFO1;PPM1A;PTP4A3;ABLIM1;CARNS1;NEIL1;ORAOV1",13
"7","osteoclasts","9/110",0.997340460642599,1,0,0,0.484704868591124,0.0012908089151523,"ABCD4;SLC37A2;TFRC;EYA1;UBN2;NCKAP5L;STARD9;HBP1;GPR137B",9
"8","ovary","14/153",0.997891360112391,1,0,0,0.542080971409101,0.00114426039961774,"OVGP1;TLE2;TMEM86A;INHBB;FOXL2;HSD17B7;SERPINA5;SULF2;GDF9;LBX2;GRB14;HOXC4;ZP3;INHA",14
"9","lung","41/354",0.997985608517461,1,0,0,0.686132754973626,0.00138353393530814,"DOCK6;CLIC5;NOTCH3;RAMP2;COL13A1;PDGFB;LTBP4;SEMA3G;ADRB2;AGER;DLL1;RASIP1;THBS3;HDAC7;DLL4;PDZD2;ATP7B;SNX25;PRX;S1PR1;BEND7;EGFL7;FOXF2;NEBL;ABCA3;TIE1;STARD9;MTUS1;SHROOM3;NPNT;DUSP7;ACER2;RNF144A;BCAM;PTPRB;CYP1A1;CDHR3;PECAM1;CHI3L1;TRIM16;TEK",41
"10","mast_cells_IgE+antigen_1hr","28/265",0.998650263751719,1,0,0,0.62595010283466,0.000845438231161583,"CDKN1A;SHC2;SLC44A1;CAMK2A;TMEM51;CHD2;ARHGAP6;NDRG1;INPP5D;LEPR;SLC26A11;HAVCR2;KLHDC2;KDM6B;PLK3;JUND;CISH;DENND4A;LIMK1;COBL;NSUN6;CSNK1E;RSBN1;TTC39B;IL4;BMP2K;PRKD2;TSSK3",28
