"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","EZH2_CHEA","42/237",0.390455292745043,1,0,0,1.04985302057712,0.987325668044884,"HRK;LRSAM1;COLGALT2;TNXB;RAB3A;FAM69C;PRDM6;KCNA2;PDGFB;AGAP2;HOXB13;NPAS1;RHOBTB1;PHF21B;FGF9;THPO;ZIC2;DPF3;RNF150;NPTX1;HES2;PLXNA4;EMX1;COL26A1;SKOR1;PLK5;SLC30A3;TFAP2E;BCL11A;SAMD4A;ADAM11;KCNK15;INHBB;FOXL2;MAFA;ARID3C;MAPK12;MAPK11;ENTHD1;CD24;CNIH3;CCNO",42
"2","ESR1_CHEA","23/154",0.771740150618997,1,0,0,0.884778728380624,0.229252696491445,"MYOG;CA12;SCARB1;AFAP1L2;CNTNAP1;PLEKHH2;GDF15;ITPR1;HOXC13;GAB2;PLA2G6;LITAF;RAPGEFL1;EFNA1;TOM1L2;BCL6;C1QTNF6;PDK4;BMP2K;LONP2;BMF;MAPT;RALGPS2",23
"3","ZEB1_ENCODE","15/106",0.809520239043048,1,0,0,0.838326030582134,0.177149611243753,"MREG;PCYT2;LMNTD2;TAF11;SAV1;DLL4;GGA1;PPM1B;TMEM129;JMY;MIR4530;DHCR7;LRCH4;LPIN3;LLGL2",15
"4","FOXP2_ENCODE","26/178",0.818732572641194,1,0,0,0.865328292241333,0.173063735327911,"HERPUD2;BTG1;WBP2;PRKRIP1;IRS2;BAZ2A;NDRG1;ZBTB4;HDAC7;MNT;GRK4;IER2;TBC1D15;KLHDC2;DUSP4;TSC22D4;JUND;SEPT7P2;METTL25;PIK3IP1;ATG2A;HBP1;KIZ;DDX11L2;SIDT2;DCP1B",26
"5","MYOD1_ENCODE","24/166",0.826008431624331,1,0,0,0.856506595100782,0.163721490666034,"ASCL5;SLC37A2;CALCOCO1;DMPK;PLEKHB1;MUM1;MYBPH;STAC3;ATP2A1;SLC2A4;MAFA;TAZ;SULF1;RUNDC3A;RHOBTB1;CACNB1;ZNF91;CDC34;FAM84A;ELMO3;TRIM16;PPFIA4;DNASE1L1;BET1",24
"6","EZH2_ENCODE","51/338",0.831208019636406,1,0,0,0.893883732017163,0.165256925670966,"HRK;ITGB4;EFCAB13;KLHL35;SLC2A4;SOBP;SLC4A4;JPH1;C1QTNF4;TMEM221;HEY2;KIF5A;RBPMS2;MCF2L2;CA14;PIANP;C9ORF66;COX6B2;EML2;RGS9BP;NEIL1;OSBP2;SHC2;GIPR;CTTNBP2;GLS2;PPM1N;SLCO5A1;NPAS1;HDAC9;FBLN5;DLL3;STOX2;CNR1;CASKIN1;SPTSSB;HES3;PLXNA4;B4GALNT4;HES4;COL26A1;FAM213A;EPOR;GRIN2D;MLXIPL;GRIN3B;NOVA2;CCDC88C;CYP1A1;RGL3;HCN2",51
"7","VDR_CHEA","10/76",0.847219620673762,1,0,0,0.779496133699177,0.129236815234167,"TLE4;SLC37A2;ELL;CLMN;C14ORF28;SFXN3;DDX60L;DENND6B;SNX30;SULF2",10
"8","CEBPB_ENCODE","18/144",0.940390369988612,1,0,0,0.740521327014218,0.0455125908649521,"PLEKHH3;MPG;TNNC1;RPL13A;KLHL24;NEAT1;DUSP16;YBX3;MNT;GPR153;BCL6;NDUFS7;ELMSAN1;MARS;CHAC1;RHOQ;STK40;SH2B2",18
"9","TP53_CHEA","44/319",0.943523637627749,1,0,0,0.81712698153293,0.047502746656142,"BTG2;CDKN1A;DYRK3;CAMK2D;BTG1;SERPINE2;COL11A2;ABHD1;ADRB2;CACNA1C;ESPN;CHD2;HSD17B8;EDA2R;BBC3;INPP5B;PIDD1;FAM166A;ZNF608;CCND2;RPS19;GLIPR2;ZMAT3;GNG7;PRX;TCTEX1D4;ANKRD10;PGPEP1;HES2;E2F7;SLC34A3;PLK3;SLC12A4;EDN2;GDF15;VPS13C;IRF2BP2;FRMD4A;COX6B2;DDB2;LENEP;RRM2B;BAX;CDKL1",44
"10","FOSL2_ENCODE","24/196",0.970964295937356,1,0,0,0.725408646871071,0.0213745878019377,"SLC22A4;TMEM184A;BTBD19;FAM46B;IFRD1;PPP2R5B;VTRNA1-1;NR1D1;PTPRH;HDAC7;NME1-NME2;EFNA1;MNT;NDUFS7;ERBB3;ZNF219;VTRNA1-3;MICALL2;TCTEX1D4;ZNF227;UPP1;SH2D5;STK40;ZKSCAN1",24
"11","KAT2A_ENCODE","9/90",0.976776770803513,1,0,0,0.592417061611374,0.0139201050841809,"RPS15;LRSAM1;RPL12;RPS6;RPL36;RPL13;RPL37;LIAS;RPL18",9
"12","ZC3H11A_ENCODE","14/129",0.97942373389802,1,0,0,0.642933245159631,0.0133671652479534,"ACHE;ACBD4;SFSWAP;TANGO2;ARID3A;SPATA20;CLU;BEST1;CCDC88C;TBC1D14;PTK2B;DIP2B;PLCD3;ISCU",14
"13","BCL3_ENCODE","34/273",0.982658832857229,1,0,0,0.737808794680833,0.01290670052679,"KMT2E;NUMBL;PRKRIP1;PHF1;ROGDI;POMT1;USE1;BBC3;TM7SF2;SYCE2;INPP5E;TRAPPC12;AMH;TAS1R3;NANOS1;JUND;IL11RA;DENND4A;EDEM1;RPS6;PLA2G4C;ABCA7;PTK6;RAD23A;TFAP4;TTLL3;POLG2;NDUFS7;FAM131A;TSSK6;TUBGCP6;MALAT1;PHPT1;RGL2",34
"14","FOXA1_ENCODE","24/205",0.984701169683988,1,0,0,0.693561437984048,0.0106926816813323,"MANBA;ASAH1;BTG1;PNPLA7;PELI2;ZBTB42;BAZ2A;ZFP36L2;TFAP4;BCL6;NINJ1;KLF9;FAM53C;SFXN3;TCP11L2;ULK1;HBP1;SLC38A3;LRP10;RASA4CP;EZH1;RAPGEF3;PDZD7;LLGL2",24
"15","NELFE_ENCODE","27/234",0.991292699692457,1,0,0,0.683558148013124,0.0059780101722779,"EIF4A2;KMT2E;LRSAM1;BTG1;TFRC;RPL12;ITPR1;ZBTB4;TOB1;ZCWPW1;RPS16;FAM53C;PACSIN2;RPL13;CEP95;GLUL;FAM46C;GDF15;RPS6;CIRBP;NEAT1;EEF2;BAIAP2;VAMP1;MALAT1;GAS5;FTL",27
"16","IRF8_CHEA","11/121",0.995169636541607,1,0,0,0.53856096510125,0.00260774847511881,"ZNF296;MNT;DGKA;CTPS2;N4BP2L1;IRF5;PPM1K;SNX30;HOXC10;ATP6V0A1;PARP8",11
"17","GATA1_CHEA","109/807",0.996780580496277,1,0,0,0.800166787058734,0.00258022821119632,"IFITM3;SCARB1;TFRC;RAB3D;HDAC11;FAIM2;ICAM5;LIPA;TGM1;STK11;ZFP36;GOLGA4;ZNF608;RPS6KA2;DPF3;GLUL;RGS6;CDK5RAP2;HEMK1;ST6GAL1;CISH;PRKCB;LMO2;MITF;FRMD4A;ATG14;ANK1;UNC13D;KCNQ4;PRKCQ;HPD;NOTCH2;SLC22A4;MTMR3;FAXDC2;NPRL3;ITPR1;GATA2;FOXO1;ZFP36L2;NOP9;SNN;ASIC4;SEC14L1;HRH2;INPP5D;PACSIN2;ST3GAL5;GAS2L1;PPARGC1B;PLXNA4;IVNS1ABP;RAP1GAP2;SMAD3;BCL11A;TNK2;MICAL3;MTHFR;CCDC88B;RANBP10;MAFK;TMCC2;RNF187;ACHE;DYRK3;BTG2;THRA;ICA1;SLC40A1;PITPNC1;ANKRD9;MYO18A;CLUL1;CHST6;KCND1;KSR1;VPS13D;COBL;RAB3IL1;GP1BA;NAV2;SPTB;GCHFR;GAN;PITPNM2;BMP2K;OR52A1;ASAH1;WBP2;PRUNE2;PRAM1;ABLIM1;S1PR1;PTK2B;MEF2D;FAM46C;GDF15;SAMD4A;MBOAT1;ARID3A;FAM213A;EPOR;TTC39B;MAPK13;KLF1;MEIS1;KLF9;SPRY1;PNPLA6",109
