"","meanx","meany","FC","logFC","Contrast"
"Ube2c",7.05555555555554,9327.61111111108,1322.02362204724,10.3685322399539,"PSVZbyQSVZ"
"Pbk",6.11111111111113,3115.16666666664,509.75454545454,8.99365892450995,"PSVZbyQSVZ"
"Ascl1",11.7222222222222,4621.33333333328,394.236966824641,8.62291925117413,"PSVZbyQSVZ"
"Ung",5.33333333333334,2007.91666666667,376.484375000001,8.55644618062735,"PSVZbyQSVZ"
"Mycn",5.00000000000002,1760.27777777779,352.055555555556,8.45965929875154,"PSVZbyQSVZ"
"Ccna2",5.00000000000002,1725.36111111109,345.072222222216,8.43075453351282,"PSVZbyQSVZ"
"Dlx1",6.33333333333332,2109.50000000001,333.078947368423,8.37972035949693,"PSVZbyQSVZ"
"Uhrf1",5.00000000000002,1458.25000000001,291.65,8.1880942639264,"PSVZbyQSVZ"
"Kif20a",7,1841.05555555551,263.00793650793,8.03896252460742,"PSVZbyQSVZ"
"Timeless",4.66666666666667,1218.33333333334,261.07142857143,8.0283007687822,"PSVZbyQSVZ"
"Kif11",5.99999999999998,1540.94444444441,256.824074074069,8.00463663335409,"PSVZbyQSVZ"
"2810417H13Rik",5.00000000000002,1235.33333333336,247.066666666672,7.94875657041878,"PSVZbyQSVZ"
"Aspm",5.00000000000002,1181.08333333334,236.216666666667,7.8839669498911,"PSVZbyQSVZ"
"Cd24a",7.00000000000002,1625.36111111112,232.194444444445,7.85918964402673,"PSVZbyQSVZ"
"Larp7",7.2777777777778,1601.38888888889,220.03816793893,7.78160998588904,"PSVZbyQSVZ"
"Mcm6",5.00000000000002,1077.58333333333,215.516666666666,7.75165563211733,"PSVZbyQSVZ"
"3010003L21Rik",5.66666666666668,1160.72222222221,204.833333333331,7.67830669965149,"PSVZbyQSVZ"
"Casc5",5.00000000000002,987.722222222226,197.544444444445,7.62603346365219,"PSVZbyQSVZ"
"Cdk6",5.00000000000002,906.500000000001,181.3,7.50223511485679,"PSVZbyQSVZ"
"Myt1",5.99999999999998,1082.47222222224,180.412037037041,7.49515178776,"PSVZbyQSVZ"
"Birc5",5.33333333333332,956.416666666657,179.328124999999,7.48645796139426,"PSVZbyQSVZ"
"Cdca2",5.00000000000002,877.472222222205,175.49444444444,7.45528155022298,"PSVZbyQSVZ"
"Ect2",5.00000000000002,873.055555555549,174.611111111109,7.44800155535642,"PSVZbyQSVZ"
"Rrm2",5.66666666666666,983.972222222235,173.642156862748,7.4399734377492,"PSVZbyQSVZ"
"Gas2l3",5.99999999999998,1024.52777777776,170.754629629627,7.41578088426759,"PSVZbyQSVZ"
"Mcm5",5.00000000000002,848.249999999994,169.649999999998,7.4064176198236,"PSVZbyQSVZ"
"Atad2",16.2777777777778,2717.88888888884,166.969283276448,7.38343890959553,"PSVZbyQSVZ"
"Spc25",7.00000000000002,1165.66666666664,166.523809523805,7.37958465791892,"PSVZbyQSVZ"
"Cenpk",5.00000000000002,828.833333333327,165.766666666665,7.37301012019423,"PSVZbyQSVZ"
"Nrm",5.00000000000002,806.833333333332,161.366666666666,7.33419878325233,"PSVZbyQSVZ"
"Smc2",10.9444444444444,1760.61111111109,160.868020304567,7.32973374434077,"PSVZbyQSVZ"
"Ncapg",12.1111111111111,1894.99999999999,156.467889908256,7.28972280972383,"PSVZbyQSVZ"
"Lmnb1",15.9444444444445,2471.61111111111,155.013937282229,7.27625412362268,"PSVZbyQSVZ"
"Cenpf",5.00000000000002,768.333333333333,153.666666666666,7.26366043970818,"PSVZbyQSVZ"
"Arhgap11a",5.99999999999998,915.944444444443,152.657407407408,7.25415378502302,"PSVZbyQSVZ"
"Mcm2",5.66666666666666,852.861111111109,150.504901960784,7.23366666625701,"PSVZbyQSVZ"
"Racgap1",5.99999999999998,852.666666666657,142.11111111111,7.15087554743931,"PSVZbyQSVZ"
"Draxin",5.00000000000002,660.194444444445,132.038888888889,7.04481909317793,"PSVZbyQSVZ"
"Plk4",5.00000000000002,648.5,129.7,7.01903466936433,"PSVZbyQSVZ"
"Brca1",6.33333333333332,814.527777777782,128.609649122808,7.0068550767594,"PSVZbyQSVZ"
"Ccnd2",52.2777777777778,6487.27777777773,124.092454835281,6.95527158805809,"PSVZbyQSVZ"
"Mex3a",3.99999999999999,496.36111111111,124.090277777778,6.95524627743289,"PSVZbyQSVZ"
"Dll1",3.99999999999999,496.249999999999,124.0625,6.95492329203032,"PSVZbyQSVZ"
"Aurka",8.22222222222222,1016.94444444444,123.682432432432,6.95049678756295,"PSVZbyQSVZ"
"Nop58",13.4444444444444,1662.16666666667,123.632231404959,6.94991109827746,"PSVZbyQSVZ"
"Otx1",6.94444444444445,852.194444444434,122.715999999998,6.9391795530035,"PSVZbyQSVZ"
"Lig1",7.05555555555554,850.888888888886,120.59842519685,6.91406725807799,"PSVZbyQSVZ"
"Cdt1",15.3333333333333,1843.47222222223,120.226449275363,6.90961050712809,"PSVZbyQSVZ"
"Mki67",83.2777777777779,9965.16666666673,119.661774516345,6.90281855238924,"PSVZbyQSVZ"
"Tyms",23.0555555555555,2696.44444444445,116.95421686747,6.86980006979864,"PSVZbyQSVZ"
"Defa3",5.00000000000002,563.722222222223,112.744444444444,6.81691253527385,"PSVZbyQSVZ"
"Ckap2",5.33333333333334,600.388888888888,112.572916666666,6.81471596843178,"PSVZbyQSVZ"
"E2f8",5.00000000000002,555.75,111.15,6.79636413813962,"PSVZbyQSVZ"
"Bub1b",5.00000000000002,547.611111111112,109.522222222222,6.77507981427768,"PSVZbyQSVZ"
