"","logFC","logCPM","LR","PValue","adj.P.Val","Contrast","FC"
"Ube2c",10.3347478527209,9.59931402789465,232.313897301809,1.86522361678986e-52,4.0092981642898e-48,"PSVZbyQSVZ",1291.42473793259
"Ttr",-9.60644989599812,9.25523100349218,129.523547968767,5.2094752671654e-30,5.59888354338601e-26,"PSVZbyQSVZ",0.00128283390426682
"Ptgds",-4.50617565893844,9.94167426711904,105.940042618174,7.60002651285496e-25,5.44541899646058e-21,"PSVZbyQSVZ",0.0440053987775515
"Sparcl1",-3.65295663187573,10.5223273226593,95.7077093863315,1.33160890437636e-22,7.15573334989248e-19,"PSVZbyQSVZ",0.0794969526031481
"Pbk",8.95652169721109,8.02061046463912,94.0591890875918,3.06228449108457e-22,1.31647610271726e-18,"PSVZbyQSVZ",496.800114972737
"Ascl1",8.60987186346977,8.59047905829456,92.5930005732251,6.42342094561336e-22,2.30119055376599e-18,"PSVZbyQSVZ",390.687656061889
"Lcat",-8.68857302027823,8.05444971168137,90.1360722281222,2.22330985576661e-21,6.82714933567191e-18,"PSVZbyQSVZ",0.00242370021501962
"Hmgb2",4.62050736920441,9.98732339112074,76.6233820100414,2.06875715037419e-18,5.55849186841166e-15,"PSVZbyQSVZ",24.5986522713609
"Mki67",6.88359717165405,9.70676507726735,74.7035172930817,5.46985856183836e-18,1.30638455318573e-14,"PSVZbyQSVZ",118.078064777972
"Pla2g7",-5.55887980164786,9.39331501738267,73.0096481201414,1.29017598179623e-17,2.77323327287099e-14,"PSVZbyQSVZ",0.0212134076352173
"Mfap3l",-7.30093103418156,8.28196682336595,72.2624312743324,1.88400137335521e-17,3.68150995638821e-14,"PSVZbyQSVZ",0.006341627995916
"Ung",8.51303472907318,7.38791004177334,71.0227341019353,3.53132245359834e-17,6.32548134500803e-14,"PSVZbyQSVZ",365.324507580685
"Cxcl14",-7.54094790884027,8.29843762514104,70.3087956008376,5.07110859036128e-17,8.38488301152429e-14,"PSVZbyQSVZ",0.00536968097079237
"Tspan7",-2.62842680794339,10.5309391119474,69.4312948004625,7.9123225457398e-17,1.18356692320794e-13,"PSVZbyQSVZ",0.161720356265579
"Dlx1",8.34445098721893,7.46054425366766,69.3466295242423,8.25936443271416e-17,1.18356692320794e-13,"PSVZbyQSVZ",325.034937031763
"Tubb5",4.77663933051345,9.0692230687417,68.180546398138,1.49190353803612e-16,2.0042791593804e-13,"PSVZbyQSVZ",27.4101692348633
"Mycn",8.41674074684424,7.20036196977854,67.4983547906144,2.10862973310965e-16,2.66617624195247e-13,"PSVZbyQSVZ",341.736549864702
"Atad2",7.36047656284522,7.83108796412785,66.8977841608632,2.8595614165807e-16,3.41479292496678e-13,"PSVZbyQSVZ",164.332789676698
"Gdf10",-7.87246975211749,7.82220447380338,64.3878324462165,1.02187269353974e-15,1.13037806820227e-12,"PSVZbyQSVZ",0.00426727336153432
"Hist1h2ab",6.46229564475251,8.47444477382597,64.331035128433,1.05175907718285e-15,1.13037806820227e-12,"PSVZbyQSVZ",88.1748703813373
"Gm10052",3.07590902029952,10.0960286687098,63.7867723856597,1.38641362533797e-15,1.36624781657671e-12,"PSVZbyQSVZ",8.432199615464
"Ccna2",8.385198439042,7.1689868690515,63.7698894254425,1.39834621840835e-15,1.36624781657671e-12,"PSVZbyQSVZ",334.346090788487
"Lmnb1",7.25141117771847,7.69425787152915,62.7488417538639,2.34819641363573e-15,2.19454269178696e-12,"PSVZbyQSVZ",152.36747668763
"Gm8203",3.57913191032137,10.2889012785646,62.198970260672,3.10450213602795e-15,2.78046972558003e-12,"PSVZbyQSVZ",11.9516003808151
"Ttyh1",-2.73714289577268,10.5699765080942,60.2797355258297,8.22902456760854e-15,7.07531532322982e-12,"PSVZbyQSVZ",0.149981566716417
"Atp1a2",-2.29595366747757,10.7732247754204,59.2767207487454,1.36987528401581e-14,1.13251804730461e-11,"PSVZbyQSVZ",0.203633430402553
"Kif11",7.96793094224185,7.01070876741593,58.8539706449249,1.69818732541266e-14,1.35194579850908e-11,"PSVZbyQSVZ",250.372264298843
