"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","Etoposide-100_mg/kg_in_Corn_Oil-Rat-Bone_marrow-0.25d-dn","133/310",9.02992031852729e-11,7.11196524287209e-07,0,0,1.64065873064825,37.9449787181954,"TXN1;MDC1;EIF4A1;NUP107;MKI67;RPL10A;PHB2;BZW1;RPS15;PPP1CC;RPS17;TUBB5;TRIM28;PSMD3;STMN1;CFL1;KNTC1;SEPHS1;LZTS2;RPS10;TMPO;HMGN1;LIG1;RPS5;RPS6;RPSA;ACYP1;MSH2;CCNE1;CLNS1A;VDAC3;TFAM;SNRPB;DNMT1;GYPC;CDCA4;CTBP1;CDCA8;IQGAP3;INPP5B;PRDX2;RACGAP1;PRKAR2A;ESD;SNX5;PCK2;BTF3;NUP155;CNOT10;EIF2S2;NET1;CS;PKIB;COPS6;H1F0;ANP32E;CYCS;RNPS1;MXD3;RNF187;RERE;FEN1;NXT1;USP33;GDI2;HMGB2;ATP5G2;ATP5G1;KIF15;ALAD;XPO1;NNT;C1QBP;CASP2;MYBL2;GUSB;LBR;POLE;TCF19;RFC3;H2AFY;ACTL6A;CKAP5;MRPS5;PSMA5;CCNA2;SFPQ;ESPL1;INCENP;KIFC1;TCP1;MYH9;MCM4;GARS;MCM5;DNAJC9;TOP1;USP14;PRPS1;SF3B3;AHCY;PCNA;HDAC1;PRIM1;DOT1L;NEDD8;AURKB;EXOSC7;USP1;RALY;RBBP6;RBBP7;NPM1;DUT;RRM1;CDKN2C;MDH2;ATAD2;XPO7;IMMT;DEK;HIPK1;HSPE1;NAP1L4;POLE4;BRE;PRC1;PSMC2;SERBP1;RQCD1;TARDBP;RAN;TPT1",133
"2","Vinblastine-0.3_mg/kg_in_Saline-Rat-Bone_marrow-1d-dn","119/279",1.33135507983074e-09,5.24287630437345e-06,0,0,1.63106423514738,33.334171593566,"TXN1;MDC1;MRFAP1;MKI67;RPL10A;RPL6;RPS15;EEF1B2;RPS17;TUBB5;PSMD2;STMN1;KNTC1;LZTS2;MAF1;RPS10;TMPO;HMGN1;USP7;LIG1;IFRD2;RPS6;RPSA;NUP93;CARHSP1;EWSR1;CCNE1;VDAC3;CGGBP1;GYPC;CDCA4;CTBP1;PSMD13;CDCA8;NEDD4L;PRDX2;BCL2L13;RACGAP1;PRKAR2A;PIP5K1B;PCK2;TRAPPC1;CBX5;EIF2AK1;ASNS;CNOT10;TJAP1;CLK3;NET1;H1F0;ANP32E;RNPS1;CNOT8;LSM14A;MYD88;MXD3;HBS1L;DAZAP1;FEN1;NXT1;USP33;MRPS12;HMGB2;ADRA1B;KIF15;ALAD;XPO1;TCP11L2;MYBL2;GUSB;LBR;POLE;BCAS2;YWHAH;TCF19;RFC3;BAZ1B;CKAP5;CCNA2;SFPQ;ESPL1;INCENP;KIFC1;TCP1;MCM4;GARS;MCM5;DNAJC9;TOP1;ZFP410;PRPS1;PCNA;MRPS35;HDAC1;AURKB;USP1;RBBP6;RBBP7;UBQLN4;DUT;RRM1;CDKN2C;ATAD2;XPO7;NMNAT3;DEK;HIPK1;RPIA;BRE;PSMC4;PRC1;PSMC1;PSMC2;SERBP1;TACC3;RQCD1;TARDBP;RAN;CDKN3",119
"3","Doxorubicin-3_mg/kg_in_Saline-Rat-Bone_marrow-3d-dn","116/276",5.97370469834756e-09,1.56829660680618e-05,0,0,1.6072269792446,30.434287025024,"CCNI;MKI67;RPL10A;PHB2;BZW1;RPS15;EEF1B2;FBL;PPP1CC;RPS17;TUBB5;TRIM28;STMN1;BANF1;KNTC1;RPS11;MAF1;RPS10;HMGN3;TMPO;HMGN1;BNIP3L;USP7;LIG1;IFRD2;RPS6;RPSA;CDC25B;NUP93;CARHSP1;EWSR1;SUB1;MTMR2;GYPC;PSMD13;CDCA8;NEDD4L;PRDX2;RACGAP1;LYAR;CDR2;PCK2;ASNS;TOR1B;EIF2S2;CLK3;PKIB;H1F0;ANP32E;RNPS1;CNOT8;LSM14A;ITPA;HBS1L;BTG2;DAZAP1;FEN1;NXT1;ATP5G2;ATP5G1;KIF15;ALAD;XPO1;C1QBP;TCP11L2;MYBL2;BCAS2;TCF19;RFC3;H2AFY;NSUN2;ACTL6A;CKAP5;GLTSCR2;CCNA2;SFPQ;ESPL1;INCENP;KIFC1;TCP1;MCM4;GARS;MCM5;DNAJC9;TOP1;EEF1E1;LUC7L2;PRPS1;SF3B2;PCNA;HDAC1;NEDD8;EXOSC7;PSMB7;RBBP7;MTA2;UBQLN4;DDX39;NPM1;DUT;RRM1;CDKN2C;FEM1B;ATAD2;XPO7;DEK;HIPK1;NAP1L4;PSMC4;PRC1;PSMC2;SERBP1;RQCD1;TARDBP;RAN;TPT1",116
"4","Ifosfamide-143_mg/kg_in_Saline-Rat-Bone_marrow-1d-dn","121/293",9.7967541492973e-09,1.92898089199664e-05,0,0,1.57923244082773,29.1229645268091,"MDC1;MKI67;RPL10A;PHB2;BZW1;RPL6;RPS15;EEF1B2;FBL;RPS17;TUBB5;RPS19;TRIM28;STMN1;OSBP;KNTC1;SEPHS1;RPS11;MAF1;RPS10;TMPO;HMGN1;BNIP3L;USP7;LIG1;IFRD2;RPS6;DNTTIP2;RPSA;CARHSP1;EWSR1;CCNE1;SUB1;VDAC3;ANP32A;GYPC;CDCA4;CTBP1;CDCA8;NEDD4L;PRDX2;RACGAP1;PRKAR2A;STK38;LYAR;PCK2;CBX5;ASNS;TBCA;EIF2S2;TJAP1;CLK3;NET1;PKIB;H1F0;ATG16L1;ANP32E;RNPS1;LSM14A;MXD3;ARF4;BTG2;DAZAP1;FEN1;NXT1;USP33;MRPS12;HMGB2;CTCF;KIF15;ALAD;XPO1;TCP11L2;MYBL2;BCAS2;YWHAH;TCF19;RFC3;ACTL6A;BAZ1B;CKAP5;MRPS5;GLTSCR2;CCNA2;PPM1A;SFPQ;ESPL1;INCENP;KIFC1;TCP1;MCM4;GARS;MCM5;DNAJC9;TOP1;PRPS1;SF3B2;PCNA;HDAC1;EXOSC7;RBBP7;DDX39;NPM1;DUT;RRM1;CDKN2C;FEM1B;ATAD2;XPO7;DEK;HIPK1;RPIA;PRPF39;PSMC4;PRC1;PSMC2;SERBP1;TACC3;TARDBP;RAN;CDKN3",121
"5","Daunorubicin-3.25_mg/kg_in_Saline-Rat-Bone_marrow-1d-dn","123/304",3.05388269001693e-08,4.81047601331467e-05,0,0,1.54724766025964,26.7739865505969,"TXN1;MDC1;NUP107;MRFAP1;MKI67;RPL10A;RPS15;EEF1B2;PPP1CC;PSMD6;RPS17;TUBB5;STMN1;COTL1;KNTC1;SEPHS1;RPS11;RPS10;TMPO;HMGN1;USP7;LIG1;RPS5;RPS6;RPSA;FBXO11;NUP93;CARHSP1;COX7A2L;TYROBP;EWSR1;CCNE1;ERP29;SNRPB;PSMD13;CDCA8;RACGAP1;STK38;BTF3;TRAPPC1;CBX5;CNOT10;TBCA;COQ7;CLK3;COL1A1;PKIB;PTPRA;ATG16L1;GNB1;ANP32E;RNPS1;LSM14A;MXD3;BTG2;DAZAP1;FEN1;MRPS12;HMGB2;LSP1;KIF15;LIMD2;ALAD;XPO1;ZC3H7A;MYBL2;POLE;TCF19;RFC3;H2AFY;NSUN2;ACTL6A;BAZ1B;DYNLL1;CKAP5;ARID1B;GLTSCR2;CCNA2;PSMA1;ESPL1;INCENP;KIFC1;TCP1;MCM4;GARS;MCM5;DNAJC9;TOP1;SF3B2;PCNA;MRPS35;UHRF2;PRIM1;NEDD8;EXOSC7;ADRBK1;UBQLN1;RBBP6;RBBP7;DDX39;YTHDF1;NPM1;DUT;RRM1;CDKN2C;SSB;TTC13;NAP1L1;DEK;HIPK1;HSPE1;PPP1CA;NAP1L4;RPIA;PSMC4;PRC1;SERBP1;TACC3;RQCD1;VIM;TARDBP;RAN;TPT1",123
"6","Daunorubicin-3.25_mg/kg_in_Saline-Rat-Bone_marrow-3d-dn","109/264",5.26080587203306e-08,6.90568450802207e-05,0,0,1.57888637812156,26.4627617594392,"TXN1;MDC1;CCNI;MKI67;PHB2;RPS15;EEF1B2;FBL;RPS17;TUBB5;TRIM28;PSMD2;STMN1;KNTC1;RPS11;MAF1;RPS10;TMPO;HMGN1;BNIP3L;USP7;LIG1;IFRD2;RPS6;RPSA;NUP93;CARHSP1;SUB1;CGGBP1;SNRPB;GYPC;CDCA4;CTBP1;PSMD13;CDCA8;NEDD4L;PRDX2;RACGAP1;LYAR;CDR2;PCK2;BTF3;ASNS;CNOT10;CLK3;H1F0;ANP32E;RNPS1;CNOT8;LSM14A;ITPA;HBS1L;BTG2;FEN1;NXT1;MRPS12;KIF15;ALAD;XPO1;C1QBP;CASP2;MYBL2;BCAS2;TCF19;RFC3;H2AFY;NSUN2;ACTL6A;BAZ1B;CKAP5;CCNA2;SFPQ;ESPL1;INCENP;KIFC1;TCP1;MCM4;MCM5;DNAJC9;TOP1;LUC7L2;PRPS1;SF3B2;MRPS35;HDAC1;TIMM13;EXOSC7;POLR2G;RBBP7;MTA2;UBQLN4;DDX39;DUT;RRM1;CDKN2C;FEM1B;XPO7;IMMT;DEK;HIPK1;NAP1L4;RPIA;BRE;PSMC4;PRC1;SERBP1;RQCD1;TARDBP;RAN",109
"7","Cytarabine-487_mg/kg_in_Saline-Rat-Bone_marrow-5d-up","123/307",5.90080234005292e-08,6.63924560432241e-05,0,0,1.53212797628316,25.5031778169167,"TXN1;MDC1;MRFAP1;MKI67;BZW2;RPL10A;PHB2;BZW1;RPL6;TOMM22;RPS15;PSMD9;RPS17;TUBB5;RPS19;PSMD2;STMN1;LZTS2;RPS10;HMGN1;BNIP3L;SMARCC1;LIG1;IFRD2;RPS6;RPSA;NUP93;CCNE1;SUB1;VDAC3;UBE2V2;CD2BP2;GYPC;CDCA4;CTBP1;CDCA8;NEDD4L;PRDX2;RACGAP1;PRKAR2A;ESD;PLCG1;SNX5;PCK2;CNOT10;EIF2S2;CLK3;COL1A1;NET1;H1F0;ARL2BP;ANP32E;LSM14A;ITPA;HBS1L;FEN1;NXT1;USP33;MRPS12;HMGB2;KIF15;ALAD;XPO1;C1QBP;CASP2;MYBL2;TK1;BCAS2;YWHAH;TCF19;GRIPAP1;RFC3;NSUN2;ACTL6A;BAZ1B;DYNLL1;CKAP5;NME1;PSMA5;CCNA2;ESPL1;INCENP;KIFC1;TCP1;MCM4;GARS;MCM5;DNAJC9;TOP1;LUC7L2;USP14;PRPS1;SF3B2;SF3B3;PCNA;MRPS35;HDAC1;DOT1L;SLC7A1;TCEAL8;PDLIM1;MFN2;RBBP7;MTA2;NPM1;DUT;RRM1;CDKN2C;ATAD2;XPO7;IMMT;DEK;HIPK1;HSPE1;TARBP2;PSMC4;PRC1;PSMC1;PSMC2;SERBP1;TARDBP;RAN;TPT1",123
"8","Lead_(II)_Acetate-200_mg/kg_in_Saline-Rat-Bone_marrow-1d-dn","93/217",6.15436450112327e-08,6.05897185135586e-05,0,0,1.63889647637258,27.2114491759433,"TXN1;MDC1;EIF4A1;DAZAP1;FEN1;POP7;NXT1;MRPS12;LSP1;RPL10A;PHB2;ATP5G1;RPL6;RPS15;EEF1B2;ALAD;FBL;TUBB5;RPS19;TRIM28;KNTC1;MYBL2;MAF1;ARID2;RPS10;BCAS2;HMGN1;YWHAH;BNIP3L;RFC3;MRPS25;IFRD2;NSUN2;ACTL6A;RPS6;MIF;CKAP5;GLTSCR2;NUP93;PSMA5;CCNA2;COX7A2L;SFPQ;PSMA1;INCENP;KIFC1;CCNE1;PPIE;MCM4;GARS;DNAJC9;NSMAF;SF3B2;PCNA;GYPC;MRPS35;CTBP1;PSMD13;HDAC1;DDX1;CDCA8;MRPL17;EXOSC7;PRDX2;PSMB7;SAMM50;DNPEP;PRKAR2A;RBBP7;POLR2I;LYAR;UBQLN4;MBD3;NPM1;TRAPPC1;CBX5;ATAD2;ASNS;NMNAT3;TBCA;DEK;HIPK1;HSPE1;POLE4;COPS6;H1F0;PSMC4;PRC1;PSMC2;SERBP1;ANP32E;TACC3;RQCD1",93
"9","Camptothecin-2.5_mg/kg_in_Saline-Rat-Bone_marrow-3d-up","136/349",8.71234014380612e-08,7.62426566362411e-05,0,0,1.49019049236551,24.2244477032858,"TXN1;VPS29;EIF4A1;CSE1L;MRFAP1;MKI67;RPL10A;PHB2;BZW1;IPO7;RPL6;EEF1B2;FBL;PSMD6;RPS19;TRIM28;STMN1;KNTC1;SEPHS1;LZTS2;TMPO;HMGN1;LIG1;TPM4;RPS6;TALDO1;ATP1B3;ACYP1;NGFRAP1;MSH2;CCNE1;SUB1;PSME3;PSME1;PPIF;GEMIN6;ANAPC5;CBLL1;DNMT1;GYPC;CTBP1;SHMT2;MRPL18;DDX1;CDCA8;MRPL17;ATP5O;GSPT1;STIP1;LARS;PRKAR2A;ESD;LYAR;SNX5;PCK2;BTF3;PYCR2;TBCA;EIF2S2;NET1;CS;CYCS;IARS;DAZAP1;NXT1;MRPS12;HMGB2;YBX1;ATP5G1;ALAD;XPO1;C1QBP;COL10A1;MYBL2;BCAS2;YWHAH;MRPS25;PARP2;NSUN2;ACTL6A;NME2;CACYBP;BAZ1A;PLRG1;BAZ1B;MRPS5;GLTSCR2;NME1;PSMA5;CCNA2;EEF1G;PSMA1;KIFC1;TCP1;MCM4;GARS;MCM5;DNAJC9;LCP1;PRPS1;SF3B3;PCNA;HDAC1;SSNA1;PRIM1;TYMS;SRM;EXOSC7;TCEAL8;PDLIM1;PSMB7;SAMM50;UBQLN1;POLR2F;RALY;ADSS;NPM1;RRM1;MDH2;ATAD2;CCDC59;IMMT;PTPN11;DEK;HIPK1;HSPE1;TARBP2;POLE4;NIN;PRC1;NEDD4;ASB8;PSMC2;TRIP13;VIM;CDKN3",136
"10","Oxaliplatin-8_mg/kg_in_Saline-Rat-Bone_marrow-1d-dn","115/287",1.55711600775686e-07,0.00012263845677093,0,0,1.53230158360038,24.0192261100192,"MDC1;MKI67;EEF1B2;FBL;RPS17;TUBB5;RPS19;TRIM28;STMN1;KNTC1;RPS11;MAF1;RPS10;TMPO;HMGN1;USP7;LIG1;IFRD2;RPS5;RPS6;RPSA;EWSR1;CCNE1;SUB1;VDAC3;CGGBP1;SNRPB;GYPC;CDCA4;CTBP1;PSMD13;CDCA8;GSPT1;PRDX2;RACGAP1;PRKAR2A;STK38;PCK2;BTF3;TRAPPC1;CBX5;CNOT10;TBCA;EIF2S2;TJAP1;CLK3;PKIB;COPS6;H1F0;ANP32E;RNPS1;CNOT8;LSM14A;MXD3;BTG2;DAZAP1;FEN1;NXT1;MRPS12;HMGB2;YBX1;KIF15;ALAD;XPO1;MYBL2;BCAS2;YWHAH;TCF19;NSUN2;ACTL6A;BAZ1B;CKAP5;CCNA2;EEF1G;SFPQ;ESPL1;INCENP;KIFC1;TCP1;MCM4;GARS;MCM5;DNAJC9;TOP1;PRPS1;SF3B2;PCNA;MRPS35;HDAC1;RBBP6;RBBP7;MTA2;DDX39;YTHDF1;NPM1;DUT;RRM1;CDKN2C;ATAD2;LAPTM5;IMMT;NAP1L1;DEK;HIPK1;NAP1L4;RPIA;PSMC4;PRC1;SERBP1;TACC3;VIM;TARDBP;RAN;TPT1;CDKN3",115
"11","Beta-Estradiol-150_mg/kg_in_Corn_Oil-Rat-Liver-1d-up","122/310",2.1195399089953e-07,0.000151759057484064,0,0,1.5049651514217,23.1266438833792,"TXN1;EIF4A1;MRFAP1;RPL10A;PHB2;BZW1;IPO7;RPL6;NUDT4;TOMM22;RPS15;EEF1B2;FBL;PSMD6;RPS17;TUBB5;RPS19;TRIM28;PSMD2;PSMD3;STMN1;CFL1;CHAC1;RPS11;RPS10;HMGN3;TMPO;HMGN1;LIG1;TPM4;ADPRHL2;IFRD2;RPS5;RPS6;RPSA;MIF;ATAD3A;COX7A2L;VDAC3;GEMIN6;CUTA;PSMD13;MRPL18;DDX1;MRPL16;MRPL17;ATP5O;GSPT1;PRDX2;GRPEL1;EIF4EBP1;LYAR;BTF3;YARS;EIF2S2;NET1;LSM8;GNB1;CYCS;ITPA;MRPS12;GDI2;HMGB2;ATP5G1;C1QBP;PGLS;BCAS2;YWHAH;CCT2;MRPS25;NSUN2;NME2;CACYBP;DYNLL1;NIPSNAP1;NME1;EEF1G;PSMA1;KIFC1;TCP1;GARS;DNAJC9;EEF1E1;PRPS1;SF3B2;PCNA;MRPS35;SSNA1;HAAO;TIMM13;NEDD8;SRM;EXOSC7;PSMB7;SAMM50;UBQLN1;RBBP7;ABCF2;POLR2I;SEC23B;MBD3;GADD45GIP1;NPM1;RRM1;MGMT;FEM1B;GSR;TTC1;IMMT;WDR12;HSPE1;TARBP2;PPP1CA;NAP1L4;POLE4;PSMC4;PRC1;PSMC1;NEDD4;PSMC2;TARDBP;RAN",122
"12","Sodium_Arsenite-30_mg/kg_in_Saline-Rat-Bone_marrow-1d-dn","106/261",2.13943236886831e-07,0.000140418077810057,0,0,1.55307941949994,23.8515027678799,"CSE1L;MRFAP1;MKI67;RPL10A;NUDT4;RPS15;HERC4;FBL;RPS17;TUBB5;TRIM28;PSMD2;STMN1;SEPHS1;RPS11;TMPO;HMGN1;MORC3;LIG1;TPM4;DAPK1;IFRD2;ATP1B3;RPSA;MIF;TRNT1;GAPVD1;CDC25B;CARHSP1;EWSR1;CCNE1;PRPF3;VDAC3;PPIE;TLN1;RAI14;ANP32A;GYPC;PSMD13;DDX1;NEDD4L;GSPT1;PRDX2;PRPSAP2;PRKAR2A;LYAR;TRAPPC1;CBX5;EIF2AK1;CYCS;LSM14A;BAP1;MAP3K12;DAZAP1;FEN1;NXT1;DDX42;CHD4;YBX1;ATP5G1;ALAD;TCP11L2;MYBL2;YWHAH;TCF19;RFC3;NSUN2;AXIN1;MRPS5;GLTSCR2;PPM1A;ESPL1;INCENP;KIFC1;TCP1;MYH9;MCM4;DNAJC9;LCP1;TOP1;EEF1E1;ZFP410;SLU7;PCNA;NUFIP1;HDAC1;DOT1L;DNAJB6;UBQLN1;FLNA;SEC23B;UBQLN4;NPM1;CDKN2C;ATAD2;XPO7;NMNAT3;DEK;HIPK1;GATAD2B;RPIA;PSMC4;NEDD4;PSMC2;SERBP1;TPT1",106
