"","meanx","meany","FC","logFC","Contrast"
"Ttr",9.27777777777777,7339.5000000002,791.083832335351,9.6276867771225,"QSVZbyPSVZ"
"2010001A14Rik",5.00000000000002,2364.16666666672,472.833333333342,8.88518793455323,"QSVZbyPSVZ"
"Lcat",7.61111111111111,3172.58333333334,416.835766423358,8.70333526256338,"QSVZbyPSVZ"
"Gdf10",11.4444444444444,2695.11111111107,235.495145631064,7.87955351098785,"QSVZbyPSVZ"
"Cxcl14",20.111111111111,3737.2222222222,185.828729281767,7.53782975063551,"QSVZbyPSVZ"
"Nat1",5.00000000000002,814.583333333338,162.916666666667,7.34799039147356,"QSVZbyPSVZ"
"Fam163a",5.66666666666666,910.94444444442,160.75490196078,7.32871892065101,"QSVZbyPSVZ"
"Mfap3l",23.3888888888889,3691.55555555558,157.833729216153,7.30226173335841,"QSVZbyPSVZ"
"Pex5l",5.00000000000002,697.888888888911,139.577777777782,7.12492545767051,"QSVZbyPSVZ"
"Gjb2",5.33333333333334,710,133.125,7.0566377151132,"QSVZbyPSVZ"
"Zmynd10",5.66666666666666,747.166666666689,131.852941176475,7.04278594280039,"QSVZbyPSVZ"
"Nat8",5.66666666666668,693.444444444433,122.372549019606,6.93513615438268,"QSVZbyPSVZ"
"Cyp7b1",6.16666666666669,746.388888888889,121.036036036036,6.91929283455042,"QSVZbyPSVZ"
"Atp13a4",5.66666666666666,674.777777777779,119.078431372549,6.89576831187858,"QSVZbyPSVZ"
"Zfp235",5.00000000000002,592.333333333316,118.466666666663,6.88833737042011,"QSVZbyPSVZ"
"Tmem88b",17.5555555555556,1953.72222222223,111.287974683545,6.79815389924072,"QSVZbyPSVZ"
"Ppapdc2",14.5,1605.66666666663,110.735632183905,6.79097571273821,"QSVZbyPSVZ"
"Crim1",7.66666666666667,830.972222222234,108.387681159422,6.76005698576417,"QSVZbyPSVZ"
"Sod3",8.11111111111112,877.000000000001,108.123287671233,6.75653347500703,"QSVZbyPSVZ"
"Slc44a1",9.11111111111112,958.500000000004,105.201219512195,6.71700761849238,"QSVZbyPSVZ"
"Penk",22.7222222222222,2296.55555555557,101.070904645477,6.65922393711561,"QSVZbyPSVZ"
"St6galnac5",9.16666666666665,925.388888888866,100.951515151513,6.65751875359092,"QSVZbyPSVZ"
"Neat1",8.11111111111112,812.777777777777,100.205479452055,6.64681759014583,"QSVZbyPSVZ"
"Hsd11b1",11.7222222222222,1174.47222222222,100.191943127962,6.6466226895586,"QSVZbyPSVZ"
"Shisa9",9.77777777777775,954.388888888883,97.6079545454542,6.60892681968013,"QSVZbyPSVZ"
"Agl",29,2753.69444444448,94.9549808429132,6.56917177350227,"QSVZbyPSVZ"
"Il33",12.2777777777778,1153.5,93.9502262443437,6.55382473073386,"QSVZbyPSVZ"
"Myrf",5,455.027777777778,91.0055555555556,6.50788271413059,"QSVZbyPSVZ"
"Eps8",4.66666666666667,417.75,89.5178571428569,6.48410359672474,"QSVZbyPSVZ"
"Clmn",7.5,670.388888888898,89.3851851851865,6.48196383198968,"QSVZbyPSVZ"
"Ncam1",5.00000000000002,443.805555555555,88.7611111111108,6.47185582218407,"QSVZbyPSVZ"
"Tox2",5.66666666666666,498.416666666666,87.9558823529412,6.45870816101701,"QSVZbyPSVZ"
"C530030P08Rik",7.44444444444445,652.194444444445,87.6082089552239,6.45299415266045,"QSVZbyPSVZ"
"Mag",5.66666666666666,468.055555555556,82.5980392156864,6.36803562898509,"QSVZbyPSVZ"
"Als2cl",4.66666666666667,385.000000000009,82.5000000000018,6.36632221424585,"QSVZbyPSVZ"
"Fam20a",17.6111111111111,1448.33333333333,82.2397476340696,6.36176393228351,"QSVZbyPSVZ"
"Elovl7",5.99999999999998,492.944444444443,82.1574074074073,6.36031875098978,"QSVZbyPSVZ"
"9530019H20Rik",5.00000000000002,405.472222222223,81.0944444444443,6.34153117767781,"QSVZbyPSVZ"
"Aox1",5.00000000000002,401.277777777778,80.2555555555553,6.32652935871148,"QSVZbyPSVZ"
"Gpr162",3.99999999999999,314.083333333333,78.5208333333333,6.2950035789432,"QSVZbyPSVZ"
"Slc2a12",5.00000000000002,387.055555555556,77.4111111111109,6.27446875162428,"QSVZbyPSVZ"
"Scn4b",14.1111111111111,1091.00000000001,77.3149606299221,6.27267570099377,"QSVZbyPSVZ"
