"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Contrast","FC"
"Stk38l",4.86754114805284,5.43377057402642,117.840844885449,8.32101851139645e-09,0.000126008538862973,8.24033346645696,"QSVZbyPSVZ",29.192809327255
"Trim34a",0.41503749927884,2.79248125036058,104.918614135547,1.38055439581054e-08,0.000126008538862973,8.16018217331555,"QSVZbyPSVZ",1.33333333333333
"Atp13a4",6.65335286571882,6.05990054780486,43.3951999344114,6.46054755134961e-07,0.000694347348081299,6.7580826025892,"QSVZbyPSVZ",100.660430704448
"Ptgds",4.49313363071797,11.2071896661238,39.3911734634573,9.84442202642187e-07,0.000846423405831752,6.49114719532636,"QSVZbyPSVZ",22.519979838748
"Gjb2",6.79281812909434,6.05550237238048,36.2885666199292,1.40650527411151e-06,0.0010077610289009,6.2456326850022,"QSVZbyPSVZ",110.877139199477
"Tspan7",2.61793532983951,12.5832483692507,34.7479353809964,1.69844797132049e-06,0.00117768190785594,6.10877533827028,"QSVZbyPSVZ",6.13870920442914
"Rab10os",0.591572720704452,7.95895167097644,33.5336004381943,1.98244147418607e-06,0.00125331116140087,5.99300201166551,"QSVZbyPSVZ",1.50688855214
"Sod3",6.60343577574419,6.46477754188254,29.9081926373031,3.25886385300313e-06,0.0015384080709045,5.59961408448731,"QSVZbyPSVZ",97.2371548495783
"Rarres1",3.73386477529723,4.45189488836978,29.8380862392225,3.29224337109127e-06,0.0015384080709045,5.5912200447337,"QSVZbyPSVZ",13.3047064571482
"Hsd11b1",6.51228920359123,6.91539691057167,28.8116105365434,3.83265550900914e-06,0.00175282830140748,5.46450968810351,"QSVZbyPSVZ",91.283942916214
"Lcat",8.54613465435112,7.33289881480847,27.8718302912606,4.42598133146118e-06,0.00190946057211872,5.341938788031,"QSVZbyPSVZ",373.803082116187
"Olig1",2.36778597106083,9.26713845782422,27.8491587456934,4.44163892095538e-06,0.00190946057211872,5.33890058434653,"QSVZbyPSVZ",5.16148418047423
"P2rx4",4.19833697445101,5.86138292741202,26.4795003412008,5.52800090056064e-06,0.00224196942184058,5.14783205013874,"QSVZbyPSVZ",18.3579998179693
"Smim3",6.01037348355378,5.66044816999759,25.7303968844282,6.26064627671284e-06,0.00240308199496326,5.03672651252105,"QSVZbyPSVZ",64.4618408653136
"Kalrn",5.57064320285537,7.29808530622487,25.0447453096745,7.03839851675019e-06,0.00256424366300924,4.93063736173056,"QSVZbyPSVZ",47.5259382283319
"Hepacam",3.9278010178782,10.7827495145874,24.1772507206704,8.20020530048118e-06,0.00279783195133084,4.79002134230735,"QSVZbyPSVZ",15.2189932136987
"Dhrs7",4.84829103053734,7.44720840519582,23.6399739223734,9.0387471374955e-06,0.00303574796438228,4.69914789818515,"QSVZbyPSVZ",28.8058720893776
"Scg3",2.47761152496547,12.533676729902,22.7077969874284,1.07590000076768e-05,0.0034140600016194,4.53416521398781,"QSVZbyPSVZ",5.5697459531556
"Cadm2",5.07858080424359,8.30663748930907,22.3788547842206,1.14605354115201e-05,0.00357020592276267,4.47361802497758,"QSVZbyPSVZ",33.791320031495
"Gpr62",2.71094694545271,3.94043597344752,21.2190118259525,1.44280414167239e-05,0.00436803873595043,4.24974559710686,"QSVZbyPSVZ",6.54751266607515
"Tlr3",5.97673354768203,5.85993672187941,19.4652195196467,2.09471640385573e-05,0.00536093260091946,3.87738637472083,"QSVZbyPSVZ",62.976145229376
"Cyr61",4.36722265198552,7.77652901376066,19.3489888665545,2.14959577583504e-05,0.00536093260091946,3.85113145463401,"QSVZbyPSVZ",20.6378768205611
"Cdh20",4.36271682094973,5.79477621133427,19.3070862890663,2.1698122180972e-05,0.00536093260091946,3.8416152249917,"QSVZbyPSVZ",20.5735210698869
"Dgkh",2.67057581419001,4.40075364469617,19.1073484326996,2.26944783219444e-05,0.00554338422193404,3.7958781976769,"QSVZbyPSVZ",6.36683251853837
"Abhd14b",5.25276200935238,5.21134350539735,18.3383696857171,2.70955790114969e-05,0.00619595181757581,3.61379870270263,"QSVZbyPSVZ",38.1275522494582
"Fam134b",5.44217794832276,5.79736187099334,18.1644091411109,2.82325818675713e-05,0.00637063260881787,3.57123768509775,"QSVZbyPSVZ",43.4769234089386
"Ptch1",1.379814899308,11.2528334028113,17.2522267111995,3.52521319854443e-05,0.00728600554833774,3.33925325566575,"QSVZbyPSVZ",2.60234980272011
"2900052N01Rik",4.47760065940461,5.53774597335051,17.1185780085918,3.64528209631495e-05,0.00746241320574189,3.30396774255218,"QSVZbyPSVZ",22.2788160205832
"Cyp2j9",4.54564228900998,10.1055997969606,16.9910953421222,3.76451815509877e-05,0.00763380356074039,3.26998860627524,"QSVZbyPSVZ",23.3547207344266
"Slc27a1",2.75883330876324,10.953719786806,16.8782421223498,3.87408500128601e-05,0.00778256608435915,3.23964329882041,"QSVZbyPSVZ",6.76848668610559
"Nkiras1",4.14541049157487,7.80768344421899,16.371989556499,4.41652286787212e-05,0.00863028718590102,3.10036446295349,"QSVZbyPSVZ",17.6967250050857
"Gpr146",4.54862516083503,5.98048610100125,16.0016899536765,4.87307990360076e-05,0.00929674367072571,2.99510458600236,"QSVZbyPSVZ",23.403058188883
"Acsbg1",4.35346557554967,9.38286721913453,15.8567866164805,5.06738382759407e-05,0.00955468555913461,2.95310674128673,"QSVZbyPSVZ",20.4420159744102
"Cd302",4.98974370245285,5.69793143060709,15.6015933378654,5.43322837212567e-05,0.00981405410578499,2.87800534307618,"QSVZbyPSVZ",31.7733147621274
"Gpm6a",1.9847055605163,12.4892661524168,15.2935682973566,5.91897177876309e-05,0.010463402455594,2.78536953991671,"QSVZbyPSVZ",3.9578187923948
