"","logFC","logCPM","LR","PValue","adj.P.Val","Contrast","FC"
"Ttr",9.60644989599812,9.25523100349218,129.523547968767,5.2094752671654e-30,5.59888354338601e-26,"QSVZbyPSVZ",779.524143128673
"Ptgds",4.50617565893844,9.94167426711904,105.940042618174,7.60002651285496e-25,5.44541899646058e-21,"QSVZbyPSVZ",22.7244844446253
"Sparcl1",3.65295663187573,10.5223273226593,95.7077093863315,1.33160890437636e-22,7.15573334989248e-19,"QSVZbyPSVZ",12.5790985346575
"Lcat",8.68857302027823,8.05444971168137,90.1360722281222,2.22330985576661e-21,6.82714933567191e-18,"QSVZbyPSVZ",412.59228092774
"Pla2g7",5.55887980164786,9.39331501738267,73.0096481201414,1.29017598179623e-17,2.77323327287099e-14,"QSVZbyPSVZ",47.1399983065359
"Mfap3l",7.30093103418156,8.28196682336595,72.2624312743324,1.88400137335521e-17,3.68150995638821e-14,"QSVZbyPSVZ",157.688215178184
"Cxcl14",7.54094790884027,8.29843762514104,70.3087956008376,5.07110859036128e-17,8.38488301152429e-14,"QSVZbyPSVZ",186.230803177947
"Tspan7",2.62842680794339,10.5309391119474,69.4312948004625,7.9123225457398e-17,1.18356692320794e-13,"QSVZbyPSVZ",6.1835134617054
"Gdf10",7.87246975211749,7.82220447380338,64.3878324462165,1.02187269353974e-15,1.13037806820227e-12,"QSVZbyPSVZ",234.341677993754
"Ttyh1",2.73714289577268,10.5699765080942,60.2797355258297,8.22902456760854e-15,7.07531532322982e-12,"QSVZbyPSVZ",6.66748602440447
"Atp1a2",2.29595366747757,10.7732247754204,59.2767207487454,1.36987528401581e-14,1.13251804730461e-11,"QSVZbyPSVZ",4.91078502200327
"Kcnk1",4.31426940898393,9.89364690665294,56.8530370367534,4.69628152805188e-14,3.1545803576711e-11,"QSVZbyPSVZ",19.8941093831429
"Scg3",2.48564984219928,10.4329707149522,56.6255242717575,5.27230248682081e-14,3.43418611982465e-11,"QSVZbyPSVZ",5.60086572744748
"Grm3",3.36926356404418,9.94933166039376,56.0664786267316,7.00615212153827e-14,4.42933058389603e-11,"QSVZbyPSVZ",10.3335464518876
"Htra1",4.30818325717533,9.90259253674137,55.471197331224,9.48384838969597e-14,5.56641513010897e-11,"QSVZbyPSVZ",19.8103608887169
"Cyp2j9",4.57447486636744,8.88972172863999,55.4449697505033,9.61123367589622e-14,5.56641513010897e-11,"QSVZbyPSVZ",23.8261652288259
"Hepacam",3.9496682396963,9.27273257954484,55.3986095447685,9.84060362615217e-14,5.56641513010897e-11,"QSVZbyPSVZ",15.4514276637083
"Fam107a",2.61980196645531,10.7691730679312,54.4988571381384,1.55538254440641e-13,8.57255071590146e-11,"QSVZbyPSVZ",6.14665693781372
"Tril",4.375080070674,9.26546804510706,53.5565835491948,2.51251029634059e-13,1.25596299581026e-10,"QSVZbyPSVZ",20.7505845157084
"Gja1",1.86971895729958,10.9300823263651,51.7060574596371,6.44635571396598e-13,2.88675866816039e-10,"QSVZbyPSVZ",3.65461379834598
"Baalc",5.53168595967287,8.26345678284987,50.482677146426,1.20221289328998e-12,5.16831322825364e-10,"QSVZbyPSVZ",46.2597626815808
"Atp1b2",2.53682971918161,10.9702597327807,49.3273997029364,2.1661570848576e-12,8.95414356519501e-10,"QSVZbyPSVZ",5.80312385012528
"Slc39a12",5.58901709235278,8.97168847604993,49.1905771693487,2.32263741271128e-12,9.41982852570359e-10,"QSVZbyPSVZ",48.1350903223192
"Cst3",1.22075129647784,11.7064566306422,47.9448292524568,4.3838270094185e-12,1.62466140633536e-09,"QSVZbyPSVZ",2.33068057993374
"Psap",5.32808883921387,8.61583973661895,47.0501428376621,6.91936164644864e-12,2.43822423918711e-09,"QSVZbyPSVZ",40.1711773317768
"Tmem88b",6.80102756239717,7.37000102865153,46.5552587608339,8.90708958239271e-12,3.0390141360878e-09,"QSVZbyPSVZ",111.509866947329
"Slc6a11",2.9954592944208,10.1788856739541,46.4074608658018,9.6049090297559e-12,3.22589874366567e-09,"QSVZbyPSVZ",7.97486056423711
"Fgfr3",4.56751979945794,8.51932768912329,44.7522165570955,2.23613662964112e-11,7.06849365502e-09,"QSVZbyPSVZ",23.7115784525775
"Mt3",5.07312686662991,8.7019864234781,44.2884728384552,2.83379972032776e-11,8.7017892840636e-09,"QSVZbyPSVZ",33.6638171077615
"Aldoa",3.19874448867677,9.61350962856567,44.1682819257688,3.01324394287521e-11,9.12248993691586e-09,"QSVZbyPSVZ",9.18159304286233
"Abhd3",5.11342881012883,8.29842978715913,43.9484322017452,3.3714228951725e-11,9.92722399064833e-09,"QSVZbyPSVZ",34.617480205306
"Hsd11b1",6.63726125648782,6.63227677693635,43.3218616938223,4.64366184729492e-11,1.34885826226492e-08,"QSVZbyPSVZ",99.5439172890207
"S1pr1",2.87196013143397,9.95516651565417,42.5335182338235,6.94812878719727e-11,1.96513195106323e-08,"QSVZbyPSVZ",7.32059103927497
"Slc2a1",2.38359041940549,10.3365768658135,42.1704695552801,8.36537275945519e-11,2.33524269434402e-08,"QSVZbyPSVZ",5.21833809616238
"Ntsr2",2.88350211260561,10.0579897390416,41.4859462089777,1.18721346047671e-10,3.15051275715393e-08,"QSVZbyPSVZ",7.37939280506594
"Slc15a2",6.05842218928778,7.32360605194163,41.2783548200771,1.32022758546076e-10,3.37836808922369e-08,"QSVZbyPSVZ",66.6448823110757
"Crym",3.75358580302739,9.09301632288766,40.5202387287702,1.94589981684302e-10,4.64745739589341e-08,"QSVZbyPSVZ",13.4878248607893
"Gabrb1",5.83904377687425,8.97341303499413,40.4355435871776,2.03210459807047e-10,4.80000970720052e-08,"QSVZbyPSVZ",57.243650678592
"Smpdl3a",4.56147964697756,8.45838894540447,40.2633315813868,2.21935672363478e-10,5.17596566105954e-08,"QSVZbyPSVZ",23.6125123648409
"Sepp1",3.0175213597956,9.74361176930695,40.140078466524,2.3638902749556e-10,5.40551292129475e-08,"QSVZbyPSVZ",8.09775143741964
