"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","vesicle-mediated transport (GO:0016192)","164/411",5.09009511279907e-07,0.00259747553606137,0,0,1.39203476012652,20.1716960970438,"APP;ZFYVE9;EQTN;WIPF3;CPNE6;MLC1;GCC2;ZFYVE27;GOLGA5;TOM1;CPNE1;ANKFY1;VPS35;BVES;TBC1D10A;AGFG1;MFSD2A;NSF;VPS18;MIA;STX8;APLP2;STX7;ZFYVE21;TSC2;LMTK2;VRK2;ATG14;MAPK8IP3;SYTL2;STX1B;ACAP2;BIN1;RAB35;TBC1D23;LRPAP1;TMEM87A;RAB5B;RAB5C;TMED10;PIK3R4;CLEC16A;VPS26A;C2CD4C;KALRN;MTM1;ADAP2;SNX2;MYO6;VPS11;RAB6A;EVI5;RAB6B;RAB11FIP4;S100A10;SPTBN2;SYT5;UVRAG;SYT3;SYT2;SYT1;CAV2;VTA1;CACFD1;M6PR;RAB39B;RAB27B;SNF8;TVP23B;HSPA2;HOOK3;EHD1;EHD3;CDK5;CEP83;SPIRE1;OSBPL1A;SNAP25;SFT2D3;DENND1A;LRRK2;SNAP23;SNX10;FMN2;WASL;PIK3C2A;EEA1;DNER;KIF13A;KIF1C;KIF1B;ERC1;KIF1A;SNAP29;BCAS3;AKTIP;RHOG;ARAP2;SYP;ARAP1;ARFGAP3;BET1L;ARFGAP1;DNM1;ARFGAP2;RHOB;DNM2;VAMP8;DNM3;VAMP7;HEATR5A;HEATR5B;RHOJ;VAMP1;CHMP3;RHOU;SFT2D2;VAMP5;SFT2D1;VAMP2;RHOQ;SEC22C;SNAP47;NAPB;LRP1;STX17;MGRN1;DCTN1;GOSR2;VPS4A;TGFBRAP1;SNX32;SNX33;ASAP2;HSPA13;CLN5;CYTH3;ARFRP1;CUX2;VPS51;MICALL1;MICALL2;RAB29;VPS54;STX3;LDLR;RILP;EPS15;ATP9A;CYTH1;ARFGEF2;SORT1;GBF1;SYT16;SYT14;RAB10;MYO1E;SNX18;NECAP2;PIKFYVE;SYT12;SYT11;VIPAS39;SMAP2",164
"2","organonitrogen compound biosynthetic process (GO:1901566)","83/182",8.17127009419302e-07,0.00208489956453335,0,0,1.59094350617114,22.3010049311257,"DPAGT1;SLC27A1;SLC44A3;MOCS3;SLC25A2;SLC44A1;SLC44A2;PCTP;GPHN;GLS;SPTLC1;GLUL;MFSD2A;GSTK1;CERS4;ELOVL1;CERS5;PCYT1B;ARG2;PCYT1A;CSNK2A1;ELOVL4;SPHK2;ELOVL5;ARG1;GPT2;ELOVL2;IL18;PLA2G4A;ELOVL6;ELOVL7;ALDH3A2;FOLH1;PRKD3;NAT8L;MOCS1;ASPA;CERS1;CERS2;SAMD8;OAT;SGMS1;ABHD3;GLS2;GSTP1;MGST1;LCAT;GSTT1;NOD1;FURIN;SGMS2;SGPL1;ST3GAL4;NAALAD2;DMD;LCMT2;KDSR;CEPT1;GSTM4;GSTM2;GSTM1;CHKA;STARD10;MOCOS;INHBA;SGPP2;ASS1;SGPP1;FA2H;GLUD1;GOLPH3;GSTA4;TNIP1;VAPA;GSTA3;ACER3;DEGS1;CHPT1;DEGS2;CDO1;LPIN1;INHA;GSTM5",83
"3","regulation of lipid metabolic process (GO:0019216)","52/101",1.11136677679546e-06,0.00189043488732908,0,0,1.79609797714465,24.6243595243201,"RB1;SLC27A1;PANK2;IRS1;CHD9;RORA;CTGF;LACTB;CPT2;OPA3;ME1;HMGCS2;ACADM;FADS1;BBS4;NCOA2;CPT1A;HMGCS1;ACSL1;EDF1;TIAM2;RBL2;NCOR1;NPC2;ACOX1;PLIN2;ANGPTL4;PPARA;PPARD;SMARCD3;PEX11A;ABCB4;HMGCR;ADIPOR1;NPAS2;PSAP;FDFT1;ABCA1;MBD4;CREBBP;RARRES2;CAV1;MID1IP1;G0S2;APOC3;NR1D2;NR1D1;GRHL1;AGT;ID2;APOC1;RGL1",52
"4","lytic vacuole organization (GO:0080171)","21/29",1.3241557149961e-06,0.00168929165340628,0,0,2.52620942276115,34.1915763492516,"ABCA1;VPS18;LRRK2;AKTIP;GAA;HPS1;TFEB;HPS4;HOOK3;NAGPA;CLN6;CLN3;GNPTAB;VPS11;ZKSCAN3;CLVS2;TPP1;ZKSCAN4;LAMTOR1;ARSB;CLVS1",21
"5","fatty acid catabolic process (GO:0009062)","37/66",2.85562057358293e-06,0.00291444635739874,0,0,1.95571624143053,24.9671064841974,"ACADVL;ABCD2;ABCD3;ACAA2;ECHS1;ABHD3;ABHD1;ACAT2;MCEE;AUH;ACADL;ABHD16A;NUDT19;HACL1;ACADM;ACAD11;ABCD1;HIBCH;DECR1;ACOT8;PHYH;ACBD5;MECR;ACAD9;PEX2;AIG1;MUT;PEX13;MCAT;HADHB;ALDH3A2;FA2H;NUDT7;BDH2;PCCB;LPIN1;PPARD",37
"6","lysosome organization (GO:0007040)","22/32",2.99850121047134e-06,0.00255022527950587,0,0,2.39839525553811,30.5013470035544,"ABCA1;VPS18;LRRK2;AKTIP;GAA;HPS1;TFEB;HPS4;HOOK3;NAGPA;CLN6;TMEM165;CLN3;GNPTAB;VPS11;ZKSCAN3;CLVS2;TPP1;ZKSCAN4;LAMTOR1;ARSB;CLVS1",22
"7","glycerophospholipid biosynthetic process (GO:0046474)","75/165",3.14690493686458e-06,0.00229409369897428,0,0,1.58571587143016,20.0895789097894,"ARF3;SLC27A1;SLC44A3;SLC44A1;SLC44A2;MTMR14;CPNE6;PCTP;PIK3C2A;LCLAT1;FGF2;IMPA1;ACP6;CPNE1;PIP4K2A;PIP4K2B;PIP4K2C;MFSD2A;PCYT1B;PLA2G12A;PCYT2;PCYT1A;CSNK2A1;SACM1L;PLA2G4A;PISD;RUFY1;PITPNM1;PITPNM3;PITPNM2;FAR1;AGPAT5;MTMR1;ABHD3;PIK3R4;MTMR9;LCAT;PIK3R1;PLA2G5;ABHD5;PLD1;AGPAT1;MTMR6;AGPAT3;MTMR7;PLD2;MTM1;AGPAT4;PTDSS2;PTDSS1;INPP5F;INPP5E;INPP5K;CEPT1;CDIPT;CHKA;PLEKHA1;AGK;PLEKHA2;STARD10;DDHD2;SYNJ2;DDHD1;PTPN13;CRLS1;ETNPPL;PIKFYVE;SYNJ1;GPAM;LPCAT4;PI4KA;CHPT1;GPD1L;LPIN1;CDS2",75
"8","nervous system development (GO:0007399)","175/456",3.92593832904062e-06,0.00250425791163679,0,0,1.33881712829081,16.6654686537091,"CNTFR;NCKAP1;SH3GL3;CHRM1;PLXND1;MYT1L;GDA;CPNE6;ROGDI;ATN1;CYP46A1;FGF2;GBA2;RPS6KA3;EDNRB;CDH2;NAGLU;ADORA1;NRCAM;EPHB1;SH3GL2;CSGALNACT1;KIRREL3;RBFOX1;MEF2C;RBFOX3;TMOD2;APLP1;LIG4;SDHA;HPCAL4;ALDH3A2;BCAN;OLFM1;BTD;FEZ1;NINJ2;SCN8A;FEZ2;NINJ1;MAL;TAGLN3;NOTCH2;GPM6A;PCDH10;ZC4H2;PCDH19;KALRN;NPAS2;PCDH17;KLK6;ATXN3;ZNHIT2;EFNB3;MOBP;BTBD3;PDGFC;MBP;NDP;DRD2;ASIC2;MARK4;GPM6B;EIF2B2;FZD5;BCL11B;ZBTB16;FZD9;SLC4A10;CRIM1;BTBD11;BTBD6;INHBA;ABTB2;DLG1;RNF103;GJB1;DLG2;CDK5;DLG3;DLG4;NF1;CSPG5;NMUR2;DCHS1;TPP1;SERPINI1;CNTN4;PCDHB9;ITM2A;FGF12;PCDHB8;ITM2B;SDK2;FGFR2;FGF11;PCDHB7;FGFR1;BARHL2;NRSN1;DAGLA;NCAN;PCSK9;VLDLR;NR2E1;HAPLN3;PKD2;PKD1;HAPLN1;NRGN;ROBO1;HAPLN2;TMEM223;TRIM3;DNER;JARID2;PCDHGA1;GFRA1;NAV1;DNM3;ALDH5A1;NAV3;HAP1;DAGLB;NLGN3;NLGN1;CAMK2D;SRC;DCTN1;GSTP1;NRXN1;CAMK2A;NRXN2;PTN;CLN8;TRAK2;CLN5;RELN;PTPRZ1;ERBB3;ERBB4;SPOCK2;ADAM23;RAB29;SPOCK1;FYN;HES1;BPNT1;PCDH1;CAMK2G;FKTN;LGI1;FARP1;ARNT2;GDF11;MBD5;TCF7L1;MOG;RYK;GSS;PCDHGC4;WWP1;CABLES1;PCDHB12;S100B;VEGFA;NFASC;TAOK3;GLRB;TAOK2;PMP22;APBA1;ATXN10;SCRG1;APBA2",175
"9","fatty acid beta-oxidation (GO:0006635)","30/51",6.60619427168008e-06,0.00374571215204261,0,0,2.05210289243903,24.4764630427759,"GCDH;ACADVL;ABCD2;ABCD3;ACAA2;ECHS1;ECI2;ETFDH;ETFA;ETFB;ACAT2;AUH;ACADL;ACADM;ACAD11;DECR2;ABCD1;HIBCH;DECR1;ACOT8;MECR;PEX2;MCAT;HADHB;BDH2;AMACR;ACOX1;IVD;ACOX3;PPARD",30
"10","Golgi to plasma membrane protein transport (GO:0043001)","18/25",8.88632217384614e-06,0.00453469020531369,0,0,2.51177394034537,29.214435912758,"BBS2;NSF;MACF1;BBS1;SYS1;GOLPH3L;ANK3;RAB10;ARFRP1;GOLPH3;RAB31;RAB34;KIF13A;GOLGA7;ABCD1;SPTBN1;VAMP2;OPTN",18
