"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","mmu-miR-9-5p","240/510",4.19294411651854e-19,1.35851389375201e-15,0,0,1.64168231395122,69.468958662999,"PANK3;AQP4;ZDHHC7;HS6ST1;CREB3L2;AP1S2;TRIM25;SOX9;PTGDS;TBC1D22A;AGFG1;PAQR8;UNC13C;PDHX;RBFOX1;PRKCB;SACM1L;UNC5C;ANK2;ACTN4;ANK3;SCAMP1;HPCAL4;EML5;SOAT1;PSME4;PADI2;TLN2;PLBD2;ADCYAP1R1;TTYH3;TTYH2;EPAS1;SLC30A10;KALRN;ABR;GJC3;CHST11;MYO6;TSPAN7;SSR1;MAP6;B4GALNT1;FAM43A;PROM1;ATP6V0A1;ABCA1;BBS1;TMEM184B;DTNA;SLC10A7;ARPP21;STK11IP;SLC33A1;IGF2;PRRC2B;SLC6A6;ACER3;CREBRF;NMT2;SERPINI1;CDK13;CPEB2;SCN2B;ITM2C;CDS2;KCNC1;TENM4;DIRAS2;AATK;MAGT1;PCMTD2;LFNG;RPTOR;EPM2AIP1;NHSL1;IMPA1;CHL1;B3GALT1;XXYLT1;ELOVL5;MMD;ELOVL2;ELMOD2;ELMOD3;TMC7;ELOVL6;DUSP6;SUMF2;RNF144A;NCOR1;MMP16;HEATR5A;RGS7BP;EXOC2;AMER1;GRAMD1B;AMER2;FSTL1;CAMKK2;DZANK1;SNX25;EPS15;GABRA1;PNMA2;GRHL1;KCNS2;ANKRD63;GUCY1B3;NARF;ATP8A1;ZBTB24;SYAP1;CLSTN1;CIB2;PLAT;IL1RAP;CELSR2;CTGF;CDC14B;FADS2;SLC16A7;SYBU;LZTS3;KCNH5;FBXW11;SEMA6D;FRMD4A;ZBTB34;TSC1;FOXP4;ATP1B1;ALDH3A2;TMEM136;DMTF1;COL4A1;ILVBL;SCN8A;ANKRD40;SIDT2;LRRC58;GRIA2;GPR88;ANKRD12;SEL1L;SLC1A1;TOR1AIP2;AK4;FOXO3;NDRG2;RASGRP1;ZFP36L2;PLD3;SLC9A1;ZMAT3;FUT9;SLC38A7;SOCS5;PRNP;GGT7;PTCH1;M6PR;KLHL21;DHCR24;MARCH8;FOXN2;MARCH6;ZFHX4;GFAP;PTPRD;CXCL12;REEP5;BCL6;DLG4;RCAN2;NF1;SPIRE1;CNTN3;SNAP25;FLT1;PPP1R13B;B4GALT1;MEGF10;DOCK9;CNRIP1;NRARP;HAPLN1;PITPNC1;SYNE1;SPRED3;SCRN1;GM2A;PSD3;DBT;DACT3;ABCD1;USP46;C1QL3;SHROOM4;LMBRD1;NPC1;SNPH;NPC2;CTDSP1;CDH10;COLEC12;HDAC2;PARD6G;FURIN;ATP1A2;CXXC5;NR2C1;TSPAN31;RASD2;TTR;DNAJB4;FEM1C;HES1;LRIG2;DRAM2;FNIP1;CNNM2;FNIP2;CLASP1;MAPK4;BEND6;OPCML;TTC14;LGI1;PCDH7;FBXL16;KLF7;PIKFYVE;FMNL2;TEF;SYT11;ASB7;CHPT1;MDGA2;SMAP2",240
"2","mmu-miR-136-5p","142/285",2.86736926235656e-14,4.64513820501762e-11,0,0,1.73816715170099,54.2009122717496,"GALNT13;CCNT2;NARF;ACAA2;MYT1L;ULK4;FBXO25;DCAF5;SCAMP5;ISLR;CAPNS1;NRCAM;TMEM8B;PDHX;PHYH;CXADR;NHLRC3;ANKRD46;PRKCB;LIMCH1;MMGT1;SEMA6D;TMOD2;LMO2;IGFBP2;SLC30A4;ALG2;WRNIP1;FOXP2;BCAN;TMX4;TMEM136;JTB;GRIA1;TMEM87A;PFKFB4;TTYH3;SDC3;ANKRD12;MGST1;CD99L2;SLC1A4;KALRN;CACNA1E;NPAT;WDR70;DPP8;RDH11;FUT9;TSPAN2;TSPAN3;PAG1;MFAP3L;SMAD3;STK11IP;IQSEC3;DENND4C;OSBPL2;MARCH8;B3GALT5;BRI3BP;ACADSB;CORO2B;CLK4;SLC6A6;MFHAS1;GRIN3A;DLG3;GNAQ;ACER3;REEP2;CNTN2;SPIRE1;CPEB3;TMEM9B;CDS2;GABRB2;WDR48;SLC35F3;SLC44A2;DIRAS2;TNFAIP3;SLC6A1;SOBP;NHSL1;TMEM104;SNRNP70;SH3PXD2B;PSD3;PHACTR1;ACP2;JARID2;NEO1;ZCCHC24;ZER1;MMD;TTC33;ABCC9;NAV1;MANEAL;ELOVL7;ATRN;RAP2A;NPC1;MMP17;ITGA7;LCOR;RGS7BP;MAN1B1;EIF4E2;KDM7A;PAFAH1B1;NLGN3;CAMK2B;USP15;IDUA;ROCK2;NRXN1;CAMK2A;ZDHHC24;HMGCR;FSTL1;TRAK2;CYTH3;TMEM168;PDF;RNF139;SPOCK2;MAPK1;DMD;MAPK4;JAZF1;SLC12A2;LGI1;SLC12A4;NEGR1;MTSS1L;CFLAR;PPP2R3A;KLF3;MAPK10;DPY19L1",142
"3","mmu-miR-149-5p","188/409",5.02809348853327e-14,5.43034096761594e-11,0,0,1.60355032866385,49.1025558164944,"FAM49B;AHCYL1;ITSN1;CTNND1;SPPL2A;CPOX;EMC10;IL1RAP;BACH1;ZDHHC3;SCAMP5;ZFYVE27;CAPNS1;KIFAP3;TMEM8B;SLC39A3;EPHB3;CALN1;PDGFRB;CXADR;SLC6A17;PAQR4;FNBP1;UNC5B;COG3;TMOD2;ACOT11;SLC30A4;ENTPD7;LMTK2;PHKA1;ANK2;RSBN1;MID2;TMEM135;BTD;SOAT1;SCN8A;SIK3;ELMO1;ULK1;TCTA;TRIB2;FREM2;ASTN1;GRIA1;LRRC58;TTYH3;TEX264;SDC3;SLC1A1;TRANK1;TMTC1;KRBA1;ZBTB4;SDCBP;SEC14L1;DPP8;IRAK1;ZMAT3;FUT9;FLRT1;TSPAN7;MBP;IGFBP7;IP6K1;RAB6B;GRIA3;SPTBN2;RAP1GAP2;OSBPL8;COA3;PRNP;CDK19;SYT2;CADM2;RHBDD2;EDEM2;ECD;BSDC1;NR1D2;DHCR24;B3GALT5;PRRC2B;SMAD7;PTPRD;GNAO1;SLC6A6;SLC6A8;CXCL12;SYNJ1;NF1;CNTN1;MDM4;TPP1;NOL10;CALR;CDK13;ZCCHC4;CDS2;GABRB2;DAZAP2;KCNC1;WDR1;SLC44A2;PIGQ;SETD7;CELF5;EFCAB14;ATP2A2;VLDLR;LFNG;SPRED3;FAM102A;NHSL1;NPTN;TIMP3;KIF1B;IKBKG;SLC37A3;DGCR2;ZCCHC24;BCAS3;ZER1;ELOVL5;ELOVL2;GAB1;NAV1;RNF144A;SLC22A23;ATRN;GPRC5B;RAP2A;LMBRD1;MMP17;PCCB;TMBIM6;ALDOC;GPRC5C;SCN4B;VAMP2;ALDH9A1;PLEC;NLGN3;GRAMD1B;SLC24A3;SLC43A2;DBX2;PRICKLE2;FURIN;ADD3;TRAK2;ABLIM1;GNG7;MVB12B;NT5DC3;FEM1C;CAMK2G;SASH1;FKTN;OPCML;SEMA4A;NTRK2;KCNJ10;RNF24;PLEKHA2;DAB2IP;KCNJ16;NMNAT2;SEMA4G;PTPN12;FBXL16;EFR3B;PER2;KLF7;PNKD;DPY19L3;TEF;SYT11;CSDC2;AXL;PDE7B;PTPN4;LPIN1;PTPN5;RECK;TNRC6A;RAB3GAP1",188
"4","mmu-miR-7b-5p","196/438",3.50430346360315e-13,2.83848580551855e-10,0,0,1.56109745150841,44.7716730042366,"ITSN1;SCAMP5;GJA1;ZFYVE27;ATXN7L3;GLUL;SLC12A9;EPHA5;EPHA7;AFAP1;SCAMP3;SOAT1;ACOT2;PADI2;TTYH3;HEPACAM;SDC3;PRKCZ;SGPL1;TSPAN9;PDGFD;NEU1;TSPAN2;ARSB;PAG1;SPTBN2;TMEM184B;CADM1;ARPP21;BCL11B;STK11IP;FZD6;PBX3;NR1D2;CCDC88A;FAT3;TMCC1;CDS2;INVS;NRSN1;KCNC1;TENM4;SLC44A2;SETD7;MAGT1;CHL1;TIMP3;IDS;KIF1B;ZCCHC24;ELMOD1;TMC7;ASH1L;SLC39A12;RAB33B;MLF2;BACE1;PHF20L1;CNKSR2;SLC22A23;TMEFF1;NCOR1;TMEM33;PITPNM3;VWA1;RHOU;FJX1;RHOQ;STK40;PAFAH1B1;GRAMD1B;AMER2;SLC20A2;SLC43A2;KCNA1;ATL2;ZDHHC24;PROCA1;TRAK2;FGD6;CAMK2N1;MGAT3;PLAGL2;NCDN;EXTL3;GABBR1;WNT7B;MBD2;MTSS1L;ADAT3;ABI2;CSDC2;PLP1;LGR6;MTFMT;CCNT2;ATP8A1;IRS1;SYAP1;FAIM2;FGF1;FNTA;KPNA6;RGS8;FADS1;RNF44;TPRA1;PPTC7;APLP2;USP2;TMOD2;LMO2;APLP1;ATP1B2;FBXO10;KCTD5;TMX4;CACNB4;SLC9A6;MAP7D1;ELMO1;MYADM;ANKRD40;GLYR1;GRIA1;RAB5B;SLC1A2;SLC41A1;AK4;CACNA1E;TMEM245;BAG3;MBP;RAB6B;SYT5;CD164;SMAD3;SYT1;BFAR;CRLS1;ARHGAP23;PTPRD;BCL9;TADA3;AAK1;SPIRE1;BMPR1B;B4GALT1;ARRB1;NRARP;SPRED3;SCRN1;PHACTR1;ERC1;UNC45B;SECISBP2L;DUSP26;SEZ6L;DDAH1;SNPH;RASA2;CRY2;CDH13;TMEM9;EIF4E2;SMPDL3A;KDM7A;SNAP47;CAMK2D;ZBTB43;LENG8;MLLT6;HDAC7;ZNRF1;FAM168A;SV2B;ERBB4;MXI1;HES1;WASF3;OPCML;ATF7IP;NTRK2;RNF24;NEGR1;ATP2B2;SEMA4G;EFR3B;KLF7;SLC4A8;PNKD;PDE10A;SYT11;SST;MFAP3;FAM131B",196
"5","mmu-miR-15a-5p","217/499",6.57421349835596e-13,4.26009034693466e-10,0,0,1.51707566537226,42.5546570062766,"APP;AHCYL2;AHCYL1;SPARC;TRRAP;FRMPD1;PITPNA;HS6ST1;GBA2;CNST;TBK1;EDNRB;KIF21B;ATXN7L3;PAQR8;STARD4;FNBP1;ACSL1;SACM1L;OMG;ALG2;SLC6A11;ANK2;ANK3;ATG14;HPCAL4;DAAM1;DAAM2;PSME4;PADI2;CDIP1;GNE;TARSL2;MEPCE;TMTC2;PIK3R1;FAM171A1;TSPAN7;PPARGC1B;SPTBN2;CDK17;CADM3;TMEM184B;CADM1;CHKA;BCL11B;PLK2;NFATC1;ERLIN2;BRI3BP;MLLT11;GLUD1;AGO3;FASN;STRN;FBXL2;AVL9;CPEB2;FERMT2;TENM3;KCNC3;DENND1A;NCAN;CX3CL1;SPTLC1;SH3PXD2B;KIF13A;IKBKG;ZCCHC24;ZER1;TSC22D1;ELOVL5;MMD;HEG1;ELMOD1;TMC7;ASH1L;SORCS2;MLF2;NCOR1;PITPNM2;HAP1;ALDOA;MGLL;STK40;PAFAH1B1;AMER1;IDUA;KCNA1;FSTL1;TMEM164;MGAT3;EXTL3;DEDD;P2RY12;GABRA1;SLC31A1;AP3D1;KLHL2;MTSS1L;VEGFA;DLC1;YIPF6;SLC27A1;STEAP3;CCNT2;GOLT1B;FAM107A;FBXO21;CLU;FGF2;CCDC28A;GNPTAB;SLC39A9;LZTS3;TLE4;RARS2;TMEM178B;KHNYN;SEMA6D;APLP2;ATG9A;KCTD5;RSBN1;OLFM1;TMX4;RALGAPB;MAPKAPK3;COL4A1;RAB34;SCN8A;DENND6A;RTN3;PFKFB4;NTM;ITPR1;CREBL2;AK4;SLC1A4;KLC1;PLD3;TMEM245;FUT9;SLC38A7;LONRF3;OSBPL8;SYT3;CBX4;HPS3;B3GALT5;SMAD7;PTPRD;CXCL12;EFNA2;GNAL;SYNJ1;FAM163B;RCAN2;FAM163A;GNAQ;REEP2;BCL2;NF1;SPIRE1;GPR107;SERINC1;AMOTL2;SERINC3;BCL2L1;ABCD4;CNTNAP1;ATP2A2;BICD1;SPRED1;MCF2L;ITGB8;ITGAV;NEO1;VPS13C;VPS37C;ETV3;SENP2;C1QL3;SHROOM4;FCHSD1;ATRN;LMBRD1;LCOR;SCN4B;SLC24A3;FOXRED2;ABLIM1;ZNRF3;SV2B;SV2A;NT5DC3;LRIG2;VHL;SLC25A22;WASF3;SLC12A2;TTC14;SLC35A4;SEC24A;KCNJ10;FKRP;ANGPT1;RNF24;AMFR;CMTM6;BAIAP2;MTOR;TPCN1;APLN;SLC4A8;P4HB;LPIN1",217
"6","mmu-miR-181a-5p","198/458",1.2835067371028e-11,6.93093638035513e-09,0,0,1.50816120872266,37.8229337271071,"AQP4;ZDHHC7;DCAF5;BACH1;GLS;GJA1;EDNRB;RASSF2;AGFG1;PAQR8;ARRDC4;PRKCB;FNDC3B;AFAP1;YOD1;ANK3;SCAMP1;PISD;EML6;NUP98;ASTN1;GPM6A;TTYH3;TTYH1;RPAP2;GIGYF2;FAM171A1;FAM160B2;STRIP2;INPP5A;INPP5E;STXBP6;N4BP2;GPM6B;TRPM3;CADM1;LRRN3;CADM2;ADHFE1;EIF2AK2;RAB27B;GRIN3A;ID2;FBXL3;TMCC1;CPEB4;CDS2;INVS;SLC7A11;TRIM9;TIMP3;IDS;KIF1C;DLGAP2;CTSB;ELOVL5;ELOVL2;SSR3;NIPA2;ZDHHC17;SLC22A23;TMEFF1;RAD51D;KIFC2;RGS7BP;PAFAH1B1;PCYOX1;AMER1;OAT;KCNA2;IBA57;FIGN;TMEM168;ERMP1;SLC17A5;SC5D;NKTR;GABRA1;PLEKHA1;GABRA4;MPP5;BLCAP;SULF2;KCNS2;APBA1;APBA2;GPR146;FAIM2;RORB;MANEA;LAMP5;RGS4;SIRPA;STK32A;FADS1;LZTS3;PNISR;KHNYN;FBXW11;APLP2;USP2;LEMD3;RSBN1;TOM1L1;GPRIN3;ALDH3A2;OLFM1;TMEM135;SLC9A6;COL4A1;SLC25A51;ARL8B;OSBP2;PARM1;SLC1A2;TOR1AIP2;NDRG2;NID1;CACNA1E;LPP;RTN4;TMEM245;ZMAT3;BTBD3;PSAP;SRGAP1;GRIA3;CBX7;SYT2;PTCH1;IDH1;SLC4A10;HOOK3;ZZEF1;PTPRD;GNAO1;MFHAS1;GNAQ;BHLHE40;BCL2;MAP3K10;SPIRE1;DAGLA;FLT1;CHD9;CELF5;ATP2A2;BICD1;AFF4;SEPT6;LASP1;GRM5;NPTN;KSR1;ARHGEF17;USP45;CTDSP1;SOWAHA;NAT8L;SCN4B;B4GALT4;NFAT5;HLF;LUZP2;DCTN4;TULP3;PARD6G;TOB2;MLLT6;FBXL20;ABLIM2;FAM168A;SV2B;CLMN;FCHO2;S1PR1;LRIG2;ACSS1;SASH1;BEND6;OPCML;TUB;TTC14;NTRK2;KCNJ10;PCDH7;EYA3;PLCL2;MBOAT2;ATP2B2;SLC50A1;KLF3;KLF2;ACVR2A;SGPP1;MFAP3;GPD1L;PTPN5",198
"7","mmu-miR-541-5p","136/292",5.03172790895094e-11,2.32897120357158e-08,0,0,1.62481571483528,38.5287230440911,"APP;AHCYL2;NARF;CD81;LGALSL;ZDHHC5;KLHDC7A;BACH1;BACH2;CYB5D2;CHORDC1;PPFIA1;TRIM25;RGS8;EPHB1;SH2D5;LZTS3;PAQR8;TLE4;CXADR;TMEM178B;FBXO18;PPTC7;ALG2;ANK2;ATP1B2;NSMF;HECA;VCL;ASTN1;LY6E;OSBP2;LRRC58;NDRG4;TTYH3;SDC3;TRANK1;PTTG1IP;ZBTB4;CACNA1E;TRHDE;NID2;FLRT2;MLEC;ABL2;IP6K1;MFAP3L;ARPP21;FBXO33;PRRC2B;PTPRD;SLC6A6;GRIN3A;REEP2;CNTN1;NF1;RNF181;FAT3;TMCC1;CPEB2;CDS2;CNTNAP1;RNF11;NRSN1;RNF14;KCNC3;PIGQ;SETD7;DIRAS2;FAF2;PTPRM;CELF5;LAMC1;ROBO1;AIFM1;SLC22A17;PSD3;GPR137;CTSD;ABCD1;PCYT1B;ARHGEF12;MINK1;SIGMAR1;DHPS;ANO6;SEPT4;SYNGR3;BET1L;ETV5;RGMA;FCHSD1;LMBRD1;SLC25A18;NDUFS7;SNPH;KCNMA1;PLEKHO2;ALDOA;INA;PAFAH1B1;NAPB;USP15;AMIGO1;CAMK2A;ATP1A2;PHYHIP;RNF5;CUX2;SV2A;GNG7;SPOCK3;CDC37L1;ANO10;STOM;SLITRK5;VHL;APBB3;EXTL3;ANKIB1;SLC31A1;SEMA4B;MID1IP1;WWP1;TMEM60;SPATA2L;TJP1;SLC4A8;KLF7;FMNL2;PDE10A;TEF;SST;SYT11;KLF9;APBA1",136
"8","mmu-miR-324-3p","152/337",7.59517381247293e-11,3.07604539405154e-08,0,0,1.5734818617396,36.6635797054858,"TPMT;GDA;ICE2;ROGDI;LIPA;GPATCH8;ZFYVE26;GJA1;ALKBH5;EDNRA;LAPTM4A;GNPTAB;DAG1;ARL6IP5;PIP4K2B;PIM3;PIP4K2C;FAM19A5;CALN1;SLC25A46;RNF44;COG7;TPRA1;ANKRD46;FBXO18;PPTC7;PRKCB;STX8;TMOD2;CACNA2D3;ANK2;TSC1;SCAMP1;HPCAL4;MID2;SYTL2;DKK3;FNDC5;GPRIN3;TMEM135;TMX4;FRMD5;RALGAPB;DMTF1;LIX1;RABL3;PADI2;ULK1;TTPAL;ASTN1;PFKFB2;LRRC58;GRIA2;ADCYAP1R1;RAB5B;TTYH3;LRRC57;SLC35D1;PRKDC;SDC2;CCDC25;ANKRD12;TOR1AIP2;CD99L2;MTMR6;GIGYF2;RAP1GAP;NUAK1;BAG4;PDZD2;MYO6;G3BP2;ABL2;RAB6A;DRD2;RALGDS;RAB6B;GPM6B;ANKRD28;OSBPL8;CADM3;SMAD3;ARPP21;SYT1;CAV2;LNPEP;MARCH8;MARCH6;ZZEF1;GFAP;GNAO1;SLC6A6;REEP5;RGL1;CPEB2;CD200;ITM2C;GABRB2;PYGB;NRSN1;TENM4;NCAN;FAF2;LRRC4;PCMTD2;LFNG;SPRED2;HYAL1;TRPS1;PSD3;PMEPA1;KIF1B;METTL16;GARNL3;DGCR2;NCK1;USP46;HEG1;ANXA5;ASH1L;SYP;ETV3;SLC22A23;ATRN;LMBRD1;CANX;ATP6V1B2;SCN4B;STX17;SLC43A2;ROCK2;PARD6G;CLN8;TM9SF4;ADCY5;ABLIM1;NCAM1;ACSS1;EPS15;JAM2;JAZF1;SLC12A2;GABRA1;NTRK2;RIOK3;RYK;SLC31A1;SLC4A8;RIT1;GPAM;SYT11;KLF9",152
"9","mmu-miR-297a-5p","150/341",9.01106759274067e-10,3.24398433338664e-07,0,0,1.53456374654531,31.9609689474569,"GLTP;FAM49A;UHRF1BP1L;CCNT2;UBXN2B;MSMO1;RORB;ENO2;ELK3;CTGF;PREX2;SLK;SLC39A9;CHORDC1;NUDT19;CAPN2;RGS8;AGFG1;PAQR8;WSB1;PRKCB;DIO2;ZBTB34;ANK3;ZSCAN22;SCN8A;IDNK;ULK1;TTYH1;COX15;ANKRD12;SLC1A2;TGFA;SLC1A4;PIK3R1;FOXO3;RASGRP1;MTMR6;PCDH17;SHARPIN;TSPAN9;ZMAT3;FUT9;NEU1;TSPAN2;CAMTA2;SRGAP3;MFAP3L;FZD1;ANKRD28;CAV2;INSR;CAV1;XRCC3;PBX3;SLC4A10;NBEAL1;KLHL24;ELL2;SLC6A6;RNF103;DLG3;SYNJ1;GNAQ;SPIRE1;MANSC1;TMCC1;SERPINI1;SLC22A8;BRWD1;TMEM19;FERMT2;FGF11;CPEB4;GABRB2;SNAP25;TENM2;KCNC1;NCAN;CCDC47;ARRB1;VLDLR;FMN2;NXT2;AFF4;CYB561D2;ROBO1;EEA1;GRM5;SCRN1;PSD3;KIF1B;NXPE3;NCOA2;PCYT1A;EGFL6;CAMK1D;ELOVL4;TMEM255A;TSC22D3;ELOVL2;SSR3;SLC39A10;KCNAB1;ABCC9;NIPA2;ETV3;SYNGR3;PJA1;DUSP22;DNM3;ATRN;GORASP1;CDH11;BMP2K;SLC29A4;AMIGO1;KCNA1;NRXN1;FAM214B;ADD1;PURA;RANBP3L;NWD1;CHSY1;SV2A;KCTD21;DNAJB4;LEPROTL1;MXI1;PDE6D;NCAM1;FBRS;GPR158;MAP4K3;CAP2;P2RY12;SLC12A2;SLC31A1;KCNIP3;LYRM9;FOXJ1;S100B;TMCO1;SULF2;PDE10A;OSTM1;ASB7;KCNK1;LGR4",150
"10","mmu-let-7b-5p","145/333",3.90886961656192e-09,1.26647375576606e-06,0,0,1.51904913809676,29.4088180569758,"ITSN2;GPR63;BACH1;GBA2;CAPNS1;PPME1;BSG;KIF21B;PTGDS;EPHB3;PDGFRB;RNF44;SCARA3;SLC15A2;CSNK2A1;SACM1L;KCTD7;FRMD5;STIM1;ZSCAN22;SCN8A;PSME4;TRIB2;ABCG1;IFNAR1;GRIA2;CREM;TOR1AIP2;NID1;GNS;ADIPOR2;CACNA1E;PLD3;FAM171A1;ADAMTS15;SEC14L1;FUT9;RDH10;BTBD3;TBC1D14;TSPAN2;SRGAP3;RAB11FIP4;PPARGC1B;GRIA3;SPTBN2;SYT5;CD164;HOMER1;ARPP21;CADM2;PTPRD;SLC6A8;GNAL;AGO3;SYNJ1;PQLC2;CNTN2;ESAM;CPEB2;CPEB4;PIGS;GABRB2;SNED1;TENM2;KCNC1;USP32;CHD9;ARHGAP1;CELF5;ATP2A2;GRIK2;FMN2;NR2E1;EEA1;LFNG;JPH4;UNC80;TRPS1;PSD3;GPR137;KIF1A;IKBKG;UBXN4;TMED5;CTSB;VAV3;USP47;ABCC5;USP45;MANEAL;DUSP6;ADRA2A;SLC22A23;DNM3;RNF167;SLC25A18;NCOR1;VSNL1;KIFC2;IGDCC4;MTF1;CLDN12;CAT;ATP6V1B2;LCOR;SOWAHA;SLC25A4;SLC29A3;GRAMD1B;STX17;ROCK2;KCNA1;ZDHHC24;RNF5;KCTD21;SLITRK5;DMD;STX3;LRIG2;TRAM1L1;FNIP1;SLC25A23;APBB3;SH2B3;FNIP2;MAP4K3;JAM2;TUB;TTC14;FARP1;SLC35A4;KCNJ10;GAD1;DONSON;ATP2B2;SEMA4G;TUBB4A;SLC4A8;PNKD;PIK3IP1;NOVA1;SYT11;DLC1;APBA1",145
