cut.off	FPR	PR	FDR
0	1	1	1
0.01	0.839836460612071	0.880790991467315	0.953502554803588
0.02	0.686405889109689	0.764636618284289	0.897689010303827
0.03	0.54548218272345	0.654257879406453	0.833741862181798
0.04	0.421279722025342	0.551878115581593	0.763356455222688
0.05	0.31606614097495	0.459090835642107	0.688461011278702
0.06	0.230342386894363	0.376850266585565	0.611230526599781
0.07	0.163080278717801	0.305425718599515	0.53394415986179
0.08	0.112215462352036	0.244683668285832	0.458614435275465
0.09	0.0751084609809885	0.19393632839539	0.387284123621545
0.1	0.0489661024630858	0.152290009825121	0.321531941059791
0.11	0.0311574065654444	0.118664380261788	0.262567473884813
0.12	0.0194087422802659	0.0918945483448137	0.211206677978752
0.13	0.0118870653437063	0.0708586688698288	0.167757389932677
0.14	0.00720478692615787	0.0545266505522385	0.132133311934417
0.15	0.00435517289820848	0.0419683897649771	0.103772694701832
0.16	0.00265266060103665	0.0323789786679772	0.0819253945048038
0.17	0.0016462808957554	0.0251061287492154	0.0655728691667309
0.18	0.00105304561870798	0.0195963021117633	0.0537369557124689
0.19	0.000699926953582993	0.0154333998194619	0.0453514430890573
0.2	0.000485135917148246	0.0122759877300911	0.0395190943339796
0.21	0.000350033777516679	0.00987089561784623	0.0354611973490866
0.22	0.000261575647525064	0.00802913552433199	0.0325783076811157
0.23	0.000201021690243632	0.0066073210891499	0.0304240837597155
0.24	0.000157961557335542	0.0055014781655773	0.0287125664378541
0.25	0.000126372959081811	0.00462380385975847	0.0273309515097841
0.26	0.000102482185931834	0.00392321854092718	0.0261219671712741
0.27	8.38024279600828e-05	0.00335657174913082	0.0249666726122519
0.28	6.92049100212674e-05	0.00289003777935938	0.023946022614489
0.29	5.75191354714709e-05	0.00250321273271047	0.0229781251588591
0.3	4.80815238750671e-05	0.00218035091560311	0.0220521951448201
0.31	4.03363448703749e-05	0.0019065994745269	0.0211561711881746
0.32	3.40074021364987e-05	0.00167161773604771	0.0203440065292105
0.33	2.88433236442245e-05	0.00146890549067981	0.0196359288104205
0.34	2.44765429906687e-05	0.00129251742486917	0.0189371087149145
0.35	2.08738915844245e-05	0.00114050723070495	0.0183022878088396
0.36	1.78436591393114e-05	0.00100730508812075	0.0177142549459379
0.37	1.52840451986851e-05	0.000890649691891113	0.0171605574423235
0.38	1.31307986546636e-05	0.000788233843142093	0.0166585065699805
0.39	1.1286499807958e-05	0.000697516702607443	0.0161809742559097
0.4	9.69440742043889e-06	0.000617257055703078	0.0157056243114088
0.41	8.35473009959927e-06	0.000546995965944126	0.0152738422580116
0.42	7.1879883905591e-06	0.000485214770780647	0.0148140345748225
0.43	6.16810635667793e-06	0.000429919182578381	0.0143471298947062
0.44	5.32491486947244e-06	0.000381004897590764	0.0139759748579188
0.45	4.58331523141812e-06	0.000337376726478899	0.0135851553225168
0.46	3.96187350940298e-06	0.000298690466879132	0.0132641444864265
0.47	3.43034161692411e-06	0.000264923171967218	0.0129484393209235
0.48	2.93907097061808e-06	0.000234716806962924	0.0125217746809343
0.49	2.54396837864203e-06	0.000207608263231515	0.012253695200008
0.5	2.18140855559325e-06	0.000183647606571341	0.0118782302493327
0.51	1.87183503579786e-06	0.000162632487714072	0.0115096009543233
0.52	1.6129531368315e-06	0.000143653377989689	0.0112280905566124
0.53	1.38870008172365e-06	0.000127392423900706	0.0109009628610729
0.54	1.1944865056256e-06	0.000112645960211801	0.0106039000722236
0.55	1.026348866168e-06	9.96622298397891e-05	0.010298273155416
0.56	8.7761172357089e-07	8.80407063978746e-05	0.00996824945502796
0.57	7.41808245547441e-07	7.79962556039743e-05	0.00951081868998904
0.58	6.35001209068169e-07	6.87424272090124e-05	0.00923739871938822
0.59	5.33826574903234e-07	6.06359400262302e-05	0.00880379812158118
0.6	4.55807372475017e-07	5.34327232886731e-05	0.0085304911376591
0.61	3.93433732031067e-07	4.69950960508795e-05	0.00837180397727273
0.62	3.38152746353319e-07	4.15379240307667e-05	0.00814081960626758
0.63	2.86209480565548e-07	3.64833644723824e-05	0.00784493109954829
0.64	2.40524439571485e-07	3.20441970187127e-05	0.00750602174337608
0.65	2.00054585905511e-07	2.8366446914944e-05	0.00705250772172378
0.66	1.68972069430098e-07	2.49014764541614e-05	0.00678562452877607
0.67	1.44564992734639e-07	2.18495488297635e-05	0.00661638342562536
0.68	1.15359943697338e-07	1.91209628197071e-05	0.00603316604843989
0.69	9.61680543299692e-08	1.65655210289433e-05	0.00580531419216723
0.7	7.88536324007122e-08	1.43501094519709e-05	0.00549498473615351
0.71	6.82146502514098e-08	1.25164495874146e-05	0.00545
0.72	5.84100980746017e-08	1.08663643168071e-05	0.00537531196006911
0.73	4.69366859528049e-08	9.41654223959828e-06	0.00498449268941072
0.74	3.6506311296626e-08	8.14195045661322e-06	0.00448373046374584
0.75	2.98308715166716e-08	7.04676111771444e-06	0.00423327412670219
0.76	2.39898617092114e-08	6.08299449948351e-06	0.0039437585733882
0.77	1.89832818742455e-08	5.13591648070247e-06	0.0036961819658814
0.78	1.58541694773919e-08	4.39535988011377e-06	0.00360702420503085
0.79	1.20992346011675e-08	3.69443870321855e-06	0.00327498588368154
0.8	8.97012220431383e-09	3.11450987233501e-06	0.0028801071667783
0.81	6.4668322868309e-09	2.56378609048877e-06	0.00252237591537836
0.82	5.63240231433659e-09	2.14239895437914e-06	0.00262901655306719
