"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","postsynaptic membrane assembly (GO:0097104)","2/9",0.00153248405490099,1,0,0,33.4168755221387,216.570268833428,"NLGN3;LRP4",2
"2","adrenal gland development (GO:0030325)","2/10",0.00190727188277236,1,0,0,30.0751879699248,188.333274935082,"MDK;DKK3",2
"3","presynaptic membrane assembly (GO:0097105)","2/10",0.00190727188277236,1,0,0,30.0751879699248,188.333274935082,"NLGN3;LRP4",2
"4","positive regulation of mRNA splicing, via spliceosome (GO:0048026)","2/10",0.00190727188277236,1,0,0,30.0751879699248,188.333274935082,"NUP98;RBMX",2
"5","postsynapse assembly (GO:0099068)","2/11",0.00232097422392608,1,0,0,27.3410799726589,165.844655019584,"NLGN3;LRP4",2
"6","rRNA base methylation (GO:0070475)","2/11",0.00232097422392608,1,0,0,27.3410799726589,165.844655019584,"METTL15P1;METTL15",2
"7","presynaptic membrane organization (GO:0097090)","2/11",0.00232097422392608,1,0,0,27.3410799726589,165.844655019584,"NLGN3;LRP4",2
"8","regulation of canonical Wnt signaling pathway (GO:0060828)","6/214",0.0031115432709995,1,0,0,4.21614784625114,24.3382887242829,"USP47;PSMC3;PSMD13;LRP4;LGR4;DKK3",6
"9","presynapse assembly (GO:0099054)","2/15",0.00435448103898471,1,0,0,20.0501253132832,109.00350556773,"NLGN3;LRP4",2
"10","regulation of transcription, DNA-templated (GO:0006355)","20/1599",0.00447870844717851,1,0,0,1.88087479486709,10.1725619248124,"ZNF143;USP47;CTR9;PRMT3;NR1H3;PAX6;ELP4;SPTY2D1;MT3;RRP8;PHF21A;DKK3;TRAF6;CRY2;APBB1;TOX;ZBED5;TEAD1;TRIM44;HTATIP2",20
"11","postsynaptic membrane organization (GO:0001941)","2/16",0.00495496507761855,1,0,0,18.796992481203,99.762502991212,"NLGN3;LRP4",2
"12","positive regulation of mRNA processing (GO:0050685)","2/16",0.00495496507761855,1,0,0,18.796992481203,99.762502991212,"NUP98;RBMX",2
"13","transcription from RNA polymerase II promoter (GO:0006366)","9/486",0.00524754572012162,1,0,0,2.78473962684489,14.6198685423668,"ZNF143;CSTF3;CTR9;NR1H3;PAX6;GTF2H1;ELP4;TEAD1;RBMX",9
"14","intracellular transport of virus (GO:0075733)","3/55",0.00586132706338091,1,0,0,8.20232399179768,42.1548536407703,"TSG101;NUP98;NUP160",3
"15","transport of virus (GO:0046794)","3/55",0.00586132706338091,1,0,0,8.20232399179768,42.1548536407703,"TSG101;NUP98;NUP160",3
"16","positive regulation of canonical Wnt signaling pathway (GO:0090263)","4/114",0.00710006299405756,1,0,0,5.27634876665348,26.1055355365875,"USP47;PSMC3;PSMD13;LGR4",4
"17","regulation of phosphorylation (GO:0042325)","4/120",0.00847893356211448,1,0,0,5.0125313283208,23.9106295552446,"KDM4D;NUP98;BTBD10;NUP160",4
"18","zinc II ion transport (GO:0006829)","2/21",0.00848505004125987,1,0,0,14.3215180809166,68.3057570024882,"SLC39A13;MT3",2
"19","negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)","3/63",0.00853742029726147,1,0,0,7.16075904045829,34.1088176851778,"USP47;PSMC3;PSMD13",3
"20","positive regulation of RNA splicing (GO:0033120)","2/22",0.00929319765245209,1,0,0,13.6705399863295,63.9572465026983,"NUP98;RBMX",2
"21","rRNA methylation (GO:0031167)","2/23",0.0101342771876109,1,0,0,13.076168682576,60.0435674411432,"METTL15P1;METTL15",2
"22","negative regulation of axonogenesis (GO:0050771)","2/23",0.0101342771876109,1,0,0,13.076168682576,60.0435674411432,"LRP4;MT3",2
"23","membrane assembly (GO:0071709)","2/23",0.0101342771876109,1,0,0,13.076168682576,60.0435674411432,"NLGN3;LRP4",2
"24","negative regulation of cell cycle G2/M phase transition (GO:1902750)","3/70",0.0113800357457823,1,0,0,6.44468313641246,28.845723152631,"USP47;PSMC3;PSMD13",3
"25","endocrine system development (GO:0035270)","2/27",0.0138186460808769,1,0,0,11.1389585073796,47.6940844727422,"MDK;DKK3",2
"26","positive regulation of Wnt signaling pathway (GO:0030177)","4/141",0.0146468957249492,1,0,0,4.26598410920919,18.0174984775986,"USP47;PSMC3;PSMD13;LGR4",4
"27","synaptic transmission, cholinergic (GO:0007271)","2/29",0.0158465022518242,1,0,0,10.3707544723879,42.9847703513632,"RIC3;CHRNA10",2
"28","cellular protein complex assembly (GO:0043623)","4/145",0.0160736238040042,1,0,0,4.14830178895515,17.1348742482622,"IMMP1L;PSMD13;NUP98;PIK3C2A",4
"29","negative regulation of mitotic cell cycle phase transition (GO:1901991)","3/80",0.0162829009077053,1,0,0,5.6390977443609,23.219773002899,"USP47;PSMC3;PSMD13",3
"30","NIK/NF-kappaB signaling (GO:0038061)","3/81",0.0168286452340699,1,0,0,5.56947925368978,22.7495002567745,"PSMC3;PSMD13;TRAF6",3
"31","negative regulation of canonical Wnt signaling pathway (GO:0090090)","4/149",0.0175848739451649,1,0,0,4.03693798254024,16.3121206293497,"PSMC3;PSMD13;LRP4;DKK3",4
"32","regulation of G2/M transition of mitotic cell cycle (GO:0010389)","4/150",0.0179760565725435,1,0,0,4.01002506265664,16.1151462535893,"USP47;PSMC3;PSMD13;CKAP5",4
"33","hippo signaling (GO:0035329)","2/31",0.0179934036602126,1,0,0,9.70167353868542,38.978899360384,"DCHS1;TEAD1",2
"34","cellular response to interleukin-1 (GO:0071347)","4/151",0.0183726284698511,1,0,0,3.98346860528805,15.9214989994635,"PSMC3;PSMD13;TRAF6;RBMX",4
"35","cellular zinc ion homeostasis (GO:0006882)","2/32",0.0191104114130209,1,0,0,9.3984962406015,37.1947555665838,"SLC39A13;MT3",2
"36","zinc ion homeostasis (GO:0055069)","2/32",0.0191104114130209,1,0,0,9.3984962406015,37.1947555665838,"SLC39A13;MT3",2
"37","cellular response to molecule of bacterial origin (GO:0071219)","3/85",0.0191134016470622,1,0,0,5.30738611233967,21.0032668716219,"TRAF6;CTR9;NR1H3",3
"38","negative regulation of programmed cell death (GO:0043069)","7/409",0.0196654889538167,1,0,0,2.57367134216961,10.1116716233223,"USP47;API5;TRAF6;CAT;MT3;HIPK3;HTATIP2",7
