"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","721_B_lymphoblasts","23/1543",0.00020444223916164,0.0171731480895777,0,0,2.24150785258675,19.0421137071806,"CARS;MTCH2;CCDC34;API5;CELF1;CSTF3;SAAL1;MRPL17;NAT10;ZDHHC13;GTF2H1;ELP4;BTBD10;CKAP5;RRP8;FANCF;UEVLD;EIF3M;PPFIBP2;PSMC3;CAPRIN1;RBMX;HTATIP2",23
"2","PrefrontalCortex","7/521",0.0594568298793346,1,0,0,2.02040610162643,5.70260587537033,"PXK;TRIM3;LRP4;DGKZ;MT3;DKK3;MAPK8IP1",7
"3","CD56+_NKCells","9/752",0.0637589183158918,1,0,0,1.79971204607263,4.95397054195148,"PEX16;ZNF143;USP47;TRIM68;DNAJC24;PRR5L;TOX;PHF21A;HTATIP2",9
"4","colon","4/258",0.0936313181720966,1,0,0,2.33140992014921,5.5216887698492,"LIN7C;NUP160;LGR4;HTATIP2",4
"5","UterusCorpus","2/98",0.138506125469413,1,0,0,3.06889673162498,6.06672004639176,"TRIM3;SPTY2D1",2
"6","Uterus","3/201",0.150088009496356,1,0,0,2.24441701268096,4.25661188860714,"DCHS1;SLC39A13;CHRDL1",3
"7","PancreaticIslet","2/123",0.197240010977667,1,0,0,2.44513723332722,3.969274312537,"SMPD1;PAX6",2
"8","CD34+","6/645",0.25916843492544,1,0,0,1.39884595208953,1.88882965659269,"ALKBH3;ZNF408;NAT10;GTF2H1;NUP98;NUCB2",6
"9","Leukemia_promyelocytic-HL-60","1/62",0.339204225491515,1,0,0,2.42541838467136,2.62224816375124,"PRMT3",1
"10","Adipocyte","2/181",0.339258776046583,1,0,0,1.66161259502347,1.79619010781563,"NR1H3;CHRDL1",2
"11","Thymus","1/68",0.365217971514384,1,0,0,2.21141088014153,2.22746776074924,"TOX",1
"12","CD8+_Tcells","5/602",0.371782911399469,1,0,0,1.24896960007993,1.23578693397937,"FNBP4;ZNF195;API5;ANKRD42;ZBED5",5
"13","Thalamus","1/79",0.410297760899198,1,0,0,1.90349290948891,1.69576879561675,"NLGN3",1
"14","retina","2/218",0.426538472112369,1,0,0,1.37959577843692,1.17548832430042,"PAX6;ELP4",2
"15","CD14+_Monocytes","3/383",0.469965743760787,1,0,0,1.17787942440959,0.889411420581086,"COMMD9;TALDO1;PHF21A",3
"16","Testis","3/384",0.471676861212568,1,0,0,1.17481203007519,0.882825592020968,"MTCH2;KDM4D;SLC39A13",3
"17","Wholebrain","2/240",0.475573407754957,1,0,0,1.2531328320802,0.931370963377784,"PEX16;MT3",2
"18","AdrenalCortex","1/106",0.507924031260151,1,0,0,1.41864094197759,0.96102055234795,"PIK3C2A",1
"19","Leukemialymphoblastic(MOLT-4)","1/118",0.545991275281323,1,0,0,1.27437237160698,0.771189349691781,"TOX",1
"20","Lymphoma_burkitts(Daudi)","1/139",0.605706776293755,1,0,0,1.08184129388219,0.542391169488325,"SAAL1",1
"21","Kidney","1/142",0.61357542014346,1,0,0,1.05898549189876,0.517263674857348,"BBOX1",1
"22","TestisGermCell","2/314",0.620474403528666,1,0,0,0.957808534074039,0.457134166517208,"DNHD1;NUP98",2
"23","Fetalbrain","2/325",0.63920801049506,1,0,0,0.92539039907461,0.41413566458761,"DCHS1;FJX1",2
"24","CD33+_Myeloid","4/679",0.665523199677425,1,0,0,0.885867097788654,0.360708942812879,"PEX16;PHF21A;HIPK3;TTC17",4
"25","Amygdala","2/345",0.671412417576677,1,0,0,0.8717445788384,0.34727836945152,"DKK3;MAPK8IP1",2
"26","Lymphoma_burkitts(Raji)","2/355",0.686630419050558,1,0,0,0.847188393519009,0.318508181764603,"PRMT3;DNHD1",2
"27","CD4+_Tcells","3/533",0.69200563774789,1,0,0,0.846393657690192,0.311609284681514,"PEX16;CELF1;ZBED5",3
"28","SmoothMuscle","2/363",0.698388481741472,1,0,0,0.828517574929058,0.29742104595753,"EXT2;RCN1",2
"29","CD71+_EarlyErythroid","3/553",0.715696748881098,1,0,0,0.815782675495248,0.27287827447286,"TSG101;CAT;TALDO1",3
"30","Thyroid","2/388",0.732811134732106,1,0,0,0.775133710565073,0.240963701233478,"PPFIBP2;PIK3C2A",2
"31","Placenta","2/405",0.754282355370048,1,0,0,0.742597233825304,0.20940388337878,"ABTB2;EXT2",2
"32","CD19+_BCells(neg._sel.)","2/412",0.762686072562639,1,0,0,0.729980290532156,0.197758063129134,"PXK;RRP8",2
"33","Heart","2/415",0.766211450685847,1,0,0,0.724703324576502,0.192986395183078,"NDUFS3;DCHS1",2
"34","SuperiorCervicalGanglion","3/602",0.767814337873294,1,0,0,0.74938176004796,0.197992148443233,"EIF3M;RRP8;NUP160",3
"35","Liver","3/618",0.783073190066654,1,0,0,0.729980290532156,0.178501433284163,"SMPD1;RDH16;ACP2",3
"36","pineal_night","3/674",0.83013090252055,1,0,0,0.669329109122956,0.12461025640671,"MADD;CRY2;FBXO3",3
"37","CardiacMyocytes","1/273",0.840234431375059,1,0,0,0.550827618496791,0.0958849547558098,"CAT",1
"38","CiliaryGanglion","1/278",0.845548493403771,1,0,0,0.540920646941094,0.0907501258086224,"SPTY2D1",1
"39","BronchialEpithelialCells","1/280",0.847624659744128,1,0,0,0.537056928034372,0.0887848331905796,"EXT2",1
"40","Colorectaladenocarcinoma","1/292",0.859512597071653,1,0,0,0.514986095375425,0.077963640945415,"MDK",1
"41","TestisIntersitial","2/568",0.894876060114619,1,0,0,0.529492745949381,0.0588107860930996,"KDM4D;NUP98",2
"42","pineal_day","2/694",0.947797654030248,1,0,0,0.433360057203528,0.0232342721178471,"MADD;FBXO3",2
"43","BDCA4+_DendriticCells","1/495",0.9647152957972,1,0,0,0.303789777473988,0.0109128127698365,"HPS5",1
"44","WholeBlood","1/514",0.96901825924652,1,0,0,0.292560194259969,0.00920740290724192,"HTATIP2",1
