"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","GABPA_ENCODE","29/2082",8.79649096832972e-05,0.0091483506070629,0,0,2.09457360981705,19.560327672325,"CARS;C11ORF74;TSG101;ZNF195;PSMD13;CSTF3;CTR9;ARHGAP1;DNAJC24;SPTY2D1;ALKBH3;ZNF408;C11ORF49;ARFIP2;ACP2;TRIM44;PEX16;ARL14EP;ZNF143;KDM4D;NR1H3;SLC39A13;GTF2H1;HPS5;TTC17;EIF3M;PSMC3;ANKRD42;NDUFS3",29
"2","YY1_ENCODE","35/2753",8.94899778249833e-05,0.00465347884689913,0,0,1.91179000898541,17.8205286454256,"CARS;MTCH2;CELF1;CSTF3;ARHGAP1;LIN7C;NUP160;COMMD9;ZNF408;TCP11L1;FBXO3;ACP2;APBB1;ZBED5;FNBP4;ZNF143;USP47;KDM4D;HARBI1;NR1H3;GTF2H1;HPS5;ELP4;ATG13;HIPK3;ARFGAP2;TTC17;IMMP1L;FAM160A2;PSMC3;CAPRIN1;CRY2;NDUFS3;RBMX;C11ORF58",35
"3","TAF1_ENCODE","38/3346",0.000435984217147644,0.015114119527785,0,0,1.70779608914696,13.2147630680097,"MTCH2;TSG101;ZNF195;CSTF3;CTR9;ARHGAP1;NAT10;LIN7C;SPTY2D1;RRP8;PHF21A;NUP160;ZNF408;ARFIP2;ACP2;ZBED5;FNBP4;ARL14EP;ZNF143;USP47;KDM4D;API5;NR1H3;GTF2H1;HPS5;ELP4;BTBD10;HIPK3;ARFGAP2;TTC17;IMMP1L;EIF3M;PSMC3;CAPRIN1;CRY2;NDUFS3;RBMX;C11ORF58",38
"4","SIN3A_ENCODE","18/1131",0.000505111923515394,0.0131329100114002,0,0,2.39325103208951,18.1665236573387,"CARS;PEX16;TSG101;CCDC34;PSMD13;ARHGAP1;SCLT1;NAT10;DNAJC24;GTF2H1;HPS5;BTBD10;RRP8;UEVLD;COMMD9;ZNF408;ANKRD42;METTL15",18
"5","ATF2_ENCODE","33/2852",0.000849760545969836,0.0176750193561726,0,0,1.73997405856858,12.3025839479548,"TSG101;CSTF3;CTR9;ARHGAP1;MRPL17;NAT10;DNAJC24;LIN7C;SPTY2D1;RRP8;C4ORF33;ZNF408;ARFIP2;ACP2;ZBED5;TEAD1;QSER1;FNBP4;ZNF143;API5;SCLT1;NR1H3;SLC39A13;GTF2H1;HPS5;BTBD10;FANCF;CAPRIN1;ANKRD42;NDUFS3;NUP98;RBMX;C11ORF58",33
"6","FOS_ENCODE","12/637",0.00113089855117675,0.0196022415537303,0,0,2.83282775226921,19.2200076511238,"FNBP4;ABTB2;ZNF143;IMMP1L;COMMD9;FAR1;GTF2H1;HPS5;ELP4;ZBED5;NUCB2;FANCF",12
"7","NFYA_ENCODE","25/2250",0.0068374471339572,0.101584928847364,0,0,1.67084377610693,8.32972571937092,"ZNF195;SPTY2D1;C4ORF33;ALKBH3;TRIM68;ZBED5;METTL15;FNBP4;ZNF143;SCLT1;ZDHHC13;ELP4;CKAP5;FANCF;ARFGAP2;ABTB2;IMMP1L;FAM160A2;PSMC3;CRY2;CAT;FAR1;NUP98;RBMX;NUCB2",25
"8","CREB1_CHEA","18/1444",0.00724759506999741,0.0942187359099663,0,0,1.87449232499531,9.23578410360794,"FNBP4;ZNF143;TSG101;CSTF3;SLC39A13;HPS5;PIK3C2A;SPTY2D1;NUP160;MAPK8IP1;ARFGAP2;PSMC3;MOB2;FAR1;NUP98;TEAD1;RBMX;C11ORF58",18
"9","E2F1_CHEA","12/859",0.0121203359406668,0.140057215314372,0,0,2.10071161605994,9.27016848935721,"ABTB2;EXT2;COMMD9;SCLT1;MRPL17;ZDHHC13;FAR1;NUP98;ZBED5;RBMX;RRP8;NUP160",12
"10","CREB1_ENCODE","24/2238",0.0122496384092969,0.127396239456688,0,0,1.61261061500937,7.09912936771226,"ZNF143;TSG101;API5;HARBI1;CSTF3;CTR9;PRMT3;SCLT1;NAT10;SLC39A13;GTF2H1;HPS5;LIN7C;SPTY2D1;ATG13;NUP160;C4ORF33;CRY2;ANKRD42;ARFIP2;NUP98;TEAD1;METTL15;C11ORF58",24
"11","AR_CHEA","14/1095",0.0142602875724811,0.134824537048913,0,0,1.92261475606825,8.17164469661365,"ARL14EP;SLC35C1;PRMT3;BBOX1;LDLRAD3;PRDM11;CHRDL1;PHF21A;ALKBH3;ABTB2;EXT2;PPFIBP2;TOX;ZBED5",14
