"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","blood","2/36",0.102456917600728,1,0,0,3.67917586460633,8.382313777968,"CD151;CD44",2
"2","ehlers-danlos","1/11",0.154146035057788,1,0,0,6.02046959662854,11.257404252291,"SLC39A13",1
"3","zellweger_syndrome","1/12",0.166925440149049,1,0,0,5.51876379690949,9.87973527833574,"PEX16",1
"4","epidermolysis_bullosa","1/13",0.179512400186692,1,0,0,5.09424350483953,8.74941921354983,"CD151",1
"5","fanconi_anemia","1/13",0.179512400186692,1,0,0,5.09424350483953,8.74941921354983,"FANCF",1
"6","ovarian_cancer","1/13",0.179512400186692,1,0,0,5.09424350483953,8.74941921354983,"RRAS2",1
"7","leigh_syndrome","1/14",0.191909803614915,1,0,0,4.73036896877956,7.8085609752657,"NDUFS3",1
"8","corneal_dystrophy","1/14",0.191909803614915,1,0,0,4.73036896877956,7.8085609752657,"PAX6",1
"9","thyroid_carcinoma","1/17",0.227992914782158,1,0,0,3.89559797428905,5.75941069741878,"HRAS",1
"10","disorder_of_glycosylation","1/19",0.251151579850199,1,0,0,3.48553502962705,4.81595893461558,"SLC35C1",1
"11","autism","1/19",0.251151579850199,1,0,0,3.48553502962705,4.81595893461558,"NLGN3",1
"12","parkinson_disease","1/22",0.284597646286781,1,0,0,3.01023479831427,3.78289844554734,"DRD4",1
"13","diabetes","2/75",0.313294690085847,1,0,0,1.76600441501104,2.04964420221662,"HFE;MAPK8IP1",2
"14","alzheimer_disease","1/26",0.326887548185042,1,0,0,2.54712175241977,2.8480363132215,"HFE",1
"15","leukemia","2/78",0.329936188866064,1,0,0,1.69808116827984,1.88292750941071,"LMO1;NUP98",2
"16","charcot-marie-tooth_disease","1/27",0.337064760071626,1,0,0,2.45278390973755,2.66735393845161,"SBF2",1
"17","breast_cancer","1/28",0.34708859780035,1,0,0,2.36518448438978,2.50277958030303,"TSG101",1
"18","diabetes_mellitus,_type_2","1/32",0.38569576981747,1,0,0,2.06953642384106,1.97166055747971,"MAPK8IP1",1
"19","myopathy","1/44",0.488389773140104,1,0,0,1.50511739915713,1.07862955520981,"PNPLA2",1
"20","cataract","1/47",0.511268163735605,1,0,0,1.40904607580668,0.945274121695125,"PAX6",1
"21","epilepsy","1/58",0.586768510678962,1,0,0,1.14181319936058,0.608729044229463,"SLC25A22",1
"22","diabetes_mellitus","1/58",0.586768510678962,1,0,0,1.14181319936058,0.608729044229463,"MAPK8IP1",1
"23","anemia","1/61",0.605260323630898,1,0,0,1.08565845185105,0.545105446211027,"FANCF",1
"24","deafness","1/111",0.816138860558165,1,0,0,0.596623113179405,0.121216375062963,"CD151",1
