"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","Lymphoma_burkitts(Raji)","10/355",0.0440387706014824,1,0,0,1.86549762149053,5.82536122192888,"PTDSS2;PGAP2;DEAF1;RPL27A;HFE;SWAP70;PRMT3;DNHD1;IPO7;NAP1L4",10
"2","721_B_lymphoblasts","30/1543",0.0922116057244074,1,0,0,1.28759233110008,3.06919428584384,"CARS;MTCH2;PGAP2;CELF1;CSTF3;MRPL17;NAT10;RRP8;RIC8A;HTATIP2;PDHX;RRM1;CCDC34;API5;SAAL1;ZDHHC13;GTF2H1;ELP4;BTBD10;CKAP5;BET1L;FANCF;UEVLD;EIF3M;WEE1;PPFIBP2;PSMA1;PSMC3;CAPRIN1;RBMX",30
"3","CD56+_NKCells","15/752",0.167328234537862,1,0,0,1.32098069606876,2.3616465398831,"PEX16;ZNF143;USP47;OSBPL5;DNAJC24;PRR5L;PHF21A;TSPAN32;ARNTL;SIGIRR;RIC8A;STIM1;TRIM68;TOX;HTATIP2",15
"4","colon","6/258",0.196404581623191,1,0,0,1.54012012937009,2.50666649516948,"EHF;CASP6;LIN7C;LGR4;NUP160;HTATIP2",6
"5","Leukemia_promyelocytic-HL-60","2/62",0.24055415682007,1,0,0,2.1362956633198,3.0438154892191,"SWAP70;PRMT3",2
"6","PancreaticIslet","3/123",0.284333904359685,1,0,0,1.61524794055888,2.03134552069387,"SMPD1;FAM3B;PAX6",3
"7","Trachea","2/72",0.296565869711619,1,0,0,1.83958793230316,2.23599324443394,"EHF;APIP",2
"8","Thalamus","2/79",0.33545947818015,1,0,0,1.67658646994719,1.83125846299266,"NLGN3;GABBR1",2
"9","Uterus","4/201",0.360707193058301,1,0,0,1.31791374254555,1.34386181586106,"ST5;DCHS1;SLC39A13;CHRDL1",4
"10","OccipitalLobe","1/35",0.41315022653481,1,0,0,1.89214758751183,1.6725525213317,"LRRC56",1
"11","CD8+_Tcells","10/602",0.424704506177409,1,0,0,1.10008580669292,0.942071276164694,"FNBP4;SIGIRR;TMEM41B;ZNF195;API5;PDE3B;ANKRD42;ZBED5;TSPAN32;ARNTL",10
"12","small_intestine","4/220",0.425430096873053,1,0,0,1.20409391932571,1.02908444206452,"SCUBE2;TMEM41B;CASP6;FAM3B",4
"13","UterusCorpus","2/98",0.437007031149855,1,0,0,1.35153399107988,1.11880793948941,"TRIM3;SPTY2D1",2
"14","Heart","7/415",0.437162360968225,1,0,0,1.11705098539855,0.924304527638451,"CD151;TSSC4;HFE;TSPAN4;NDUFS3;DCHS1;POLR2L",7
"15","AdrenalCortex","2/106",0.477244156800488,1,0,0,1.24953142571536,0.92431220783265,"TH;PIK3C2A",2
"16","Wholebrain","4/240",0.491659931314098,1,0,0,1.1037527593819,0.783629136856879,"PEX16;OLFM1;AP2A2;MT3",4
"17","PrefrontalCortex","8/521",0.530882286970144,1,0,0,1.01689313724244,0.64391195139662,"PXK;DEAF1;TRIM3;LRP4;DGKZ;MT3;DKK3;MAPK8IP1",8
"18","FetalThyroid","1/66",0.634265123208399,1,0,0,1.00341159943809,0.456841497640286,"RPL27A",1
"19","retina","3/218",0.642322384770368,1,0,0,0.911355489397898,0.403425127013428,"LMO1;PAX6;ELP4",3
"20","SmoothMuscle","5/363",0.64344393597195,1,0,0,0.912192363125536,0.402204202769552,"EXT2;RCN1;STC2;RPL27A;RRAS2",5
"21","Thymus","1/68",0.645263176122392,1,0,0,0.973899493572263,0.426662466312788,"TOX",1
"22","CD14+_Monocytes","5/383",0.689305336824956,1,0,0,0.864558297165978,0.321677024135865,"COMMD9;TSSC4;TALDO1;CD44;PHF21A",5
