"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","lens","19/947",0.127553606491257,1,0,0,1.32869920347979,2.73608206003283,"CD151;PGAP2;CCDC34;PSMD13;CELF1;HFE;MRPL17;SLC39A13;PAX6;PROX1;ELP4;CHRDL1;DKK3;ARFGAP2;NAP1L4;ABTB2;EXT2;CHL1;MAP3K5",19
"2","pituitary","7/294",0.158296424601185,1,0,0,1.57678965625985,2.9064741383971,"FBXO3;LIN7C;PAM;ARHGAP36;TRIM66;BET1L;MAPK8IP1",7
"3","cerebral_cortex","8/349",0.159736177109882,1,0,0,1.51805537106966,2.78446531088928,"TUB;OLFM1;FAM160A2;BRSK2;CHL1;CRY2;APBB1;BTBD10",8
"4","lacrimal_gland","14/749",0.24369318869752,1,0,0,1.23785356192362,1.74765769422524,"EHF;PLA2G12A;HARBI1;NAT10;PAX6;ATG13;EIF3M;COMMD9;RASSF10;DEAF1;ST5;ARFIP2;FBXO3;FJX1",14
"5","cerebral_cortex_prefrontal","7/344",0.264731456328978,1,0,0,1.34760511319883,1.79102020907864,"OLFM1;GABBR1;BRSK2;APBB1;BTBD10;SLC25A22;B4GALNT4",7
"6","hippocampus","4/176",0.275652839768252,1,0,0,1.50511739915713,1.93951389512323,"OLFM1;RIC3;GABBR1;SHISA6",4
"7","B-cells_GL7negative_Alum","7/379",0.348487072232309,1,0,0,1.22315609219102,1.28939506447865,"GABBR1;PSMA1;SWAP70;TRAF6;PRMT3;SAAL1;DNHD1",7
"8","heart","10/568",0.355751664071698,1,0,0,1.16593601343158,1.20502094531708,"SCUBE2;PDHX;EXT2;EHD4;SMPD1;APIP;NDUFS3;PROX1;NAV2;PAM",10
"9","osteoblast_day21","5/264",0.368440406933072,1,0,0,1.25426449929761,1.25235337445677,"RCN1;MDK;FBXO3;CHRDL1;BET1L",5
"10","prostate","6/329",0.378285943075432,1,0,0,1.20775377926287,1.17406337427172,"CHID1;EHF;PLA2G12A;PGAP2;ARFIP2;NUCB2",6
"11","lymph_nodes","2/90",0.395155249601329,1,0,0,1.47167034584253,1.36641141182402,"MADD;DGKZ",2
"12","neuro2a","7/425",0.461633433922907,1,0,0,1.09076743280093,0.843145921514015,"LMO1;TUB;STC2;FBXO3;MRPL23;FJX1;TRIM44",7
"13","min6","6/361",0.46395772463994,1,0,0,1.1006952725138,0.84529196851626,"LMO1;CD151;TSSC4;PAX6;TRPM5;HTATIP2",6
"14","mammary_gland__lact","2/104",0.467347272435729,1,0,0,1.27356087620988,0.968775692314368,"EHF;FAM160A2",2
"15","intestine_large","6/374",0.498007876830153,1,0,0,1.06243581116974,0.740665848165053,"SLC35C1;RASSF7;FAM3B;ZDHHC13;CDHR5;LIN7C",6
"16","adrenal_gland","4/245",0.507739707526068,1,0,0,1.0812271928639,0.732841032007911,"RIC3;CD151;TH;PRDM11",4
"17","3T3-L1","3/181",0.516601281603511,1,0,0,1.09765467783835,0.724983261659407,"MTCH2;CD151;TRIM44",3
"18","ciliary_bodies","5/317",0.523542346741218,1,0,0,1.04456097102388,0.675974429528522,"PTDSS2;PAX6;CHRDL1;SBF2;DKK3",5
"19","nih_3T3","4/252",0.529861707498792,1,0,0,1.05119310417324,0.667653984790803,"MRPL17;NAV2;IPO7;FANCF",4
"20","macrophage_peri_LPS_thio_1hrs","9/598",0.551337347633229,1,0,0,0.996699816164256,0.593443453803422,"PTDSS2;EHF;RNH1;CD151;CHL1;TPP1;SPTY2D1;ATG13;CD44",9
"21","bladder","3/195",0.566947222524044,1,0,0,1.01884870096791,0.578185493178763,"ALKBH3;SCUBE2;PPFIBP2",3
"22","adipose_white","3/199",0.580731972079321,1,0,0,0.998369330094179,0.542579736724184,"DEPDC7;NAV2;CHRDL1",3
"23","mammary_gland_non-lactating","3/201",0.587520033313423,1,0,0,0.988435306909163,0.525694310851338,"STIM1;STC2;TEAD1",3
"24","iris","2/133",0.599202469810448,1,0,0,0.995867151322014,0.510039062830335,"SMPD1;DKK3",2
"25","cerebellum","6/428",0.629474221258699,1,0,0,0.928390171442718,0.429724309098977,"MTCH2;TRIM3;DENND5A;DGKZ;MAPK8IP1;SHISA6",6
"26","dendritic_plasmacytoid_B220+","3/214",0.629901007421524,1,0,0,0.928390171442718,0.429095069957188,"API5;SCLT1;ZDHHC13",3
"27","dendritic_cells_lymphoid_CD8a+","2/142",0.63482274606825,1,0,0,0.932748810745266,0.423849882572783,"PRR5L;HPS5",2
"28","mast_cells_IgE","8/598",0.684961654906319,1,0,0,0.885955392146005,0.335238805311924,"ALKBH3;BRSK2;STIM1;PSMD13;PDE3B;BMI1;CKAP5;RBMX",8
