"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","Doxepin-147_mg/kg_in_CMC-Rat-Heart-5d-dn","10/303",0.0172629056515041,1,0,0,2.18564902847901,8.87197617975185,"MTCH2;EHD4;PSMA1;TALDO1;MRPL17;RRAS2;DKK3;ARNTL;PNPLA2;NAP1L4",10
"2","Diisopropyl_Fluorophosphate-3.75_mg/kg_in_Water-Rat-Heart-3d-up","10/310",0.0198833558904688,1,0,0,2.1362956633198,8.3697335711011,"RNH1;EHD4;PSMA1;HFE;TALDO1;MRPL17;BTBD10;DKK3;PNPLA2;NAP1L4",10
"3","Procainamide-755_mg/kg_in_Water-Rat-Heart-5d-up","9/280",0.026945318368086,1,0,0,2.1286660359508,7.69288349330318,"ST5;SMPD1;HFE;MRPL17;ILK;CKAP5;HIPK3;DKK3;NAP1L4",9
"4","Timolol-900_mg/kg_in_Water-Rat-Heart-5d-dn","9/291",0.033289347813844,1,0,0,2.04820099679115,6.96904038773843,"RNH1;EHD4;SMPD1;DUSP8;IPO7;CKAP5;DKK3;ARNTL;NAP1L4",9
"5","Diisopropyl_Fluorophosphate-3.75_mg/kg_in_Water-Rat-Heart-5d-dn","9/294",0.035184951341931,1,0,0,2.02730098661981,6.78565375013934,"MTCH2;PSMA1;SMPD1;HFE;BTBD10;IPO7;CKAP5;PNPLA2;NAP1L4",9
"6","Valproic_Acid-1500_mg/kg_in_Water-Rat-Heart-5d-dn","9/301",0.0398940268353513,1,0,0,1.98015445204726,6.37912433764027,"ALKBH3;MTCH2;EHD4;SMPD1;MRPL17;DUSP8;CKAP5;ARNTL;NAP1L4",9
"7","Baclofen-19_mg/kg_in_CMC-Rat-Heart-5d-dn","9/314",0.0497382899484596,1,0,0,1.89817353524276,5.69638123529613,"ABTB2;MTCH2;EHD4;PSMD13;TALDO1;MRPL17;ARNTL;PNPLA2;NAP1L4",9
"8","Famciclovir-1200_mg/kg_in_Saline-Rat-Spleen-1d-up","9/317",0.0522188278234514,1,0,0,1.88020974784298,5.55096610727008,"PSMD13;SMPD1;HFE;TALDO1;MRPL17;NR1H3;IPO7;CD44;NAP1L4",9
"9","Amitraz-75_mg/kg_in_CMC-Rat-Heart-1d-dn","9/319",0.0539168464243131,1,0,0,1.86842159895368,5.45637457754157,"ALKBH3;USP47;EHD4;SMPD1;TALDO1;MRPL17;DKK3;ARNTL;NAP1L4",9
"10","Catechol-195_mg/kg_in_Saline-Rat-Spleen-1d-up","9/320",0.0547792259877616,1,0,0,1.86258278145695,5.40976783990732,"COMMD9;PSMA1;SMPD1;HFE;TALDO1;MRPL17;NR1H3;ILK;CD44",9
