"","c1_HuAgeGBsplitRnaseq_23....QNPbyTAP__"
"1","ACADVL"
"2","ADAM15"
"3","ADAMTS4"
"4","ADPRH"
"5","ALG8"
"6","ATP1B2"
"7","AUP1"
"8","BORCS6"
"9","BRK1"
"10","C17orf100"
"11","C1QBP"
"12","CAMTA2"
"13","CAPN2"
"14","CHCHD4"
"15","CHD3"
"16","CLUH"
"17","CNTROB"
"18","CRELD1"
"19","CRK"
"20","CTC1"
"21","CTDNEP1"
"22","CTNS"
"23","CYB5D2"
"24","DERL2"
"25","DHX33"
"26","DLG4"
"27","DPH1"
"28","DVL2"
"29","EDEM1"
"30","EIF5A"
"31","ELOVL1"
"32","EMP2"
"33","FAM57A"
"34","FXR2"
"35","GAB2"
"36","GEMIN4"
"37","GLB1"
"38","GLOD4"
"39","GORASP1"
"40","HRH1"
"41","INPP5K"
"42","INTS4"
"43","IPO13"
"44","KCTD11"
"45","KDM6B"
"46","KIAA0753"
"47","KSR1"
"48","MED11"
"49","MED13L"
"50","MED31"
"51","MGAT5B"
"52","MINK1"
"53","MIS12"
"54","MNT"
"55","MPDU1"
"56","MRM3"
"57","MRPS25"
"58","MYBBP1A"
"59","MYH10"
"60","MYO1C"
"61","NAA38"
"62","NARS2"
"63","NDEL1"
"64","NEURL4"
"65","NLGN2"
"66","NUP88"
"67","OLIG1"
"68","PAFAH1B1"
"69","PELP1"
"70","PFAS"
"71","PFN1"
"72","PHF23"
"73","PITPNA"
"74","PLCD1"
"75","POLR2A"
"76","PRPF8"
"77","PSMB6"
"78","PTRHD1"
"79","RABEP1"
"80","RASL11B"
"81","RCVRN"
"82","RFLNB"
"83","RLBP1"
"84","RNF167"
"85","RNF227"
"86","RPA1"
"87","RPAIN"
"88","RRAS"
"89","SCO1"
"90","SGSM2"
"91","SLC16A13"
"92","SLC25A11"
"93","SLC25A35"
"94","SLC43A2"
"95","SMYD4"
"96","SPAG7"
"97","SRR"
"98","STX8"
"99","TAX1BP3"
"100","TIMM22"
"101","TMEM107"
"102","TMEM43"
"103","TNK2"
"104","TRAPPC1"
"105","TRNT1"
"106","TSR1"
"107","TXNDC17"
"108","UBE2G1"
"109","USP35"
"110","VPS53"
"111","VWA1"
"112","WRAP53"
"113","WSCD1"
"114","YWHAE"
"115","ZBTB4"
"116","ZFP3"
"117","ZNF692"
"118","ZZEF1"
