"","c1_HuAgeGBsplitRnaseq_332....QGBObyPGBO__"
"1","AC020661.1"
"2","AC021739.5"
"3","AC025754.2"
"4","AC034229.4"
"5","AL353807.2"
"6","AL355353.1"
"7","ANP32A"
"8","AP000808.2"
"9","AP001059.3"
"10","C15orf39"
"11","C15orf61"
"12","CCDC80"
"13","CIB1"
"14","CISD1"
"15","CLK3"
"16","COX5A"
"17","CSK"
"18","ETFA"
"19","HES7"
"20","IDH2"
"21","IGDCC3"
"22","IMP3"
"23","KLHL25"
"24","LINGO1"
"25","MAP2K5"
"26","MESP1"
"27","MPI"
"28","OAZ2"
"29","PARP16"
"30","PDCD7"
"31","PSMA4"
"32","RNPEPL1"
"33","SCAMP5"
"34","SEMA4B"
"35","SIMC1"
"36","SNRPA1"
"37","SPG21"
"38","TMED3"
"39","UBL7"
