"","c1_HuAgeGBsplitRnaseq_37....TAPbyQNP__"
"1","ADGRE5"
"2","AGTPBP1"
"3","AIF1L"
"4","AJM1"
"5","ALAD"
"6","ANP32B"
"7","ARPC5L"
"8","AUH"
"9","BRD3"
"10","C1D"
"11","C9orf43"
"12","CAMSAP1"
"13","CCDC136"
"14","CDC26"
"15","CDK5RAP2"
"16","CIZ1"
"17","CKS2"
"18","CNTRL"
"19","DAB2IP"
"20","DDX31"
"21","DENND1A"
"22","EHMT1"
"23","ELP1"
"24","ERCC6L2"
"25","ERP44"
"26","EXOSC2"
"27","FAM120A"
"28","FANCC"
"29","FBXW2"
"30","FGFRL1"
"31","FKBP15"
"32","FKTN"
"33","FUBP3"
"34","GADD45G"
"35","GAPVD1"
"36","GKAP1"
"37","GLE1"
"38","GOLGA1"
"39","GOLM1"
"40","GTF3C4"
"41","HIST1H2BD"
"42","HIST1H2BJ"
"43","HIST1H2BN"
"44","HNRNPK"
"45","HSDL2"
"46","INIP"
"47","KIF5C"
"48","KYAT1"
"49","LRSAM1"
"50","MED27"
"51","MEGF9"
"52","MFSD14C"
"53","MRPL50"
"54","MRRF"
"55","MSANTD3"
"56","MTIF2"
"57","MVB12B"
"58","NAA35"
"59","NCBP1"
"60","NFIL3"
"61","NIPSNAP3A"
"62","NTMT1"
"63","NUP188"
"64","ODF2"
"65","PBX3"
"66","PDCL"
"67","PHF19"
"68","PHF2"
"69","PHPT1"
"70","PLEKHG1"
"71","POMT1"
"72","PPP6C"
"73","PRPF4"
"74","PRPS1"
"75","PSMB7"
"76","PSMD5"
"77","PTCH1"
"78","PTPRJ"
"79","RAB14"
"80","RABEPK"
"81","RABGAP1"
"82","RAD23B"
"83","RALGDS"
"84","RAPGEF1"
"85","RC3H2"
"86","RMI1"
"87","RNF20"
"88","SCAI"
"89","SEC16A"
"90","SECISBP2"
"91","SETX"
"92","SH3D19"
"93","SH3GLB2"
"94","SLC27A4"
"95","SLC44A1"
"96","SMC2"
"97","SPTLC1"
"98","SRGAP1"
"99","STRBP"
"100","SWI5"
"101","TDRD7"
"102","TEX10"
"103","TMEM245"
"104","TMEM268"
"105","TRAF2"
"106","TRMO"
"107","TRUB2"
"108","TSTD2"
"109","TTF1"
"110","TXN"
"111","UBQLN1"
"112","UCK1"
"113","UGCG"
"114","UGP2"
"115","URM1"
"116","WDR31"
"117","WDR34"
"118","WDR5"
"119","XPA"
"120","ZBTB26"
"121","ZBTB34"
"122","ZBTB43"
"123","ZBTB6"
"124","ZER1"
"125","ZFP37"
"126","ZMYND19"
"127","ZNF169"
"128","ZNF189"
"129","ZNF367"
"130","ZNF483"
"131","ZNF608"
