"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"c1_HuAgeGBsplitRnaseq_22","QNPbyTAP__","User",1.87261193343656e-93
"c1_HuAgeGBsplitRnaseq_158","QNPbyTAP__","User",6.21380241253603e-76
"c1_HuAgeGBsplitRnaseq_30","TAPbyQNP__","User",1.1439721892291e-73
"c1_HuAgeGBsplitRnaseq_55","QNPbyTAP__","User",1.69287318933284e-72
"c1_HuAgeGBsplitRnaseq_101","QNPbyTAP__","User",3.32252343211492e-67
"c1_HuAgeGBsplitRnaseq_188","TAPbyQNP__","User",6.01713568569055e-65
"c1_HuAgeGBsplitRnaseq_291","NSCbyNPC__","User",7.51537439369344e-63
"c1_HuAgeGBsplitRnaseq_291","PGBCbyQGBC__","User",6.48807665466885e-60
"c1_HuAgeGBsplitRnaseq_583","QNPbyTAP__","User",4.12156837160691e-57
"c1_HuAgeGBsplitRnaseq_53","PGBCbyQGBC__","User",3.40698091340058e-55
"c1_HuAgeGBsplitRnaseq_33","NSCbyNPC__","User",2.80059775675478e-49
"c1_HuAgeGBsplitRnaseq_38","QGBObyPGBO__","User",4.50075000222827e-49
"c1_HuAgeGBsplitRnaseq_162","QNPbyTAP__","User",6.90989299353607e-49
"c1_HuAgeGBsplitRnaseq_776","QGBObyPGBO__","User",1.81992168090014e-47
"c1_HuAgeGBsplitRnaseq_27","TAPbyQNP__","User",2.89135944899239e-47
"c1_HuAgeGBsplitRnaseq_53","NSCbyNPC__","User",7.29995446242504e-47
"c1_HuAgeGBsplitRnaseq_30","PGBCbyQGBC__","User",2.40315031487001e-46
"c1_HuAgeGBsplitRnaseq_223","QGBObyPGBO__","User",4.54599506555656e-46
"c1_HuAgeGBsplitRnaseq_291","PSVZbyQSVZ__","User",1.2313985209587e-42
"c1_HuAgeGBsplitRnaseq_53","TAPbyQNP__","User",1.62986888844444e-42
"c1_HuAgeGBsplitRnaseq_53","PSVZbyQSVZ__","User",2.40514344128927e-42
"c1_HuAgeGBsplitRnaseq_188","PGBCbyQGBC__","User",3.12457384529866e-41
"c1_HuAgeGBsplitRnaseq_57","TAPbyQNP__","User",1.4323540412633e-40
"c1_HuAgeGBsplitRnaseq_690","TAPbyQNP__","User",4.07291008766209e-37
"c1_HuAgeGBsplitRnaseq_155","QNPbyTAP__","User",2.51353807103824e-36
"c1_HuAgeGBsplitRnaseq_29","QNPbyTAP__","User",6.09537078739598e-36
"c1_HuAgeGBsplitRnaseq_41","QNPbyTAP__","User",1.83871861828604e-35
"c1_HuAgeGBsplitRnaseq_27","PGBCbyQGBC__","User",2.20112978980892e-35
"c1_HuAgeGBsplitRnaseq_305","TAPbyQNP__","User",4.02323814727178e-33
"c1_HuAgeGBsplitRnaseq_30","PSVZbyQSVZ__","User",3.15964476817165e-28
"c1_HuAgeGBsplitRnaseq_50","TAPbyQNP__","User",3.26764559874009e-27
"c1_HuAgeGBsplitRnaseq_27","PSVZbyQSVZ__","User",2.23261895860668e-26
"c1_HuAgeGBsplitRnaseq_54","NSCbyNPC__","User",7.9014254272181e-26
"c1_HuAgeGBsplitRnaseq_22","PGBCbyQGBC__","User",8.31990099713006e-26
"c1_HuAgeGBsplitRnaseq_964","TAPbyQNP__","User",6.32726883828597e-25
"c1_HuAgeGBsplitRnaseq_181","PGBCbyQGBC__","User",9.17489942500434e-25
"c1_HuAgeGBsplitRnaseq_691","TAPbyQNP__","User",2.21061594819561e-24
"c1_HuAgeGBsplitRnaseq_291","TAPbyQNP__","User",7.31858481754767e-24
"c1_HuAgeGBsplitRnaseq_38","TAPbyQNP__","User",1.06740047701274e-22
"c1_HuAgeGBsplitRnaseq_29","PGBCbyQGBC__","User",1.07192065375019e-22
"c1_HuAgeGBsplitRnaseq_48","QNPbyTAP__","User",1.13764674143831e-22
"c1_HuAgeGBsplitRnaseq_38","PGBCbyQGBC__","User",1.54809790506146e-22
"c1_HuAgeGBsplitRnaseq_45","PSVZbyQSVZ__","User",3.22316088192894e-22
"c1_HuAgeGBsplitRnaseq_89","TAPbyQNP__","User",3.27459675634796e-22
"c1_HuAgeGBsplitRnaseq_43","PGBCbyQGBC__","User",3.38009283219644e-22
"c1_HuAgeGBsplitRnaseq_32","QNPbyTAP__","User",9.23685912349686e-22
"c1_HuAgeGBsplitRnaseq_277","PGBCbyQGBC__","User",1.01647141982469e-21
"c1_HuAgeGBsplitRnaseq_22","PSVZbyQSVZ__","User",1.53619951569297e-21
"c1_HuAgeGBsplitRnaseq_188","PSVZbyQSVZ__","User",2.66635785969241e-21
