"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","ether lipid metabolic process (GO:0046485)","3/9",0.000583464358710517,1,0,0,16.9204737732657,125.998768020384,"TMEM86A;DHRS7B;FAR1",3
"2","cell differentiation in hindbrain (GO:0021533)","3/12",0.00146232228754431,1,0,0,12.6903553299492,82.8392068405045,"CEND1;FAIM2;PROX1",3
"3","protein O-linked fucosylation (GO:0036066)","3/15",0.0028944983819501,1,0,0,10.1522842639594,59.3395274462315,"SPON1;MFNG;SLC35C1",3
"4","negative regulation of glucocorticoid receptor signaling pathway (GO:2000323)","2/6",0.00550986177871577,1,0,0,16.9204737732657,88.0070345459304,"CRY2;ARNTL",2
"5","cellular lipid biosynthetic process (GO:0097384)","2/7",0.0076136689062809,1,0,0,14.5032632342277,70.7441639858836,"DHRS7B;FAR1",2
"6","regulation of glucocorticoid receptor signaling pathway (GO:2000322)","2/7",0.0076136689062809,1,0,0,14.5032632342277,70.7441639858836,"CRY2;ARNTL",2
"7","negative regulation of response to cytokine stimulus (GO:0060761)","2/10",0.0156898523578385,1,0,0,10.1522842639594,42.1801129160853,"SIGIRR;MAPK7",2
"8","skeletal muscle thin filament assembly (GO:0030240)","2/10",0.0156898523578385,1,0,0,10.1522842639594,42.1801129160853,"IGSF22;PROX1",2
"9","DNA dealkylation involved in DNA repair (GO:0006307)","2/10",0.0156898523578385,1,0,0,10.1522842639594,42.1801129160853,"ALKBH3;ALKBH5",2
"10","DNA dealkylation (GO:0035510)","2/10",0.0156898523578385,1,0,0,10.1522842639594,42.1801129160853,"ALKBH3;ALKBH5",2
"11","embryonic eye morphogenesis (GO:0048048)","2/11",0.0189291766384981,1,0,0,9.22934933087218,36.6132977366654,"EFEMP1;TH",2
"12","rRNA base methylation (GO:0070475)","2/11",0.0189291766384981,1,0,0,9.22934933087218,36.6132977366654,"METTL15P1;METTL15",2
"13","positive regulation of sodium ion transmembrane transporter activity (GO:2000651)","2/11",0.0189291766384981,1,0,0,9.22934933087218,36.6132977366654,"DRD4;SLC9A1",2
"14","NIK/NF-kappaB signaling (GO:0038061)","5/81",0.021887252165515,1,0,0,3.13342106912327,11.9754681473347,"CARD10;PSMA1;PSMC3;PSMD13;TRAF6",5
"15","skeletal myofibril assembly (GO:0014866)","2/12",0.0224225566865333,1,0,0,8.46023688663283,32.1293386790685,"IGSF22;PROX1",2
"16","positive regulation of MAP kinase activity (GO:0043406)","8/178",0.0250717304529098,1,0,0,2.28141219414818,8.40931807299885,"MAP2K4;CD81;ADORA2B;PDGFD;TRAF6;MADD;HRAS;DRD4",8
"17","positive regulation of canonical Wnt signaling pathway (GO:0090263)","6/114",0.0253981172342754,1,0,0,2.67165375367352,9.81319859027475,"USP47;PSMA1;PSMC3;PSMD13;LGR4;ARNTL",6
"18","central nervous system neuron differentiation (GO:0021953)","3/33",0.0267491582577535,1,0,0,4.61467466543609,16.7109011219893,"CEND1;FAIM2;PROX1",3
"19","activation of MAPK activity (GO:0000187)","6/118",0.0294272559849181,1,0,0,2.58108921965069,9.10049202388852,"MAP2K4;CD81;ADORA2B;TRAF6;MADD;DRD4",6
"20","epiboly involved in wound healing (GO:0090505)","2/14",0.0301269695117615,1,0,0,7.25163161711385,25.3976396760303,"CD151;CD44",2
"21","positive regulation of NIK/NF-kappaB signaling (GO:1901224)","3/36",0.0335343555286203,1,0,0,4.23011844331641,14.3620339572266,"CARD10;TRAF6;TRIM44",3
"22","catecholamine metabolic process (GO:0006584)","2/15",0.0343165891481135,1,0,0,6.76818950930626,22.8231904778172,"TH;DRD4",2
"23","regulation of cell-substrate junction assembly (GO:0090109)","2/15",0.0343165891481135,1,0,0,6.76818950930626,22.8231904778172,"CLASP1;SLC9A1",2
"24","negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)","4/63",0.0355825947709198,1,0,0,3.22294738538393,10.7514259015689,"USP47;PSMA1;PSMC3;PSMD13",4
"25","hyaluronan catabolic process (GO:0030214)","2/16",0.0387174204169333,1,0,0,6.34517766497462,20.6311271589884,"CD44;SLC9A1",2
"26","activation of NF-kappaB-inducing kinase activity (GO:0007250)","2/16",0.0387174204169333,1,0,0,6.34517766497462,20.6311271589884,"CARD10;TRAF6",2
"27","interleukin-1-mediated signaling pathway (GO:0070498)","5/96",0.0412840225313984,1,0,0,2.64382402707276,8.42660669816181,"PSMA1;PSMC3;PSMD13;TRAF6;TOLLIP",5
"28","cardiac myofibril assembly (GO:0055003)","2/17",0.0433195610976814,1,0,0,5.97193191997611,18.7467959900456,"IGSF22;PROX1",2
"29","platelet-derived growth factor receptor signaling pathway (GO:0048008)","2/17",0.0433195610976814,1,0,0,5.97193191997611,18.7467959900456,"PDGFD;PIK3C2A",2
"30","regulation of adherens junction organization (GO:1903391)","2/18",0.0481134154325896,1,0,0,5.64015792442188,17.1133346510735,"CLASP1;SLC9A1",2
"31","regulation of microtubule polymerization or depolymerization (GO:0031110)","2/18",0.0481134154325896,1,0,0,5.64015792442188,17.1133346510735,"MAP1B;CLASP1",2
"32","response to organophosphorus (GO:0046683)","2/18",0.0481134154325896,1,0,0,5.64015792442188,17.1133346510735,"KCNJ11;TRIM16",2
"33","negative regulation of cell cycle G2/M phase transition (GO:1902750)","4/70",0.0492969709474373,1,0,0,2.90065264684554,8.73065305598124,"USP47;PSMA1;PSMC3;PSMD13",4
