"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","Proteasome_Homo sapiens_hsa03050","3/44",0.0555133128140659,1,0,0,3.46100599907707,10.0062266375301,"PSMC3;PSMA1;PSMD13",3
"2","Glutathione metabolism_Homo sapiens_hsa00480","3/52",0.0827574355260685,1,0,0,2.92854353768059,7.2974660683184,"GSTM4;RRM1;MGST2",3
"3","Pentose phosphate pathway_Homo sapiens_hsa00030","2/29",0.11103768358928,1,0,0,3.50078767722738,7.69433097668052,"TALDO1;PGM1",2
"4","Circadian rhythm_Homo sapiens_hsa04710","2/30",0.117484592642108,1,0,0,3.38409475465313,7.24686321639897,"CRY2;ARNTL",2
"5","Mucin type O-Glycan biosynthesis_Homo sapiens_hsa00512","2/31",0.124022896281284,1,0,0,3.27493040772884,6.835726487613,"GALNT13;GALNT18",2
"6","MAPK signaling pathway_Homo sapiens_hsa04010","8/255",0.132404568794625,1,0,0,1.5925151786603,3.21989549686446,"MAP2K4;MAPK7;RPS6KA2;TRAF6;RRAS2;DUSP8;HRAS;MAPK8IP1",8
"7","Toll-like receptor signaling pathway_Homo sapiens_hsa04620","4/106",0.15694360857618,1,0,0,1.91552533282253,3.54730144468582,"MAP2K4;TOLLIP;TRAF6;LY96",4
"8","Epstein-Barr virus infection_Homo sapiens_hsa05169","6/202",0.209237731642502,1,0,0,1.50776498969694,2.35857295291962,"MAP2K4;PSMC3;PSMD13;TRAF6;CD44;POLR2L",6
"9","Neurotrophin signaling pathway_Homo sapiens_hsa04722","4/120",0.212049440336004,1,0,0,1.69204737732657,2.62425689063799,"MAPK7;RPS6KA2;TRAF6;HRAS",4
"10","Lysosome_Homo sapiens_hsa04142","4/123",0.224507108223697,1,0,0,1.65077792909909,2.46601115898596,"SMPD1;TPP1;ACP2;DNASE2",4
"11","Peroxisome_Homo sapiens_hsa04146","3/83",0.224578421698969,1,0,0,1.83475016818543,2.74025499783297,"PEX16;CAT;FAR1",3
"12","Type II diabetes mellitus_Homo sapiens_hsa04930","2/48",0.243992161061921,1,0,0,2.11505922165821,2.98354310702288,"KCNJ11;ABCC8",2
"13","Dopaminergic synapse_Homo sapiens_hsa04728","4/129",0.249953147578497,1,0,0,1.57399756030378,2.18231895229889,"TH;DRD4;GRIA4;ARNTL",4
"14","Gap junction_Homo sapiens_hsa04540","3/88",0.250784280188456,1,0,0,1.73050299953853,2.39356625091517,"MAPK7;PDGFD;HRAS",3
"15","GnRH signaling pathway_Homo sapiens_hsa04912","3/91",0.266719329219952,1,0,0,1.6734534501032,2.21156642199756,"MAP2K4;MAPK7;HRAS",3
"16","Purine metabolism_Homo sapiens_hsa00230","5/176",0.266903369660975,1,0,0,1.44208583294878,1.90480589159802,"RRM1;PDE3B;NT5M;PGM1;POLR2L",5
"17","Fanconi anemia pathway_Homo sapiens_hsa03460","2/53",0.280621031629151,1,0,0,1.91552533282253,2.43415412656543,"TOP3A;FANCF",2
"18","Longevity regulating pathway - mammal_Homo sapiens_hsa04211","3/94",0.282769121969975,1,0,0,1.62004536127012,2.04631904805852,"CAT;HRAS;ATG13",3
"19","Glycerophospholipid metabolism_Homo sapiens_hsa00564","3/95",0.288138617104507,1,0,0,1.60299225220411,1.99462506852432,"PTDSS2;PEMT;DGKZ",3
"20","Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923","2/56",0.302551355603569,1,0,0,1.81290790427846,2.16733909595781,"PDE3B;PNPLA2",2
"21","Phospholipase D signaling pathway_Homo sapiens_hsa04072","4/144",0.315737385568477,1,0,0,1.41003948110547,1.62555621720706,"PDGFD;RRAS2;DGKZ;HRAS",4
"22","Choline metabolism in cancer_Homo sapiens_hsa05231","3/101",0.320476637833469,1,0,0,1.50776498969694,1.71575498540511,"PDGFD;DGKZ;HRAS",3
"23","Glycerolipid metabolism_Homo sapiens_hsa00561","2/59",0.32436200136445,1,0,0,1.7207261464338,1.93735713452605,"DGKZ;PNPLA2",2
"24","Steroid biosynthesis_Homo sapiens_hsa00100","1/20",0.328420503023222,1,0,0,2.53807106598985,2.82604180272459,"CYP2R1",1
"25","Pyrimidine metabolism_Homo sapiens_hsa00240","3/105",0.342067560368398,1,0,0,1.45032632342277,1.55583323639177,"RRM1;NT5M;POLR2L",3
"26","Longevity regulating pathway - multiple species_Homo sapiens_hsa04213","2/64",0.360288407370996,1,0,0,1.58629441624365,1.61936934752618,"CAT;HRAS",2
"27","Protein export_Homo sapiens_hsa03060","1/23",0.367374112732685,1,0,0,2.20701831825204,2.21005201809818,"IMMP1L",1
"28","Long-term potentiation_Homo sapiens_hsa04720","2/66",0.374466529818528,1,0,0,1.5382248884787,1.51092578526396,"RPS6KA2;HRAS",2
