"","PSID","Gene","Module"
"RPL10P9","RPL10P9","RPL10P9","HuAgeGBsplit_01"
"FP236383.3","FP236383.3","FP236383.3","HuAgeGBsplit_07"
"HLA-DRB5","HLA-DRB5","HLA-DRB5","HuAgeGBsplit_04"
"AC073539.7","AC073539.7","AC073539.7","HuAgeGBsplit_02"
"RPL13P12","RPL13P12","RPL13P12","HuAgeGBsplit_01"
"H19","H19","H19","HuAgeGBsplit_18"
"AC097493.4","AC097493.4","AC097493.4","HuAgeGBsplit_24"
"RNU4-2","RNU4-2","RNU4-2","HuAgeGBsplit_01"
"RNU6-8","RNU6-8","RNU6-8","HuAgeGBsplit_02"
"LINC01602","LINC01602","LINC01602","HuAgeGBsplit_17"
"FP236383.1","FP236383.1","FP236383.1","HuAgeGBsplit_01"
"HBA2","HBA2","HBA2","HuAgeGBsplit_01"
"HLA-DQB1","HLA-DQB1","HLA-DQB1","HuAgeGBsplit_04"
"HBB","HBB","HBB","HuAgeGBsplit_01"
"IGKJ1","IGKJ1","IGKJ1","HuAgeGBsplit_02"
"HBA1","HBA1","HBA1","HuAgeGBsplit_01"
"MT-TF","MT-TF","MT-TF","HuAgeGBsplit_01"
"PCDHB2","PCDHB2","PCDHB2","HuAgeGBsplit_02"
"CCL4L2","CCL4L2","CCL4L2","HuAgeGBsplit_08"
"VGF","VGF","VGF","HuAgeGBsplit_01"
"RNA5SP243","RNA5SP243","RNA5SP243","HuAgeGBsplit_01"
"TRH","TRH","TRH","HuAgeGBsplit_02"
"MIR4787","MIR4787","MIR4787","HuAgeGBsplit_02"
"FP671120.1","FP671120.1","FP671120.1","HuAgeGBsplit_01"
"TRBJ2-3","TRBJ2-3","TRBJ2-3","HuAgeGBsplit_13"
"RNA5SP18","RNA5SP18","RNA5SP18","HuAgeGBsplit_02"
"NPTX2","NPTX2","NPTX2","HuAgeGBsplit_10"
"PLA2G2A","PLA2G2A","PLA2G2A","HuAgeGBsplit_09"
"RNU4-1","RNU4-1","RNU4-1","HuAgeGBsplit_01"
"CHI3L1","CHI3L1","CHI3L1","HuAgeGBsplit_02"
"AC093909.6","AC093909.6","AC093909.6","HuAgeGBsplit_01"
"MIR320D1","MIR320D1","MIR320D1","HuAgeGBsplit_02"
"TRGJP2","TRGJP2","TRGJP2","HuAgeGBsplit_02"
"LTF","LTF","LTF","HuAgeGBsplit_01"
"AC233266.2","AC233266.2","AC233266.2","HuAgeGBsplit_02"
"POU3F4","POU3F4","POU3F4","HuAgeGBsplit_01"
"LINC00689","LINC00689","LINC00689","HuAgeGBsplit_02"
"SFRP2","SFRP2","SFRP2","HuAgeGBsplit_01"
"RN7SL3","RN7SL3","RN7SL3","HuAgeGBsplit_07"
"RNF5P1","RNF5P1","RNF5P1","HuAgeGBsplit_02"
"AC134684.3","AC134684.3","AC134684.3","HuAgeGBsplit_02"
"MIR4530","MIR4530","MIR4530","HuAgeGBsplit_15"
"TRBJ2-2P","TRBJ2-2P","TRBJ2-2P","HuAgeGBsplit_13"
"MIR4645","MIR4645","MIR4645","HuAgeGBsplit_02"
"CNN2P8","CNN2P8","CNN2P8","HuAgeGBsplit_33"
"MIR27A","MIR27A","MIR27A","HuAgeGBsplit_01"
"NEFL","NEFL","NEFL","HuAgeGBsplit_01"
"LDHAP4","LDHAP4","LDHAP4","HuAgeGBsplit_10"
"RPL7AP28","RPL7AP28","RPL7AP28","HuAgeGBsplit_14"
"MICF","MICF","MICF","HuAgeGBsplit_01"
"MIR3149","MIR3149","MIR3149","HuAgeGBsplit_01"
"SNORD3A","SNORD3A","SNORD3A","HuAgeGBsplit_02"
"IGF2","IGF2","IGF2","HuAgeGBsplit_01"
"CCL3L1","CCL3L1","CCL3L1","HuAgeGBsplit_08"
"MIR4678","MIR4678","MIR4678","HuAgeGBsplit_02"
"AL731566.2","AL731566.2","AL731566.2","HuAgeGBsplit_09"
"TRBD1","TRBD1","TRBD1","HuAgeGBsplit_01"
"AL355480.1","AL355480.1","AL355480.1","HuAgeGBsplit_02"
"AC008060.4","AC008060.4","AC008060.4","HuAgeGBsplit_27"
"KCNE5","KCNE5","KCNE5","HuAgeGBsplit_01"
"AC139426.1","AC139426.1","AC139426.1","HuAgeGBsplit_02"
"MIR4666A","MIR4666A","MIR4666A","HuAgeGBsplit_06"
"TRBJ2-7","TRBJ2-7","TRBJ2-7","HuAgeGBsplit_01"
"CCL19","CCL19","CCL19","HuAgeGBsplit_01"
"AC116614.1","AC116614.1","AC116614.1","HuAgeGBsplit_07"
"CCL4","CCL4","CCL4","HuAgeGBsplit_08"
"IGFBP3","IGFBP3","IGFBP3","HuAgeGBsplit_13"
"MIR24-2","MIR24-2","MIR24-2","HuAgeGBsplit_02"
"COL20A1","COL20A1","COL20A1","HuAgeGBsplit_08"
"MAGEE2","MAGEE2","MAGEE2","HuAgeGBsplit_02"
"RNY3P16","RNY3P16","RNY3P16","HuAgeGBsplit_30"
"MT-TN","MT-TN","MT-TN","HuAgeGBsplit_01"
"AL355309.1","AL355309.1","AL355309.1","HuAgeGBsplit_01"
"SLC17A7","SLC17A7","SLC17A7","HuAgeGBsplit_01"
"GSX1","GSX1","GSX1","HuAgeGBsplit_06"
"IGLC2","IGLC2","IGLC2","HuAgeGBsplit_01"
"MIR23A","MIR23A","MIR23A","HuAgeGBsplit_01"
"ZNF300P1","ZNF300P1","ZNF300P1","HuAgeGBsplit_01"
"AZGP1","AZGP1","AZGP1","HuAgeGBsplit_02"
"RNU6-892P","RNU6-892P","RNU6-892P","HuAgeGBsplit_01"
"DLX1","DLX1","DLX1","HuAgeGBsplit_24"
"AC006466.1","AC006466.1","AC006466.1","HuAgeGBsplit_06"
"HOXA2","HOXA2","HOXA2","HuAgeGBsplit_02"
"HOXD13","HOXD13","HOXD13","HuAgeGBsplit_02"
"SOX3","SOX3","SOX3","HuAgeGBsplit_02"
"MIR331","MIR331","MIR331","HuAgeGBsplit_01"
"MMP9","MMP9","MMP9","HuAgeGBsplit_01"
"AC138207.3","AC138207.3","AC138207.3","HuAgeGBsplit_02"
"RNU6-2","RNU6-2","RNU6-2","HuAgeGBsplit_01"
"S100A8","S100A8","S100A8","HuAgeGBsplit_01"
"POSTN","POSTN","POSTN","HuAgeGBsplit_02"
"GJB2","GJB2","GJB2","HuAgeGBsplit_02"
"HES5","HES5","HES5","HuAgeGBsplit_02"
"AQP1","AQP1","AQP1","HuAgeGBsplit_02"
"FIBIN","FIBIN","FIBIN","HuAgeGBsplit_02"
"RMRP","RMRP","RMRP","HuAgeGBsplit_01"
"AC245452.2","AC245452.2","AC245452.2","HuAgeGBsplit_01"
"GPX3","GPX3","GPX3","HuAgeGBsplit_01"
"ZNF603P","ZNF603P","ZNF603P","HuAgeGBsplit_01"
"RNU5B-2P","RNU5B-2P","RNU5B-2P","HuAgeGBsplit_02"
"IGHD7-27","IGHD7-27","IGHD7-27","HuAgeGBsplit_01"
"INSM1","INSM1","INSM1","HuAgeGBsplit_02"
"RNU7-160P","RNU7-160P","RNU7-160P","HuAgeGBsplit_02"
"RPS29P6","RPS29P6","RPS29P6","HuAgeGBsplit_02"
"RNU6-322P","RNU6-322P","RNU6-322P","HuAgeGBsplit_01"
"SNORD3B-1","SNORD3B-1","SNORD3B-1","HuAgeGBsplit_02"
"MIR5695","MIR5695","MIR5695","HuAgeGBsplit_01"
"RNA5SP508","RNA5SP508","RNA5SP508","HuAgeGBsplit_07"
"SLN","SLN","SLN","HuAgeGBsplit_01"
"ARC","ARC","ARC","HuAgeGBsplit_08"
"RNY1","RNY1","RNY1","HuAgeGBsplit_02"
"HLA-DQA1","HLA-DQA1","HLA-DQA1","HuAgeGBsplit_04"
"TUBB2BP1","TUBB2BP1","TUBB2BP1","HuAgeGBsplit_02"
"TRBJ2-1","TRBJ2-1","TRBJ2-1","HuAgeGBsplit_02"
"RNY3P8","RNY3P8","RNY3P8","HuAgeGBsplit_02"
"C5orf38","C5orf38","C5orf38","HuAgeGBsplit_01"
"AL355480.3","AL355480.3","AL355480.3","HuAgeGBsplit_01"
"PSPHP1","PSPHP1","PSPHP1","HuAgeGBsplit_07"
"DLX5","DLX5","DLX5","HuAgeGBsplit_24"
"AL355974.1","AL355974.1","AL355974.1","HuAgeGBsplit_16"
"MIR4482","MIR4482","MIR4482","HuAgeGBsplit_15"
"RNU6-1011P","RNU6-1011P","RNU6-1011P","HuAgeGBsplit_02"
"AEBP1","AEBP1","AEBP1","HuAgeGBsplit_01"
"RNU6-415P","RNU6-415P","RNU6-415P","HuAgeGBsplit_01"
"AC006058.4","AC006058.4","AC006058.4","HuAgeGBsplit_02"
"RNU6-722P","RNU6-722P","RNU6-722P","HuAgeGBsplit_01"
"MIR563","MIR563","MIR563","HuAgeGBsplit_02"
"BX284632.1","BX284632.1","BX284632.1","HuAgeGBsplit_02"
"C1QL4","C1QL4","C1QL4","HuAgeGBsplit_01"
"TRBJ2-6","TRBJ2-6","TRBJ2-6","HuAgeGBsplit_24"
"AC006058.1","AC006058.1","AC006058.1","HuAgeGBsplit_02"
"DLX2","DLX2","DLX2","HuAgeGBsplit_24"
"AMH","AMH","AMH","HuAgeGBsplit_02"
"RNU6-945P","RNU6-945P","RNU6-945P","HuAgeGBsplit_01"
"HLA-H","HLA-H","HLA-H","HuAgeGBsplit_02"
"SLPI","SLPI","SLPI","HuAgeGBsplit_06"
"AC009902.3","AC009902.3","AC009902.3","HuAgeGBsplit_15"
"SST","SST","SST","HuAgeGBsplit_02"
"VN1R85P","VN1R85P","VN1R85P","HuAgeGBsplit_02"
"AL023803.1","AL023803.1","AL023803.1","HuAgeGBsplit_19"
"RNU4-39P","RNU4-39P","RNU4-39P","HuAgeGBsplit_02"
"AC011904.1","AC011904.1","AC011904.1","HuAgeGBsplit_02"
"XIST","XIST","XIST","HuAgeGBsplit_02"
"TNF","TNF","TNF","HuAgeGBsplit_08"
"SAA1","SAA1","SAA1","HuAgeGBsplit_02"
"AC139453.1","AC139453.1","AC139453.1","HuAgeGBsplit_18"
"MIR3671","MIR3671","MIR3671","HuAgeGBsplit_01"
"ECEL1","ECEL1","ECEL1","HuAgeGBsplit_11"
"CD24","CD24","CD24","HuAgeGBsplit_02"
"RNU6-703P","RNU6-703P","RNU6-703P","HuAgeGBsplit_02"
"RNU6-30P","RNU6-30P","RNU6-30P","HuAgeGBsplit_01"
"DKK1","DKK1","DKK1","HuAgeGBsplit_10"
"APLNR","APLNR","APLNR","HuAgeGBsplit_01"
"EMILIN3","EMILIN3","EMILIN3","HuAgeGBsplit_02"
"SOX1-OT","SOX1-OT","SOX1-OT","HuAgeGBsplit_16"
"EN1","EN1","EN1","HuAgeGBsplit_02"
"SNORD3B-2","SNORD3B-2","SNORD3B-2","HuAgeGBsplit_02"
"RNU6-45P","RNU6-45P","RNU6-45P","HuAgeGBsplit_02"
"NAP1L6","NAP1L6","NAP1L6","HuAgeGBsplit_02"
"RNU6-925P","RNU6-925P","RNU6-925P","HuAgeGBsplit_02"
"FP671120.4","FP671120.4","FP671120.4","HuAgeGBsplit_01"
"MLLT10P1","MLLT10P1","MLLT10P1","HuAgeGBsplit_02"
"RNVU1-19","RNVU1-19","RNVU1-19","HuAgeGBsplit_22"
"C6orf15","C6orf15","C6orf15","HuAgeGBsplit_01"
"PEG10","PEG10","PEG10","HuAgeGBsplit_07"
"NKX2-5","NKX2-5","NKX2-5","HuAgeGBsplit_02"
"AC007952.4","AC007952.4","AC007952.4","HuAgeGBsplit_02"
"TRBJ1-4","TRBJ1-4","TRBJ1-4","HuAgeGBsplit_29"
"SLITRK3","SLITRK3","SLITRK3","HuAgeGBsplit_01"
"TAF9P3","TAF9P3","TAF9P3","HuAgeGBsplit_01"
"RNU6-1091P","RNU6-1091P","RNU6-1091P","HuAgeGBsplit_02"
"TRBJ1-5","TRBJ1-5","TRBJ1-5","HuAgeGBsplit_13"
"MT1G","MT1G","MT1G","HuAgeGBsplit_02"
"AC104072.1","AC104072.1","AC104072.1","HuAgeGBsplit_02"
"AL159169.1","AL159169.1","AL159169.1","HuAgeGBsplit_02"
"AC109583.2","AC109583.2","AC109583.2","HuAgeGBsplit_02"
"F8A3","F8A3","F8A3","HuAgeGBsplit_01"
"MIR138-1","MIR138-1","MIR138-1","HuAgeGBsplit_02"
"HLA-DQA2","HLA-DQA2","HLA-DQA2","HuAgeGBsplit_02"
"RNU6-510P","RNU6-510P","RNU6-510P","HuAgeGBsplit_02"
"HOXD10","HOXD10","HOXD10","HuAgeGBsplit_02"
"PI3","PI3","PI3","HuAgeGBsplit_29"
"MIR4521","MIR4521","MIR4521","HuAgeGBsplit_01"
"RNA5SP490","RNA5SP490","RNA5SP490","HuAgeGBsplit_01"
"SP8","SP8","SP8","HuAgeGBsplit_24"
"LSP1P2","LSP1P2","LSP1P2","HuAgeGBsplit_18"
"C1QL2","C1QL2","C1QL2","HuAgeGBsplit_01"
"SMIM32","SMIM32","SMIM32","HuAgeGBsplit_06"
"MIR4477B","MIR4477B","MIR4477B","HuAgeGBsplit_06"
"SOX1","SOX1","SOX1","HuAgeGBsplit_16"
"RNU6-994P","RNU6-994P","RNU6-994P","HuAgeGBsplit_01"
"TRBJ2-4","TRBJ2-4","TRBJ2-4","HuAgeGBsplit_01"
"IL13RA2","IL13RA2","IL13RA2","HuAgeGBsplit_01"
"RNU6-483P","RNU6-483P","RNU6-483P","HuAgeGBsplit_02"
"S100A9","S100A9","S100A9","HuAgeGBsplit_01"
"HLA-DRB6","HLA-DRB6","HLA-DRB6","HuAgeGBsplit_02"
"AF228730.4","AF228730.4","AF228730.4","HuAgeGBsplit_11"
"AC004947.2","AC004947.2","AC004947.2","HuAgeGBsplit_07"
"AC073261.1","AC073261.1","AC073261.1","HuAgeGBsplit_12"
"RNY4P37","RNY4P37","RNY4P37","HuAgeGBsplit_01"
"ADRA2A","ADRA2A","ADRA2A","HuAgeGBsplit_01"
"VTRNA1-2","VTRNA1-2","VTRNA1-2","HuAgeGBsplit_36"
"LINC00404","LINC00404","LINC00404","HuAgeGBsplit_16"
"AL139231.1","AL139231.1","AL139231.1","HuAgeGBsplit_01"
"IGLC3","IGLC3","IGLC3","HuAgeGBsplit_01"
"AL031430.1","AL031430.1","AL031430.1","HuAgeGBsplit_18"
"TRGJP1","TRGJP1","TRGJP1","HuAgeGBsplit_01"
"TBX5-AS1","TBX5-AS1","TBX5-AS1","HuAgeGBsplit_24"
"AC233266.1","AC233266.1","AC233266.1","HuAgeGBsplit_02"
"MIR219A1","MIR219A1","MIR219A1","HuAgeGBsplit_02"
"HOXB2","HOXB2","HOXB2","HuAgeGBsplit_14"
"RPL39P40","RPL39P40","RPL39P40","HuAgeGBsplit_17"
"TRBJ1-6","TRBJ1-6","TRBJ1-6","HuAgeGBsplit_13"
"PCDH8","PCDH8","PCDH8","HuAgeGBsplit_02"
"HIST1H4J","HIST1H4J","HIST1H4J","HuAgeGBsplit_01"
"MIR3193","MIR3193","MIR3193","HuAgeGBsplit_02"
"CH25H","CH25H","CH25H","HuAgeGBsplit_08"
"MIR3685","MIR3685","MIR3685","HuAgeGBsplit_01"
"DES","DES","DES","HuAgeGBsplit_01"
"AC015813.4","AC015813.4","AC015813.4","HuAgeGBsplit_01"
"IGHJ3","IGHJ3","IGHJ3","HuAgeGBsplit_02"
"EGFR","EGFR","EGFR","HuAgeGBsplit_07"
"AL136380.1","AL136380.1","AL136380.1","HuAgeGBsplit_02"
"STK19B","STK19B","STK19B","HuAgeGBsplit_02"
"ENTPD2","ENTPD2","ENTPD2","HuAgeGBsplit_06"
"AL021937.2","AL021937.2","AL021937.2","HuAgeGBsplit_02"
"AC007423.1","AC007423.1","AC007423.1","HuAgeGBsplit_02"
"DDX3Y","DDX3Y","DDX3Y","HuAgeGBsplit_23"
"GPNMB","GPNMB","GPNMB","HuAgeGBsplit_01"
"TRBV26OR9-2","TRBV26OR9-2","TRBV26OR9-2","HuAgeGBsplit_01"
"IRX1","IRX1","IRX1","HuAgeGBsplit_01"
"AC107398.3","AC107398.3","AC107398.3","HuAgeGBsplit_02"
"RNU6ATAC","RNU6ATAC","RNU6ATAC","HuAgeGBsplit_01"
"AC004890.1","AC004890.1","AC004890.1","HuAgeGBsplit_02"
"AL445423.1","AL445423.1","AL445423.1","HuAgeGBsplit_02"
"EGR1","EGR1","EGR1","HuAgeGBsplit_08"
"TMEM229A","TMEM229A","TMEM229A","HuAgeGBsplit_02"
"IRX2","IRX2","IRX2","HuAgeGBsplit_01"
"AL135786.1","AL135786.1","AL135786.1","HuAgeGBsplit_02"
"AC010424.1","AC010424.1","AC010424.1","HuAgeGBsplit_06"
"NPAS4","NPAS4","NPAS4","HuAgeGBsplit_04"
"PENK","PENK","PENK","HuAgeGBsplit_35"
"GPD1","GPD1","GPD1","HuAgeGBsplit_01"
"MIR5091","MIR5091","MIR5091","HuAgeGBsplit_22"
"AL589987.1","AL589987.1","AL589987.1","HuAgeGBsplit_02"
"DLL3","DLL3","DLL3","HuAgeGBsplit_27"
"AC004556.1","AC004556.1","AC004556.1","HuAgeGBsplit_14"
"NPTX1","NPTX1","NPTX1","HuAgeGBsplit_02"
