"","Var1","Freq"
"1","black",724
"2","blue",7732
"3","brown",1234
"4","cyan",492
"5","darkgreen",345
"6","darkgrey",312
"7","darkmagenta",181
"8","darkolivegreen",199
"9","darkorange",303
"10","darkred",365
"11","darkturquoise",321
"12","green",809
"13","greenyellow",581
"14","grey",18
"15","grey60",421
"16","lightcyan",487
"17","lightgreen",394
"18","lightyellow",394
"19","magenta",643
"20","midnightblue",488
"21","orange",305
"22","paleturquoise",219
"23","pink",673
"24","plum1",113
"25","purple",629
"26","red",727
"27","royalblue",381
"28","saddlebrown",242
"29","salmon",493
"30","sienna3",161
"31","skyblue",246
"32","skyblue3",121
"33","steelblue",234
"34","tan",496
"35","turquoise",7969
"36","violet",204
"37","white",249
"38","yellow",938
"39","yellowgreen",121
