PSID Gene Module kTotal kWithin kOut kDiff rank
LINC00393 LINC00393 HuAgeGBsplit_02 58.3533584951134 46.0109507712547 12.3424077238587 33.668543047396 1
AC096577.1 AC096577.1 HuAgeGBsplit_02 61.2456930370856 45.2457010751517 15.9999919619339 29.2457091132179 2
AC004704.1 AC004704.1 HuAgeGBsplit_02 59.3393498746112 44.597358454221 14.7419914203902 29.8553670338307 3
LINC02267 LINC02267 HuAgeGBsplit_02 58.1598414864768 44.5929176919289 13.5669237945479 31.025993897381 4
LINC00351 LINC00351 HuAgeGBsplit_02 54.3314247355621 44.2417738243458 10.0896509112163 34.1521229131294 5
AC027613.1 AC027613.1 HuAgeGBsplit_02 57.8481471572625 44.1000473969801 13.7480997602824 30.3519476366978 6
LINC00301 LINC00301 HuAgeGBsplit_02 54.9556106682982 43.7398656156343 11.2157450526639 32.5241205629704 7
AC018680.1 AC018680.1 HuAgeGBsplit_02 54.6610498783097 41.5624461246199 13.0986037536898 28.4638423709302 8
AC079917.1 AC079917.1 HuAgeGBsplit_02 54.9541767230059 40.3451490861132 14.6090276368927 25.7361214492204 9
LINC02233 LINC02233 HuAgeGBsplit_02 56.2035860046645 40.3223672227985 15.881218781866 24.4411484409325 10
LINC02492 LINC02492 HuAgeGBsplit_02 54.7620251024507 40.2827900494085 14.4792350530422 25.8035549963663 11
NALCN-AS1 NALCN-AS1 HuAgeGBsplit_02 52.6207647843356 40.1729462858494 12.4478184984862 27.7251277873632 12
LINC02402 LINC02402 HuAgeGBsplit_02 46.7959126332663 38.1527405039146 8.6431721293517 29.5095683745629 13
AC093772.1 AC093772.1 HuAgeGBsplit_02 61.3277103404824 37.903067300498 23.4246430399843 14.4784242605137 14
AL591518.1 AL591518.1 HuAgeGBsplit_02 49.4296492879166 37.8916972258158 11.5379520621009 26.3537451637149 15
AC079943.2 AC079943.2 HuAgeGBsplit_02 54.8968620711449 37.8697049046392 17.0271571665057 20.8425477381335 16
AC079160.1 AC079160.1 HuAgeGBsplit_02 63.8163366487673 37.3801666079262 26.4361700408412 10.943996567085 17
LINC02532 LINC02532 HuAgeGBsplit_02 47.6494437597294 37.1097383607666 10.5397053989628 26.5700329618038 18
AC010183.2 AC010183.2 HuAgeGBsplit_02 52.9693145415359 35.9191460739812 17.0501684675547 18.8689776064266 19
AC025470.2 AC025470.2 HuAgeGBsplit_02 43.8672171750521 35.5707492886612 8.29646788639087 27.2742814022704 20
AC010745.2 AC010745.2 HuAgeGBsplit_02 48.4325591791848 35.3509514658208 13.0816077133639 22.2693437524569 21
AC107220.1 AC107220.1 HuAgeGBsplit_02 46.6661029211951 35.2222068267893 11.4438960944059 23.7783107323834 22
LINC00879 LINC00879 HuAgeGBsplit_02 59.306664563882 34.8526698884542 24.4539946754277 10.3986752130265 23
AC100781.1 AC100781.1 HuAgeGBsplit_02 49.2699966511467 34.684099911884 14.5858967392628 20.0982031726212 24
IQCM IQCM HuAgeGBsplit_02 49.8786483280719 34.4543946950784 15.4242536329934 19.030141062085 25
AC025946.1 AC025946.1 HuAgeGBsplit_02 44.1748140814216 34.053725534397 10.1210885470246 23.9326369873724 26
CPHL1P CPHL1P HuAgeGBsplit_02 44.3416377412797 33.2580652243875 11.0835725168921 22.1744927074954 27
AL353633.1 AL353633.1 HuAgeGBsplit_02 42.2377362064146 33.1734811189133 9.06425508750128 24.109226031412 28
DSCR8 DSCR8 HuAgeGBsplit_02 42.5964124113395 32.9469045345809 9.64950787675856 23.2973966578224 29
AL451137.1 AL451137.1 HuAgeGBsplit_02 44.1345374616075 32.5070299447797 11.6275075168278 20.8795224279518 30
LINC02436 LINC02436 HuAgeGBsplit_02 46.7176727960532 31.6672074628933 15.05046533316 16.6167421297333 31
AC096666.1 AC096666.1 HuAgeGBsplit_02 42.1912763648487 31.66223053967 10.5290458251787 21.1331847144913 32
LINC00376 LINC00376 HuAgeGBsplit_02 44.1113870169531 31.3967757253272 12.7146112916259 18.6821644337013 33
LINC01205 LINC01205 HuAgeGBsplit_02 47.4292309217979 31.3964917926367 16.0327391291611 15.3637526634756 34
LINC01499 LINC01499 HuAgeGBsplit_02 49.1404976002861 31.3092872573629 17.8312103429231 13.4780769144398 35
AC073257.1 AC073257.1 HuAgeGBsplit_02 39.0436556471014 31.0198789844633 8.02377666263805 22.9961023218253 36
AC018866.1 AC018866.1 HuAgeGBsplit_02 39.2773652783949 30.7088593205829 8.56850595781203 22.1403533627709 37
LINC02405 LINC02405 HuAgeGBsplit_02 42.5493471140586 30.5324922984325 12.0168548156261 18.5156374828063 38
AC009803.1 AC009803.1 HuAgeGBsplit_02 55.6917907884818 30.4600242292688 25.2317665592129 5.22825767005592 39
AC106895.1 AC106895.1 HuAgeGBsplit_02 38.6214023818272 29.7882643212483 8.8331380605789 20.9551262606694 40
LINC02471 LINC02471 HuAgeGBsplit_02 37.1137319145738 29.0450263829423 8.06870553163149 20.9763208513108 41
AL390866.1 AL390866.1 HuAgeGBsplit_02 37.8159533645866 28.7529504726017 9.06300289198486 19.6899475806169 42
AADACL2-AS1 AADACL2-AS1 HuAgeGBsplit_02 38.370393994428 28.4519633609975 9.91843063343046 18.533532727567 43
AL109913.1 AL109913.1 HuAgeGBsplit_02 36.113038680799 28.1483051032131 7.96473357758589 20.1835715256272 44
AC012038.1 AC012038.1 HuAgeGBsplit_02 37.2223698694763 28.0561384064572 9.16623146301911 18.8899069434381 45
AC096746.1 AC096746.1 HuAgeGBsplit_02 37.3218639908665 28.0235860938072 9.29827789705924 18.725308196748 46
AC108718.1 AC108718.1 HuAgeGBsplit_02 37.8197453963267 28.0169638429672 9.80278155335953 18.2141822896077 47
AL157378.1 AL157378.1 HuAgeGBsplit_02 41.1297574612493 27.8624258635268 13.2673315977225 14.5950942658042 48
LINC02528 LINC02528 HuAgeGBsplit_02 40.9823063227715 27.8597231150835 13.1225832076881 14.7371399073954 49
AL139020.1 AL139020.1 HuAgeGBsplit_02 47.960712620876 27.3797615564531 20.580951064423 6.79881049203011 50
LINC02006 LINC02006 HuAgeGBsplit_02 42.6708991250439 27.2531842087613 15.4177149162826 11.8354692924788 51
AC244097.1 AC244097.1 HuAgeGBsplit_02 35.0011834140128 27.1732064659097 7.8279769481031 19.3452295178066 52
LINC00474 LINC00474 HuAgeGBsplit_02 41.7028895529757 26.6062242162474 15.0966653367283 11.5095588795192 53
LINC02277 LINC02277 HuAgeGBsplit_02 46.416283461263 26.3744627039817 20.0418207572813 6.33264194670037 54
AL132719.1 AL132719.1 HuAgeGBsplit_02 48.1533123193003 25.7690357821083 22.384276537192 3.38475924491632 55
AC117473.1 AC117473.1 HuAgeGBsplit_02 55.6396012516898 25.7663117234608 29.873289528229 -4.1069778047682 56
AC022201.1 AC022201.1 HuAgeGBsplit_02 49.9707827426089 25.1821580354943 24.7886247071146 0.393533328379753 57
LINC01517 LINC01517 HuAgeGBsplit_02 34.6860959414774 24.8674565478387 9.81863939363866 15.0488171542001 58
LINC00613 LINC00613 HuAgeGBsplit_02 34.9006985050492 24.5071753312171 10.3935231738321 14.113652157385 59
AC012363.2 AC012363.2 HuAgeGBsplit_02 32.1063593530213 24.2722714511653 7.83408790185597 16.4381835493093 60
LINC00348 LINC00348 HuAgeGBsplit_02 33.8767539069244 23.916149569798 9.96060433712637 13.9555452326717 61
SULT1D1P SULT1D1P HuAgeGBsplit_02 33.3901125816575 23.9148125501626 9.47530003149499 14.4395125186676 62
AL137005.1 AL137005.1 HuAgeGBsplit_02 35.9203058774585 23.7769782754185 12.14332760204 11.6336506733785 63
AL929601.1 AL929601.1 HuAgeGBsplit_02 31.6732025554383 23.7540150943231 7.91918746111519 15.8348276332079 64
DMRT1 DMRT1 HuAgeGBsplit_02 32.0235130905637 23.340977100194 8.68253599036969 14.6584411098243 65
LINC02496 LINC02496 HuAgeGBsplit_02 36.0889169410268 23.1795601405741 12.9093568004526 10.2702033401215 66
LINC02264 LINC02264 HuAgeGBsplit_02 32.2695066382757 23.0686127273871 9.20089391088862 13.8677188164985 67
G2E3-AS1 G2E3-AS1 HuAgeGBsplit_02 53.7166017878066 22.991173035997 30.7254287518096 -7.73425571581259 68
LINC02463 LINC02463 HuAgeGBsplit_02 38.8413789346132 22.8703644192422 15.971014515371 6.89934990387118 69
AL158209.1 AL158209.1 HuAgeGBsplit_02 31.6129934600543 22.8433842877698 8.76960917228451 14.0737751154853 70
AC021192.1 AC021192.1 HuAgeGBsplit_02 47.4289758239845 22.7772657826456 24.6517100413389 -1.87444425869322 71
LIN28B-AS1 LIN28B-AS1 HuAgeGBsplit_02 30.9680966517811 22.5566917318921 8.41140491988895 14.1452868120032 72
SLC9B1P3 SLC9B1P3 HuAgeGBsplit_02 32.9508166960164 22.4760508508933 10.4747658451231 12.0012850057702 73
AC087897.2 AC087897.2 HuAgeGBsplit_02 38.4585215508005 21.6938238506118 16.7646977001887 4.9291261504231 74
SAXO1 SAXO1 HuAgeGBsplit_02 30.6442703264608 21.5144131389836 9.12985718747723 12.3845559515063 75
LINC02369 LINC02369 HuAgeGBsplit_02 30.8136127866801 21.1446800545547 9.66893273212538 11.4757473224293 76
AL132708.1 AL132708.1 HuAgeGBsplit_02 35.4471222838706 21.1074866823684 14.3396356015023 6.7678510808661 77
AC012363.1 AC012363.1 HuAgeGBsplit_02 28.9115997704067 21.0900122340189 7.82158753638788 13.268424697631 78
AC105919.1 AC105919.1 HuAgeGBsplit_02 37.4199317318991 21.0416506812231 16.378281050676 4.66336963054713 79
AL772337.4 AL772337.4 HuAgeGBsplit_02 28.7206215270034 20.9338225362914 7.78679899071203 13.1470235455794 80
AL662791.2 AL662791.2 HuAgeGBsplit_02 33.2637993076224 20.9161193645789 12.3476799430435 8.56843942153539 81
LINC02046 LINC02046 HuAgeGBsplit_02 34.1372344744326 20.5728984560856 13.564336018347 7.00856243773858 82
AC009803.2 AC009803.2 HuAgeGBsplit_02 36.2605356874954 20.5693281154913 15.6912075720041 4.87812054348723 83
AC021006.2 AC021006.2 HuAgeGBsplit_02 32.4371599210218 20.487382611457 11.9497773095648 8.53760530189216 84
AC099520.1 AC099520.1 HuAgeGBsplit_02 32.8923366159985 20.3369904114483 12.5553462045502 7.7816442068981 85
LINC00838 LINC00838 HuAgeGBsplit_02 30.7368582151317 20.2897103576156 10.4471478575161 9.84256250009946 86
AL135908.1 AL135908.1 HuAgeGBsplit_02 43.5518594617935 20.1771811651311 23.3746782966624 -3.19749713153124 87
AL805961.1 AL805961.1 HuAgeGBsplit_02 29.9380088706829 20.0352268823572 9.90278198832569 10.1324448940315 88
LINC01698 LINC01698 HuAgeGBsplit_02 47.0728928111596 19.9011455785518 27.1717472326078 -7.27060165405595 89
FMO11P FMO11P HuAgeGBsplit_02 50.051998109984 19.8231743187596 30.2288237912244 -10.4056494724647 90
LINC01911 LINC01911 HuAgeGBsplit_02 28.1784140778999 19.5892096687931 8.58920440910684 11.0000052596862 91
LINC02174 LINC02174 HuAgeGBsplit_02 29.6879864818552 19.5179743398173 10.1700121420378 9.34796219777949 92
AC025437.4 AC025437.4 HuAgeGBsplit_02 34.2973845049572 19.4529220869206 14.8444624180366 4.60845966888407 93
