"Module","StudySRP027383","StudySRP091303","GenderM","DiseaseCON","DiseaseGrade_2","DiseaseGrade_3","DiseaseGrade_4","Age","Tissueprefrontal_cortex","Overall_Survival","Censor_1dead_0alive","p.value.StudySRP027383","p.value.StudySRP091303","p.value.GenderM","p.value.DiseaseCON","p.value.DiseaseGrade_2","p.value.DiseaseGrade_3","p.value.DiseaseGrade_4","p.value.Age","p.value.Tissueprefrontal_cortex","p.value.Overall_Survival","p.value.Censor_1dead_0alive"
"MEHuAgeGBsplit_10","0.0538858767543579","-0.0596107328871039","-0.0508447285340031","-0.0122799804571786","0.0142365344458059","0.0735590467819007","-0.0101525301732573","-0.0506601736062822","-0.0132273195385393","-0.146667598505461","0.0102735542864754","0.287834016862746","0.239595637695702","0.315948069744002","0.808739409190029","0.779000205782343","0.146544270640967","0.841390090602587","0.317710132227102","0.794302797311781","0.00365365343416407","0.839524820927244"
"MEHuAgeGBsplit_12","0.0478490751344941","-0.00767000400578989","-0.0161366368492893","-0.0516001149259772","0.0861193641065961","0.117985797808593","0.0270734137953527","-0.04351776357662","-0.0477724550323945","0.0616100628833093","-0.0167126129589847","0.345340570024819","0.879832812256499","0.750423901402575","0.308802663426746","0.0890164722619769","0.019611159887067","0.593531138818324","0.390804321773848","0.346114431663279","0.224169852413418","0.741826546838752"
"MEHuAgeGBsplit_16","-0.0573990973691966","-0.00396956347668073","-0.0432538254007576","0.0737403752576392","-0.0296399979445466","-0.0229416829072264","-0.174115892471362","-0.0582782221765726","0.0736492015082749","0.0767110739812653","-0.0891339357812515","0.257511038058702","0.937635523069507","0.393687062305694","0.145548804369546","0.558988250478383","0.651089223197087","0.000543498290575785","0.250281839771044","0.146048688050219","0.129965279783777","0.0783447674597894"
"MEHuAgeGBsplit_31","0.0824369794974841","-0.106236283553879","0.178744285099819","-0.00526284876736227","0.0305735411868945","0.0626344358736976","-0.0365491086237262","-0.0762312927752198","-0.0073841832375341","0.0702509799407876","0.0426858945705669","0.10360162778846","0.035737046865535","0.000382652304697703","0.91738073507296","0.546669689326303","0.216546243079841","0.471131787136311","0.132390824982279","0.884278793255546","0.165628127140567","0.399933355108074"
"MEHuAgeGBsplit_23","0.00643265746378928","0.00053824589514315","0.0781528832020311","-0.00834796701029878","-0.00186708648469585","0.0538947471471351","-0.000338417672441909","-0.00799297664939238","0.0153462590762665","-0.00389015483684576","-0.00463033432629878","0.899105314533546","0.991535362500551","0.122882709777674","0.869302335234442","0.970643616896241","0.287754553102954","0.994677868769728","0.874813473529507","0.76227177437325","0.938880627050933","0.927281007397995"
"MEHuAgeGBsplit_35","0.127119207880574","0.0165510612756519","-0.0197172515347824","-0.170286428507182","0.278896043651443","0.158771011865885","0.20034326208561","-0.152453649128629","-0.179275126949523","0.00569152915011257","-0.0289395895393674","0.0118767361295153","0.744234777024045","0.697518109655751","0.000721850685863549","2.03698217871666e-08","0.00163582482651753","6.6249988467292e-05","0.00250603755421251","0.000367353927609783","0.91067807789492","0.568317786800957"
"MEHuAgeGBsplit_08","0.0736786689506325","0.0385518622396281","0.0202901498844613","-0.124735565037943","0.19324345116602","0.207931760952798","0.112185458414493","-0.0908235659085158","-0.128677419200159","0.0675444875412259","0.0732895105084479","0.145886982218511","0.447161523411739","0.689179803909115","0.0135780723032361","0.000120447913267582","3.41599935792835e-05","0.0265392723177595","0.0728324864013924","0.0108690408296717","0.182580310670449","0.148033561218996"
"MEHuAgeGBsplit_20","0.0476016652320406","-0.054430116146351","0.0495557072472256","-0.00925535472880951","0.0891533796442268","0.00764722763574215","-0.0423022090552386","-0.0936284978554126","-0.0189420352615005","0.0820543723411679","-0.0875422583565863","0.347843362160496","0.282985835786139","0.328388985660474","0.855244689322926","0.0782794617485423","0.880186965346307","0.404186656539486","0.0643826374929231","0.708859084010109","0.10521974623771","0.0838423291520861"
"MEHuAgeGBsplit_37","-0.008214008761454","0.035456948342555","-0.2311167425663","-0.0218377977588251","0.000700157431760944","0.0724665856910804","0.0269042049591318","-0.0920678371340732","-0.00128420578044071","0.0704709151767097","-0.0537552875693749","0.871381276152702","0.484495229037756","3.87311882444086e-06","0.666844096455142","0.988989229161997","0.152651824720235","0.595842271526617","0.0689787218721292","0.979805915075777","0.164304200803347","0.289005582124935"
"MEHuAgeGBsplit_27","0.079616506609515","-0.155216660011906","-0.0457363849160329","0.0422237751680329","-0.0441099182009395","0.0367795233909503","-0.103217390094782","-0.132393992804337","0.0425072113325876","0.0881495189022584","0.02836079774858","0.116003891364461","0.00208353282049298","0.367080752571484","0.4050594339833","0.384383430651474","0.468338583094012","0.041359430876494","0.00876497501599667","0.401910782459246","0.0817092666458054","0.576082914942732"
