"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues","StudySRP027383","StudySRP091303","GenderM","DiseaseCON","DiseaseGrade_2","DiseaseGrade_3","DiseaseGrade_4","Age","Tissueprefrontal_cortex","Overall_Survival","Censor_1dead_0alive","p.value.StudySRP027383","p.value.StudySRP091303","p.value.GenderM","p.value.DiseaseCON","p.value.DiseaseGrade_2","p.value.DiseaseGrade_3","p.value.DiseaseGrade_4","p.value.Age","p.value.Tissueprefrontal_cortex","p.value.Overall_Survival","p.value.Censor_1dead_0alive"
"1","black","PSVZbyQSVZ_Morizur_FC5___","User",1.84524702118015e-22,-0.00554198181495691,0.00100921105339341,0.0266397732600692,0.0058677739130361,-0.0177373216046106,-0.0422418288450519,0.0160748394409907,0.0258600969438855,0.00539366427785099,-0.0755384888681348,0.0254668387946433,0.91301563953949,0.984129550711178,0.599462161901383,0.907924200869176,0.726610826937031,0.404858441317842,0.75134818376549,0.610192693771497,0.915334719040066,0.135954753010637,0.615637058372088
"2","black","PGBObyQGBO_GSE114574_Tejero_FC5___","User",2.06706232496492e-05,-0.00554198181495691,0.00100921105339341,0.0266397732600692,0.0058677739130361,-0.0177373216046106,-0.0422418288450519,0.0160748394409907,0.0258600969438855,0.00539366427785099,-0.0755384888681348,0.0254668387946433,0.91301563953949,0.984129550711178,0.599462161901383,0.907924200869176,0.726610826937031,0.404858441317842,0.75134818376549,0.610192693771497,0.915334719040066,0.135954753010637,0.615637058372088
"3","blue","PGBCbyQGBC_Aulestia_FC5___","User",0.00012292769948095,-0.0114798194738393,-0.0224044853853336,-0.0534705126366981,0.0341782707305711,-0.0303401553763076,-0.10560457211263,-0.0245352812520384,0.0585673003607543,0.0340314531816789,0.0573972558047536,0.000217046921545255,0.820984101542672,0.658737379453066,0.291571492709438,0.500397346226726,0.549736735773882,0.0368565470211368,0.628617738761635,0.24793584297399,0.502240709799398,0.257526331485253,0.996586593086831
"4","blue","astroBYoFC5__","User",0.00887877045072777,-0.0114798194738393,-0.0224044853853336,-0.0534705126366981,0.0341782707305711,-0.0303401553763076,-0.10560457211263,-0.0245352812520384,0.0585673003607543,0.0340314531816789,0.0573972558047536,0.000217046921545255,0.820984101542672,0.658737379453066,0.291571492709438,0.500397346226726,0.549736735773882,0.0368565470211368,0.628617738761635,0.24793584297399,0.502240709799398,0.257526331485253,0.996586593086831
"5","cyan","qnpBYtap_Mukherjee_FC5___","User",1.80662761278535e-19,-0.0505211020809912,0.056381257516245,0.0836431590531206,0.011070130165831,0.0266059824069159,-0.00946799612044266,-0.0458555946158787,0.0445775830396411,0.0115578520239664,0.0778419680743996,-0.0289395895393674,0.319042166811607,0.266059621015235,0.0986291287235004,0.827270552136024,0.599925449805938,0.851956794356886,0.365831886458323,0.37935813362763,0.819788020580251,0.12438403898458,0.568317786800957
"6","cyan","PSVZbyQSVZ_Morizur_FC5___","User",0.0383293247693892,-0.0505211020809912,0.056381257516245,0.0836431590531206,0.011070130165831,0.0266059824069159,-0.00946799612044266,-0.0458555946158787,0.0445775830396411,0.0115578520239664,0.0778419680743996,-0.0289395895393674,0.319042166811607,0.266059621015235,0.0986291287235004,0.827270552136024,0.599925449805938,0.851956794356886,0.365831886458323,0.37935813362763,0.819788020580251,0.12438403898458,0.568317786800957
"7","darkgrey","neuronBYoFC5__","User",4.79028308534617e-05,-0.114649748796921,0.0312855426551956,-0.0300771633581427,0.112032136978792,-0.179006916720215,-0.112887646051432,-0.13113684807124,0.194424307230476,0.106974341510711,0.00409961696629539,0.0194618739652246,0.023373451021724,0.537365382407426,0.553202945664495,0.0267478891885352,0.000375010854462684,0.0256016360600122,0.00943213268136303,0.000109207853072101,0.0344658056320313,0.935596652284327,0.701246857660856
"8","darkgrey","NeuronByothers_Zhang_Cuffdiff2FCover20__","User",1.20133259454058e-05,-0.114649748796921,0.0312855426551956,-0.0300771633581427,0.112032136978792,-0.179006916720215,-0.112887646051432,-0.13113684807124,0.194424307230476,0.106974341510711,0.00409961696629539,0.0194618739652246,0.023373451021724,0.537365382407426,0.553202945664495,0.0267478891885352,0.000375010854462684,0.0256016360600122,0.00943213268136303,0.000109207853072101,0.0344658056320313,0.935596652284327,0.701246857660856
"9","green","NeuronByothers_Zhang_Cuffdiff2FCover20__","User",0.00326838864770962,-0.00554198181495691,0,0.0480279783147485,0.00677516163154683,-0.00980220404465321,0.0560796693287758,-0.0379027793134938,-0.00589713471176654,0.00321051445110178,0.0552506717896823,-0.0198236188344666,0.91301563953949,1,0.343537933147569,0.893764152166804,0.846794415349069,0.268629536440655,0.454853548531311,0.907465535825017,0.949542964952347,0.275780932654443,0.695967186625361
"10","greenyellow","qnpBYtap_Mukherjee_FC5___","User",4.95767061856569e-58,-0.0275614631333125,0.0123796555882925,-0.0333713288687964,0.0225637079336337,-0.135363770140449,0.0189359922408853,0.026227369614248,-0.0228910963089189,0.0239504378052193,-0.081964545312577,0.074519443063871,0.586888147816131,0.807217299289002,0.510572893101198,0.656466749610789,0.0073529153800144,0.708947746897554,0.605127398878896,0.651807889379856,0.636826350159232,0.105602522853891,0.141330439560163
