"","HuAgeGBsplit_02....QGBObyPGBO__"
"1","ABCB7"
"2","ABCB9"
"3","ABRACL"
"4","AC002504.1"
"5","AC003005.2"
"6","AC004233.3"
"7","AC004264.2"
"8","AC004383.1"
"9","AC004817.4"
"10","AC004890.1"
"11","AC005005.4"
"12","AC005393.1"
"13","AC005479.1"
"14","AC005696.3"
"15","AC005740.1"
"16","AC006058.3"
"17","AC006238.1"
"18","AC006449.2"
"19","AC007029.1"
"20","AC007036.1"
"21","AC007568.1"
"22","AC007622.1"
"23","AC007638.1"
"24","AC007663.3"
"25","AC007785.3"
"26","AC007952.5"
"27","AC007952.7"
"28","AC008115.4"
"29","AC008403.3"
"30","AC008549.3"
"31","AC008736.1"
"32","AC008759.2"
"33","AC009053.2"
"34","AC009220.1"
"35","AC009220.3"
"36","AC010205.1"
"37","AC010327.5"
"38","AC010468.1"
"39","AC010733.1"
"40","AC011008.2"
"41","AC012150.1"
"42","AC012313.4"
"43","AC012313.8"
"44","AC012414.6"
"45","AC013244.1"
"46","AC013476.2"
"47","AC013553.4"
"48","AC015660.2"
"49","AC015818.2"
"50","AC015911.1"
"51","AC015983.1"
"52","AC016397.2"
"53","AC016717.3"
"54","AC016739.1"
"55","AC016877.3"
"56","AC017079.1"
"57","AC018648.1"
"58","AC018755.3"
"59","AC019103.1"
"60","AC019131.2"
"61","AC020558.3"
"62","AC020661.1"
"63","AC020928.2"
"64","AC021106.1"
"65","AC021106.3"
"66","AC021755.3"
"67","AC022167.4"
"68","AC022432.1"
"69","AC022743.1"
"70","AC022893.1"
"71","AC023141.8"
"72","AC023157.1"
"73","AC023424.2"
"74","AC023983.2"
"75","AC024257.2"
"76","AC024896.1"
"77","AC025259.2"
"78","AC026741.1"
"79","AC027176.3"
"80","AC027682.6"
"81","AC027801.5"
"82","AC034229.4"
"83","AC034236.3"
"84","AC044802.1"
"85","AC060766.3"
"86","AC061975.5"
"87","AC063948.1"
"88","AC063952.2"
"89","AC068057.1"
"90","AC068279.1"
"91","AC069154.1"
"92","AC069209.1"
"93","AC069503.1"
"94","AC073610.1"
"95","AC078909.2"
"96","AC079089.2"
"97","AC079250.1"
"98","AC079341.2"
"99","AC079921.2"
"100","AC083867.1"
"101","AC084035.1"
"102","AC084757.3"
"103","AC087354.1"
"104","AC087392.5"
"105","AC087623.3"
"106","AC087894.1"
"107","AC090152.1"
"108","AC091133.2"
"109","AC092013.1"
"110","AC092053.1"
"111","AC092192.1"
"112","AC093072.1"
"113","AC093227.1"
"114","AC093582.1"
"115","AC095057.3"
"116","AC096720.2"
"117","AC097359.2"
"118","AC097359.3"
"119","AC097523.1"
"120","AC097534.1"
"121","AC099398.1"
"122","AC099518.6"
"123","AC099521.1"
"124","AC100812.1"
"125","AC104058.1"
"126","AC104071.1"
"127","AC104117.4"
"128","AC104117.5"
"129","AC104306.1"
"130","AC104561.3"
"131","AC104653.1"
"132","AC104653.2"
"133","AC105398.1"
"134","AC106053.1"
"135","AC106789.1"
"136","AC106872.2"
"137","AC108693.2"
"138","AC108704.1"
"139","AC109583.2"
"140","AC112187.3"
"141","AC112484.3"
"142","AC112715.1"
"143","AC112907.2"
"144","AC114947.2"
"145","AC115284.2"
"146","AC117394.1"
"147","AC117500.5"
"148","AC118553.1"
"149","AC121333.1"
"150","AC125494.2"
"151","AC126474.1"
"152","AC126755.3"
"153","AC126763.1"
"154","AC127537.1"
"155","AC135178.6"
"156","AC135388.1"
"157","AC136443.3"
"158","AC136632.1"
"159","AC136944.2"
"160","AC137630.3"
"161","AC137767.1"
"162","AC138356.1"
"163","AC233263.6"
"164","AC233266.2"
"165","AC233279.1"
"166","AC233280.2"
"167","AC234782.2"
"168","AC234782.5"
"169","AC239799.2"
"170","AC239868.2"
"171","AC243830.2"
"172","AC245008.1"
"173","AC245060.5"
"174","AC246817.2"
"175","ACAT2"
"176","ACBD7"
"177","ACKR3"
"178","ACOT7"
"179","ACSL1"
"180","ACTG1P15"
"181","ACTG1P24"
"182","ADAM23"
"183","ADD2"
"184","AF129075.2"
"185","AGPAT1"
"186","AIFM1"
"187","AKAP7"
"188","AKAP8P1"
"189","AKR1C2"
"190","AKR1C3"
"191","AL021068.1"
"192","AL021937.4"
"193","AL021997.1"
"194","AL022316.1"
"195","AL022324.3"
"196","AL031008.1"
"197","AL031283.1"
"198","AL035411.1"
"199","AL080243.2"
"200","AL096711.1"
"201","AL096828.3"
"202","AL109659.3"
"203","AL109936.2"
"204","AL110115.2"
"205","AL118505.1"
"206","AL121656.1"
"207","AL121890.5"
"208","AL121950.1"
"209","AL133163.3"
"210","AL133245.1"
"211","AL133338.1"
"212","AL135786.1"
"213","AL136116.3"
"214","AL136172.1"
"215","AL136301.1"
"216","AL137783.1"
"217","AL139094.1"
"218","AL139274.2"
"219","AL157394.1"
"220","AL158063.1"
"221","AL158801.5"
"222","AL159169.3"
"223","AL161932.2"
"224","AL162413.1"
"225","AL353626.2"
"226","AL353807.2"
"227","AL355338.1"
"228","AL355482.1"
"229","AL356379.1"
"230","AL357060.1"
"231","AL357078.3"
"232","AL357515.1"
"233","AL358613.2"
"234","AL358942.1"
"235","AL359504.2"
"236","AL359715.3"
"237","AL360181.4"
"238","AL365181.1"
"239","AL365181.4"
"240","AL365204.2"
"241","AL390195.2"
"242","AL391987.4"
"243","AL445991.1"
"244","AL513497.1"
"245","AL513534.1"
"246","AL583810.2"
"247","AL589666.2"
"248","AL589987.1"
"249","AL590004.2"
"250","AL590560.3"
"251","AL591163.1"
"252","AL591499.1"
"253","AL591503.1"
"254","AL627230.1"
"255","AL645929.1"
"256","AL683813.2"
"257","AL691403.2"
"258","AL732292.2"
"259","AL805961.2"
"260","ALCAM"
"261","ALDH7A1"
"262","AMER1"
"263","ANAPC15"
"264","AP000343.1"
"265","AP000542.2"
"266","AP000944.1"
"267","AP001059.3"
"268","AP001264.1"
"269","AP001542.3"
"270","AP001630.1"
"271","AP001816.1"
"272","AP002852.1"
"273","AP003119.3"
"274","AP003717.2"
"275","AP003721.4"
"276","AP005432.2"
"277","AP006287.1"
"278","APBA2"
"279","APEX2"
"280","APOL4"
"281","AQP3"
"282","ARAF"
"283","ARMC12"
"284","ARMCX1"
"285","ARMCX6"
"286","ART5"
"287","ATCAY"
"288","ATP5F1CP1"
"289","ATP5IF1"
"290","ATP5PB"
"291","AURKAIP1"
"292","BCAP31"
"293","BDH1"
"294","BDH2"
"295","BEX1"
"296","BEX3"
"297","BMP4"
"298","BOLA2P3"
"299","BX005266.3"
"300","C10orf82"
"301","C18orf65"
"302","C1GALT1C1"
"303","C1orf115"
"304","C1orf122"
"305","C1orf61"
"306","C2CD4D"
"307","C2orf80"
"308","C6orf141"
"309","CACNG4"
"310","CAMKK1"
"311","CAMSAP3"
"312","CBFA2T3"
"313","CCDC124"
"314","CCDC28B"
"315","CCDC85B"
"316","CCDC88A"
"317","CCL16"
"318","CCNE1"
"319","CD24"
"320","CENPV"
"321","CES3"
"322","CFAP58-AS1"
"323","CFH"
"324","CHCHD2P3"
"325","CHCHD2P9"
"326","CHCHD6"
"327","CHRM4"
"328","CHST7"
"329","CIAPIN1"
"330","CITED1"
"331","CLEC18A"
"332","CMBL"
"333","CMC2"
"334","CMSS1"
"335","CNOT6LP1"
"336","COA6"
"337","COL1A2"
"338","COLCA1"
"339","COPS9"
"340","COQ3"
"341","COQ8A"
"342","COX6A1"
"343","CPE"
"344","CPSF1P1"
"345","CR382287.2"
