"","blue....QSVZbyPSVZ__"
"1","AACS"
"2","AAK1"
"3","ABCA2"
"4","ABCB4"
"5","ABCB9"
"6","ABCC5"
"7","ABCD2"
"8","ABCF3"
"9","ABCG1"
"10","ABHD1"
"11","ABHD4"
"12","ABHD5"
"13","ACAA1"
"14","ACAT2"
"15","ACSL1"
"16","ACSS1"
"17","ACTN4"
"18","ACVRL1"
"19","ACY3"
"20","ADAM15"
"21","ADAM23"
"22","ADAP2"
"23","ADCY5"
"24","ADCY7"
"25","ADD2"
"26","ADHFE1"
"27","ADORA1"
"28","AFAP1"
"29","AGPAT1"
"30","AGPAT5"
"31","AGRN"
"32","AGTRAP"
"33","AHCYL1"
"34","AHCYL2"
"35","AIFM1"
"36","AIG1"
"37","AJAP1"
"38","AKIRIN1"
"39","AKT2"
"40","ALCAM"
"41","ALDH1L1"
"42","ALDH7A1"
"43","ALG1"
"44","ALG3"
"45","ALK"
"46","ALS2CL"
"47","AMER1"
"48","AMIGO1"
"49","AMIGO2"
"50","AMOTL2"
"51","ANK2"
"52","ANKRD28"
"53","ANKRD50"
"54","ANO10"
"55","ANO6"
"56","ANXA5"
"57","AOC3"
"58","AP4B1"
"59","APBA2"
"60","APBB2"
"61","APC2"
"62","APCDD1"
"63","APLP1"
"64","APOD"
"65","APOLD1"
"66","AQR"
"67","ARAP1"
"68","ARAP2"
"69","ARF3"
"70","ARFIP1"
"71","ARHGEF1"
"72","ARHGEF26"
"73","ARHGEF9"
"74","ARL13B"
"75","ARL6IP5"
"76","ARL8B"
"77","ARMCX1"
"78","ARRDC2"
"79","ARSJ"
"80","ARV1"
"81","ASB7"
"82","ASPHD1"
"83","ATCAY"
"84","ATF7IP"
"85","ATG3"
"86","ATG4A"
"87","ATG7"
"88","ATG9A"
"89","ATP13A4"
"90","ATP13A5"
"91","ATP2C1"
"92","ATP5IF1"
"93","ATP6V0A2"
"94","ATP6V0D1"
"95","ATP8A1"
"96","ATXN7"
"97","AXL"
"98","B3GAT1"
"99","B4GALT4"
"100","BACE2"
"101","BAG3"
"102","BBS2"
"103","BBS7"
"104","BCAN"
"105","BCAP31"
"106","BCAR1"
"107","BCAS1"
"108","BCKDHB"
"109","BCL6"
"110","BCS1L"
"111","BDH1"
"112","BDH2"
"113","BEX2"
"114","BHLHB9"
"115","BIN1"
"116","BMP6"
"117","BMPR1B"
"118","BOC"
"119","BRI3BP"
"120","BRINP3"
"121","BSG"
"122","BTD"
"123","C10orf90"
"124","C12orf65"
"125","C16orf72"
"126","C17orf97"
"127","C19orf12"
"128","C19orf47"
"129","C1GALT1C1"
"130","C1orf116"
"131","C1orf56"
"132","C2orf76"
"133","C4orf33"
"134","C5orf63"
"135","C6orf120"
"136","C9orf152"
"137","CA2"
"138","CACNG4"
"139","CACNG7"
"140","CALD1"
"141","CAMK2A"
"142","CAMK2N1"
"143","CAMKK1"
"144","CAPNS1"
"145","CASKIN1"
"146","CAV1"
"147","CAV2"
"148","CBR4"
"149","CCDC160"
"150","CCDC171"
"151","CCDC28B"
"152","CCDC3"
"153","CCDC62"
"154","CCDC85B"
"155","CCDC88A"
"156","CCNL2"
"157","CD164"
"158","CD1D"
"159","CD302"
"160","CD47"
"161","CD82"
"162","CDC14C"
"163","CDC40"
"164","CDH11"
"165","CDH2"
"166","CDH20"
"167","CDH5"
"168","CDK19"
"169","CDO1"
"170","CEBPG"
"171","CELSR2"
"172","CEP104"
"173","CEPT1"
"174","CERS2"
"175","CFLAR"
"176","CHDH"
"177","CHI3L1"
"178","CHKA"
"179","CHL1"
"180","CHPT1"
"181","CHRDL1"
"182","CHST1"
"183","CHST2"
"184","CHST3"
"185","CHSY1"
"186","CIAPIN1"
"187","CKMT1A"
"188","CLDN10"
"189","CLEC14A"
"190","CLMN"
"191","CLSTN1"
"192","CLYBL"
"193","CMBL"
"194","CMIP"
"195","CMTM6"
"196","CNP"
