"","magenta....NPCbyNSC__"
"1","ABLIM2"
"2","ADAMTSL4"
"3","BASP1"
"4","C2orf49"
"5","CAMK2B"
"6","CAMK2G"
"7","CAPN9"
"8","CDIP1"
"9","CHCHD7"
"10","CHRD"
"11","CLDN3"
"12","DCAF6"
"13","DNAJB9"
"14","DNASE1"
"15","ELAVL4"
"16","FUOM"
"17","GAN"
"18","GPR182"
"19","GPR50"
"20","LDHD"
"21","LPAR1"
"22","LSAMP"
"23","MAPT"
"24","MINK1"
"25","MTERF1"
"26","NCKAP5"
"27","NDUFB5"
"28","NLGN1"
"29","NRIP3"
"30","PLD2"
"31","PPP2R2C"
"32","PSD2"
"33","SLC35G2"
"34","SPAST"
"35","SSBP2"
"36","TMEM106B"
"37","TRIM11"
"38","TRIM17"
"39","UBXN4"
"40","USP6"
"41","WFS1"
"42","WNT3"
"43","ZNF428"
