"","magenta....TAPbyQNP__"
"1","ALG14"
"2","ARPC3"
"3","BASP1"
"4","C2orf49"
"5","CAMK2B"
"6","COX6B2"
"7","DARS"
"8","DCAF6"
"9","DYNC1I2"
"10","EPS15"
"11","FAM71E2"
"12","GAN"
"13","GCLM"
"14","GFPT1"
"15","GLCCI1"
"16","HMGA1"
"17","HMGCL"
"18","ICA1"
"19","ITPKB"
"20","KIAA0319L"
"21","KRT33A"
"22","LDHD"
"23","LPAR1"
"24","MASP2"
"25","MTDH"
"26","MTERF1"
"27","NDUFB5"
"28","RNF4"
"29","SPAST"
"30","SSBP2"
"31","ST6GAL1"
"32","TMED5"
"33","TMEM106B"
"34","TPST2"
"35","UBXN4"
"36","UFC1"
"37","WFS1"
"38","WHRN"
"39","YTHDF2"
